h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 09:30:00,17.64,11.97,56.89,63.5,71.25,37.11,120.5,24.33,11.99,9.22,49.24,3.81,15.27,69.15,14.13,5.27,23.44,1.28,10.77,103.49,274.0,11.9,43.61,74.74,30.56,31.05,24.48,32.1
2019-04-04 09:30:01,17.64,11.97,56.8,63.5,71.23,37.01,120.88,24.32,12.0,9.23,49.24,3.8,15.28,69.16,14.13,,23.47,1.28,10.76,103.5,274.0,,43.67,74.74,30.77,31.09,24.47,32.11
2019-04-04 09:30:02,17.64,11.97,56.8,63.5,71.23,37.09,120.88,24.3,12.0,9.23,49.24,3.77,15.27,69.16,14.13,,23.47,,10.71,,274.0,11.9,43.72,74.74,30.77,,24.48,32.11
2019-04-04 09:30:03,17.64,11.97,56.8,63.49,,37.08,120.88,,11.99,,49.23,3.77,15.27,69.14,14.13,,23.47,,,103.49,,,43.71,74.74,,31.09,24.48,32.11
2019-04-04 09:30:04,17.64,,56.8,63.47,71.23,37.08,,24.3,,9.22,,,,69.15,14.13,,23.47,,10.71,,,,43.71,74.74,,31.08,24.48,32.11
2019-04-04 09:30:05,17.64,11.97,56.76,63.46,71.23,37.08,,,11.99,9.22,49.21,,15.28,69.15,14.13,,,,10.7,103.49,,11.89,43.71,,30.75,,24.48,32.1
2019-04-04 09:30:06,17.64,11.97,56.76,,71.23,,,,11.99,9.22,49.21,,15.3,69.15,14.13,,23.47,,10.7,103.48,,,43.71,74.74,,31.08,24.48,32.1
2019-04-04 09:30:07,17.6,,56.76,,71.23,37.08,120.88,,11.99,,49.21,,15.3,69.15,14.14,,,,,103.48,,,,,,,24.48,
2019-04-04 09:30:08,17.6,11.97,56.76,,,,120.94,,,,49.2,,15.3,69.15,14.14,,23.47,,10.67,103.47,,,,74.71,30.74,,24.48,
2019-04-04 09:30:09,17.6,11.97,,,,,120.93,,11.99,9.22,49.2,,15.3,69.14,,5.27,23.47,,10.67,,,,43.7,,30.72,,24.48,
2019-04-04 09:30:10,17.6,11.97,,63.42,,,120.93,24.32,11.97,9.22,,,15.27,69.12,,,23.47,,10.7,103.45,,,,74.67,,31.08,24.48,32.1
2019-04-04 09:30:11,17.62,11.97,,,,37.08,120.93,,11.97,,49.2,,15.28,69.12,,,23.42,,10.69,,,11.89,43.7,74.66,30.72,,24.48,
2019-04-04 09:30:12,,,,,,,120.88,24.33,11.97,,49.21,,15.28,69.12,14.13,,23.42,,10.69,103.39,,,43.7,74.64,,,24.48,
2019-04-04 09:30:13,,11.97,,,71.23,37.08,,24.33,11.97,9.22,49.23,,15.28,69.11,14.13,,23.42,,10.69,,273.99,,,74.62,30.69,,24.48,32.1
2019-04-04 09:30:14,17.64,11.96,,,,,,,11.97,9.21,49.23,,15.28,69.11,14.14,,23.42,,10.68,,,,43.7,74.62,,,24.48,
2019-04-04 09:30:15,17.6,11.97,,,,,,,11.97,9.2,49.24,,15.28,69.1,,,23.42,,10.67,103.32,,,43.68,74.61,,,24.48,
2019-04-04 09:30:16,17.61,,,63.42,,37.07,,,,9.2,,,15.28,69.1,14.14,,23.42,,10.7,103.3,,,,74.61,,,24.48,32.1
2019-04-04 09:30:17,17.61,11.97,,,,37.06,,,,,49.24,,15.28,69.11,14.14,,,,,103.3,,,43.68,74.61,,,,32.1
2019-04-04 09:30:18,17.61,,,,71.22,37.06,120.88,,11.97,,49.23,,15.29,69.11,14.13,,23.42,,10.71,,,,,74.61,30.69,31.08,24.48,32.1
2019-04-04 09:30:19,17.61,11.96,,,71.18,,,24.33,11.97,9.2,49.23,,15.29,69.11,14.13,,,,10.71,,,,43.68,74.61,30.68,,24.48,
2019-04-04 09:30:20,,11.97,,63.42,,37.06,120.88,,,9.2,49.23,,15.29,69.1,14.14,,23.42,,10.73,103.29,,,43.68,,,,,32.1
2019-04-04 09:30:21,,11.97,,63.42,,37.06,,24.33,,9.2,49.23,,,69.1,,,23.42,,10.72,103.28,273.99,,,74.61,,,,32.1
2019-04-04 09:30:22,,,,,71.18,,120.88,24.37,,,,,,69.1,14.13,,23.42,,10.78,,273.99,,43.66,,,,,
2019-04-04 09:30:23,,11.97,,,71.18,37.04,120.88,24.36,,,49.24,,,69.13,14.13,,23.42,,10.79,,273.99,,43.68,,30.67,,,32.11
2019-04-04 09:30:24,,11.97,,63.42,71.18,37.03,120.88,,,,49.23,,,69.13,14.13,,23.41,,10.79,,273.99,,43.68,,30.67,,,32.11
2019-04-04 09:30:25,17.61,,,,,,120.88,24.37,,,49.23,,,69.15,14.13,,23.4,,10.8,,273.99,,43.66,74.61,30.67,31.08,,32.11
2019-04-04 09:30:26,,,56.72,63.42,71.18,,,24.39,11.97,9.2,49.23,,15.29,69.17,14.13,,23.42,,10.8,103.27,274.0,,43.65,,30.65,,,32.11
2019-04-04 09:30:27,,,,63.42,,37.03,,24.4,,9.2,49.23,,15.28,69.17,14.13,,23.42,,10.8,103.26,,,43.65,74.63,,,,32.11
2019-04-04 09:30:28,17.6,,56.69,,,37.03,,,,9.2,,,15.28,69.16,14.13,,23.42,,,,274.0,,43.65,74.63,30.65,,,32.11
2019-04-04 09:30:29,17.58,11.98,56.69,63.42,,37.03,,,,9.2,49.23,,,69.15,14.13,,,,,,,,,,30.65,,,32.11
2019-04-04 09:30:30,17.57,11.98,56.68,,71.18,,,24.4,11.97,9.2,,,15.28,69.15,14.13,,23.42,,,,,,43.65,,30.72,31.08,,32.11
2019-04-04 09:30:31,17.57,11.98,56.68,,71.17,,120.88,,,,,,15.28,69.14,14.13,,23.42,,10.8,103.25,,11.89,43.65,74.63,30.72,31.08,,32.11
2019-04-04 09:30:32,,11.97,,63.42,,,,,11.97,9.2,49.22,,,69.13,14.13,,,,10.78,103.24,273.99,,,74.63,,31.08,,32.1
2019-04-04 09:30:33,,11.97,56.68,,,,,,,,49.22,,,69.13,14.13,,,,10.79,103.24,273.98,,,,30.72,,,32.1
2019-04-04 09:30:34,,11.97,,,,,120.88,,,,,,15.28,69.13,14.13,,,,,,273.99,,,,30.72,,24.48,32.1
2019-04-04 09:30:35,,,,,,,120.88,,,9.2,,,15.28,69.13,,5.26,,,,,,,43.65,,30.78,,24.48,
2019-04-04 09:30:36,,,,63.42,71.17,37.03,120.88,,11.97,,,,,69.13,14.13,5.26,,1.27,10.79,103.27,273.99,,,74.62,30.78,31.1,24.48,32.1
2019-04-04 09:30:37,,,,63.42,,,,24.4,11.97,,49.22,,,69.12,14.14,,23.42,,10.79,103.32,,,43.65,74.63,30.78,31.09,,32.1
