h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 09:30:00,17.61,11.96,56.77,63.45,71.12,36.97,119.95,24.25,11.94,9.2,49.18,3.8,15.22,69.11,14.12,5.21,23.39,1.23,10.71,103.2,273.57,11.87,43.56,74.62,30.53,30.99,24.45,32.09
2019-04-04 09:30:01,17.61,11.96,56.73,63.45,71.13,36.98,120.75,24.27,11.94,9.2,49.21,3.76,15.25,69.12,14.12,,23.43,1.23,10.71,103.4,273.57,,43.57,74.68,30.54,30.98,24.46,32.1
2019-04-04 09:30:02,17.61,11.96,56.73,63.45,71.13,36.98,120.75,24.28,11.94,9.2,49.21,3.75,15.25,69.12,14.12,,23.42,,10.68,,273.58,11.87,43.66,74.68,30.54,,24.46,32.1
2019-04-04 09:30:03,17.6,11.96,56.73,63.35,,36.98,120.14,,11.94,,49.18,3.75,15.25,69.11,14.12,,23.42,,,103.36,,,43.59,74.68,,30.98,24.46,32.09
2019-04-04 09:30:04,17.6,,56.73,63.35,71.13,36.97,,24.26,,9.2,,,,69.11,14.12,,23.42,,10.68,,,,43.63,74.68,,30.98,24.46,32.09
2019-04-04 09:30:05,17.6,11.96,56.7,63.35,71.13,36.97,,,11.94,9.2,49.18,,15.27,69.11,14.12,,,,10.67,103.38,,11.87,43.64,,30.54,,24.46,32.09
2019-04-04 09:30:06,17.6,11.96,56.7,,71.13,,,,11.94,9.2,49.18,,15.27,69.11,14.12,,23.42,,10.67,103.38,,,43.64,74.68,,30.98,24.47,32.09
2019-04-04 09:30:07,17.58,,56.68,,71.13,36.97,120.14,,11.94,,49.18,,15.27,69.11,14.12,,,,,103.39,,,,,,,24.47,
2019-04-04 09:30:08,17.58,11.96,56.69,,,,120.14,,,,49.18,,15.27,69.11,14.12,,23.43,,10.63,103.36,,,,74.68,30.54,,24.47,
2019-04-04 09:30:09,17.58,11.96,,,,,120.14,,11.94,9.2,49.18,,15.27,69.11,,5.19,23.43,,10.63,,,,43.64,,30.54,,24.46,
