h_m_s,AEM
2019-04-04 09:30:00,56.83
2019-04-04 09:30:01,56.765
2019-04-04 09:30:02,56.765
2019-04-04 09:30:03,56.765
2019-04-04 09:30:04,56.765
2019-04-04 09:30:05,56.730000000000004
2019-04-04 09:30:06,56.730000000000004
2019-04-04 09:30:07,56.72
2019-04-04 09:30:08,56.724999999999994
2019-04-04 09:30:09,56.724999999999994
2019-04-04 09:30:10,56.724999999999994
2019-04-04 09:30:11,56.724999999999994
2019-04-04 09:30:12,56.724999999999994
2019-04-04 09:30:13,56.724999999999994
2019-04-04 09:30:14,56.724999999999994
2019-04-04 09:30:15,56.724999999999994
2019-04-04 09:30:16,56.724999999999994
2019-04-04 09:30:17,56.724999999999994
2019-04-04 09:30:18,56.724999999999994
2019-04-04 09:30:19,56.724999999999994
2019-04-04 09:30:20,56.724999999999994
2019-04-04 09:30:21,56.724999999999994
2019-04-04 09:30:22,56.724999999999994
2019-04-04 09:30:23,56.724999999999994
2019-04-04 09:30:24,56.724999999999994
2019-04-04 09:30:25,56.724999999999994
2019-04-04 09:30:26,56.685
2019-04-04 09:30:27,56.685
2019-04-04 09:30:28,56.665
2019-04-04 09:30:29,56.665
2019-04-04 09:30:30,56.66
2019-04-04 09:30:31,56.66
2019-04-04 09:30:32,56.66
2019-04-04 09:30:33,56.66
2019-04-04 09:30:34,56.66
2019-04-04 09:30:35,56.66
2019-04-04 09:30:36,56.66
2019-04-04 09:30:37,56.66
2019-04-04 09:30:38,56.66
2019-04-04 09:30:39,56.66
2019-04-04 09:30:40,56.66
2019-04-04 09:30:41,56.66
2019-04-04 09:30:42,56.66
2019-04-04 09:30:43,56.66
2019-04-04 09:30:44,56.66
2019-04-04 09:30:45,56.66
2019-04-04 09:30:46,56.66
2019-04-04 09:30:47,56.66
2019-04-04 09:30:48,56.66
2019-04-04 09:30:49,56.66
2019-04-04 09:30:50,56.66
2019-04-04 09:30:51,56.66
2019-04-04 09:30:52,56.66
2019-04-04 09:30:53,56.66
2019-04-04 09:30:54,56.66
2019-04-04 09:30:55,56.66
2019-04-04 09:30:56,56.655
2019-04-04 09:30:57,56.615
2019-04-04 09:30:58,56.615
2019-04-04 09:30:59,56.615
2019-04-04 09:31:00,56.615
2019-04-04 09:31:01,56.615
2019-04-04 09:31:02,56.605000000000004
2019-04-04 09:31:03,56.620000000000005
2019-04-04 09:31:04,56.5
2019-04-04 09:31:05,56.475
2019-04-04 09:31:06,56.455
2019-04-04 09:31:07,56.44
2019-04-04 09:31:08,56.44
2019-04-04 09:31:09,56.44
2019-04-04 09:31:10,56.44
2019-04-04 09:31:11,56.43
2019-04-04 09:31:12,56.43
2019-04-04 09:31:13,56.43
2019-04-04 09:31:14,56.43
2019-04-04 09:31:15,56.43
2019-04-04 09:31:16,56.43
2019-04-04 09:31:17,56.425
2019-04-04 09:31:18,56.435
2019-04-04 09:31:19,56.375
2019-04-04 09:31:20,56.39
2019-04-04 09:31:21,56.400000000000006
2019-04-04 09:31:22,56.355000000000004
2019-04-04 09:31:23,56.355000000000004
2019-04-04 09:31:24,56.349999999999994
2019-04-04 09:31:25,56.349999999999994
2019-04-04 09:31:26,56.33
2019-04-04 09:31:27,56.33
2019-04-04 09:31:28,56.33
2019-04-04 09:31:29,56.33
2019-04-04 09:31:30,56.33
2019-04-04 09:31:31,56.305
2019-04-04 09:31:32,56.305
2019-04-04 09:31:33,56.305
2019-04-04 09:31:34,56.305
2019-04-04 09:31:35,56.305
2019-04-04 09:31:36,56.315
2019-04-04 09:31:37,56.315
2019-04-04 09:31:38,56.315
2019-04-04 09:31:39,56.315
2019-04-04 09:31:40,56.315
2019-04-04 09:31:41,56.315
2019-04-04 09:31:42,56.315
2019-04-04 09:31:43,56.315
2019-04-04 09:31:44,56.315
2019-04-04 09:31:45,56.315
2019-04-04 09:31:46,56.315
2019-04-04 09:31:47,56.335
2019-04-04 09:31:48,56.335
2019-04-04 09:31:49,56.335
2019-04-04 09:31:50,56.34
2019-04-04 09:31:51,56.345
2019-04-04 09:31:52,56.345
2019-04-04 09:31:53,56.33
2019-04-04 09:31:54,56.325
2019-04-04 09:31:55,56.325
2019-04-04 09:31:56,56.325
2019-04-04 09:31:57,56.325
2019-04-04 09:31:58,56.325
2019-04-04 09:31:59,56.325
2019-04-04 09:32:00,56.285
2019-04-04 09:32:01,56.285
2019-04-04 09:32:02,56.269999999999996
2019-04-04 09:32:03,56.275000000000006
2019-04-04 09:32:04,56.295
2019-04-04 09:32:05,56.290000000000006
2019-04-04 09:32:06,56.290000000000006
2019-04-04 09:32:07,56.290000000000006
2019-04-04 09:32:08,56.290000000000006
2019-04-04 09:32:09,56.290000000000006
2019-04-04 09:32:10,56.285
2019-04-04 09:32:11,56.3
2019-04-04 09:32:12,56.3
2019-04-04 09:32:13,56.3
2019-04-04 09:32:14,56.3
2019-04-04 09:32:15,56.3
2019-04-04 09:32:16,56.3
2019-04-04 09:32:17,56.3
2019-04-04 09:32:18,56.3
2019-04-04 09:32:19,56.3
2019-04-04 09:32:20,56.3
2019-04-04 09:32:21,56.3
2019-04-04 09:32:22,56.3
2019-04-04 09:32:23,56.3
2019-04-04 09:32:24,56.3
2019-04-04 09:32:25,56.3
2019-04-04 09:32:26,56.3
2019-04-04 09:32:27,56.3
2019-04-04 09:32:28,56.295
2019-04-04 09:32:29,56.295
2019-04-04 09:32:30,56.295
2019-04-04 09:32:31,56.295
2019-04-04 09:32:32,56.285
2019-04-04 09:32:33,56.285
2019-04-04 09:32:34,56.285
2019-04-04 09:32:35,56.285
2019-04-04 09:32:36,56.285
2019-04-04 09:32:37,56.285
2019-04-04 09:32:38,56.285
2019-04-04 09:32:39,56.285
2019-04-04 09:32:40,56.285
2019-04-04 09:32:41,56.275
2019-04-04 09:32:42,56.275
2019-04-04 09:32:43,56.269999999999996
2019-04-04 09:32:44,56.275
2019-04-04 09:32:45,56.285
2019-04-04 09:32:46,56.285
2019-04-04 09:32:47,56.285
2019-04-04 09:32:48,56.285
2019-04-04 09:32:49,56.290000000000006
2019-04-04 09:32:50,56.290000000000006
2019-04-04 09:32:51,56.290000000000006
2019-04-04 09:32:52,56.290000000000006
2019-04-04 09:32:53,56.290000000000006
2019-04-04 09:32:54,56.290000000000006
2019-04-04 09:32:55,56.290000000000006
2019-04-04 09:32:56,56.290000000000006
2019-04-04 09:32:57,56.290000000000006
2019-04-04 09:32:58,56.290000000000006
2019-04-04 09:32:59,56.305
2019-04-04 09:33:00,56.305
2019-04-04 09:33:01,56.325
2019-04-04 09:33:02,56.325
2019-04-04 09:33:03,56.325
2019-04-04 09:33:04,56.325
2019-04-04 09:33:05,56.325
2019-04-04 09:33:06,56.325
2019-04-04 09:33:07,56.325
2019-04-04 09:33:08,56.325
2019-04-04 09:33:09,56.31
2019-04-04 09:33:10,56.31
2019-04-04 09:33:11,56.32
2019-04-04 09:33:12,56.32
2019-04-04 09:33:13,56.315
2019-04-04 09:33:14,56.315
2019-04-04 09:33:15,56.315
2019-04-04 09:33:16,56.315
2019-04-04 09:33:17,56.315
2019-04-04 09:33:18,56.29
2019-04-04 09:33:19,56.29
2019-04-04 09:33:20,56.285
2019-04-04 09:33:21,56.29
2019-04-04 09:33:22,56.29
2019-04-04 09:33:23,56.29
2019-04-04 09:33:24,56.26
2019-04-04 09:33:25,56.26
2019-04-04 09:33:26,56.269999999999996
2019-04-04 09:33:27,56.275
2019-04-04 09:33:28,56.269999999999996
2019-04-04 09:33:29,56.275
2019-04-04 09:33:30,56.28
2019-04-04 09:33:31,56.3
2019-04-04 09:33:32,56.31
2019-04-04 09:33:33,56.31
2019-04-04 09:33:34,56.31
2019-04-04 09:33:35,56.31
2019-04-04 09:33:36,56.31
2019-04-04 09:33:37,56.31
2019-04-04 09:33:38,56.3
2019-04-04 09:33:39,56.315
2019-04-04 09:33:40,56.315
2019-04-04 09:33:41,56.315
2019-04-04 09:33:42,56.315
2019-04-04 09:33:43,56.315
2019-04-04 09:33:44,56.315
2019-04-04 09:33:45,56.315
2019-04-04 09:33:46,56.315
2019-04-04 09:33:47,56.315
2019-04-04 09:33:48,56.285
2019-04-04 09:33:49,56.285
2019-04-04 09:33:50,56.295
2019-04-04 09:33:51,56.285
2019-04-04 09:33:52,56.295
2019-04-04 09:33:53,56.295
2019-04-04 09:33:54,56.3
2019-04-04 09:33:55,56.3
2019-04-04 09:33:56,56.275
2019-04-04 09:33:57,56.269999999999996
2019-04-04 09:33:58,56.269999999999996
2019-04-04 09:33:59,56.245000000000005
2019-04-04 09:34:00,56.230000000000004
2019-04-04 09:34:01,56.230000000000004
2019-04-04 09:34:02,56.209999999999994
2019-04-04 09:34:03,56.205
2019-04-04 09:34:04,56.2
2019-04-04 09:34:05,56.2
2019-04-04 09:34:06,56.2
2019-04-04 09:34:07,56.195
2019-04-04 09:34:08,56.215
2019-04-04 09:34:09,56.215
2019-04-04 09:34:10,56.215
2019-04-04 09:34:11,56.215
2019-04-04 09:34:12,56.150000000000006
2019-04-04 09:34:13,56.11
2019-04-04 09:34:14,56.11
2019-04-04 09:34:15,56.120000000000005
2019-04-04 09:34:16,56.105000000000004
2019-04-04 09:34:17,56.11
2019-04-04 09:34:18,56.105000000000004
2019-04-04 09:34:19,56.08
2019-04-04 09:34:20,56.07
2019-04-04 09:34:21,56.08
2019-04-04 09:34:22,56.09
2019-04-04 09:34:23,56.075
2019-04-04 09:34:24,56.07
2019-04-04 09:34:25,56.099999999999994
2019-04-04 09:34:26,56.105000000000004
2019-04-04 09:34:27,56.095
2019-04-04 09:34:28,56.095
2019-04-04 09:34:29,56.095
2019-04-04 09:34:30,56.1
2019-04-04 09:34:31,56.09
2019-04-04 09:34:32,56.09
2019-04-04 09:34:33,56.09
2019-04-04 09:34:34,56.09
2019-04-04 09:34:35,56.09
2019-04-04 09:34:36,56.095
2019-04-04 09:34:37,56.095
2019-04-04 09:34:38,56.095
2019-04-04 09:34:39,56.095
2019-04-04 09:34:40,56.15
2019-04-04 09:34:41,56.15
2019-04-04 09:34:42,56.14
2019-04-04 09:34:43,56.175
2019-04-04 09:34:44,56.15
2019-04-04 09:34:45,56.144999999999996
2019-04-04 09:34:46,56.14
2019-04-04 09:34:47,56.14
2019-04-04 09:34:48,56.14
2019-04-04 09:34:49,56.14
2019-04-04 09:34:50,56.144999999999996
2019-04-04 09:34:51,56.144999999999996
2019-04-04 09:34:52,56.144999999999996
2019-04-04 09:34:53,56.144999999999996
2019-04-04 09:34:54,56.144999999999996
2019-04-04 09:34:55,56.144999999999996
2019-04-04 09:34:56,56.144999999999996
2019-04-04 09:34:57,56.165
2019-04-04 09:34:58,56.165
2019-04-04 09:34:59,56.165
2019-04-04 09:35:00,56.165
2019-04-04 09:35:01,56.165
2019-04-04 09:35:02,56.165
2019-04-04 09:35:03,56.17
2019-04-04 09:35:04,56.17
2019-04-04 09:35:05,56.165
2019-04-04 09:35:06,56.175
2019-04-04 09:35:07,56.18
2019-04-04 09:35:08,56.18
2019-04-04 09:35:09,56.18
2019-04-04 09:35:10,56.18
2019-04-04 09:35:11,56.18
2019-04-04 09:35:12,56.18
2019-04-04 09:35:13,56.2
2019-04-04 09:35:14,56.215
2019-04-04 09:35:15,56.215
2019-04-04 09:35:16,56.269999999999996
2019-04-04 09:35:17,56.285
2019-04-04 09:35:18,56.295
2019-04-04 09:35:19,56.295
2019-04-04 09:35:20,56.295
2019-04-04 09:35:21,56.295
2019-04-04 09:35:22,56.295
2019-04-04 09:35:23,56.28
2019-04-04 09:35:24,56.28
2019-04-04 09:35:25,56.28
2019-04-04 09:35:26,56.290000000000006
2019-04-04 09:35:27,56.290000000000006
2019-04-04 09:35:28,56.290000000000006
2019-04-04 09:35:29,56.290000000000006
2019-04-04 09:35:30,56.290000000000006
2019-04-04 09:35:31,56.290000000000006
2019-04-04 09:35:32,56.290000000000006
2019-04-04 09:35:33,56.290000000000006
2019-04-04 09:35:34,56.295
2019-04-04 09:35:35,56.295
2019-04-04 09:35:36,56.295
2019-04-04 09:35:37,56.295
2019-04-04 09:35:38,56.295
2019-04-04 09:35:39,56.295
2019-04-04 09:35:40,56.295
2019-04-04 09:35:41,56.295
2019-04-04 09:35:42,56.295
2019-04-04 09:35:43,56.295
2019-04-04 09:35:44,56.295
2019-04-04 09:35:45,56.295
2019-04-04 09:35:46,56.295
2019-04-04 09:35:47,56.31
2019-04-04 09:35:48,56.32
2019-04-04 09:35:49,56.32
2019-04-04 09:35:50,56.32
2019-04-04 09:35:51,56.315
2019-04-04 09:35:52,56.315
2019-04-04 09:35:53,56.315
2019-04-04 09:35:54,56.315
2019-04-04 09:35:55,56.295
2019-04-04 09:35:56,56.295
2019-04-04 09:35:57,56.295
2019-04-04 09:35:58,56.295
2019-04-04 09:35:59,56.295
2019-04-04 09:36:00,56.295
2019-04-04 09:36:01,56.295
2019-04-04 09:36:02,56.295
2019-04-04 09:36:03,56.295
2019-04-04 09:36:04,56.305
2019-04-04 09:36:05,56.305
2019-04-04 09:36:06,56.305
2019-04-04 09:36:07,56.305
2019-04-04 09:36:08,56.305
2019-04-04 09:36:09,56.305
2019-04-04 09:36:10,56.305
2019-04-04 09:36:11,56.305
2019-04-04 09:36:12,56.355000000000004
2019-04-04 09:36:13,56.315
2019-04-04 09:36:14,56.315
2019-04-04 09:36:15,56.315
2019-04-04 09:36:16,56.32
2019-04-04 09:36:17,56.32
2019-04-04 09:36:18,56.32
2019-04-04 09:36:19,56.32
2019-04-04 09:36:20,56.32
2019-04-04 09:36:21,56.32
2019-04-04 09:36:22,56.32
2019-04-04 09:36:23,56.32
2019-04-04 09:36:24,56.32
2019-04-04 09:36:25,56.32
2019-04-04 09:36:26,56.32
2019-04-04 09:36:27,56.285
2019-04-04 09:36:28,56.275
2019-04-04 09:36:29,56.275
2019-04-04 09:36:30,56.275
2019-04-04 09:36:31,56.275
2019-04-04 09:36:32,56.275
2019-04-04 09:36:33,56.275
2019-04-04 09:36:34,56.275
2019-04-04 09:36:35,56.275
2019-04-04 09:36:36,56.275
2019-04-04 09:36:37,56.25
2019-04-04 09:36:38,56.25
2019-04-04 09:36:39,56.25
2019-04-04 09:36:40,56.25
2019-04-04 09:36:41,56.25
2019-04-04 09:36:42,56.260000000000005
2019-04-04 09:36:43,56.260000000000005
2019-04-04 09:36:44,56.275
2019-04-04 09:36:45,56.275
2019-04-04 09:36:46,56.275
2019-04-04 09:36:47,56.28
2019-04-04 09:36:48,56.28
2019-04-04 09:36:49,56.28
2019-04-04 09:36:50,56.275
2019-04-04 09:36:51,56.275
2019-04-04 09:36:52,56.28
2019-04-04 09:36:53,56.275
2019-04-04 09:36:54,56.255
2019-04-04 09:36:55,56.255
2019-04-04 09:36:56,56.245
2019-04-04 09:36:57,56.245
2019-04-04 09:36:58,56.245
2019-04-04 09:36:59,56.225
2019-04-04 09:37:00,56.225
2019-04-04 09:37:01,56.239999999999995
2019-04-04 09:37:02,56.239999999999995
2019-04-04 09:37:03,56.239999999999995
2019-04-04 09:37:04,56.239999999999995
2019-04-04 09:37:05,56.245000000000005
2019-04-04 09:37:06,56.255
2019-04-04 09:37:07,56.255
2019-04-04 09:37:08,56.22
2019-04-04 09:37:09,56.235
2019-04-04 09:37:10,56.239999999999995
2019-04-04 09:37:11,56.239999999999995
2019-04-04 09:37:12,56.239999999999995
2019-04-04 09:37:13,56.239999999999995
