h_m_s,BAM.A
2019-04-04 09:30:00,63.4625
2019-04-04 09:30:01,63.472727272727276
2019-04-04 09:30:02,63.47142857142857
2019-04-04 09:30:03,63.39666666666667
2019-04-04 09:30:04,63.41
2019-04-04 09:30:05,63.405
2019-04-04 09:30:06,63.405
2019-04-04 09:30:07,63.405
2019-04-04 09:30:08,63.405
2019-04-04 09:30:09,63.405
2019-04-04 09:30:10,63.36
2019-04-04 09:30:11,63.36
2019-04-04 09:30:12,63.36
2019-04-04 09:30:13,63.36
2019-04-04 09:30:14,63.36
2019-04-04 09:30:15,63.36
2019-04-04 09:30:16,63.348
2019-04-04 09:30:17,63.348
2019-04-04 09:30:18,63.348
2019-04-04 09:30:19,63.348
2019-04-04 09:30:20,63.36
2019-04-04 09:30:21,63.36
2019-04-04 09:30:22,63.36
2019-04-04 09:30:23,63.36
2019-04-04 09:30:24,63.366
2019-04-04 09:30:25,63.366
2019-04-04 09:30:26,63.36
2019-04-04 09:30:27,63.366
2019-04-04 09:30:28,63.366
2019-04-04 09:30:29,63.372
2019-04-04 09:30:30,63.372
2019-04-04 09:30:31,63.372
2019-04-04 09:30:32,63.38
2019-04-04 09:30:33,63.38
2019-04-04 09:30:34,63.38
2019-04-04 09:30:35,63.38
2019-04-04 09:30:36,63.376363636363635
2019-04-04 09:30:37,63.36909090909091
2019-04-04 09:30:38,63.36909090909091
2019-04-04 09:30:39,63.375
2019-04-04 09:30:40,63.35
2019-04-04 09:30:41,63.343333333333334
2019-04-04 09:30:42,63.343333333333334
2019-04-04 09:30:43,63.346666666666664
2019-04-04 09:30:44,63.335
2019-04-04 09:30:45,63.3275
2019-04-04 09:30:46,63.324
2019-04-04 09:30:47,63.324
2019-04-04 09:30:48,63.324
2019-04-04 09:30:49,63.324
2019-04-04 09:30:50,63.32666666666667
2019-04-04 09:30:51,63.32666666666667
2019-04-04 09:30:52,63.3225
2019-04-04 09:30:53,63.32333333333333
2019-04-04 09:30:54,63.32333333333333
2019-04-04 09:30:55,63.315714285714286
2019-04-04 09:30:56,63.32
2019-04-04 09:30:57,63.32333333333333
2019-04-04 09:30:58,63.32333333333333
2019-04-04 09:30:59,63.326
2019-04-04 09:31:00,63.32
2019-04-04 09:31:01,63.32
2019-04-04 09:31:02,63.326
2019-04-04 09:31:03,63.326
2019-04-04 09:31:04,63.326
2019-04-04 09:31:05,63.326
2019-04-04 09:31:06,63.326
2019-04-04 09:31:07,63.346666666666664
2019-04-04 09:31:08,63.36375
2019-04-04 09:31:09,63.371428571428574
2019-04-04 09:31:10,63.362857142857145
2019-04-04 09:31:11,63.37
2019-04-04 09:31:12,63.345
2019-04-04 09:31:13,63.345
2019-04-04 09:31:14,63.34
2019-04-04 09:31:15,63.34
2019-04-04 09:31:16,63.34
2019-04-04 09:31:17,63.33714285714286
2019-04-04 09:31:18,63.33714285714286
2019-04-04 09:31:19,63.33714285714286
2019-04-04 09:31:20,63.33714285714286
2019-04-04 09:31:21,63.33714285714286
2019-04-04 09:31:22,63.33714285714286
2019-04-04 09:31:23,63.33714285714286
2019-04-04 09:31:24,63.34
2019-04-04 09:31:25,63.33777777777778
2019-04-04 09:31:26,63.34285714285714
2019-04-04 09:31:27,63.34
2019-04-04 09:31:28,63.33714285714286
2019-04-04 09:31:29,63.34
2019-04-04 09:31:30,63.34
2019-04-04 09:31:31,63.33777777777778
2019-04-04 09:31:32,63.35333333333333
2019-04-04 09:31:33,63.35
2019-04-04 09:31:34,63.35
2019-04-04 09:31:35,63.35
2019-04-04 09:31:36,63.3425
2019-04-04 09:31:37,63.345
2019-04-04 09:31:38,63.345
2019-04-04 09:31:39,63.345
2019-04-04 09:31:40,63.336
2019-04-04 09:31:41,63.35
2019-04-04 09:31:42,63.345
2019-04-04 09:31:43,63.355
2019-04-04 09:31:44,63.35
2019-04-04 09:31:45,63.35
2019-04-04 09:31:46,63.343333333333334
2019-04-04 09:31:47,63.343333333333334
2019-04-04 09:31:48,63.343333333333334
2019-04-04 09:31:49,63.343333333333334
2019-04-04 09:31:50,63.345
2019-04-04 09:31:51,63.345
2019-04-04 09:31:52,63.345
2019-04-04 09:31:53,63.345
