h_m_s,SHOP
2019-04-04 09:30:00,273.785
2019-04-04 09:30:01,273.785
2019-04-04 09:30:02,273.72
2019-04-04 09:30:03,273.72
2019-04-04 09:30:04,273.72
2019-04-04 09:30:05,273.72
2019-04-04 09:30:06,273.72
2019-04-04 09:30:07,273.72
2019-04-04 09:30:08,273.72
2019-04-04 09:30:09,273.72
2019-04-04 09:30:10,273.72
2019-04-04 09:30:11,273.72
2019-04-04 09:30:12,273.72
2019-04-04 09:30:13,273.78
2019-04-04 09:30:14,273.78
2019-04-04 09:30:15,273.78
2019-04-04 09:30:16,273.78
2019-04-04 09:30:17,273.78
2019-04-04 09:30:18,273.78
2019-04-04 09:30:19,273.78
2019-04-04 09:30:20,273.78
2019-04-04 09:30:21,273.78
2019-04-04 09:30:22,273.775
2019-04-04 09:30:23,273.765
2019-04-04 09:30:24,273.765
2019-04-04 09:30:25,273.83666666666664
2019-04-04 09:30:26,273.77
2019-04-04 09:30:27,273.77
2019-04-04 09:30:28,273.724
2019-04-04 09:30:29,273.724
2019-04-04 09:30:30,273.724
2019-04-04 09:30:31,273.724
2019-04-04 09:30:32,273.49
2019-04-04 09:30:33,273.58
2019-04-04 09:30:34,273.585
2019-04-04 09:30:35,273.585
2019-04-04 09:30:36,273.49
2019-04-04 09:30:37,273.49
2019-04-04 09:30:38,273.225
2019-04-04 09:30:39,273.225
2019-04-04 09:30:40,273.225
2019-04-04 09:30:41,273.225
2019-04-04 09:30:42,273.225
2019-04-04 09:30:43,273.175
2019-04-04 09:30:44,273.145
2019-04-04 09:30:45,273.135
2019-04-04 09:30:46,273.135
2019-04-04 09:30:47,272.885
2019-04-04 09:30:48,272.88
2019-04-04 09:30:49,272.68666666666667
2019-04-04 09:30:50,273.02666666666664
2019-04-04 09:30:51,273.055
2019-04-04 09:30:52,272.73
2019-04-04 09:30:53,272.22714285714284
2019-04-04 09:30:54,272.56142857142856
2019-04-04 09:30:55,272.57
2019-04-04 09:30:56,272.57
2019-04-04 09:30:57,273.10333333333335
2019-04-04 09:30:58,272.82
2019-04-04 09:30:59,272.616
2019-04-04 09:31:00,272.84
2019-04-04 09:31:01,272.86
2019-04-04 09:31:02,272.86
2019-04-04 09:31:03,272.44
2019-04-04 09:31:04,272.84
2019-04-04 09:31:05,273.34222222222223
2019-04-04 09:31:06,273.34222222222223
2019-04-04 09:31:07,273.34222222222223
2019-04-04 09:31:08,273.34222222222223
2019-04-04 09:31:09,273.34222222222223
2019-04-04 09:31:10,273.34222222222223
2019-04-04 09:31:11,273.34222222222223
2019-04-04 09:31:12,273.345
2019-04-04 09:31:13,273.33666666666664
2019-04-04 09:31:14,273.3283333333333
2019-04-04 09:31:15,273.1771428571429
2019-04-04 09:31:16,273.27
2019-04-04 09:31:17,273.22833333333335
2019-04-04 09:31:18,273.22
2019-04-04 09:31:19,273.569
2019-04-04 09:31:20,273.5781818181818
2019-04-04 09:31:21,273.26
2019-04-04 09:31:22,273.26
2019-04-04 09:31:23,273.26
2019-04-04 09:31:24,273.26
2019-04-04 09:31:25,273.26
2019-04-04 09:31:26,273.308
2019-04-04 09:31:27,273.272
2019-04-04 09:31:28,273.263
2019-04-04 09:31:29,273.263
2019-04-04 09:31:30,273.263
2019-04-04 09:31:31,272.705
2019-04-04 09:31:32,272.705
2019-04-04 09:31:33,272.785
2019-04-04 09:31:34,272.785
2019-04-04 09:31:35,272.785
2019-04-04 09:31:36,272.72333333333336
2019-04-04 09:31:37,272.72333333333336
2019-04-04 09:31:38,272.825
2019-04-04 09:31:39,272.815
2019-04-04 09:31:40,272.815
2019-04-04 09:31:41,272.62333333333333
2019-04-04 09:31:42,272.795
2019-04-04 09:31:43,272.795
2019-04-04 09:31:44,272.62
2019-04-04 09:31:45,272.62
2019-04-04 09:31:46,272.62
2019-04-04 09:31:47,272.4866666666667
2019-04-04 09:31:48,272.4866666666667
2019-04-04 09:31:49,272.4866666666667
2019-04-04 09:31:50,272.4866666666667
2019-04-04 09:31:51,272.695
2019-04-04 09:31:52,272.695
2019-04-04 09:31:53,272.705
2019-04-04 09:31:54,272.705
2019-04-04 09:31:55,272.705
2019-04-04 09:31:56,273.06
2019-04-04 09:31:57,273.09
2019-04-04 09:31:58,273.08
2019-04-04 09:31:59,273.065
2019-04-04 09:32:00,273.065
2019-04-04 09:32:01,273.04
2019-04-04 09:32:02,273.03
2019-04-04 09:32:03,273.2625
2019-04-04 09:32:04,273.2625
2019-04-04 09:32:05,273.0
2019-04-04 09:32:06,272.97
2019-04-04 09:32:07,272.97
2019-04-04 09:32:08,272.97
2019-04-04 09:32:09,272.97
2019-04-04 09:32:10,272.95
2019-04-04 09:32:11,272.95
2019-04-04 09:32:12,272.126
2019-04-04 09:32:13,272.138
2019-04-04 09:32:14,272.138
2019-04-04 09:32:15,272.134
2019-04-04 09:32:16,272.138
2019-04-04 09:32:17,272.134
2019-04-04 09:32:18,271.946
2019-04-04 09:32:19,272.29
2019-04-04 09:32:20,272.3
2019-04-04 09:32:21,272.39
2019-04-04 09:32:22,272.35333333333335
2019-04-04 09:32:23,272.3466666666667
2019-04-04 09:32:24,272.05333333333334
2019-04-04 09:32:25,272.375
2019-04-04 09:32:26,272.68333333333334
2019-04-04 09:32:27,272.68333333333334
2019-04-04 09:32:28,272.68333333333334
2019-04-04 09:32:29,272.575
2019-04-04 09:32:30,272.68333333333334
2019-04-04 09:32:31,272.68333333333334
2019-04-04 09:32:32,271.91333333333336
2019-04-04 09:32:33,271.785
2019-04-04 09:32:34,271.775
2019-04-04 09:32:35,271.775
2019-04-04 09:32:36,271.775
2019-04-04 09:32:37,271.775
2019-04-04 09:32:38,271.775
2019-04-04 09:32:39,271.775
2019-04-04 09:32:40,271.43666666666667
2019-04-04 09:32:41,271.435
2019-04-04 09:32:42,271.39428571428573
2019-04-04 09:32:43,271.78
2019-04-04 09:32:44,271.58
2019-04-04 09:32:45,271.8933333333333
2019-04-04 09:32:46,271.8933333333333
2019-04-04 09:32:47,271.8933333333333
2019-04-04 09:32:48,271.8933333333333
2019-04-04 09:32:49,271.8933333333333
2019-04-04 09:32:50,271.75
2019-04-04 09:32:51,271.58
2019-04-04 09:32:52,271.58
2019-04-04 09:32:53,271.4614285714286
2019-04-04 09:32:54,271.4614285714286
2019-04-04 09:32:55,271.745
2019-04-04 09:32:56,271.745
2019-04-04 09:32:57,271.745
2019-04-04 09:32:58,271.74
2019-04-04 09:32:59,271.735
2019-04-04 09:33:00,271.91
2019-04-04 09:33:01,271.745
2019-04-04 09:33:02,271.745
2019-04-04 09:33:03,271.91333333333336
2019-04-04 09:33:04,271.91333333333336
2019-04-04 09:33:05,271.91333333333336
2019-04-04 09:33:06,271.91333333333336
2019-04-04 09:33:07,271.91333333333336
2019-04-04 09:33:08,271.91333333333336
2019-04-04 09:33:09,271.91333333333336
2019-04-04 09:33:10,271.91333333333336
2019-04-04 09:33:11,271.745
2019-04-04 09:33:12,271.745
2019-04-04 09:33:13,271.745
2019-04-04 09:33:14,271.745
2019-04-04 09:33:15,271.745
2019-04-04 09:33:16,271.745
2019-04-04 09:33:17,271.745
2019-04-04 09:33:18,271.745
2019-04-04 09:33:19,271.745
2019-04-04 09:33:20,271.745
2019-04-04 09:33:21,271.745
2019-04-04 09:33:22,271.735
2019-04-04 09:33:23,271.735
2019-04-04 09:33:24,271.735
2019-04-04 09:33:25,271.74
2019-04-04 09:33:26,271.74
2019-04-04 09:33:27,271.905
2019-04-04 09:33:28,271.74
2019-04-04 09:33:29,271.74
2019-04-04 09:33:30,271.74
2019-04-04 09:33:31,271.74
2019-04-04 09:33:32,271.74
2019-04-04 09:33:33,271.74
2019-04-04 09:33:34,271.72
2019-04-04 09:33:35,271.72
2019-04-04 09:33:36,272.0
2019-04-04 09:33:37,271.86333333333334
2019-04-04 09:33:38,271.50666666666666
2019-04-04 09:33:39,271.63
2019-04-04 09:33:40,271.63
