h_m_s,TD
2019-04-04 09:30:00,74.68857142857142
2019-04-04 09:30:01,74.71818181818182
2019-04-04 09:30:02,74.72
2019-04-04 09:30:03,74.70571428571428
2019-04-04 09:30:04,74.69500000000001
2019-04-04 09:30:05,74.69500000000001
2019-04-04 09:30:06,74.69333333333333
2019-04-04 09:30:07,74.69333333333333
2019-04-04 09:30:08,74.692
2019-04-04 09:30:09,74.692
2019-04-04 09:30:10,74.66
2019-04-04 09:30:11,74.645
2019-04-04 09:30:12,74.62666666666667
2019-04-04 09:30:13,74.602
2019-04-04 09:30:14,74.6
2019-04-04 09:30:15,74.59875
2019-04-04 09:30:16,74.6
2019-04-04 09:30:17,74.59363636363636
2019-04-04 09:30:18,74.59666666666666
2019-04-04 09:30:19,74.595
2019-04-04 09:30:20,74.595
2019-04-04 09:30:21,74.5975
2019-04-04 09:30:22,74.5975
2019-04-04 09:30:23,74.5975
2019-04-04 09:30:24,74.5975
2019-04-04 09:30:25,74.59615384615384
2019-04-04 09:30:26,74.59615384615384
2019-04-04 09:30:27,74.62
2019-04-04 09:30:28,74.615
2019-04-04 09:30:29,74.615
2019-04-04 09:30:30,74.615
2019-04-04 09:30:31,74.615
2019-04-04 09:30:32,74.61
2019-04-04 09:30:33,74.61
2019-04-04 09:30:34,74.61
2019-04-04 09:30:35,74.61
2019-04-04 09:30:36,74.61111111111111
2019-04-04 09:30:37,74.625
2019-04-04 09:30:38,74.62454545454545
2019-04-04 09:30:39,74.636
2019-04-04 09:30:40,74.636
2019-04-04 09:30:41,74.636
2019-04-04 09:30:42,74.636
2019-04-04 09:30:43,74.636
2019-04-04 09:30:44,74.636
2019-04-04 09:30:45,74.636
2019-04-04 09:30:46,74.636
2019-04-04 09:30:47,74.628
2019-04-04 09:30:48,74.62666666666667
2019-04-04 09:30:49,74.62666666666667
2019-04-04 09:30:50,74.62666666666667
2019-04-04 09:30:51,74.62666666666667
2019-04-04 09:30:52,74.636
2019-04-04 09:30:53,74.63714285714286
2019-04-04 09:30:54,74.636
2019-04-04 09:30:55,74.636
2019-04-04 09:30:56,74.635
2019-04-04 09:30:57,74.642
2019-04-04 09:30:58,74.64333333333333
2019-04-04 09:30:59,74.642
2019-04-04 09:31:00,74.642
2019-04-04 09:31:01,74.642
2019-04-04 09:31:02,74.64
2019-04-04 09:31:03,74.64
2019-04-04 09:31:04,74.64
2019-04-04 09:31:05,74.63625
2019-04-04 09:31:06,74.625
2019-04-04 09:31:07,74.625
2019-04-04 09:31:08,74.624
2019-04-04 09:31:09,74.625
2019-04-04 09:31:10,74.625
2019-04-04 09:31:11,74.625
2019-04-04 09:31:12,74.6325
2019-04-04 09:31:13,74.63333333333334
2019-04-04 09:31:14,74.63
2019-04-04 09:31:15,74.63
2019-04-04 09:31:16,74.63333333333334
2019-04-04 09:31:17,74.63375
2019-04-04 09:31:18,74.63375
2019-04-04 09:31:19,74.63375
2019-04-04 09:31:20,74.63375
2019-04-04 09:31:21,74.64
2019-04-04 09:31:22,74.64
2019-04-04 09:31:23,74.64
2019-04-04 09:31:24,74.645
2019-04-04 09:31:25,74.63666666666667
2019-04-04 09:31:26,74.635
2019-04-04 09:31:27,74.63
2019-04-04 09:31:28,74.63
2019-04-04 09:31:29,74.63333333333334
2019-04-04 09:31:30,74.63333333333334
2019-04-04 09:31:31,74.63333333333334
2019-04-04 09:31:32,74.645
2019-04-04 09:31:33,74.6425
2019-04-04 09:31:34,74.6425
2019-04-04 09:31:35,74.6425
2019-04-04 09:31:36,74.64333333333333
2019-04-04 09:31:37,74.645
