h_m_s,SU
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,0.0018990577751808427
2019-04-04 09:30:11,7.783221137476823e-05
2019-04-04 09:30:12,-0.0014286100476826556
2019-04-04 09:30:13,0.0009296431087600056
2019-04-04 09:30:14,-0.0003434852301351172
2019-04-04 09:30:15,-0.0005151688609042644
2019-04-04 09:30:16,-0.0009154889283057538
2019-04-04 09:30:17,-0.0009198903173841804
2019-04-04 09:30:18,-0.0009198903173841804
2019-04-04 09:30:19,0.00017184098980410777
2019-04-04 09:30:20,0.00017184098980410777
2019-04-04 09:30:21,-3.817886799652918e-05
2019-04-04 09:30:22,-5.830903790088671e-05
2019-04-04 09:30:23,6.768013327773937e-05
2019-04-04 09:30:24,-5.206109890562835e-05
2019-04-04 09:30:25,1.9090162839071652e-05
2019-04-04 09:30:26,-0.0003627130939428497
2019-04-04 09:30:27,-0.0004193980404596124
2019-04-04 09:30:28,-0.00039648974413204193
2019-04-04 09:30:29,-0.00040089341962099305
2019-04-04 09:30:30,-0.00040089341962099305
2019-04-04 09:30:31,-0.00028635244258640033
2019-04-04 09:30:32,-0.00027490149363145914
2019-04-04 09:30:33,-0.00040084750615583336
2019-04-04 09:30:34,-0.00029155733266697693
2019-04-04 09:30:35,-0.00035125229077591314
2019-04-04 09:30:36,3.055534336570842e-05
2019-04-04 09:30:37,8.021267818679243e-05
2019-04-04 09:30:38,1.636955916782651e-05
2019-04-04 09:30:39,1.636955916782651e-05
2019-04-04 09:30:40,5.7293457087311376e-05
2019-04-04 09:30:41,0.00076382523678578
2019-04-04 09:30:42,0.000687442713107267
2019-04-04 09:30:43,0.0008249312557287205
2019-04-04 09:30:44,0.0008249312557287205
2019-04-04 09:30:45,0.0008708006783079841
2019-04-04 09:30:46,0.0010934113780256922
2019-04-04 09:30:47,0.001031223145230469
2019-04-04 09:30:48,0.0011167494225277825
2019-04-04 09:30:49,0.0011167494225277825
2019-04-04 09:30:50,0.0010757821700244517
2019-04-04 09:30:51,9.540528163646732e-05
2019-04-04 09:30:52,0.0001717426150675586
2019-04-04 09:30:53,3.434380437769156e-05
2019-04-04 09:30:54,3.434380437769156e-05
2019-04-04 09:30:55,3.434380437769156e-05
2019-04-04 09:30:56,-0.000188031393067263
2019-04-04 09:30:57,-0.00011446231328324736
2019-04-04 09:30:58,-0.00015896835893780087
2019-04-04 09:30:59,-0.00015896835893780087
2019-04-04 09:31:00,-0.0001834949057453538
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,3.962610567839742e-05
2019-04-04 09:31:03,5.7237708202111525e-05
2019-04-04 09:31:04,0.00022895083280860879
2019-04-04 09:31:05,0.00022895083280860879
2019-04-04 09:31:06,0.000324347013145624
2019-04-04 09:31:07,0.0003434262492129945
2019-04-04 09:31:08,0.0003319787075725071
2019-04-04 09:31:09,0.00043882242954984703
2019-04-04 09:31:10,0.0004124850315177733
2019-04-04 09:31:11,0.00011447541640422305
2019-04-04 09:31:12,1.7610904672144478e-05
2019-04-04 09:31:13,-0.000416250416250363
2019-04-04 09:31:14,-0.0007725321888411497
2019-04-04 09:31:15,-0.0008075027817517333
2019-04-04 09:31:16,-0.0008392141903490867
2019-04-04 09:31:17,-0.0008964162422994008
2019-04-04 09:31:18,-0.0008849827580944838
2019-04-04 09:31:19,-0.0009535433671522839
2019-04-04 09:31:20,-0.0009027336300062951
2019-04-04 09:31:21,-0.0006295427230583485
2019-04-04 09:31:22,-0.0005952380952380093
2019-04-04 09:31:23,-0.00017906221370863728
2019-04-04 09:31:24,-9.544808101624435e-06
2019-04-04 09:31:25,-0.0009163336472624337
2019-04-04 09:31:26,-0.0014234991900779381
2019-04-04 09:31:27,-0.001473732437385553
2019-04-04 09:31:28,-0.0015326381010560327
2019-04-04 09:31:29,-0.0015707577269827321
2019-04-04 09:31:30,-0.0015907557998956102
2019-04-04 09:31:31,-0.0016607490550910092
2019-04-04 09:31:32,-0.001637879690291848
2019-04-04 09:31:33,-0.001637879690291848
2019-04-04 09:31:34,-0.0016226328649969347
2019-04-04 09:31:35,-0.000681511299075106
2019-04-04 09:31:36,-0.00023758807144033857
2019-04-04 09:31:37,-0.0001376494069604769
2019-04-04 09:31:38,-7.866144442077617e-05
2019-04-04 09:31:39,-3.277560184193573e-05
2019-04-04 09:31:40,-7.010477477246872e-05
2019-04-04 09:31:41,5.736247346980385e-05
2019-04-04 09:31:42,-0.00013384577142970533
2019-04-04 09:31:43,-0.00013384577142970533
2019-04-04 09:31:44,0.0004670944268258251
2019-04-04 09:31:45,0.00045889978775875685
2019-04-04 09:31:46,0.00043431587055738904
2019-04-04 09:31:47,0.0004228385248507934
2019-04-04 09:31:48,0.0004228385248507934
2019-04-04 09:31:49,0.00037693177534862184
2019-04-04 09:31:50,0.00043431587055738904
2019-04-04 09:31:51,0.00027860174699679326
2019-04-04 09:31:52,0.0005584028149620844
2019-04-04 09:31:53,0.000592824906295368
2019-04-04 09:31:54,-4.2592228556398384e-05
2019-04-04 09:31:55,-6.370684657420025e-06
2019-04-04 09:31:56,0.00023705953663530563
2019-04-04 09:31:57,0.00033992988434196857
2019-04-04 09:31:58,9.465249791581633e-05
2019-04-04 09:31:59,0.000102147605216945
2019-04-04 09:32:00,0.0003719714680538292
2019-04-04 09:32:01,-0.00045576679038893857
2019-04-04 09:32:02,-0.0005275108369073218
2019-04-04 09:32:03,-0.0006306977810904491
2019-04-04 09:32:04,-0.0005963165982430735
2019-04-04 09:32:05,-0.0006816676010397885
2019-04-04 09:32:06,-0.000900323711896408
2019-04-04 09:32:07,-0.0009075363731025217
2019-04-04 09:32:08,-0.0006625047776786258
2019-04-04 09:32:09,-0.0007573567670694435
2019-04-04 09:32:10,-0.0012834344796583232
2019-04-04 09:32:11,-0.0003581238482667505
2019-04-04 09:32:12,-0.0002044401053075578
2019-04-04 09:32:13,-8.924587237853874e-05
2019-04-04 09:32:14,-8.924587237853874e-05
2019-04-04 09:32:15,-8.287592199466553e-05
2019-04-04 09:32:16,-8.287592199466553e-05
2019-04-04 09:32:17,-0.00017848491802453635
2019-04-04 09:32:18,0.0
2019-04-04 09:32:19,-4.371441373488926e-06
2019-04-04 09:32:20,0.0002678195661322224
2019-04-04 09:32:21,0.0002199946436086404
2019-04-04 09:32:22,0.0012832283103117051
2019-04-04 09:32:23,0.001351558116999161
2019-04-04 09:32:24,0.001351558116999161
