h_m_s,TD
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,0.0004207949198577742
2019-04-04 09:30:03,-0.00016686075817366273
2019-04-04 09:30:04,-0.00033458244111337623
2019-04-04 09:30:05,-0.00014341989520767846
2019-04-04 09:30:06,-2.2312961599563044e-05
2019-04-04 09:30:07,-2.2312961599563044e-05
2019-04-04 09:30:08,-1.7850767583027887e-05
2019-04-04 09:30:09,-1.7850767583027887e-05
2019-04-04 09:30:10,-0.0004284260697262957
2019-04-04 09:30:11,-0.0006292507899105266
2019-04-04 09:30:12,-0.00044646843468164267
2019-04-04 09:30:13,-0.0005760600174156629
2019-04-04 09:30:14,-0.00035733428622481913
2019-04-04 09:30:15,-4.356451569674288e-05
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,-6.85485529399851e-05
2019-04-04 09:30:18,-4.468275245751075e-05
2019-04-04 09:30:19,1.8280867244325444e-05
2019-04-04 09:30:20,-2.2342374547546597e-05
2019-04-04 09:30:21,3.351431061060026e-05
2019-04-04 09:30:22,3.351431061060026e-05
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,-1.804556246733462e-05
2019-04-04 09:30:26,-1.804556246733462e-05
2019-04-04 09:30:27,0.00031967001804603703
2019-04-04 09:30:28,0.00025264243361693096
2019-04-04 09:30:29,-6.700616456726967e-05
2019-04-04 09:30:30,0.0
2019-04-04 09:30:31,0.0
2019-04-04 09:30:32,-6.701065469403542e-05
2019-04-04 09:30:33,-6.701065469403542e-05
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,1.4892254538464515e-05
2019-04-04 09:30:37,0.00020104543626860432
2019-04-04 09:30:38,0.00018005821430985288
2019-04-04 09:30:39,0.00014740368509206942
2019-04-04 09:30:40,0.00015349568141112226
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,0.0
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,-0.00010718688032578872
2019-04-04 09:30:48,-0.00012505136038011856
2019-04-04 09:30:49,-1.786639509748302e-05
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.00012506700017862957
2019-04-04 09:30:53,0.00014038132673124695
2019-04-04 09:30:54,0.0
2019-04-04 09:30:55,-1.5312177008893733e-05
2019-04-04 09:30:56,-1.3398360040604589e-05
2019-04-04 09:30:57,8.039016024438914e-05
2019-04-04 09:30:58,0.00011165449632646551
2019-04-04 09:30:59,0.0
2019-04-04 09:31:00,-1.786272495871428e-05
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,-2.679456606194018e-05
2019-04-04 09:31:03,-2.679456606194018e-05
2019-04-04 09:31:04,0.0
2019-04-04 09:31:05,-5.0241157556224404e-05
2019-04-04 09:31:06,-0.000200964630225088
2019-04-04 09:31:07,-0.00015073104557107274
2019-04-04 09:31:08,-1.3400335008439194e-05
2019-04-04 09:31:09,0.0
2019-04-04 09:31:10,1.3400514579823849e-05
2019-04-04 09:31:11,0.0
2019-04-04 09:31:12,0.00010050251256272266
2019-04-04 09:31:13,0.00011166945840321562
2019-04-04 09:31:14,-3.34974709409135e-05
2019-04-04 09:31:15,-4.466279589117256e-05
2019-04-04 09:31:16,4.4664790745605155e-05
2019-04-04 09:31:17,5.0247889588782e-05
2019-04-04 09:31:18,5.582849486372769e-06
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,0.0
2019-04-04 09:31:21,8.374227477507582e-05
2019-04-04 09:31:22,8.374227477507582e-05
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,6.698821007496588e-05
2019-04-04 09:31:25,-4.465880671664391e-05
2019-04-04 09:31:26,-0.00013396744591052189
2019-04-04 09:31:27,-8.932160242965675e-05
2019-04-04 09:31:28,-6.699269779606972e-05
2019-04-04 09:31:29,4.4664790745605155e-05
2019-04-04 09:31:30,4.4664790745605155e-05
2019-04-04 09:31:31,0.0
2019-04-04 09:31:32,0.00015631978561843752
2019-04-04 09:31:33,0.00012282268870020092
2019-04-04 09:31:34,-3.349186147763047e-05
2019-04-04 09:31:35,0.0
2019-04-04 09:31:36,1.1164327739994982e-05
2019-04-04 09:31:37,3.3492983219984946e-05
2019-04-04 09:31:38,2.2328406198345254e-05
2019-04-04 09:31:39,-3.349186147763047e-05
2019-04-04 09:31:40,-3.349186147763047e-05
2019-04-04 09:31:41,0.0001302504903000684
2019-04-04 09:31:42,3.958261653270948e-05
2019-04-04 09:31:43,-9.065606577034363e-05
2019-04-04 09:31:44,0.0
2019-04-04 09:31:45,2.740226525390274e-05
2019-04-04 09:31:46,2.740226525390274e-05
2019-04-04 09:31:47,0.0
2019-04-04 09:31:48,-3.349073981041195e-05
2019-04-04 09:31:49,-3.349073981041195e-05
2019-04-04 09:31:50,0.0
2019-04-04 09:31:51,0.0
2019-04-04 09:31:52,1.339674459112834e-05
2019-04-04 09:31:53,3.349186147763047e-05
2019-04-04 09:31:54,2.0094847680960152e-05
2019-04-04 09:31:55,0.0
2019-04-04 09:31:56,0.0
2019-04-04 09:31:57,0.0
2019-04-04 09:31:58,0.0
2019-04-04 09:31:59,0.0
2019-04-04 09:32:00,0.0
2019-04-04 09:32:01,0.0
2019-04-04 09:32:02,0.0
2019-04-04 09:32:03,0.0
2019-04-04 09:32:04,0.0
2019-04-04 09:32:05,0.0
2019-04-04 09:32:06,5.262830541644323e-05
2019-04-04 09:32:07,5.262830541644323e-05
2019-04-04 09:32:08,0.0
2019-04-04 09:32:09,0.0
2019-04-04 09:32:10,0.0
2019-04-04 09:32:11,-0.00012332448799077928
2019-04-04 09:32:12,-0.00021050214329449443
2019-04-04 09:32:13,-8.336062401378901e-05
2019-04-04 09:32:14,0.0
2019-04-04 09:32:15,-3.828102868716968e-06
2019-04-04 09:32:16,0.0
2019-04-04 09:32:17,0.0
2019-04-04 09:32:18,0.0
2019-04-04 09:32:19,0.0
2019-04-04 09:32:20,-3.4801068392224e-06
2019-04-04 09:32:21,-3.4801068392224e-06
2019-04-04 09:32:22,0.0
2019-04-04 09:32:23,-0.00016878576909765185
2019-04-04 09:32:24,-0.00013398457959299903
2019-04-04 09:32:25,5.105036118128613e-05
2019-04-04 09:32:26,1.6242731377693703e-05
2019-04-04 09:32:27,0.0
2019-04-04 09:32:28,0.0
2019-04-04 09:32:29,0.0
2019-04-04 09:32:30,0.00011166696444532739
2019-04-04 09:32:31,7.816687511159587e-05
2019-04-04 09:32:32,-3.349634889813006e-05
