h_m_s,XIU
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,0.0003806459290634005
2019-04-04 09:30:03,-7.289677543238753e-05
2019-04-04 09:30:04,-0.00010261299574377961
2019-04-04 09:30:05,6.193858916343714e-05
2019-04-04 09:30:06,5.1385627562013996e-05
2019-04-04 09:30:07,1.9159305488228607e-05
2019-04-04 09:30:08,-3.470583728441429e-05
2019-04-04 09:30:09,-1.581563803773101e-05
2019-04-04 09:30:10,-0.00011763348425908906
2019-04-04 09:30:11,-0.00010029567124980092
2019-04-04 09:30:12,1.5239404780186034e-06
2019-04-04 09:30:13,-1.9526761291239923e-05
2019-04-04 09:30:14,-1.9526761291239923e-05
2019-04-04 09:30:15,7.229811652440203e-05
2019-04-04 09:30:16,7.390934422633938e-05
2019-04-04 09:30:17,1.6111112216305155e-06
2019-04-04 09:30:18,-1.611108625955329e-06
2019-04-04 09:30:19,1.9385012057838938e-05
2019-04-04 09:30:20,2.099615451087991e-05
2019-04-04 09:30:21,0.0
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,0.0
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,0.0
2019-04-04 09:30:31,0.0
2019-04-04 09:30:32,0.0
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,-2.0995713681631386e-05
2019-04-04 09:30:36,0.0
2019-04-04 09:30:37,2.099615451087991e-05
2019-04-04 09:30:38,4.629537944805778e-05
2019-04-04 09:30:39,4.674484590395856e-05
2019-04-04 09:30:40,7.525293884207833e-06
2019-04-04 09:30:41,-2.8479044385214295e-07
2019-04-04 09:30:42,-7.01721611600952e-06
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,-1.7409390358952812e-07
2019-04-04 09:30:45,5.264906632378287e-05
2019-04-04 09:30:46,0.0003116456662592702
2019-04-04 09:30:47,0.0002237404201110176
2019-04-04 09:30:48,6.325194064917831e-05
2019-04-04 09:30:49,2.0501323417555555e-06
2019-04-04 09:30:50,-9.659846047727401e-05
2019-04-04 09:30:51,-2.5145871831074108e-05
2019-04-04 09:30:52,1.4702509542383655e-05
2019-04-04 09:30:53,1.2004326647387943e-05
2019-04-04 09:30:54,-9.41868440265946e-05
2019-04-04 09:30:55,-8.83954625153182e-05
2019-04-04 09:30:56,0.0
2019-04-04 09:30:57,-9.476532030733888e-05
2019-04-04 09:30:58,-8.065742818360657e-05
2019-04-04 09:30:59,0.0001345987989275272
2019-04-04 09:31:00,1.5680187679646322e-05
2019-04-04 09:31:01,-4.154312343516823e-05
2019-04-04 09:31:02,6.682414227481337e-06
2019-04-04 09:31:03,-1.135067891145467e-05
2019-04-04 09:31:04,3.019595611521256e-05
2019-04-04 09:31:05,8.468471172478982e-06
2019-04-04 09:31:06,-0.00018323777447297096
2019-04-04 09:31:07,-8.015812375204965e-05
2019-04-04 09:31:08,3.744818790082111e-05
2019-04-04 09:31:09,-9.08784041340582e-05
2019-04-04 09:31:10,0.00013441448750821914
2019-04-04 09:31:11,-4.420774514942401e-06
2019-04-04 09:31:12,-0.00019956490252734334
2019-04-04 09:31:13,-3.6965039273913375e-05
2019-04-04 09:31:14,-4.1337987602468295e-06
2019-04-04 09:31:15,-1.2612664994858335e-05
2019-04-04 09:31:16,6.321723412004663e-05
2019-04-04 09:31:17,5.25915667839363e-05
2019-04-04 09:31:18,1.0417794268675899e-05
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,-1.2947181356254802e-05
2019-04-04 09:31:21,-4.004427778500378e-05
2019-04-04 09:31:22,-5.661794088419662e-05
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,-5.823771396540277e-05
2019-04-04 09:31:25,-0.00013217164046417314
2019-04-04 09:31:26,-3.0359314596495568e-05
2019-04-04 09:31:27,4.5185817466294826e-05
2019-04-04 09:31:28,1.0748165408023332e-05
2019-04-04 09:31:29,9.144543448440546e-06
2019-04-04 09:31:30,0.0
2019-04-04 09:31:31,-9.14445982653035e-06
2019-04-04 09:31:32,-2.3636230823097364e-06
2019-04-04 09:31:33,9.144543448440546e-06
2019-04-04 09:31:34,2.363628669037017e-06
2019-04-04 09:31:35,0.0
2019-04-04 09:31:36,-7.6284197474326105e-06
2019-04-04 09:31:37,0.0
2019-04-04 09:31:38,2.694834973732215e-06
2019-04-04 09:31:39,0.0
2019-04-04 09:31:40,4.078834095376878e-06
2019-04-04 09:31:41,-8.547913590134843e-07
2019-04-04 09:31:42,8.547920896823764e-07
2019-04-04 09:31:43,-4.078817458557159e-06
2019-04-04 09:31:44,-8.547913590134843e-07
2019-04-04 09:31:45,0.0
2019-04-04 09:31:46,0.0
2019-04-04 09:31:47,4.078834095376878e-06
2019-04-04 09:31:48,-8.289675553459898e-06
2019-04-04 09:31:49,0.0
2019-04-04 09:31:50,8.28974427275034e-06
2019-04-04 09:31:51,-8.289675553459898e-06
2019-04-04 09:31:52,0.0
2019-04-04 09:31:53,0.0
2019-04-04 09:31:54,-2.3574102074896785e-05
2019-04-04 09:31:55,-2.2345078256335826e-05
2019-04-04 09:31:56,-1.839142707944651e-05
2019-04-04 09:31:57,1.2003751934812203e-05
2019-04-04 09:31:58,2.3334890472576973e-05
2019-04-04 09:31:59,8.73808018820843e-06
2019-04-04 09:32:00,8.73808018820843e-06
2019-04-04 09:32:01,-8.738003834830236e-06
2019-04-04 09:32:02,0.0
2019-04-04 09:32:03,-2.3334345968169556e-05
2019-04-04 09:32:04,-0.00020642979082675735
2019-04-04 09:32:05,-0.00014347198478401152
2019-04-04 09:32:06,4.455320414028759e-05
2019-04-04 09:32:07,6.245401283683717e-05
2019-04-04 09:32:08,-6.316147156376499e-06
2019-04-04 09:32:09,-4.935443075674475e-06
2019-04-04 09:32:10,-6.0210454296416235e-05
2019-04-04 09:32:11,-0.00011424036542442495
2019-04-04 09:32:12,8.897173752947845e-05
2019-04-04 09:32:13,0.00011247436251999398
2019-04-04 09:32:14,0.00010297208994965817
2019-04-04 09:32:15,8.332790150012597e-05
2019-04-04 09:32:16,-3.7474370051057106e-05
2019-04-04 09:32:17,-4.442808920051478e-05
2019-04-04 09:32:18,-1.0035664336756372e-05
2019-04-04 09:32:19,-3.0817060214096364e-06
2019-04-04 09:32:20,0.0
2019-04-04 09:32:21,-1.1476499071604684e-05
2019-04-04 09:32:22,1.684995921113002e-05
2019-04-04 09:32:23,3.515773756466348e-05
2019-04-04 09:32:24,5.624209242455712e-05
