h_m_s,G
2019-04-04 09:30:00,-0.001051129099193888
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,-0.0005685102026969723
2019-04-04 09:30:03,-0.0006240095028744144
2019-04-04 09:30:04,-0.0006240095028744144
2019-04-04 09:30:05,-2.5178452280497527e-05
2019-04-04 09:30:06,-6.738002753745671e-05
2019-04-04 09:30:07,-0.00018211322890003556
2019-04-04 09:30:08,1.9889863365458914e-05
2019-04-04 09:30:09,-0.000399663079726348
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,-8.226504237945184e-05
2019-04-04 09:30:12,-0.0002424889061326211
2019-04-04 09:30:13,0.00014789773927739573
2019-04-04 09:30:14,-6.887261989929088e-05
2019-04-04 09:30:15,-2.3374862672643932e-05
2019-04-04 09:30:16,4.5532934540740296e-05
2019-04-04 09:30:17,4.250074376347547e-06
2019-04-04 09:30:18,5.947637003836217e-06
2019-04-04 09:30:19,-4.229251884993133e-05
2019-04-04 09:30:20,-2.8773099877486826e-05
2019-04-04 09:30:21,-2.8773099877486826e-05
2019-04-04 09:30:22,-2.8773099877486826e-05
2019-04-04 09:30:23,-2.8773099877486826e-05
2019-04-04 09:30:24,-2.8773099877486826e-05
2019-04-04 09:30:25,-2.8773099877486826e-05
2019-04-04 09:30:26,-1.167055722638173e-05
2019-04-04 09:30:27,-9.56219998598003e-05
2019-04-04 09:30:28,-1.5582998948664872e-06
2019-04-04 09:30:29,-1.5582998948664872e-06
2019-04-04 09:30:30,-7.012311281172911e-06
2019-04-04 09:30:31,8.858463893155532e-05
2019-04-04 09:30:32,8.858463893155532e-05
2019-04-04 09:30:33,8.858463893155532e-05
2019-04-04 09:30:34,3.013162498190456e-05
2019-04-04 09:30:35,1.8453838952197458e-05
2019-04-04 09:30:36,1.8453838952197458e-05
2019-04-04 09:30:37,1.8453838952197458e-05
2019-04-04 09:30:38,5.42034064129899e-05
2019-04-04 09:30:39,5.42034064129899e-05
2019-04-04 09:30:40,5.42034064129899e-05
2019-04-04 09:30:41,5.42034064129899e-05
2019-04-04 09:30:42,5.42034064129899e-05
2019-04-04 09:30:43,5.42034064129899e-05
2019-04-04 09:30:44,5.42034064129899e-05
2019-04-04 09:30:45,5.42034064129899e-05
2019-04-04 09:30:46,5.42034064129899e-05
2019-04-04 09:30:47,-0.00013639215472325257
2019-04-04 09:30:48,1.8278790082370093e-05
2019-04-04 09:30:49,0.00038019883371441504
2019-04-04 09:30:50,-1.3822142677638664e-05
2019-04-04 09:30:51,-3.4067872525887835e-05
2019-04-04 09:30:52,0.0001436580635648762
2019-04-04 09:30:53,-2.519526329046057e-05
2019-04-04 09:30:54,-0.00012183768002664375
2019-04-04 09:30:55,-4.349694617744122e-05
2019-04-04 09:30:56,-3.9857203902203276e-05
2019-04-04 09:30:57,9.160370966880951e-06
2019-04-04 09:30:58,-0.0001735288810157325
2019-04-04 09:30:59,0.00013206610077667503
2019-04-04 09:31:00,4.501930635637572e-05
2019-04-04 09:31:01,4.501930635637572e-05
2019-04-04 09:31:02,7.290223809876599e-05
2019-04-04 09:31:03,-1.9266122565761165e-05
2019-04-04 09:31:04,-9.802941894533982e-06
2019-04-04 09:31:05,1.5764709813270406e-06
2019-04-04 09:31:06,4.352143826494643e-05
2019-04-04 09:31:07,0.00010884623788180524
2019-04-04 09:31:08,0.00010884623788180524
2019-04-04 09:31:09,-0.00014660606949130905
2019-04-04 09:31:10,-0.0001592082045294851
2019-04-04 09:31:11,-0.00016017121750829205
2019-04-04 09:31:12,3.210574715816433e-05
2019-04-04 09:31:13,1.8046548752179855e-05
2019-04-04 09:31:14,-2.68300317488931e-05
2019-04-04 09:31:15,-2.68300317488931e-05
2019-04-04 09:31:16,0.00010443287339708405
2019-04-04 09:31:17,-2.68300317488931e-05
2019-04-04 09:31:18,-2.3507686495762177e-05
2019-04-04 09:31:19,-3.738058788345507e-05
2019-04-04 09:31:20,-5.865213722890569e-05
2019-04-04 09:31:21,1.1958933023901979e-05
2019-04-04 09:31:22,8.138621544633361e-05
2019-04-04 09:31:23,6.847904830900563e-05
2019-04-04 09:31:24,6.5720264170165e-05
2019-04-04 09:31:25,6.5720264170165e-05
2019-04-04 09:31:26,-9.461792625609563e-05
2019-04-04 09:31:27,5.857201429153486e-05
2019-04-04 09:31:28,5.857201429153486e-05
2019-04-04 09:31:29,0.0002531233870454671
2019-04-04 09:31:30,-0.00022544290602604527
2019-04-04 09:31:31,0.0003259000833650793
2019-04-04 09:31:32,-2.6246719160160374e-05
2019-04-04 09:31:33,-2.6246719160160374e-05
2019-04-04 09:31:34,0.00016325310952473176
2019-04-04 09:31:35,-0.0005032692123530645
2019-04-04 09:31:36,-0.0005032692123530645
2019-04-04 09:31:37,-0.0005032692123530645
2019-04-04 09:31:38,-0.0005032692123530645
2019-04-04 09:31:39,-0.0005032692123530645
2019-04-04 09:31:40,-0.0005032692123530645
2019-04-04 09:31:41,-0.0005032692123530645
2019-04-04 09:31:42,4.7804440934181e-06
2019-04-04 09:31:43,-1.1529537233250514e-05
2019-04-04 09:31:44,3.938667076254026e-06
