h_m_s,FOOD
2019-04-04 09:30:00,3.8056521739130433
2019-04-04 09:30:01,3.78
2019-04-04 09:30:02,3.762
2019-04-04 09:30:03,3.76
2019-04-04 09:30:04,3.76
2019-04-04 09:30:05,3.76
2019-04-04 09:30:06,3.76
2019-04-04 09:30:07,3.76
2019-04-04 09:30:08,3.76
2019-04-04 09:30:09,3.76
2019-04-04 09:30:10,3.76
2019-04-04 09:30:11,3.76
2019-04-04 09:30:12,3.76
2019-04-04 09:30:13,3.76
2019-04-04 09:30:14,3.76
2019-04-04 09:30:15,3.76
2019-04-04 09:30:16,3.76
2019-04-04 09:30:17,3.76
2019-04-04 09:30:18,3.76
2019-04-04 09:30:19,3.76
2019-04-04 09:30:20,3.76
2019-04-04 09:30:21,3.76
2019-04-04 09:30:22,3.76
2019-04-04 09:30:23,3.76
2019-04-04 09:30:24,3.76
2019-04-04 09:30:25,3.76
2019-04-04 09:30:26,3.76
2019-04-04 09:30:27,3.76
2019-04-04 09:30:28,3.76
2019-04-04 09:30:29,3.76
2019-04-04 09:30:30,3.76
2019-04-04 09:30:31,3.76
2019-04-04 09:30:32,3.76
2019-04-04 09:30:33,3.76
2019-04-04 09:30:34,3.76
2019-04-04 09:30:35,3.76
2019-04-04 09:30:36,3.76
2019-04-04 09:30:37,3.76
2019-04-04 09:30:38,3.76
2019-04-04 09:30:39,3.76
2019-04-04 09:30:40,3.76
2019-04-04 09:30:41,3.76
2019-04-04 09:30:42,3.76
2019-04-04 09:30:43,3.76
2019-04-04 09:30:44,3.76
2019-04-04 09:30:45,3.796
2019-04-04 09:30:46,3.796
2019-04-04 09:30:47,3.796
2019-04-04 09:30:48,3.796
2019-04-04 09:30:49,3.796
2019-04-04 09:30:50,3.796
2019-04-04 09:30:51,3.796
2019-04-04 09:30:52,3.796
2019-04-04 09:30:53,3.796
2019-04-04 09:30:54,3.796
2019-04-04 09:30:55,3.796
2019-04-04 09:30:56,3.796
2019-04-04 09:30:57,3.796
2019-04-04 09:30:58,3.796
2019-04-04 09:30:59,3.796
2019-04-04 09:31:00,3.796
2019-04-04 09:31:01,3.796
2019-04-04 09:31:02,3.796
2019-04-04 09:31:03,3.796
2019-04-04 09:31:04,3.796
2019-04-04 09:31:05,3.796
2019-04-04 09:31:06,3.796
2019-04-04 09:31:07,3.796
2019-04-04 09:31:08,3.796
