h_m_s,RY
2019-04-04 09:30:00,103.24833333333333
2019-04-04 09:30:01,103.40526315789474
2019-04-04 09:30:02,103.40526315789474
2019-04-04 09:30:03,103.438
2019-04-04 09:30:04,103.438
2019-04-04 09:30:05,103.45333333333333
2019-04-04 09:30:06,103.44666666666667
2019-04-04 09:30:07,103.435
2019-04-04 09:30:08,103.39666666666666
2019-04-04 09:30:09,103.39666666666666
2019-04-04 09:30:10,103.37571428571428
2019-04-04 09:30:11,103.37571428571428
2019-04-04 09:30:12,103.335
2019-04-04 09:30:13,103.335
2019-04-04 09:30:14,103.335
2019-04-04 09:30:15,103.26
2019-04-04 09:30:16,103.21
2019-04-04 09:30:17,103.204
2019-04-04 09:30:18,103.204
2019-04-04 09:30:19,103.204
2019-04-04 09:30:20,103.23666666666666
2019-04-04 09:30:21,103.24333333333334
2019-04-04 09:30:22,103.24333333333334
2019-04-04 09:30:23,103.24333333333334
2019-04-04 09:30:24,103.24333333333334
2019-04-04 09:30:25,103.24333333333334
2019-04-04 09:30:26,103.21666666666667
2019-04-04 09:30:27,103.22
2019-04-04 09:30:28,103.22
2019-04-04 09:30:29,103.22
2019-04-04 09:30:30,103.22
2019-04-04 09:30:31,103.222
2019-04-04 09:30:32,103.19
2019-04-04 09:30:33,103.19
2019-04-04 09:30:34,103.19
2019-04-04 09:30:35,103.19
2019-04-04 09:30:36,103.26444444444445
2019-04-04 09:30:37,103.266
2019-04-04 09:30:38,103.275
2019-04-04 09:30:39,103.28333333333333
2019-04-04 09:30:40,103.29
2019-04-04 09:30:41,103.28125
2019-04-04 09:30:42,103.29
2019-04-04 09:30:43,103.26083333333334
2019-04-04 09:30:44,103.27666666666667
2019-04-04 09:30:45,103.27666666666667
2019-04-04 09:30:46,103.26333333333334
2019-04-04 09:30:47,103.27
2019-04-04 09:30:48,103.27
2019-04-04 09:30:49,103.25142857142858
2019-04-04 09:30:50,103.26
2019-04-04 09:30:51,103.26
2019-04-04 09:30:52,103.26
2019-04-04 09:30:53,103.26
2019-04-04 09:30:54,103.27
2019-04-04 09:30:55,103.26
2019-04-04 09:30:56,103.26375
2019-04-04 09:30:57,103.26
2019-04-04 09:30:58,103.26
2019-04-04 09:30:59,103.298
2019-04-04 09:31:00,103.28333333333333
2019-04-04 09:31:01,103.2775
2019-04-04 09:31:02,103.2775
2019-04-04 09:31:03,103.28333333333333
2019-04-04 09:31:04,103.31
2019-04-04 09:31:05,103.325
2019-04-04 09:31:06,103.325
2019-04-04 09:31:07,103.325
2019-04-04 09:31:08,103.325
2019-04-04 09:31:09,103.34714285714286
2019-04-04 09:31:10,103.34333333333333
2019-04-04 09:31:11,103.34333333333333
2019-04-04 09:31:12,103.34333333333333
2019-04-04 09:31:13,103.34333333333333
2019-04-04 09:31:14,103.36714285714285
2019-04-04 09:31:15,103.39545454545454
2019-04-04 09:31:16,103.393
2019-04-04 09:31:17,103.384
2019-04-04 09:31:18,103.37
2019-04-04 09:31:19,103.37
2019-04-04 09:31:20,103.37333333333333
2019-04-04 09:31:21,103.365
2019-04-04 09:31:22,103.365
2019-04-04 09:31:23,103.365
2019-04-04 09:31:24,103.365
2019-04-04 09:31:25,103.365
2019-04-04 09:31:26,103.365
2019-04-04 09:31:27,103.365
