h_m_s,BAM.A
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,0.00840909090909174
2019-04-04 09:30:10,-0.004733333333328607
2019-04-04 09:30:11,-0.0096333333333289
2019-04-04 09:30:12,-0.014533333333329207
2019-04-04 09:30:13,-0.016599999999996104
2019-04-04 09:30:14,-0.014499999999996377
2019-04-04 09:30:15,-0.013399999999996456
2019-04-04 09:30:16,-0.011399999999996857
2019-04-04 09:30:17,-0.009399999999997258
2019-04-04 09:30:18,-0.0073999999999976585
2019-04-04 09:30:19,-0.005399999999998045
2019-04-04 09:30:20,-0.004499999999998366
2019-04-04 09:30:21,-0.0035999999999986876
2019-04-04 09:30:22,-0.0026999999999990087
2019-04-04 09:30:23,-0.00179999999999933
2019-04-04 09:30:24,-0.0008999999999996511
2019-04-04 09:30:25,2.7755575615628914e-17
2019-04-04 09:30:26,2.7755575615628914e-17
2019-04-04 09:30:27,2.7755575615628914e-17
2019-04-04 09:30:28,2.7755575615628914e-17
2019-04-04 09:30:29,-0.009875000000005033
2019-04-04 09:30:30,-0.009750000000004963
2019-04-04 09:30:31,-0.009625000000004907
2019-04-04 09:30:32,-0.008625000000004393
2019-04-04 09:30:33,-0.007625000000003879
2019-04-04 09:30:34,-0.006625000000003364
2019-04-04 09:30:35,-0.00562500000000285
2019-04-04 09:30:36,-0.0046250000000023495
2019-04-04 09:30:37,-0.0035000000000017656
2019-04-04 09:30:38,-0.0023750000000011956
2019-04-04 09:30:39,-0.011214285714291422
2019-04-04 09:30:40,-0.01833928571428184
2019-04-04 09:30:41,-0.015464285714281795
2019-04-04 09:30:42,-0.013464285714282181
2019-04-04 09:30:43,-0.021164285714280653
2019-04-04 09:30:44,-0.009664285714282933
2019-04-04 09:30:45,0.0009607142857146755
2019-04-04 09:30:46,0.001960714285714482
2019-04-04 09:30:47,0.0028357142857142192
2019-04-04 09:30:48,0.0037107142857139563
2019-04-04 09:30:49,0.004424999999999318
2019-04-04 09:30:50,-0.015651923076926824
2019-04-04 09:30:51,-0.015728846153849396
2019-04-04 09:30:52,-0.014728846153848882
2019-04-04 09:30:53,-0.023362179487179793
2019-04-04 09:30:54,-0.021195512820512838
2019-04-04 09:30:55,-0.017820512820512537
2019-04-04 09:30:56,-0.033820512820515646
2019-04-04 09:30:57,-0.028820512820515218
2019-04-04 09:30:58,-0.023820512820514797
2019-04-04 09:30:59,-0.00032051282051165364
2019-04-04 09:31:00,0.0017564102564112255
2019-04-04 09:31:01,0.0038333333333341116
2019-04-04 09:31:02,0.004833333333333911
2019-04-04 09:31:03,0.00516666666666718
2019-04-04 09:31:04,0.005500000000000449
2019-04-04 09:31:05,0.005500000000000449
2019-04-04 09:31:06,0.004500000000000545
2019-04-04 09:31:07,0.0022000000000003267
2019-04-04 09:31:08,0.028700000000000954
2019-04-04 09:31:09,0.01570000000000283
2019-04-04 09:31:10,0.014137500000002738
2019-04-04 09:31:11,0.012137500000002424
2019-04-04 09:31:12,-0.008362500000000606
2019-04-04 09:31:13,-0.008862500000000509
2019-04-04 09:31:14,-0.008862500000000509
2019-04-04 09:31:15,-0.008862500000000509
2019-04-04 09:31:16,-0.008862500000000509
2019-04-04 09:31:17,-0.008562500000000597
2019-04-04 09:31:18,-0.007062500000000402
2019-04-04 09:31:19,-0.004562500000000191
2019-04-04 09:31:20,-0.0030000000000001
2019-04-04 09:31:21,-0.0009999999999997927
2019-04-04 09:31:22,-0.0004999999999998894
2019-04-04 09:31:23,1.3877787807814457e-17
2019-04-04 09:31:24,1.3877787807814457e-17
2019-04-04 09:31:25,1.3877787807814457e-17
2019-04-04 09:31:26,1.3877787807814457e-17
2019-04-04 09:31:27,1.3877787807814457e-17
2019-04-04 09:31:28,1.3877787807814457e-17
2019-04-04 09:31:29,1.3877787807814457e-17
2019-04-04 09:31:30,1.3877787807814457e-17
2019-04-04 09:31:31,1.3877787807814457e-17
2019-04-04 09:31:32,-0.018888888888891946
2019-04-04 09:31:33,-0.01688888888889163
2019-04-04 09:31:34,-0.014888888888891325
2019-04-04 09:31:35,-0.01288888888889101
2019-04-04 09:31:36,-0.010888888888890697
2019-04-04 09:31:37,-0.008888888888890382
2019-04-04 09:31:38,0.0023611111111146617
2019-04-04 09:31:39,0.00361111111111459
2019-04-04 09:31:40,0.00461111111111439
2019-04-04 09:31:41,-0.0038888888888906695
2019-04-04 09:31:42,0.006000000000003083
2019-04-04 09:31:43,0.004416666666662544
2019-04-04 09:31:44,0.012416666666667464
2019-04-04 09:31:45,0.010416666666667268
2019-04-04 09:31:46,0.008416666666666954
2019-04-04 09:31:47,0.00641666666666664
2019-04-04 09:31:48,0.005166666666666715
2019-04-04 09:31:49,0.0039166666666667835
2019-04-04 09:31:50,0.011916666666665195
2019-04-04 09:31:51,0.009416666666665338
2019-04-04 09:31:52,0.007416666666665732
2019-04-04 09:31:53,0.005999999999999048
2019-04-04 09:31:54,0.00499999999999913
2019-04-04 09:31:55,-0.014999999999997002
2019-04-04 09:31:56,-0.013999999999997202
2019-04-04 09:31:57,-0.012999999999997403
2019-04-04 09:31:58,-0.011999999999997603
2019-04-04 09:31:59,-0.010999999999997803
2019-04-04 09:32:00,-0.009666666666664728
2019-04-04 09:32:01,-0.00833333333333166
2019-04-04 09:32:02,-0.006999999999998591
2019-04-04 09:32:03,-0.004999999999998991
2019-04-04 09:32:04,0.005999999999998826
2019-04-04 09:32:05,-0.003666666666666041
2019-04-04 09:32:06,-0.0037222222222217036
2019-04-04 09:32:07,-0.0037777777777773663
2019-04-04 09:32:08,-0.01327777777777548
2019-04-04 09:32:09,-0.0030277777777775183
2019-04-04 09:32:10,-0.002111111111111036
2019-04-04 09:32:11,-0.0011944444444445534
2019-04-04 09:32:12,-0.0005277777777780226
2019-04-04 09:32:13,4.365079365043628e-05
2019-04-04 09:32:14,0.00044365079365035753
2019-04-04 09:32:15,0.0005103174603171348
2019-04-04 09:32:16,-3.412698412708082e-05
2019-04-04 09:32:17,2.1428571428581955e-05
2019-04-04 09:32:18,-0.010478571428576288
2019-04-04 09:32:19,-0.010728571428576094
2019-04-04 09:32:20,-0.0109785714285759
2019-04-04 09:32:21,-0.02100634920635145
2019-04-04 09:32:22,-0.010006349206346531
2019-04-04 09:32:23,-0.0005777777777769763
2019-04-04 09:32:24,-0.009577777777775187
2019-04-04 09:32:25,-0.008577777777775387
2019-04-04 09:32:26,-0.007577777777775584
