h_m_s,MFC
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,0.0386163679808844
2019-04-04 09:30:30,0.037555256869773304
2019-04-04 09:30:31,0.03667430448882096
2019-04-04 09:30:32,0.03611874893326552
2019-04-04 09:30:33,0.03545208226659899
2019-04-04 09:30:34,0.03478541559993245
2019-04-04 09:30:35,0.03411874893326592
2019-04-04 09:30:36,0.03345208226659938
2019-04-04 09:30:37,0.03278541559993285
2019-04-04 09:30:38,0.03245208226659958
2019-04-04 09:30:39,0.032118748933266314
2019-04-04 09:30:40,0.03178541559993305
2019-04-04 09:30:41,0.031449436763954224
2019-04-04 09:30:42,0.03089965321417056
2019-04-04 09:30:43,0.030399653214170423
2019-04-04 09:30:44,0.029899653214170284
2019-04-04 09:30:45,0.029399653214170148
2019-04-04 09:30:46,0.028732986547503378
2019-04-04 09:30:47,0.028066319880836608
2019-04-04 09:30:48,0.027566319880836528
2019-04-04 09:30:49,0.02706631988083645
2019-04-04 09:30:50,0.026732986547503064
2019-04-04 09:30:51,0.02639965321416968
2019-04-04 09:30:52,0.026066319880836294
2019-04-04 09:30:53,0.026032986547502957
2019-04-04 09:30:54,0.02570180375180398
2019-04-04 09:30:55,0.02541608946608965
2019-04-04 09:30:56,0.02513434343434357
2019-04-04 09:30:57,0.02457878787878793
2019-04-04 09:30:58,0.02391212121212116
2019-04-04 09:30:59,0.02324545454545439
2019-04-04 09:31:00,0.02257878787878762
2019-04-04 09:31:01,0.021912121212120845
2019-04-04 09:31:02,0.021245454545454075
2019-04-04 09:31:03,0.020578787878787305
2019-04-04 09:31:04,0.019912121212120534
2019-04-04 09:31:05,0.019245454545453764
2019-04-04 09:31:06,0.01857878787878699
2019-04-04 09:31:07,0.01791212121212022
2019-04-04 09:31:08,0.01724545454545345
2019-04-04 09:31:09,0.01657878787878668
2019-04-04 09:31:10,0.01591212121211991
2019-04-04 09:31:11,0.015301010101008709
2019-04-04 09:31:12,0.014755555555554143
2019-04-04 09:31:13,0.01431728395061594
2019-04-04 09:31:14,0.01410299823633037
2019-04-04 09:31:15,0.013888712522044799
2019-04-04 09:31:16,0.013888712522044917
2019-04-04 09:31:17,0.013888712522045037
2019-04-04 09:31:18,0.013888712522045155
2019-04-04 09:31:19,0.013888712522045273
2019-04-04 09:31:20,0.013888712522045392
2019-04-04 09:31:21,0.01388871252204551
2019-04-04 09:31:22,0.013888712522045628
2019-04-04 09:31:23,0.0135887125220457
2019-04-04 09:31:24,0.013855379188712526
2019-04-04 09:31:25,0.01418871252204603
2019-04-04 09:31:26,0.014410934744268406
2019-04-04 09:31:27,0.014633156966490781
2019-04-04 09:31:28,0.014966490299824284
2019-04-04 09:31:29,0.015299823633157789
2019-04-04 09:31:30,0.015633156966491292
2019-04-04 09:31:31,0.015966490299824797
2019-04-04 09:31:32,0.0162998236331583
2019-04-04 09:31:33,0.016633156966491806
2019-04-04 09:31:34,0.01696649029982531
2019-04-04 09:31:35,0.017299823633158812
2019-04-04 09:31:36,0.017633156966492317
2019-04-04 09:31:37,0.017966490299825822
2019-04-04 09:31:38,0.018299823633159327
2019-04-04 09:31:39,0.018633156966492828
2019-04-04 09:31:40,0.018633156966492946
2019-04-04 09:31:41,0.018633156966493068
2019-04-04 09:31:42,0.018633156966493186
2019-04-04 09:31:43,0.018571428571431483
2019-04-04 09:31:44,0.018285714285717156
2019-04-04 09:31:45,0.018000000000002826
2019-04-04 09:31:46,0.01766666666666944
2019-04-04 09:31:47,0.017333333333336053
2019-04-04 09:31:48,0.01700000000000267
2019-04-04 09:31:49,0.016666666666669282
2019-04-04 09:31:50,0.016379844961242864
2019-04-04 09:31:51,0.01604651162790948
2019-04-04 09:31:52,0.015713178294576094
2019-04-04 09:31:53,0.015379844961242709
2019-04-04 09:31:54,0.015046511627909324
2019-04-04 09:31:55,0.014713178294575939
2019-04-04 09:31:56,0.014379844961242554
2019-04-04 09:31:57,0.014046511627909168
2019-04-04 09:31:58,0.013713178294575782
2019-04-04 09:31:59,0.013379844961242397
2019-04-04 09:32:00,0.013046511627909011
2019-04-04 09:32:01,0.012713178294575626
2019-04-04 09:32:02,0.012379844961242241
2019-04-04 09:32:03,0.012046511627908854
2019-04-04 09:32:04,0.01171317829457547
2019-04-04 09:32:05,0.011379844961242084
2019-04-04 09:32:06,0.0110465116279087
2019-04-04 09:32:07,0.010713178294575314
2019-04-04 09:32:08,0.010379844961241927
2019-04-04 09:32:09,0.010046511627908542
2019-04-04 09:32:10,0.010046511627908542
2019-04-04 09:32:11,0.010046511627908542
2019-04-04 09:32:12,0.010046511627908542
2019-04-04 09:32:13,0.010046511627908542
2019-04-04 09:32:14,0.010046511627908542
2019-04-04 09:32:15,0.010046511627908542
2019-04-04 09:32:16,0.010046511627908542
2019-04-04 09:32:17,0.010046511627908542
2019-04-04 09:32:18,0.010046511627908542
2019-04-04 09:32:19,0.010046511627908542
2019-04-04 09:32:20,0.010000000000001574
2019-04-04 09:32:21,0.010000000000001574
2019-04-04 09:32:22,0.010000000000001574
2019-04-04 09:32:23,0.010000000000001574
2019-04-04 09:32:24,0.010000000000001574
2019-04-04 09:32:25,0.010000000000001574
2019-04-04 09:32:26,0.010000000000001574
2019-04-04 09:32:27,0.010000000000001574
2019-04-04 09:32:28,0.010000000000001574
2019-04-04 09:32:29,0.010000000000001574
2019-04-04 09:32:30,0.010000000000001574
2019-04-04 09:32:31,0.010000000000001574
2019-04-04 09:32:32,0.010000000000001574
2019-04-04 09:32:33,0.010000000000001574
2019-04-04 09:32:34,0.010000000000001574
2019-04-04 09:32:35,0.010000000000001574
2019-04-04 09:32:36,0.010000000000001574
2019-04-04 09:32:37,0.010000000000001574
2019-04-04 09:32:38,0.010000000000001574
2019-04-04 09:32:39,0.010033333333334876
2019-04-04 09:32:40,0.010072549019609316
2019-04-04 09:32:41,0.010072549019609196
