h_m_s,ECA
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,-0.005758064516129799
2019-04-04 09:30:30,-0.005508064516129762
2019-04-04 09:30:31,-0.004841397849463051
2019-04-04 09:30:32,-0.00417473118279634
2019-04-04 09:30:33,-0.003508064516129627
2019-04-04 09:30:34,-0.0031747311827962418
2019-04-04 09:30:35,-0.0028413978494628567
2019-04-04 09:30:36,-0.0025080645161294716
2019-04-04 09:30:37,-0.0021747311827960865
2019-04-04 09:30:38,-0.0018413978494626997
2019-04-04 09:30:39,-0.0015080645161293146
2019-04-04 09:30:40,-0.0011747311827959295
2019-04-04 09:30:41,-0.0008413978494625444
2019-04-04 09:30:42,-0.0005080645161291593
2019-04-04 09:30:43,-0.00017473118279577246
2019-04-04 09:30:44,-5.3763440860232076e-05
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,-3.333333333333313e-05
2019-04-04 09:30:55,-3.333333333333313e-05
2019-04-04 09:30:56,-3.333333333333313e-05
2019-04-04 09:30:57,-3.333333333333313e-05
2019-04-04 09:30:58,-3.333333333333313e-05
2019-04-04 09:30:59,-3.333333333333313e-05
2019-04-04 09:31:00,-3.333333333333313e-05
2019-04-04 09:31:01,-3.333333333333313e-05
2019-04-04 09:31:02,-3.333333333333313e-05
2019-04-04 09:31:03,-3.333333333333313e-05
2019-04-04 09:31:04,-3.333333333333313e-05
2019-04-04 09:31:05,-3.333333333333313e-05
2019-04-04 09:31:06,-3.333333333333313e-05
2019-04-04 09:31:07,-3.333333333333313e-05
2019-04-04 09:31:08,-3.333333333333313e-05
2019-04-04 09:31:09,-3.333333333333313e-05
2019-04-04 09:31:10,-4.9794238683127656e-05
2019-04-04 09:31:11,-4.9794238683127656e-05
2019-04-04 09:31:12,-4.9794238683127656e-05
2019-04-04 09:31:13,-4.9794238683127656e-05
2019-04-04 09:31:14,-4.9794238683127656e-05
2019-04-04 09:31:15,-4.9794238683127656e-05
2019-04-04 09:31:16,-4.9794238683127656e-05
2019-04-04 09:31:17,-4.9794238683127656e-05
2019-04-04 09:31:18,-4.9794238683127656e-05
2019-04-04 09:31:19,-4.9794238683127656e-05
2019-04-04 09:31:20,-4.9794238683127656e-05
2019-04-04 09:31:21,-4.9794238683127656e-05
2019-04-04 09:31:22,-4.9794238683127656e-05
2019-04-04 09:31:23,-4.9794238683127656e-05
2019-04-04 09:31:24,-1.6460905349794525e-05
2019-04-04 09:31:25,-1.6460905349794525e-05
2019-04-04 09:31:26,-1.6460905349794525e-05
2019-04-04 09:31:27,-1.6460905349794525e-05
2019-04-04 09:31:28,-1.6460905349794525e-05
2019-04-04 09:31:29,-1.6460905349794525e-05
2019-04-04 09:31:30,-1.6460905349794525e-05
2019-04-04 09:31:31,-1.6460905349794525e-05
2019-04-04 09:31:32,-1.6460905349794525e-05
2019-04-04 09:31:33,-1.6460905349794525e-05
2019-04-04 09:31:34,-1.6460905349794525e-05
2019-04-04 09:31:35,-1.6460905349794525e-05
2019-04-04 09:31:36,-1.6460905349794525e-05
2019-04-04 09:31:37,-1.6460905349794525e-05
2019-04-04 09:31:38,-1.6460905349794525e-05
2019-04-04 09:31:39,-1.6460905349794525e-05
2019-04-04 09:31:40,0.0
2019-04-04 09:31:41,-7.807807807807751e-05
2019-04-04 09:31:42,0.009655255255255048
2019-04-04 09:31:43,0.009388588588588386
2019-04-04 09:31:44,-0.000811411411411396
2019-04-04 09:31:45,-0.001011411411411393
2019-04-04 09:31:46,-0.001011411411411393
2019-04-04 09:31:47,-0.001011411411411393
2019-04-04 09:31:48,-0.001011411411411393
2019-04-04 09:31:49,0.008920406770406576
2019-04-04 09:31:50,-0.0011272122772122573
2019-04-04 09:31:51,-0.0011272122772122573
2019-04-04 09:31:52,-0.0011272122772122573
2019-04-04 09:31:53,-0.0011272122772122573
2019-04-04 09:31:54,-0.0011272122772122573
2019-04-04 09:31:55,-0.0011272122772122573
2019-04-04 09:31:56,-0.0011272122772122573
2019-04-04 09:31:57,-0.0011589583089582876
2019-04-04 09:31:58,-0.0011589583089582876
2019-04-04 09:31:59,-0.0011589583089582876
2019-04-04 09:32:00,-0.0011589583089582876
2019-04-04 09:32:01,-0.0011589583089582876
2019-04-04 09:32:02,-0.0011589583089582876
2019-04-04 09:32:03,-0.0011589583089582876
2019-04-04 09:32:04,-0.0011589583089582876
2019-04-04 09:32:05,-0.0011589583089582876
2019-04-04 09:32:06,-0.0011589583089582876
2019-04-04 09:32:07,-0.0011589583089582876
2019-04-04 09:32:08,-0.0011589583089582876
2019-04-04 09:32:09,-0.0011589583089582876
2019-04-04 09:32:10,-0.0011589583089582876
2019-04-04 09:32:11,-0.0010808802308802101
2019-04-04 09:32:12,-0.0008142135642135485
2019-04-04 09:32:13,-0.000547546897546887
2019-04-04 09:32:14,-0.00034754689754689164
2019-04-04 09:32:15,-0.00014754689754689458
2019-04-04 09:32:16,-0.00014754689754689458
2019-04-04 09:32:17,-0.00014754689754689458
2019-04-04 09:32:18,-0.00014754689754689458
2019-04-04 09:32:19,-7.936507936507665e-05
2019-04-04 09:32:20,-3.1746031746030315e-05
2019-04-04 09:32:21,-3.1746031746030315e-05
2019-04-04 09:32:22,-3.1746031746030315e-05
2019-04-04 09:32:23,-3.1746031746030315e-05
2019-04-04 09:32:24,-3.1746031746030315e-05
2019-04-04 09:32:25,-3.1746031746030315e-05
2019-04-04 09:32:26,-3.1746031746030315e-05
2019-04-04 09:32:27,0.0
2019-04-04 09:32:28,0.0
2019-04-04 09:32:29,0.0
2019-04-04 09:32:30,0.0
2019-04-04 09:32:31,0.0
