h_m_s,FOOD
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,0.000283333333333316
2019-04-04 09:30:30,-5.000000000000837e-05
2019-04-04 09:30:31,-8.333333333333456e-05
2019-04-04 09:30:32,0.0
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,0.0
2019-04-04 09:30:37,0.0
2019-04-04 09:30:38,0.0
2019-04-04 09:30:39,0.0
2019-04-04 09:30:40,0.0
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,0.0
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,-0.010488095238095466
2019-04-04 09:30:46,-0.010976190476190702
2019-04-04 09:30:47,-0.011464285714285937
2019-04-04 09:30:48,-0.011952380952381172
2019-04-04 09:30:49,-0.012440476190476408
2019-04-04 09:30:50,-0.012928571428571643
2019-04-04 09:30:51,-0.013416666666666879
2019-04-04 09:30:52,-0.013904761904762118
2019-04-04 09:30:53,-0.014392857142857353
2019-04-04 09:30:54,-0.014880952380952588
2019-04-04 09:30:55,-0.015369047619047824
2019-04-04 09:30:56,-0.01585714285714306
2019-04-04 09:30:57,-0.016345238095238294
2019-04-04 09:30:58,-0.01683333333333353
2019-04-04 09:30:59,-0.017321428571428765
2019-04-04 09:31:00,-0.017809523809524
2019-04-04 09:31:01,-0.018297619047619236
2019-04-04 09:31:02,-0.01878571428571447
2019-04-04 09:31:03,-0.019273809523809707
2019-04-04 09:31:04,-0.019761904761904942
2019-04-04 09:31:05,-0.020250000000000178
2019-04-04 09:31:06,-0.020738095238095413
2019-04-04 09:31:07,-0.021226190476190652
2019-04-04 09:31:08,-0.021714285714285887
2019-04-04 09:31:09,-0.02220238095238112
2019-04-04 09:31:10,-0.022690476190476358
2019-04-04 09:31:11,-0.023178571428571597
2019-04-04 09:31:12,-0.02366666666666683
2019-04-04 09:31:13,-0.02415476190476206
2019-04-04 09:31:14,-0.024642857142857293
2019-04-04 09:31:15,-0.024642857142857293
2019-04-04 09:31:16,-0.024642857142857293
2019-04-04 09:31:17,-0.024642857142857293
2019-04-04 09:31:18,-0.024642857142857293
2019-04-04 09:31:19,-0.024642857142857293
2019-04-04 09:31:20,-0.024642857142857293
2019-04-04 09:31:21,-0.024642857142857293
2019-04-04 09:31:22,-0.024642857142857293
2019-04-04 09:31:23,-0.024642857142857293
2019-04-04 09:31:24,-0.024642857142857293
2019-04-04 09:31:25,-0.024642857142857293
2019-04-04 09:31:26,-0.024642857142857293
2019-04-04 09:31:27,-0.024642857142857293
2019-04-04 09:31:28,-0.024642857142857293
2019-04-04 09:31:29,-0.024642857142857293
2019-04-04 09:31:30,-0.024642857142857293
2019-04-04 09:31:31,-0.024642857142857293
2019-04-04 09:31:32,-0.024642857142857293
2019-04-04 09:31:33,-0.024642857142857293
2019-04-04 09:31:34,-0.024642857142857293
2019-04-04 09:31:35,-0.024642857142857293
2019-04-04 09:31:36,-0.024642857142857293
2019-04-04 09:31:37,-0.014059523809523723
2019-04-04 09:31:38,-0.013476190476190392
2019-04-04 09:31:39,-0.01289285714285706
2019-04-04 09:31:40,-0.012309523809523722
2019-04-04 09:31:41,-0.01172619047619039
2019-04-04 09:31:42,-0.011238095238095155
2019-04-04 09:31:43,-0.01074999999999992
2019-04-04 09:31:44,-0.010261904761904684
2019-04-04 09:31:45,-0.009773809523809449
2019-04-04 09:31:46,-0.009285714285714213
2019-04-04 09:31:47,-0.008797619047618978
2019-04-04 09:31:48,-0.008309523809523742
2019-04-04 09:31:49,-0.007821428571428504
2019-04-04 09:31:50,-0.007333333333333268
2019-04-04 09:31:51,-0.006845238095238033
2019-04-04 09:31:52,-0.006357142857142797
2019-04-04 09:31:53,-0.005869047619047562
2019-04-04 09:31:54,-0.005380952380952327
2019-04-04 09:31:55,-0.004892857142857091
2019-04-04 09:31:56,-0.004404761904761856
2019-04-04 09:31:57,-0.00391666666666662
2019-04-04 09:31:58,-0.003428571428571385
2019-04-04 09:31:59,-0.0029404761904761496
2019-04-04 09:32:00,-0.0024523809523809142
2019-04-04 09:32:01,-0.001964285714285679
2019-04-04 09:32:02,-0.0014761904761904435
2019-04-04 09:32:03,-0.000988095238095208
2019-04-04 09:32:04,-0.0004999999999999692
2019-04-04 09:32:05,-1.190476190473383e-05
2019-04-04 09:32:06,0.00047619047619050156
2019-04-04 09:32:07,0.0003809523809524054
2019-04-04 09:32:08,0.00028571428571430926
2019-04-04 09:32:09,0.00019047619047620964
2019-04-04 09:32:10,9.52380952381135e-05
2019-04-04 09:32:11,1.734723475976807e-17
2019-04-04 09:32:12,1.734723475976807e-17
2019-04-04 09:32:13,1.734723475976807e-17
2019-04-04 09:32:14,1.734723475976807e-17
2019-04-04 09:32:15,1.734723475976807e-17
2019-04-04 09:32:16,1.734723475976807e-17
2019-04-04 09:32:17,1.734723475976807e-17
2019-04-04 09:32:18,1.734723475976807e-17
2019-04-04 09:32:19,1.734723475976807e-17
2019-04-04 09:32:20,1.734723475976807e-17
2019-04-04 09:32:21,1.734723475976807e-17
2019-04-04 09:32:22,1.734723475976807e-17
2019-04-04 09:32:23,1.734723475976807e-17
2019-04-04 09:32:24,1.734723475976807e-17
2019-04-04 09:32:25,1.734723475976807e-17
2019-04-04 09:32:26,1.734723475976807e-17
2019-04-04 09:32:27,1.734723475976807e-17
2019-04-04 09:32:28,1.734723475976807e-17
2019-04-04 09:32:29,1.734723475976807e-17
2019-04-04 09:32:30,1.734723475976807e-17
2019-04-04 09:32:31,1.734723475976807e-17
2019-04-04 09:32:32,1.734723475976807e-17
2019-04-04 09:32:33,1.734723475976807e-17
2019-04-04 09:32:34,1.734723475976807e-17
2019-04-04 09:32:35,1.734723475976807e-17
2019-04-04 09:32:36,1.734723475976807e-17
2019-04-04 09:32:37,1.734723475976807e-17
