h_m_s,MFC
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,-0.008616367980883263
2019-04-04 09:30:30,-0.007555256869772167
2019-04-04 09:30:31,-0.006674304488819824
2019-04-04 09:30:32,-0.006118748933264383
2019-04-04 09:30:33,-0.005452082266597852
2019-04-04 09:30:34,-0.004785415599931314
2019-04-04 09:30:35,-0.004118748933264783
2019-04-04 09:30:36,-0.0034520822665982456
2019-04-04 09:30:37,-0.002785415599931715
2019-04-04 09:30:38,-0.002452082266598446
2019-04-04 09:30:39,-0.002118748933265177
2019-04-04 09:30:40,-0.0017854155999319152
2019-04-04 09:30:41,-0.0014494367639530867
2019-04-04 09:30:42,-0.0008996532141729748
2019-04-04 09:30:43,-0.01039965321417085
2019-04-04 09:30:44,-0.00989965321417071
2019-04-04 09:30:45,-0.009399653214170575
2019-04-04 09:30:46,-0.008732986547503804
2019-04-04 09:30:47,-0.008066319880837034
2019-04-04 09:30:48,-0.007566319880836954
2019-04-04 09:30:49,-0.007066319880836877
2019-04-04 09:30:50,-0.00673298654750349
2019-04-04 09:30:51,-0.006399653214170107
2019-04-04 09:30:52,-0.00606631988083672
2019-04-04 09:30:53,-0.0060329865475033835
2019-04-04 09:30:54,-0.01570180375180597
2019-04-04 09:30:55,-0.015416089466091638
2019-04-04 09:30:56,-0.015134343434345561
2019-04-04 09:30:57,-0.014578787878789919
2019-04-04 09:30:58,-0.013912121212123148
2019-04-04 09:30:59,-0.013245454545456378
2019-04-04 09:31:00,-0.012578787878789608
2019-04-04 09:31:01,-0.011912121212122834
2019-04-04 09:31:02,-0.011245454545456064
2019-04-04 09:31:03,-0.010578787878789294
2019-04-04 09:31:04,-0.009912121212122524
2019-04-04 09:31:05,-0.009245454545455754
2019-04-04 09:31:06,-0.00857878787878898
2019-04-04 09:31:07,-0.00791212121212221
2019-04-04 09:31:08,-0.00724545454545544
2019-04-04 09:31:09,-0.0065787878787886694
2019-04-04 09:31:10,-0.005912121212121899
2019-04-04 09:31:11,-0.005301010101010698
2019-04-04 09:31:12,-0.004755555555556132
2019-04-04 09:31:13,-0.004317283950614377
2019-04-04 09:31:14,0.005897001763672756
2019-04-04 09:31:15,0.006111287477958327
2019-04-04 09:31:16,0.0061112874779582094
2019-04-04 09:31:17,0.00611128747795809
2019-04-04 09:31:18,0.006111287477957972
2019-04-04 09:31:19,0.006111287477957854
2019-04-04 09:31:20,0.006111287477957734
2019-04-04 09:31:21,0.006111287477957616
2019-04-04 09:31:22,0.006111287477957498
2019-04-04 09:31:23,0.006411287477957427
2019-04-04 09:31:24,0.006144620811290601
2019-04-04 09:31:25,0.005811287477957096
2019-04-04 09:31:26,0.0055890652557347206
2019-04-04 09:31:27,0.005366843033512345
2019-04-04 09:31:28,0.005033509700178842
2019-04-04 09:31:29,0.0047001763668453374
2019-04-04 09:31:30,0.004366843033511834
2019-04-04 09:31:31,0.00403350970017833
2019-04-04 09:31:32,0.003700176366844825
2019-04-04 09:31:33,0.00336684303351132
2019-04-04 09:31:34,0.0030335097001778152
2019-04-04 09:31:35,0.002700176366844314
2019-04-04 09:31:36,0.002366843033510809
2019-04-04 09:31:37,0.0020335097001773043
2019-04-04 09:31:38,0.0017001763668437996
2019-04-04 09:31:39,0.0013668430335102982
2019-04-04 09:31:40,-0.008633156966491383
2019-04-04 09:31:41,-0.008633156966491504
2019-04-04 09:31:42,-0.008633156966491622
2019-04-04 09:31:43,-0.00857142857142992
2019-04-04 09:31:44,-0.008285714285715593
2019-04-04 09:31:45,-0.008000000000001263
2019-04-04 09:31:46,-0.007666666666667876
2019-04-04 09:31:47,-0.007333333333334489
2019-04-04 09:31:48,-0.007000000000001106
2019-04-04 09:31:49,-0.006666666666667719
2019-04-04 09:31:50,-0.006379844961241301
2019-04-04 09:31:51,-0.006046511627907918
2019-04-04 09:31:52,-0.005713178294574531
2019-04-04 09:31:53,-0.005379844961241146
2019-04-04 09:31:54,-0.0050465116279077606
2019-04-04 09:31:55,-0.0047131782945743755
2019-04-04 09:31:56,-0.00437984496124099
2019-04-04 09:31:57,-0.004046511627907605
2019-04-04 09:31:58,-0.0037131782945742185
2019-04-04 09:31:59,-0.0033798449612408334
2019-04-04 09:32:00,-0.0030465116279074483
2019-04-04 09:32:01,-0.002713178294574063
2019-04-04 09:32:02,-0.002379844961240678
2019-04-04 09:32:03,-0.0020465116279072913
2019-04-04 09:32:04,-0.0017131782945739062
2019-04-04 09:32:05,-0.001379844961240521
2019-04-04 09:32:06,-0.001046511627907136
2019-04-04 09:32:07,-0.0007131782945737509
2019-04-04 09:32:08,-0.00037984496124036406
2019-04-04 09:32:09,-4.6511627906978964e-05
2019-04-04 09:32:10,-4.6511627906978964e-05
2019-04-04 09:32:11,-4.6511627906978964e-05
2019-04-04 09:32:12,-4.6511627906978964e-05
2019-04-04 09:32:13,-4.6511627906978964e-05
2019-04-04 09:32:14,-4.6511627906978964e-05
2019-04-04 09:32:15,-4.6511627906978964e-05
2019-04-04 09:32:16,-4.6511627906978964e-05
2019-04-04 09:32:17,-4.6511627906978964e-05
2019-04-04 09:32:18,-4.6511627906978964e-05
2019-04-04 09:32:19,-4.6511627906978964e-05
2019-04-04 09:32:20,-1.0408340855860843e-17
2019-04-04 09:32:21,-1.0408340855860843e-17
2019-04-04 09:32:22,-1.0408340855860843e-17
2019-04-04 09:32:23,-1.0408340855860843e-17
2019-04-04 09:32:24,-1.0408340855860843e-17
2019-04-04 09:32:25,-1.0408340855860843e-17
2019-04-04 09:32:26,-1.0408340855860843e-17
2019-04-04 09:32:27,-1.0408340855860843e-17
2019-04-04 09:32:28,-1.0408340855860843e-17
2019-04-04 09:32:29,-1.0408340855860843e-17
2019-04-04 09:32:30,-1.0408340855860843e-17
2019-04-04 09:32:31,-1.0408340855860843e-17
2019-04-04 09:32:32,-1.0408340855860843e-17
