h_m_s,SHOP
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,
2019-04-04 09:30:30,
2019-04-04 09:30:31,
2019-04-04 09:30:32,
2019-04-04 09:30:33,
2019-04-04 09:30:34,
2019-04-04 09:30:35,
2019-04-04 09:30:36,
2019-04-04 09:30:37,
2019-04-04 09:30:38,
2019-04-04 09:30:39,
2019-04-04 09:30:40,
2019-04-04 09:30:41,
2019-04-04 09:30:42,
2019-04-04 09:30:43,0.612599999999984
2019-04-04 09:30:44,0.3989999999999838
2019-04-04 09:30:45,0.3326000000000022
2019-04-04 09:30:46,0.3326000000000022
2019-04-04 09:30:47,-0.14979999999999793
2019-04-04 09:30:48,-0.17400000000004523
2019-04-04 09:30:49,-0.18820000000004478
2019-04-04 09:30:50,-0.3560000000000343
2019-04-04 09:30:51,-0.8478000000000305
2019-04-04 09:30:52,-0.05359999999999099
2019-04-04 09:30:53,0.648999999999986
2019-04-04 09:30:54,0.24900000000000322
2019-04-04 09:30:55,0.23640000000001238
2019-04-04 09:30:56,0.23640000000001238
2019-04-04 09:30:57,0.2672000000000354
2019-04-04 09:30:58,0.18580000000000485
2019-04-04 09:30:59,-0.22300000000000875
2019-04-04 09:31:00,0.14100000000005708
2019-04-04 09:31:01,0.09300000000003261
2019-04-04 09:31:02,0.09300000000003261
2019-04-04 09:31:03,0.35199999999998344
2019-04-04 09:31:04,-0.1428000000000167
2019-04-04 09:31:05,-0.1628000000000076
2019-04-04 09:31:06,-0.1628000000000076
2019-04-04 09:31:07,-0.1628000000000076
2019-04-04 09:31:08,-0.15360000000000928
2019-04-04 09:31:09,-0.15360000000000928
2019-04-04 09:31:10,-0.15360000000000928
2019-04-04 09:31:11,-0.15360000000000928
2019-04-04 09:31:12,-0.5903999999999905
2019-04-04 09:31:13,-0.5867999999999824
2019-04-04 09:31:14,-0.5829999999999744
2019-04-04 09:31:15,-0.5405999999999778
2019-04-04 09:31:16,-0.5007999999999708
2019-04-04 09:31:17,-0.4883999999999844
2019-04-04 09:31:18,-0.4883999999999764
2019-04-04 09:31:19,-0.21380000000001464
2019-04-04 09:31:20,-0.20820000000001415
2019-04-04 09:31:21,-0.5382000000000358
2019-04-04 09:31:22,-0.5382000000000358
2019-04-04 09:31:23,-0.5382000000000358
2019-04-04 09:31:24,-0.5382000000000358
2019-04-04 09:31:25,-0.5382000000000358
2019-04-04 09:31:26,-0.3484000000000287
2019-04-04 09:31:27,-0.32520000000004523
2019-04-04 09:31:28,-0.31660000000003496
2019-04-04 09:31:29,-0.31660000000003496
2019-04-04 09:31:30,-0.31660000000003496
2019-04-04 09:31:31,0.2834000000000231
2019-04-04 09:31:32,0.2834000000000231
2019-04-04 09:31:33,0.15959999999999697
2019-04-04 09:31:34,0.15959999999999697
2019-04-04 09:31:35,0.15959999999999697
2019-04-04 09:31:36,0.4936000000000217
2019-04-04 09:31:37,0.4936000000000217
2019-04-04 09:31:38,0.11239999999999095
2019-04-04 09:31:39,0.029200000000043858
2019-04-04 09:31:40,0.029200000000043858
2019-04-04 09:31:41,-0.011199999999987442
2019-04-04 09:31:42,-0.027399999999979663
2019-04-04 09:31:43,-0.027399999999979663
2019-04-04 09:31:44,-0.033799999999980734
2019-04-04 09:31:45,-0.033799999999980734
2019-04-04 09:31:46,-0.033799999999980734
2019-04-04 09:31:47,0.14340000000000708
2019-04-04 09:31:48,0.14340000000000708
2019-04-04 09:31:49,0.09580000000000499
2019-04-04 09:31:50,0.09580000000000499
2019-04-04 09:31:51,0.09560000000000524
2019-04-04 09:31:52,0.09500000000000575
2019-04-04 09:31:53,0.06380000000002162
2019-04-04 09:31:54,0.06380000000002162
2019-04-04 09:31:55,0.06380000000002162
2019-04-04 09:31:56,-0.3682000000000232
2019-04-04 09:31:57,-0.028400000000034398
2019-04-04 09:31:58,-0.041600000000013404
2019-04-04 09:31:59,-0.07140000000003965
2019-04-04 09:32:00,-0.07140000000003965
2019-04-04 09:32:01,-0.07019999999999071
2019-04-04 09:32:02,-0.07060000000002442
2019-04-04 09:32:03,-0.30559999999999254
2019-04-04 09:32:04,-0.30559999999999254
2019-04-04 09:32:05,-0.6208000000000176
2019-04-04 09:32:06,-0.6421999999999821
2019-04-04 09:32:07,-0.6421999999999821
2019-04-04 09:32:08,-0.6421999999999821
2019-04-04 09:32:09,-0.6421999999999821
2019-04-04 09:32:10,-0.6239999999999828
2019-04-04 09:32:11,-0.6239999999999828
2019-04-04 09:32:12,0.02319999999996991
2019-04-04 09:32:13,-0.075599999999995
2019-04-04 09:32:14,-0.075599999999995
2019-04-04 09:32:15,-0.11420000000003139
2019-04-04 09:32:16,-0.1412
2019-04-04 09:32:17,-0.16159999999998265
2019-04-04 09:32:18,0.04779999999999518
2019-04-04 09:32:19,0.1132000000000084
2019-04-04 09:32:20,-0.20040000000002922
2019-04-04 09:32:21,-0.06720000000002302
2019-04-04 09:32:22,0.2879999999999756
2019-04-04 09:32:23,0.25799999999998713
2019-04-04 09:32:24,-0.015999999999992243
2019-04-04 09:32:25,-0.8547999999999967
2019-04-04 09:32:26,-0.362600000000018
2019-04-04 09:32:27,-0.362600000000018
2019-04-04 09:32:28,-0.362600000000018
2019-04-04 09:32:29,-0.3576000000000181
2019-04-04 09:32:30,-0.35020000000001805
2019-04-04 09:32:31,-0.35020000000001805
2019-04-04 09:32:32,0.40779999999997596
2019-04-04 09:32:33,0.40499999999999536
2019-04-04 09:32:34,0.35619999999997387
2019-04-04 09:32:35,0.35619999999997387
2019-04-04 09:32:36,0.35619999999997387
2019-04-04 09:32:37,0.35619999999997387
2019-04-04 09:32:38,0.35619999999997387
2019-04-04 09:32:39,0.35619999999997387
2019-04-04 09:32:40,0.357400000000041
2019-04-04 09:32:41,0.2294000000000438
2019-04-04 09:32:42,0.22080000000004252
2019-04-04 09:32:43,-0.36360000000004455
