h_m_s,TD
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,-0.012064317057991568
2019-04-04 09:30:30,-0.00890690965058416
2019-04-04 09:30:31,-0.007085070570124516
2019-04-04 09:30:32,-0.006085070570124952
2019-04-04 09:30:33,-0.0050850705701253884
2019-04-04 09:30:34,-0.004085070570125825
2019-04-04 09:30:35,-0.003085070570126261
2019-04-04 09:30:36,-0.011730903903451169
2019-04-04 09:30:37,-0.000508681681238677
2019-04-04 09:30:38,-0.010101274273836652
2019-04-04 09:30:39,-0.00963460760717022
2019-04-04 09:30:40,-0.009379052051614552
2019-04-04 09:30:41,-0.009162385384947777
2019-04-04 09:30:42,-0.00944571871828093
2019-04-04 09:30:43,-0.009001274273836339
2019-04-04 09:30:44,-0.008556829829391665
2019-04-04 09:30:45,-0.008001274273835825
2019-04-04 09:30:46,-0.007531188803750109
2019-04-04 09:30:47,-0.01680279374202646
2019-04-04 09:30:48,-0.016358349297581787
2019-04-04 09:30:49,-0.015913904853137113
2019-04-04 09:30:50,-0.015469460408692442
2019-04-04 09:30:51,-0.015025015964247768
2019-04-04 09:30:52,-0.0046250159642424495
2019-04-04 09:30:53,-0.0042083492975755685
2019-04-04 09:30:54,-0.014187515964233042
2019-04-04 09:30:55,-0.014166682630899607
2019-04-04 09:30:56,-0.013666682630899589
2019-04-04 09:30:57,0.006507941595444596
2019-04-04 09:30:58,0.00678571937322224
2019-04-04 09:30:59,0.00689683048433325
2019-04-04 09:31:00,0.00700794159544426
2019-04-04 09:31:01,0.007174608262110773
2019-04-04 09:31:02,0.007174608262110773
2019-04-04 09:31:03,0.007396830484332952
2019-04-04 09:31:04,0.0076190527065551315
2019-04-04 09:31:05,-0.011714280626774355
2019-04-04 09:31:06,-0.0015684472934497234
2019-04-04 09:31:07,-0.0014573361823382383
2019-04-04 09:31:08,-0.0011980769230788453
2019-04-04 09:31:09,-0.0009980769230787424
2019-04-04 09:31:10,-0.000964743589745392
2019-04-04 09:31:11,-0.000931410256412038
2019-04-04 09:31:12,-0.010476508295618813
2019-04-04 09:31:13,-0.010254286073396953
2019-04-04 09:31:14,-0.0004487305178505936
2019-04-04 09:31:15,-0.000559841628961763
2019-04-04 09:31:16,-0.0006709527400729325
2019-04-04 09:31:17,0.008683885969609322
2019-04-04 09:31:18,0.008260946901508793
2019-04-04 09:31:19,0.007838007833408264
2019-04-04 09:31:20,0.007415068765307734
2019-04-04 09:31:21,-0.002696042345794812
2019-04-04 09:31:22,-0.0027627090124619884
2019-04-04 09:31:23,-0.0028460423457958364
2019-04-04 09:31:24,-0.012200209012467853
2019-04-04 09:31:25,-0.0018877090124631395
2019-04-04 09:31:26,0.007903957654194386
2019-04-04 09:31:27,-0.0022979654227336527
2019-04-04 09:31:28,-0.0024229654227336007
2019-04-04 09:31:29,-0.011922965422724485
2019-04-04 09:31:30,-0.011422965422724467
2019-04-04 09:31:31,-0.010922965422724449
2019-04-04 09:31:32,-0.01035886285862207
2019-04-04 09:31:33,-0.009914418414177714
2019-04-04 09:31:34,-0.00946997396973336
2019-04-04 09:31:35,-0.00946997396973336
2019-04-04 09:31:36,-0.009303307303066985
2019-04-04 09:31:37,-0.008969973969733955
2019-04-04 09:31:38,-0.008636640636400923
2019-04-04 09:31:39,-0.008303307303067893
2019-04-04 09:31:40,-0.007803307303068111
2019-04-04 09:31:41,0.002573504291125645
2019-04-04 09:31:42,0.0023186023303416216
2019-04-04 09:31:43,0.0019852689970085886
2019-04-04 09:31:44,0.002068602330341965
2019-04-04 09:31:45,-0.007901094639345938
2019-04-04 09:31:46,-0.007870791609042933
2019-04-04 09:31:47,-0.007225630318720543
2019-04-04 09:31:48,-0.006580469028398154
2019-04-04 09:31:49,-0.0059353077380757575
2019-04-04 09:31:50,-0.005290146447753366
2019-04-04 09:31:51,-0.004956813114419863
2019-04-04 09:31:52,-0.004623479781086359
2019-04-04 09:31:53,-0.0042901464477528555
2019-04-04 09:31:54,-0.0042901464477528555
2019-04-04 09:31:55,-0.004179035336641372
2019-04-04 09:31:56,-0.0040262575588634955
2019-04-04 09:31:57,-0.0034012575588636493
2019-04-04 09:31:58,-0.002776257558863803
2019-04-04 09:31:59,-0.0026095908921972884
2019-04-04 09:32:00,-0.0024429242255307737
2019-04-04 09:32:01,-0.002276257558864259
2019-04-04 09:32:02,-0.002395915678522124
2019-04-04 09:32:03,-0.0026181379007441438
2019-04-04 09:32:04,-0.0028403601229661634
2019-04-04 09:32:05,-0.003062582345188185
2019-04-04 09:32:06,0.006604084321469691
2019-04-04 09:32:07,0.00627075098813666
2019-04-04 09:32:08,0.00593741765480363
2019-04-04 09:32:09,0.005604084321470601
2019-04-04 09:32:10,0.005270750988137569
2019-04-04 09:32:11,-0.004772727272722923
2019-04-04 09:32:12,0.005301346801355831
2019-04-04 09:32:13,0.005301346801355357
2019-04-04 09:32:14,0.005301346801354884
2019-04-04 09:32:15,0.005271043771051408
2019-04-04 09:32:16,0.005240740740747931
2019-04-04 09:32:17,0.004907407407414428
2019-04-04 09:32:18,0.004574074074080923
2019-04-04 09:32:19,0.004240740740747418
2019-04-04 09:32:20,-0.005848148148146631
2019-04-04 09:32:21,-0.005937037037035565
2019-04-04 09:32:22,-0.006025925925924502
2019-04-04 09:32:23,0.003627920227912817
2019-04-04 09:32:24,0.0032945868945797874
2019-04-04 09:32:25,0.0031834757834687775
2019-04-04 09:32:26,0.0030723646723577677
2019-04-04 09:32:27,0.0027390313390247382
2019-04-04 09:32:28,0.0024056980056917053
2019-04-04 09:32:29,0.002072364672358676
2019-04-04 09:32:30,-0.008094301994298805
2019-04-04 09:32:31,-0.008094301994298805
2019-04-04 09:32:32,-0.007872079772076785
2019-04-04 09:32:33,-0.007760968660965775
2019-04-04 09:32:34,-0.0075387464387437556
2019-04-04 09:32:35,-0.007316524216521736
