h_m_s,SMU.UN
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,0.03451309054429545
2019-04-04 09:30:10,0.027462497626743666
2019-04-04 09:30:11,0.02197554086286877
2019-04-04 09:30:12,0.01766241791689016
2019-04-04 09:30:13,0.014245210679364876
2019-04-04 09:30:14,0.011520894364306868
2019-04-04 09:30:15,0.009338163033632491
2019-04-04 09:30:16,0.007582383410044894
2019-04-04 09:30:17,0.006165518794871189
2019-04-04 09:30:18,0.005019195966386149
2019-04-04 09:30:19,0.004089819567688982
2019-04-04 09:30:20,0.0033350561915053267
2019-04-04 09:30:21,0.002721256892882217
2019-04-04 09:30:22,0.002221536698858991
2019-04-04 09:30:23,0.001814323183627885
2019-04-04 09:30:24,0.0014822459267556552
2019-04-04 09:30:25,0.0012112776943584728
2019-04-04 09:30:26,0.000990064187747894
2019-04-04 09:30:27,0.0008093968632817226
2019-04-04 09:30:28,0.0006617955338611212
2019-04-04 09:30:29,0.0005411760430686428
2019-04-04 09:30:30,0.000442584431163378
2019-04-04 09:30:31,0.00036198345511783965
2019-04-04 09:30:32,0.00029608059178000943
2019-04-04 09:30:33,0.00024218908714780692
2019-04-04 09:30:34,0.00019811545015727735
2019-04-04 09:30:35,0.0001620681888641599
2019-04-04 09:30:36,0.00013258366467525245
2019-04-04 09:30:37,0.00010846577772404994
2019-04-04 09:30:38,8.873685230101553e-05
2019-04-04 09:30:39,7.25976083599896e-05
2019-04-04 09:30:40,5.939451528564286e-05
2019-04-04 09:30:41,4.859315109735318e-05
2019-04-04 09:30:42,3.975645207769386e-05
2019-04-04 09:30:43,3.252694820861141e-05
2019-04-04 09:30:44,2.6612249394562065e-05
2019-04-04 09:30:45,2.1773184513664638e-05
2019-04-04 09:30:46,1.7814106344960198e-05
2019-04-04 09:30:47,1.4574965485888683e-05
2019-04-04 09:30:48,1.1924829557925914e-05
2019-04-04 09:30:49,9.756583537361042e-06
2019-04-04 09:30:50,7.982595535500699e-06
2019-04-04 09:30:51,6.5311718725614e-06
2019-04-04 09:30:52,5.343657522721929e-06
2019-04-04 09:30:53,4.372064312651652e-06
2019-04-04 09:30:54,3.5771307326231186e-06
2019-04-04 09:30:55,2.926734760890212e-06
2019-04-04 09:30:56,2.394595433900059e-06
2019-04-04 09:30:57,1.9592106074045055e-06
2019-04-04 09:30:58,1.6029879273929082e-06
2019-04-04 09:30:59,1.3115338568345202e-06
2019-04-04 09:31:00,1.0730720041071184e-06
2019-04-04 09:31:01,8.779672325332313e-07
2019-04-04 09:31:02,7.183363106106725e-07
2019-04-04 09:31:03,5.877293632554519e-07
2019-04-04 09:31:04,4.808692477918432e-07
2019-04-04 09:31:05,3.934383206722804e-07
2019-04-04 09:31:06,3.219039769278439e-07
2019-04-04 09:31:07,2.6337591175589216e-07
2019-04-04 09:31:08,2.1548933591006604e-07
2019-04-04 09:31:09,1.7630942556867137e-07
2019-04-04 09:31:10,1.4425314556539445e-07
2019-04-04 09:31:11,1.180252869871709e-07
2019-04-04 09:31:12,9.656613457357513e-08
2019-04-04 09:31:13,7.900864931783066e-08
2019-04-04 09:31:14,6.464343617217824e-08
2019-04-04 09:31:15,5.289008134351225e-08
2019-04-04 09:31:16,4.327370104480583e-08
2019-04-04 09:31:17,3.54057541467282e-08
2019-04-04 09:31:18,2.896834346270358e-08
2019-04-04 09:31:19,2.370137136227518e-08
2019-04-04 09:31:20,1.939203073853792e-08
2019-04-04 09:31:21,1.5866206716158142e-08
2019-04-04 09:31:22,1.2981441690157013e-08
2019-04-04 09:31:23,1.0621179451864465e-08
2019-04-04 09:31:24,8.690055839644763e-09
2019-04-04 09:31:25,7.110045636429329e-09
2019-04-04 09:31:26,5.8173100323283546e-09
2019-04-04 09:31:27,4.7596172765237876e-09
2019-04-04 09:31:28,3.894232301990781e-09
2019-04-04 09:31:29,3.186190055113377e-09
2019-04-04 09:31:30,2.6068827655696526e-09
2019-04-04 09:31:31,2.132904076371345e-09
2019-04-04 09:31:32,1.745103332167533e-09
2019-04-04 09:31:33,1.4278118151893348e-09
2019-04-04 09:31:34,1.1682096656083782e-09
2019-04-04 09:31:35,9.55807907311468e-10
2019-04-04 09:31:36,7.82024650825093e-10
2019-04-04 09:31:37,6.398383502656829e-10
2019-04-04 09:31:38,5.235041044887749e-10
2019-04-04 09:31:39,4.28321539852811e-10
2019-04-04 09:31:40,3.5044489612039734e-10
2019-04-04 09:31:41,2.867276421981123e-10
2019-04-04 09:31:42,2.3459534356160234e-10
2019-04-04 09:31:43,1.9194164469537848e-10
2019-04-04 09:31:44,1.5704316381701074e-10
2019-04-04 09:31:45,1.2848986128831732e-10
2019-04-04 09:31:46,1.0512806831575318e-10
2019-04-04 09:31:47,8.601387406912692e-11
2019-04-04 09:31:48,7.037498786978758e-11
2019-04-04 09:31:49,5.757953552651079e-11
2019-04-04 09:31:50,4.711052906492579e-11
2019-04-04 09:31:51,3.854497832436266e-11
2019-04-04 09:31:52,3.1536800446211236e-11
2019-04-04 09:31:53,2.5802836728052496e-11
2019-04-04 09:31:54,2.1111411867960894e-11
2019-04-04 09:31:55,1.72729733462151e-11
2019-04-04 09:31:56,1.4132432737612629e-11
2019-04-04 09:31:57,1.1562899512458448e-11
2019-04-04 09:31:58,9.46055414646741e-12
2019-04-04 09:31:59,7.740453392504329e-12
2019-04-04 09:32:00,6.333098230190706e-12
2019-04-04 09:32:01,5.181625824674637e-12
2019-04-04 09:32:02,4.239512038352184e-12
2019-04-04 09:32:03,3.4686916677306637e-12
2019-04-04 09:32:04,2.8380204554079428e-12
2019-04-04 09:32:05,2.3220167362374703e-12
2019-04-04 09:32:06,1.8998318750997753e-12
2019-04-04 09:32:07,1.5544078978064907e-12
2019-04-04 09:32:08,1.2717882800218749e-12
2019-04-04 09:32:09,1.0405540472895421e-12
2019-04-04 09:32:10,8.513624023270824e-13
2019-04-04 09:32:11,6.965692382671275e-13
2019-04-04 09:32:12,5.699202858545976e-13
2019-04-04 09:32:13,4.662984156989988e-13
2019-04-04 09:32:14,3.815168855717625e-13
2019-04-04 09:32:15,3.1215017910407184e-13
2019-04-04 09:32:16,2.5539560108508445e-13
2019-04-04 09:32:17,2.0896003725138906e-13
2019-04-04 09:32:18,1.7096730320565272e-13
2019-04-04 09:32:19,1.3988233898642356e-13
2019-04-04 09:32:20,1.1444918644342436e-13
2019-04-04 09:32:21,9.364024345370207e-14
