h_m_s,WPM
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,-0.3528004811194648
2019-04-04 09:30:10,-0.28072775351782425
2019-04-04 09:30:11,-0.22463886215376977
2019-04-04 09:30:12,-0.1805491609282106
2019-04-04 09:30:13,-0.14561770916684103
2019-04-04 09:30:14,-0.11776914239069249
2019-04-04 09:30:15,-0.09545677767713218
2019-04-04 09:30:16,-0.07750880819157006
2019-04-04 09:30:17,-0.06302530323646108
2019-04-04 09:30:18,-0.05130733654528066
2019-04-04 09:30:19,-0.04180704446970963
2019-04-04 09:30:20,-0.03409168551316558
2019-04-04 09:30:21,-0.027817292682796015
2019-04-04 09:30:22,-0.02270904181055859
2019-04-04 09:30:23,-0.01854641476597395
2019-04-04 09:30:24,-0.015151847251280045
2019-04-04 09:30:25,-0.012381949764553287
2019-04-04 09:30:26,-0.010120656141422924
2019-04-04 09:30:27,-0.008273834602435394
2019-04-04 09:30:28,-0.006765021012802578
2019-04-04 09:30:29,-0.005532021773590576
2019-04-04 09:30:30,-0.004524196407447868
2019-04-04 09:30:31,-0.003700275318982365
2019-04-04 09:30:32,-0.003026601604862322
2019-04-04 09:30:33,-0.002475710668622029
2019-04-04 09:30:34,-0.002025180157163282
2019-04-04 09:30:35,-0.0016566970417225256
2019-04-04 09:30:36,-0.3652086184073612
2019-04-04 09:30:37,-0.6625884941758038
2019-04-04 09:30:38,-0.5420697530387398
2019-04-04 09:30:39,-0.4434794182399949
2019-04-04 09:30:40,-0.3628252456321986
2019-04-04 09:30:41,-0.29684259393563095
2019-04-04 09:30:42,-0.24286155752231223
2019-04-04 09:30:43,-0.1986984474357345
2019-04-04 09:30:44,-0.16256713060071573
2019-04-04 09:30:45,-0.1330065744517516
2019-04-04 09:30:46,-0.1088216223205825
2019-04-04 09:30:47,-0.08903457511297613
2019-04-04 09:30:48,-0.0728456018652353
2019-04-04 09:30:49,-0.05960036547902894
2019-04-04 09:30:50,-0.048763546129159806
2019-04-04 09:30:51,-0.03989718625586639
2019-04-04 09:30:52,-0.03264297795733657
2019-04-04 09:30:53,0.1551139846743251
2019-04-04 09:30:54,0.12691098802744646
2019-04-04 09:30:55,0.10383595903034694
2019-04-04 09:30:56,0.0849564903151911
2019-04-04 09:30:57,0.06950971952798245
2019-04-04 09:30:58,0.0568714975402428
2019-04-04 09:30:59,0.04653116423292133
2019-04-04 09:31:00,0.038070911701335
2019-04-04 09:31:01,1.122062301337951
2019-04-04 09:31:02,0.9180503143526103
2019-04-04 09:31:03,0.9329502966046929
2019-04-04 09:31:04,0.7633226028907518
2019-04-04 09:31:05,0.6245364293757726
2019-04-04 09:31:06,0.5109841868195555
2019-04-04 09:31:07,0.4180778609225149
2019-04-04 09:31:08,0.8875187050629837
2019-04-04 09:31:09,0.7261515397514214
2019-04-04 09:31:10,0.5941239013650907
2019-04-04 09:31:11,0.48610131647191096
2019-04-04 09:31:12,0.39771922052535197
2019-04-04 09:31:13,0.32540660926534926
2019-04-04 09:31:14,0.26624175400632094
2019-04-04 09:31:15,0.21783415084754146
2019-04-04 09:31:16,0.17822793388995123
2019-04-04 09:31:17,0.14582284983790103
2019-04-04 09:31:18,0.1193096009566265
2019-04-04 09:31:19,0.09761694392358436
2019-04-04 09:31:20,0.0798684071159402
2019-04-04 09:31:21,-0.1164713172870252
2019-04-04 09:31:22,-0.09529471290686692
2019-04-04 09:31:23,-0.07796840064113836
2019-04-04 09:31:24,-0.06379232724293613
2019-04-04 09:31:25,-0.052193721918575256
2019-04-04 09:31:26,-0.04270395404859397
2019-04-04 09:31:27,-0.03493959860073231
2019-04-04 09:31:28,-0.02858694419836587
2019-04-04 09:31:29,-0.02338931790595835
2019-04-04 09:31:30,-0.019136714600442386
2019-04-04 09:31:31,-0.01565731191242095
2019-04-04 09:31:32,-0.01281052790598872
2019-04-04 09:31:33,-0.010481340999025387
2019-04-04 09:31:34,-0.008575642625548077
2019-04-04 09:31:35,-0.007016434868742061
2019-04-04 09:31:36,-0.005740719433572301
2019-04-04 09:31:37,-0.004696952260826592
2019-04-04 09:31:38,-0.0038429609386644963
2019-04-04 09:31:39,-0.0031442407666514775
2019-04-04 09:31:40,-0.0025725606263587585
2019-04-04 09:31:41,-0.002104822330053655
2019-04-04 09:31:42,-0.0017221273605489873
2019-04-04 09:31:43,-0.0014090132947241775
2019-04-04 09:31:44,-0.0011528290591387377
2019-04-04 09:31:45,-0.0009432237755377725
2019-04-04 09:31:46,-0.0007717285435406834
2019-04-04 09:31:47,-0.0006314142628426124
2019-04-04 09:31:48,-0.0005166116695621445
2019-04-04 09:31:49,-0.3640590460056568
2019-04-04 09:31:50,-0.8433210377425944
2019-04-04 09:31:51,-0.6899899399446179
2019-04-04 09:31:52,-0.5645372235732472
2019-04-04 09:31:53,-0.46189409200255677
2019-04-04 09:31:54,0.8948139248540703
2019-04-04 09:31:55,0.7321204839588662
2019-04-04 09:31:56,0.5990076686851523
2019-04-04 09:31:57,0.4900971834640031
2019-04-04 09:31:58,0.5828067864744949
2019-04-04 09:31:59,0.4768419162027139
2019-04-04 09:32:00,0.7537797496282949
2019-04-04 09:32:01,0.6167288860563183
2019-04-04 09:32:02,0.5045963613166665
2019-04-04 09:32:03,3.140124295663866
2019-04-04 09:32:04,3.114647150997383
2019-04-04 09:32:05,8.911984032694802
2019-04-04 09:32:06,8.018896026742656
2019-04-04 09:32:07,6.560914930961065
2019-04-04 09:32:08,5.73165767078158
2019-04-04 09:32:09,4.689538094270958
2019-04-04 09:32:10,3.1096220771247305
2019-04-04 09:32:11,2.5442362449184617
2019-04-04 09:32:12,0.08164783674515211
2019-04-04 09:32:13,0.06680277551872967
2019-04-04 09:32:14,0.054656816333485236
2019-04-04 09:32:15,0.044719213363746686
2019-04-04 09:32:16,0.03658844729760158
2019-04-04 09:32:17,0.029936002334395036
2019-04-04 09:32:18,0.024493092819046297
2019-04-04 09:32:19,0.02003980321558053
2019-04-04 09:32:20,0.01639620263092765
2019-04-04 09:32:21,0.013415074879848637
2019-04-04 09:32:22,0.010975970356238951
2019-04-04 09:32:23,0.008980339382376759
2019-04-04 09:32:24,0.007347550403762426
2019-04-04 09:32:25,0.006011632148532641
2019-04-04 09:32:26,0.004918608121526538
2019-04-04 09:32:27,0.004024315735794327
2019-04-04 09:32:28,0.003292621965649828
2019-04-04 09:32:29,-0.17912421839175655
2019-04-04 09:32:30,-0.14655617868416218
