h_m_s,XIU
2019-04-04 09:30:00,-11.0
2019-04-04 09:30:01,-4.95
2019-04-04 09:30:02,-2.9601328903654482
2019-04-04 09:30:03,-1.6554455445544551
2019-04-04 09:30:04,-1.180212152702888
2019-04-04 09:30:05,-0.873670289971938
2019-04-04 09:30:06,-0.6631508462682978
2019-04-04 09:30:07,-0.512280832837552
2019-04-04 09:30:08,-0.4008264505043862
2019-04-04 09:30:09,-0.31663038348456524
2019-04-04 09:30:10,-0.25194675463328076
2019-04-04 09:30:11,-0.20160825417128445
2019-04-04 09:30:12,-0.16203875312504995
2019-04-04 09:30:13,-0.13068857204882348
2019-04-04 09:30:14,-0.10569511866733106
2019-04-04 09:30:15,-0.0856702803414734
2019-04-04 09:30:16,-0.0695623871692459
2019-04-04 09:30:17,-0.0695623871692459
2019-04-04 09:30:18,-0.0543086046898046
2019-04-04 09:30:19,-0.04282974523348578
2019-04-04 09:30:20,-0.04282974523348578
2019-04-04 09:30:21,-0.04282974523348578
2019-04-04 09:30:22,-0.04282974523348578
2019-04-04 09:30:23,-0.04282974523348578
2019-04-04 09:30:24,-0.04282974523348578
2019-04-04 09:30:25,-0.04282974523348578
2019-04-04 09:30:26,-0.04282974523348578
2019-04-04 09:30:27,-0.04282974523348578
2019-04-04 09:30:28,-0.04282974523348578
2019-04-04 09:30:29,-0.04282974523348578
2019-04-04 09:30:30,-0.04282974523348578
2019-04-04 09:30:31,-0.04282974523348578
2019-04-04 09:30:32,-0.04282974523348578
2019-04-04 09:30:33,-0.04282974523348578
2019-04-04 09:30:34,-0.008098999605367417
2019-04-04 09:30:35,-0.00406759449151352
2019-04-04 09:30:36,-0.002529000228205427
2019-04-04 09:30:37,-0.002529000228205427
2019-04-04 09:30:38,-0.723701405568551
2019-04-04 09:30:39,-0.5021260175502557
2019-04-04 09:30:40,-0.36539320552748084
2019-04-04 09:30:41,-0.27415032909507164
2019-04-04 09:30:42,-0.2100442207796598
2019-04-04 09:30:43,-0.16335695447613285
2019-04-04 09:30:44,-0.12845884522597523
2019-04-04 09:30:45,-0.10186216906620355
2019-04-04 09:30:46,-0.08129111264635522
2019-04-04 09:30:47,-0.06519835444882209
2019-04-04 09:30:48,-0.052496480893943945
2019-04-04 09:30:49,-0.04240042894920764
2019-04-04 09:30:50,-0.04240042894920764
2019-04-04 09:30:51,-0.03293772359979953
2019-04-04 09:30:52,-0.02587878856439945
2019-04-04 09:30:53,-0.0205072058186789
2019-04-04 09:30:54,-0.01635743809165703
2019-04-04 09:30:55,-0.01311401771781099
2019-04-04 09:30:56,-0.01055583896721535
2019-04-04 09:30:57,-0.008523624246532002
2019-04-04 09:30:58,-0.006900028524157481
2019-04-04 09:30:59,-0.005596987436710675
2019-04-04 09:31:00,-0.0045473962034486125
2019-04-04 09:31:01,-0.0036994739841920785
2019-04-04 09:31:02,-0.003012847505637881
2019-04-04 09:31:03,-0.002455767059205009
2019-04-04 09:31:04,-0.0020030875198851265
2019-04-04 09:31:05,-0.001634778199675821
2019-04-04 09:31:06,-0.0013348059424871936
2019-04-04 09:31:07,-0.001090286653198276
2019-04-04 09:31:08,-0.0008908331986995249
2019-04-04 09:31:09,-0.0007280491818758751
2019-04-04 09:31:10,-0.0005951325701529547
2019-04-04 09:31:11,-0.0004865630650932041
2019-04-04 09:31:12,-0.0003978539930717202
2019-04-04 09:31:13,-0.0003978539930717202
2019-04-04 09:31:14,-0.0003126919688042939
2019-04-04 09:31:15,-0.0002478493892608446
2019-04-04 09:31:16,-0.00019773363395010222
