h_m_s,FOOD
2019-04-04 09:30:00,
2019-04-04 09:30:01,6.25
2019-04-04 09:30:02,1.9230769230769231
2019-04-04 09:30:03,0.6250000000000002
2019-04-04 09:30:04,0.206611570247934
2019-04-04 09:30:05,0.06868131868131873
2019-04-04 09:30:06,0.022872827081427283
2019-04-04 09:30:07,0.007621951219512202
2019-04-04 09:30:08,0.0025403922365613276
2019-04-04 09:30:09,0.0008467687305243202
2019-04-04 09:30:10,0.00028225305680060556
2019-04-04 09:30:11,9.408399819358737e-05
2019-04-04 09:30:12,3.1361293389917524e-05
2019-04-04 09:30:13,1.0453760092060013e-05
2019-04-04 09:30:14,3.484586211659628e-06
2019-04-04 09:30:15,1.1615286832539182e-06
2019-04-04 09:30:16,3.87176221755089e-07
2019-04-04 09:30:17,1.2905873991878333e-07
2019-04-04 09:30:18,4.301957989890041e-08
2019-04-04 09:30:19,1.4339859958074876e-08
2019-04-04 09:30:20,4.7799533184443745e-09
2019-04-04 09:30:21,1.5933177727132453e-09
2019-04-04 09:30:22,5.311059242264654e-10
2019-04-04 09:30:23,1.7703530807423483e-10
2019-04-04 09:30:24,5.901176935793898e-11
2019-04-04 09:30:25,1.967058978596419e-11
2019-04-04 09:30:26,6.5568632619863445e-12
2019-04-04 09:30:27,2.1856210873285906e-12
2019-04-04 09:30:28,7.285403624428423e-13
2019-04-04 09:30:29,2.428467874809451e-13
2019-04-04 09:30:30,8.094892916031478e-14
2019-04-04 09:30:31,2.698297638677157e-14
2019-04-04 09:30:32,8.994325462257189e-15
2019-04-04 09:30:33,2.998108487419063e-15
2019-04-04 09:30:34,9.993694958063543e-16
2019-04-04 09:30:35,3.331231652687848e-16
2019-04-04 09:30:36,1.1104105508959493e-16
2019-04-04 09:30:37,3.701368502986498e-17
2019-04-04 09:30:38,1.2337895009954992e-17
2019-04-04 09:30:39,4.1126316699849974e-18
2019-04-04 09:30:40,1.3708772233283325e-18
2019-04-04 09:30:41,4.569590744427775e-19
2019-04-04 09:30:42,1.5231969148092584e-19
2019-04-04 09:30:43,5.0773230493641944e-20
2019-04-04 09:30:44,1.6924410164547314e-20
2019-04-04 09:30:45,-4.0
2019-04-04 09:30:46,-1.3333333333333333
2019-04-04 09:30:47,-0.4444444444444444
2019-04-04 09:30:48,-0.14814814814814814
2019-04-04 09:30:49,-0.04938271604938271
2019-04-04 09:30:50,-0.016460905349794237
2019-04-04 09:30:51,-0.0054869684499314125
2019-04-04 09:30:52,-0.001828989483310471
2019-04-04 09:30:53,-0.0006096631611034903
2019-04-04 09:30:54,-0.00020322105370116345
2019-04-04 09:30:55,-6.774035123372116e-05
2019-04-04 09:30:56,-2.2580117077907052e-05
2019-04-04 09:30:57,-7.526705692635684e-06
2019-04-04 09:30:58,-2.508901897545228e-06
2019-04-04 09:30:59,-8.363006325150761e-07
2019-04-04 09:31:00,-2.7876687750502534e-07
2019-04-04 09:31:01,-9.292229250167512e-08
2019-04-04 09:31:02,-3.097409750055837e-08
2019-04-04 09:31:03,-1.0324699166852792e-08
2019-04-04 09:31:04,-3.4415663889509307e-09
2019-04-04 09:31:05,-1.147188796316977e-09
2019-04-04 09:31:06,-3.823962654389923e-10
2019-04-04 09:31:07,-1.2746542181299742e-10
2019-04-04 09:31:08,-4.2488473937665806e-11
2019-04-04 09:31:09,-1.4162824645888602e-11
2019-04-04 09:31:10,-4.720941548629534e-12
2019-04-04 09:31:11,-1.5736471828765112e-12
2019-04-04 09:31:12,-5.245490609588371e-13
2019-04-04 09:31:13,-1.7484968698627904e-13
2019-04-04 09:31:14,-5.828322899542635e-14
2019-04-04 09:31:15,-1.942774299847545e-14
2019-04-04 09:31:16,-6.47591433282515e-15
2019-04-04 09:31:17,-2.1586381109417168e-15
2019-04-04 09:31:18,-7.195460369805722e-16
2019-04-04 09:31:19,-2.3984867899352406e-16
2019-04-04 09:31:20,-7.994955966450802e-17
2019-04-04 09:31:21,-2.6649853221502674e-17
2019-04-04 09:31:22,-8.883284407167558e-18
2019-04-04 09:31:23,-2.961094802389186e-18
2019-04-04 09:31:24,-9.870316007963952e-19
2019-04-04 09:31:25,-3.290105335987984e-19
2019-04-04 09:31:26,-1.0967017786626612e-19
2019-04-04 09:31:27,-3.655672595542204e-20
2019-04-04 09:31:28,-1.2185575318474014e-20
2019-04-04 09:31:29,-4.061858439491338e-21
2019-04-04 09:31:30,-1.3539528131637793e-21
2019-04-04 09:31:31,-4.513176043879264e-22
2019-04-04 09:31:32,-1.5043920146264214e-22
2019-04-04 09:31:33,-5.014640048754738e-23
2019-04-04 09:31:34,-1.671546682918246e-23
2019-04-04 09:31:35,-5.571822276394154e-24
2019-04-04 09:31:36,-1.8572740921313844e-24
2019-04-04 09:31:37,1.3333333333333333
2019-04-04 09:31:38,0.4444444444444444
2019-04-04 09:31:39,0.14814814814814814
2019-04-04 09:31:40,0.04938271604938271
2019-04-04 09:31:41,0.016460905349794237
2019-04-04 09:31:42,0.0054869684499314125
2019-04-04 09:31:43,0.001828989483310471
2019-04-04 09:31:44,0.0006096631611034903
2019-04-04 09:31:45,0.00020322105370116345
2019-04-04 09:31:46,6.774035123372116e-05
2019-04-04 09:31:47,2.2580117077907052e-05
2019-04-04 09:31:48,7.526705692635684e-06
2019-04-04 09:31:49,2.508901897545228e-06
2019-04-04 09:31:50,8.363006325150761e-07
2019-04-04 09:31:51,2.7876687750502534e-07
2019-04-04 09:31:52,9.292229250167512e-08
2019-04-04 09:31:53,3.097409750055837e-08
2019-04-04 09:31:54,1.0324699166852792e-08
2019-04-04 09:31:55,3.4415663889509307e-09
2019-04-04 09:31:56,1.147188796316977e-09
2019-04-04 09:31:57,3.823962654389923e-10
2019-04-04 09:31:58,1.2746542181299742e-10
2019-04-04 09:31:59,4.2488473937665806e-11
2019-04-04 09:32:00,1.4162824645888602e-11
2019-04-04 09:32:01,4.720941548629534e-12
2019-04-04 09:32:02,1.5736471828765112e-12
2019-04-04 09:32:03,5.245490609588371e-13
2019-04-04 09:32:04,1.7484968698627904e-13
2019-04-04 09:32:05,5.828322899542635e-14
2019-04-04 09:32:06,1.942774299847545e-14
2019-04-04 09:32:07,6.47591433282515e-15
2019-04-04 09:32:08,2.1586381109417168e-15
2019-04-04 09:32:09,7.195460369805722e-16
2019-04-04 09:32:10,2.3984867899352406e-16
2019-04-04 09:32:11,7.994955966450802e-17
2019-04-04 09:32:12,2.6649853221502674e-17
2019-04-04 09:32:13,8.883284407167558e-18
2019-04-04 09:32:14,2.961094802389186e-18
2019-04-04 09:32:15,9.870316007963952e-19
2019-04-04 09:32:16,3.290105335987984e-19
2019-04-04 09:32:17,1.0967017786626612e-19
2019-04-04 09:32:18,3.655672595542204e-20
2019-04-04 09:32:19,1.2185575318474014e-20
2019-04-04 09:32:20,4.061858439491338e-21
2019-04-04 09:32:21,1.3539528131637793e-21
2019-04-04 09:32:22,4.513176043879264e-22
2019-04-04 09:32:23,1.5043920146264214e-22
2019-04-04 09:32:24,5.014640048754738e-23
2019-04-04 09:32:25,1.671546682918246e-23
2019-04-04 09:32:26,5.571822276394154e-24
2019-04-04 09:32:27,1.8572740921313844e-24
2019-04-04 09:32:28,6.190913640437948e-25
2019-04-04 09:32:29,2.0636378801459826e-25
2019-04-04 09:32:30,6.878792933819942e-26
2019-04-04 09:32:31,2.2929309779399805e-26
2019-04-04 09:32:32,7.643103259799935e-27
2019-04-04 09:32:33,2.5477010865999784e-27
2019-04-04 09:32:34,8.492336955333261e-28
2019-04-04 09:32:35,2.8307789851110873e-28
2019-04-04 09:32:36,9.435929950370291e-29
2019-04-04 09:32:37,3.145309983456764e-29
2019-04-04 09:32:38,1.0484366611522547e-29
2019-04-04 09:32:39,3.4947888705075154e-30
2019-04-04 09:32:40,1.1649296235025051e-30
2019-04-04 09:32:41,3.8830987450083506e-31
2019-04-04 09:32:42,1.2943662483361168e-31
2019-04-04 09:32:43,4.3145541611203895e-32
2019-04-04 09:32:44,1.4381847203734632e-32
2019-04-04 09:32:45,4.793949067911544e-33
2019-04-04 09:32:46,1.597983022637181e-33
2019-04-04 09:32:47,5.32661007545727e-34
2019-04-04 09:32:48,1.7755366918190901e-34
2019-04-04 09:32:49,5.918455639396967e-35
2019-04-04 09:32:50,1.9728185464656557e-35
2019-04-04 09:32:51,6.576061821552186e-36
2019-04-04 09:32:52,2.192020607184062e-36
2019-04-04 09:32:53,7.3067353572802066e-37
2019-04-04 09:32:54,2.4355784524267354e-37
2019-04-04 09:32:55,8.118594841422452e-38
2019-04-04 09:32:56,2.7061982804741507e-38
2019-04-04 09:32:57,9.020660934913836e-39
2019-04-04 09:32:58,3.006886978304612e-39
2019-04-04 09:32:59,1.0022956594348708e-39
2019-04-04 09:33:00,3.3409855314495693e-40
2019-04-04 09:33:01,1.1136618438165231e-40
2019-04-04 09:33:02,3.712206146055077e-41
2019-04-04 09:33:03,1.2374020486850258e-41
2019-04-04 09:33:04,4.1246734956167525e-42
2019-04-04 09:33:05,1.3748911652055842e-42
2019-04-04 09:33:06,4.58297055068528e-43
2019-04-04 09:33:07,1.5276568502284268e-43
2019-04-04 09:33:08,5.092189500761423e-44
2019-04-04 09:33:09,1.6973965002538077e-44
2019-04-04 09:33:10,5.657988334179359e-45
2019-04-04 09:33:11,1.8859961113931197e-45
2019-04-04 09:33:12,6.286653704643732e-46
2019-04-04 09:33:13,2.095551234881244e-46
2019-04-04 09:33:14,6.98517078293748e-47
2019-04-04 09:33:15,2.32839026097916e-47
2019-04-04 09:33:16,7.761300869930534e-48
2019-04-04 09:33:17,2.5871002899768446e-48
2019-04-04 09:33:18,8.62366763325615e-49
2019-04-04 09:33:19,2.8745558777520498e-49
2019-04-04 09:33:20,9.581852925840166e-50
2019-04-04 09:33:21,3.193950975280055e-50
2019-04-04 09:33:22,1.0646503250933517e-50
2019-04-04 09:33:23,3.5488344169778394e-51
2019-04-04 09:33:24,1.1829448056592797e-51
2019-04-04 09:33:25,3.943149352197599e-52
2019-04-04 09:33:26,1.3143831173991996e-52
2019-04-04 09:33:27,4.381277057997332e-53
2019-04-04 09:33:28,1.4604256859991105e-53
2019-04-04 09:33:29,4.868085619997035e-54
2019-04-04 09:33:30,1.6226952066656783e-54
2019-04-04 09:33:31,5.408984022218928e-55
2019-04-04 09:33:32,1.802994674072976e-55
2019-04-04 09:33:33,6.0099822469099195e-56
2019-04-04 09:33:34,2.00332741563664e-56
2019-04-04 09:33:35,6.677758052122133e-57
2019-04-04 09:33:36,2.2259193507073778e-57
2019-04-04 09:33:37,7.419731169024593e-58
2019-04-04 09:33:38,2.4732437230081977e-58
2019-04-04 09:33:39,8.244145743360658e-59
2019-04-04 09:33:40,2.7480485811202193e-59
2019-04-04 09:33:41,9.160161937067398e-60
2019-04-04 09:33:42,0.6666666666666666
2019-04-04 09:33:43,0.2222222222222222
2019-04-04 09:33:44,0.07407407407407407
2019-04-04 09:33:45,0.024691358024691357
2019-04-04 09:33:46,0.008230452674897118
2019-04-04 09:33:47,0.0027434842249657062
2019-04-04 09:33:48,0.0009144947416552355
2019-04-04 09:33:49,0.00030483158055174517
2019-04-04 09:33:50,0.00010161052685058173
2019-04-04 09:33:51,3.387017561686058e-05
2019-04-04 09:33:52,1.1290058538953526e-05
2019-04-04 09:33:53,3.763352846317842e-06
2019-04-04 09:33:54,1.254450948772614e-06
2019-04-04 09:33:55,4.1815031625753804e-07
2019-04-04 09:33:56,1.3938343875251267e-07
2019-04-04 09:33:57,4.646114625083756e-08
2019-04-04 09:33:58,1.5487048750279186e-08
2019-04-04 09:33:59,5.162349583426396e-09
2019-04-04 09:34:00,1.7207831944754653e-09
2019-04-04 09:34:01,5.735943981584885e-10
2019-04-04 09:34:02,1.9119813271949615e-10
2019-04-04 09:34:03,6.373271090649871e-11
2019-04-04 09:34:04,2.1244236968832903e-11
2019-04-04 09:34:05,7.081412322944301e-12
2019-04-04 09:34:06,2.360470774314767e-12
2019-04-04 09:34:07,7.868235914382556e-13
2019-04-04 09:34:08,2.6227453047941855e-13
2019-04-04 09:34:09,8.742484349313952e-14
2019-04-04 09:34:10,2.9141614497713173e-14
2019-04-04 09:34:11,9.713871499237724e-15
2019-04-04 09:34:12,3.237957166412575e-15
2019-04-04 09:34:13,1.0793190554708584e-15
2019-04-04 09:34:14,3.597730184902861e-16
2019-04-04 09:34:15,1.1992433949676203e-16
2019-04-04 09:34:16,3.997477983225401e-17
2019-04-04 09:34:17,1.3324926610751337e-17
2019-04-04 09:34:18,4.441642203583779e-18
2019-04-04 09:34:19,1.480547401194593e-18
2019-04-04 09:34:20,4.935158003981976e-19
2019-04-04 09:34:21,1.645052667993992e-19
2019-04-04 09:34:22,5.483508893313306e-20
2019-04-04 09:34:23,1.827836297771102e-20
2019-04-04 09:34:24,6.092787659237007e-21
2019-04-04 09:34:25,2.030929219745669e-21
2019-04-04 09:34:26,6.769764065818896e-22
2019-04-04 09:34:27,2.256588021939632e-22
2019-04-04 09:34:28,7.521960073132107e-23
2019-04-04 09:34:29,2.507320024377369e-23
2019-04-04 09:34:30,8.35773341459123e-24
2019-04-04 09:34:31,2.785911138197077e-24
2019-04-04 09:34:32,9.286370460656922e-25
2019-04-04 09:34:33,3.095456820218974e-25
2019-04-04 09:34:34,1.0318189400729913e-25
2019-04-04 09:34:35,3.439396466909971e-26
2019-04-04 09:34:36,1.1464654889699902e-26
2019-04-04 09:34:37,3.8215516298999674e-27
2019-04-04 09:34:38,1.2738505432999892e-27
2019-04-04 09:34:39,4.246168477666631e-28
2019-04-04 09:34:40,1.4153894925555436e-28
2019-04-04 09:34:41,4.7179649751851457e-29
2019-04-04 09:34:42,1.572654991728382e-29
2019-04-04 09:34:43,5.2421833057612735e-30
2019-04-04 09:34:44,1.7473944352537577e-30
2019-04-04 09:34:45,5.824648117512526e-31
2019-04-04 09:34:46,1.9415493725041753e-31
2019-04-04 09:34:47,6.471831241680584e-32
2019-04-04 09:34:48,2.1572770805601948e-32
2019-04-04 09:34:49,7.190923601867316e-33
2019-04-04 09:34:50,2.396974533955772e-33
2019-04-04 09:34:51,7.989915113185906e-34
2019-04-04 09:34:52,2.663305037728635e-34
2019-04-04 09:34:53,8.877683459095451e-35
2019-04-04 09:34:54,2.9592278196984834e-35
2019-04-04 09:34:55,9.864092732328278e-36
2019-04-04 09:34:56,3.288030910776093e-36
2019-04-04 09:34:57,1.096010303592031e-36
2019-04-04 09:34:58,3.6533676786401033e-37
2019-04-04 09:34:59,1.2177892262133677e-37
2019-04-04 09:35:00,4.059297420711226e-38
2019-04-04 09:35:01,1.3530991402370754e-38
2019-04-04 09:35:02,4.510330467456918e-39
2019-04-04 09:35:03,1.503443489152306e-39
2019-04-04 09:35:04,5.011478297174354e-40
2019-04-04 09:35:05,1.6704927657247847e-40
2019-04-04 09:35:06,5.568309219082616e-41
2019-04-04 09:35:07,1.8561030730275386e-41
2019-04-04 09:35:08,6.187010243425129e-42
2019-04-04 09:35:09,2.0623367478083763e-42
2019-04-04 09:35:10,6.874455826027921e-43
2019-04-04 09:35:11,2.29148527534264e-43
2019-04-04 09:35:12,7.638284251142134e-44
2019-04-04 09:35:13,-4.666666666666667
2019-04-04 09:35:14,-1.5555555555555556
2019-04-04 09:35:15,-0.5185185185185185
2019-04-04 09:35:16,-0.1728395061728395
2019-04-04 09:35:17,-0.05761316872427983
2019-04-04 09:35:18,-0.019204389574759943
2019-04-04 09:35:19,-0.006401463191586648
2019-04-04 09:35:20,0.6645328456028045
2019-04-04 09:35:21,0.22151094853426814
2019-04-04 09:35:22,0.07383698284475605
2019-04-04 09:35:23,0.024612327614918685
2019-04-04 09:35:24,0.008204109204972896
2019-04-04 09:35:25,0.0027347030683242987
2019-04-04 09:35:26,0.0009115676894414329
2019-04-04 09:35:27,0.00030385589648047764
2019-04-04 09:35:28,0.00010128529882682588
2019-04-04 09:35:29,3.3761766275608623e-05
2019-04-04 09:35:30,1.1253922091869542e-05
2019-04-04 09:35:31,3.7513073639565138e-06
2019-04-04 09:35:32,1.2504357879855047e-06
2019-04-04 09:35:33,4.1681192932850155e-07
2019-04-04 09:35:34,1.3893730977616718e-07
2019-04-04 09:35:35,4.6312436592055726e-08
2019-04-04 09:35:36,1.5437478864018576e-08
2019-04-04 09:35:37,5.145826288006192e-09
2019-04-04 09:35:38,1.7152754293353974e-09
2019-04-04 09:35:39,5.717584764451324e-10
2019-04-04 09:35:40,1.9058615881504414e-10
2019-04-04 09:35:41,6.352871960501471e-11
2019-04-04 09:35:42,2.117623986833824e-11
2019-04-04 09:35:43,7.058746622779413e-12
2019-04-04 09:35:44,2.352915540926471e-12
2019-04-04 09:35:45,7.843051803088237e-13
2019-04-04 09:35:46,2.614350601029412e-13
2019-04-04 09:35:47,8.714502003431375e-14
2019-04-04 09:35:48,2.904834001143792e-14
2019-04-04 09:35:49,9.68278000381264e-15
2019-04-04 09:35:50,3.2275933346042133e-15
2019-04-04 09:35:51,1.0758644448680712e-15
2019-04-04 09:35:52,3.586214816226904e-16
2019-04-04 09:35:53,1.1954049387423014e-16
2019-04-04 09:35:54,3.9846831291410046e-17
2019-04-04 09:35:55,1.3282277097136681e-17
2019-04-04 09:35:56,4.427425699045561e-18
2019-04-04 09:35:57,1.4758085663485202e-18
2019-04-04 09:35:58,4.919361887828401e-19
2019-04-04 09:35:59,1.6397872959428002e-19
2019-04-04 09:36:00,5.465957653142667e-20
2019-04-04 09:36:01,1.821985884380889e-20
