h_m_s,CNR
2019-04-04 09:30:00,-9.0
2019-04-04 09:30:01,-8.333333333333334
2019-04-04 09:30:02,-3.0
2019-04-04 09:30:03,-0.3333333333333333
2019-04-04 09:30:04,-0.16129032258064516
2019-04-04 09:30:05,-0.07936507936507936
2019-04-04 09:30:06,-0.03937007874015748
2019-04-04 09:30:07,-0.5215686274509804
2019-04-04 09:30:08,-3.2661448140900196
2019-04-04 09:30:09,-1.6314760508308896
2019-04-04 09:30:10,-0.8153395212506106
2019-04-04 09:30:11,-0.40757020757020757
2019-04-04 09:30:12,-0.2037602246367965
2019-04-04 09:30:13,-0.10187389367026796
2019-04-04 09:30:14,-0.050935392315439317
2019-04-04 09:30:15,-0.025467307545586328
2019-04-04 09:30:16,-0.012733556621983505
2019-04-04 09:30:17,-0.006366754023567289
2019-04-04 09:30:18,-0.0031833709399622725
2019-04-04 09:30:19,-0.0015916839520301361
2019-04-04 09:30:20,-0.0007958415965278609
2019-04-04 09:30:21,-0.0003979207033921965
2019-04-04 09:30:22,-0.00019896032797817324
2019-04-04 09:30:23,-9.948015805960644e-05
2019-04-04 09:30:24,-4.9740077547433306e-05
2019-04-04 09:30:25,-2.487003840312419e-05
2019-04-04 09:30:26,-1.243501910891398e-05
2019-04-04 09:30:27,-6.217509531294962e-06
2019-04-04 09:30:28,-3.1087547598569742e-06
2019-04-04 09:30:29,-1.5543773784808604e-06
2019-04-04 09:30:30,-7.771886888785235e-07
2019-04-04 09:30:31,-3.885943443487851e-07
2019-04-04 09:30:32,-1.9429717215177337e-07
2019-04-04 09:30:33,-9.71485860702319e-08
2019-04-04 09:30:34,-4.857429303370225e-08
2019-04-04 09:30:35,-2.42871465164977e-08
2019-04-04 09:30:36,-1.2143573258160494e-08
2019-04-04 09:30:37,-6.071786629058158e-09
2019-04-04 09:30:38,-3.0358933145235567e-09
2019-04-04 09:30:39,-2.0000000015197656
2019-04-04 09:30:40,-1.000000000759428
2019-04-04 09:30:41,-0.5000000003796004
2019-04-04 09:30:42,-0.25000000018977175
2019-04-04 09:30:43,-0.12500000009487877
2019-04-04 09:30:44,-0.06250000004743761
2019-04-04 09:30:45,-0.03125000002371836
2019-04-04 09:30:46,-0.01562500001185907
2019-04-04 09:30:47,-0.007812500005929507
2019-04-04 09:30:48,-0.0039062500029647465
2019-04-04 09:30:49,-0.0019531250014823715
2019-04-04 09:30:50,-0.0009765625007411853
2019-04-04 09:30:51,-0.0004882812503705926
2019-04-04 09:30:52,-0.0002441406251852963
2019-04-04 09:30:53,-0.0001220703125926481
