h_m_s,HQU
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,1.500732779677577
2019-04-04 09:30:11,0.7501831501831502
2019-04-04 09:30:12,0.3750457819558052
2019-04-04 09:30:13,0.18751144479033144
2019-04-04 09:30:14,0.09375286111026337
2019-04-04 09:30:15,0.04687571526665141
2019-04-04 09:30:16,0.02343767881529858
2019-04-04 09:30:17,0.011718794703654112
2019-04-04 09:30:18,0.005859386175892212
2019-04-04 09:30:19,0.0029296902939703884
2019-04-04 09:30:20,0.001464844448492264
2019-04-04 09:30:21,0.0007324220496230244
2019-04-04 09:30:22,0.0003662109811557509
2019-04-04 09:30:23,0.00018310547966393707
2019-04-04 09:30:24,9.155273710348419e-05
2019-04-04 09:30:25,4.577636786962104e-05
2019-04-04 09:30:26,2.2888183764280257e-05
2019-04-04 09:30:27,1.1444091839507564e-05
2019-04-04 09:30:28,5.722045909095641e-06
2019-04-04 09:30:29,2.8610229518832853e-06
2019-04-04 09:30:30,1.4305114752755088e-06
2019-04-04 09:30:31,7.15255737471221e-07
2019-04-04 09:30:32,3.576278686939771e-07
2019-04-04 09:30:33,1.7881393433658022e-07
2019-04-04 09:30:34,8.940696716568802e-08
2019-04-04 09:30:35,4.470348358219349e-08
2019-04-04 09:30:36,2.2351741790934115e-08
2019-04-04 09:30:37,1.11758708954264e-08
2019-04-04 09:30:38,5.5879354477030355e-09
2019-04-04 09:30:39,2.7939677238489766e-09
2019-04-04 09:30:40,1.396983861923853e-09
2019-04-04 09:30:41,6.984919309617677e-10
2019-04-04 09:30:42,3.4924596548084415e-10
2019-04-04 09:30:43,1.7462298274041215e-10
2019-04-04 09:30:44,8.731149137020359e-11
2019-04-04 09:30:45,4.3655745685101176e-11
2019-04-04 09:30:46,2.1827872842550433e-11
2019-04-04 09:30:47,1.0913936421275178e-11
2019-04-04 09:30:48,5.456968210637579e-12
2019-04-04 09:30:49,2.728484105318787e-12
2019-04-04 09:30:50,1.364242052659393e-12
2019-04-04 09:30:51,6.821210263296964e-13
2019-04-04 09:30:52,3.4106051316484814e-13
2019-04-04 09:30:53,1.7053025658242404e-13
2019-04-04 09:30:54,8.526512829121202e-14
2019-04-04 09:30:55,4.263256414560601e-14
2019-04-04 09:30:56,2.1316282072803006e-14
2019-04-04 09:30:57,1.0658141036401503e-14
2019-04-04 09:30:58,5.329070518200751e-15
2019-04-04 09:30:59,2.6645352591003757e-15
2019-04-04 09:31:00,1.3322676295501878e-15
2019-04-04 09:31:01,6.661338147750939e-16
2019-04-04 09:31:02,3.3306690738754696e-16
2019-04-04 09:31:03,1.6653345369377348e-16
2019-04-04 09:31:04,8.326672684688674e-17
2019-04-04 09:31:05,4.163336342344337e-17
2019-04-04 09:31:06,2.0816681711721685e-17
2019-04-04 09:31:07,1.0408340855860843e-17
2019-04-04 09:31:08,5.204170427930421e-18
2019-04-04 09:31:09,2.6020852139652106e-18
2019-04-04 09:31:10,1.3010426069826053e-18
2019-04-04 09:31:11,6.505213034913027e-19
2019-04-04 09:31:12,3.2526065174565133e-19
2019-04-04 09:31:13,1.6263032587282567e-19
2019-04-04 09:31:14,8.131516293641283e-20
2019-04-04 09:31:15,4.0657581468206416e-20
2019-04-04 09:31:16,2.0328790734103208e-20
2019-04-04 09:31:17,1.0164395367051604e-20
2019-04-04 09:31:18,5.082197683525802e-21
2019-04-04 09:31:19,2.541098841762901e-21
