h_m_s,SMU.UN
2019-04-04 09:30:00,1.0
2019-04-04 09:30:01,0.3333333333333333
2019-04-04 09:30:02,0.14285714285714285
2019-04-04 09:30:03,0.06666666666666667
2019-04-04 09:30:04,0.03225806451612903
2019-04-04 09:30:05,0.015873015873015872
2019-04-04 09:30:06,0.007874015748031496
2019-04-04 09:30:07,0.00392156862745098
2019-04-04 09:30:08,0.0019569471624266144
2019-04-04 09:30:09,0.0009775171065493646
2019-04-04 09:30:10,0.0004885197850512946
2019-04-04 09:30:11,0.0002442002442002442
2019-04-04 09:30:12,0.00012208521548040532
2019-04-04 09:30:13,6.103888176768602e-05
2019-04-04 09:30:14,3.051850947599719e-05
2019-04-04 09:30:15,1.5259021896696422e-05
2019-04-04 09:30:16,7.629452739355006e-06
2019-04-04 09:30:17,3.8147118175957395e-06
2019-04-04 09:30:18,1.907352270798246e-06
2019-04-04 09:30:19,9.536752259018191e-07
2019-04-04 09:30:20,4.768373855769089e-07
2019-04-04 09:30:21,2.384186359449949e-07
2019-04-04 09:30:22,1.1920930376163766e-07
2019-04-04 09:30:23,5.960464832810452e-08
2019-04-04 09:30:24,2.980232327587376e-08
2019-04-04 09:30:25,1.4901161415892264e-08
2019-04-04 09:30:26,7.45058065243498e-09
2019-04-04 09:30:27,3.725290312339702e-09
2019-04-04 09:30:28,1.862645152700404e-09
2019-04-04 09:30:29,9.313225754828403e-10
2019-04-04 09:30:30,4.656612875245797e-10
2019-04-04 09:30:31,2.3283064370807974e-10
2019-04-04 09:30:32,1.1641532184048734e-10
2019-04-04 09:30:33,5.820766091685554e-11
2019-04-04 09:30:34,2.9103830457580737e-11
2019-04-04 09:30:35,1.455191522857861e-11
2019-04-04 09:30:36,7.275957614236365e-12
2019-04-04 09:30:37,3.637978807104948e-12
2019-04-04 09:30:38,1.818989403549165e-12
2019-04-04 09:30:39,9.094947017737554e-13
2019-04-04 09:30:40,4.547473508866709e-13
2019-04-04 09:30:41,2.2737367544328376e-13
2019-04-04 09:30:42,1.1368683772162895e-13
2019-04-04 09:30:43,5.684341886081125e-14
