h_m_s,XIU
2019-04-04 09:30:00,-11.0
2019-04-04 09:30:01,-3.6666666666666665
2019-04-04 09:30:02,-1.5714285714285714
2019-04-04 09:30:03,-0.2
2019-04-04 09:30:04,-0.0967741935483871
2019-04-04 09:30:05,-0.047619047619047616
2019-04-04 09:30:06,-0.023622047244094488
2019-04-04 09:30:07,-0.011764705882352941
2019-04-04 09:30:08,-0.005870841487279843
2019-04-04 09:30:09,-0.002932551319648094
2019-04-04 09:30:10,-0.0014655593551538837
2019-04-04 09:30:11,-0.0007326007326007326
2019-04-04 09:30:12,-0.000366255646441216
2019-04-04 09:30:13,-0.00018311664530305805
2019-04-04 09:30:14,-9.155552842799158e-05
2019-04-04 09:30:15,-4.5777065690089265e-05
2019-04-04 09:30:16,-2.2888358218065018e-05
2019-04-04 09:30:17,-1.1444135452787219e-05
2019-04-04 09:30:18,-5.722056812394738e-06
2019-04-04 09:30:19,-2.8610256777054574e-06
2019-04-04 09:30:20,-1.4305121567307266e-06
2019-04-04 09:30:21,-7.152559078349847e-07
2019-04-04 09:30:22,-3.57627911284913e-07
2019-04-04 09:30:23,-1.7881394498431355e-07
2019-04-04 09:30:24,-8.940696982762128e-08
2019-04-04 09:30:25,-4.47034842476768e-08
2019-04-04 09:30:26,-2.2351741957304938e-08
2019-04-04 09:30:27,-1.1175870937019106e-08
2019-04-04 09:30:28,-5.587935458101212e-09
2019-04-04 09:30:29,-2.7939677264485208e-09
2019-04-04 09:30:30,-1.396983862573739e-09
2019-04-04 09:30:31,-6.984919311242392e-10
2019-04-04 09:30:32,-3.49245965521462e-10
2019-04-04 09:30:33,-1.7462298275056662e-10
2019-04-04 09:30:34,-8.731149137274221e-11
2019-04-04 09:30:35,-4.365574568573583e-11
2019-04-04 09:30:36,-2.1827872842709096e-11
2019-04-04 09:30:37,-1.0913936421314844e-11
2019-04-04 09:30:38,-1.000000000007276
2019-04-04 09:30:39,-0.5000000000031832
2019-04-04 09:30:40,-0.25000000000147793
2019-04-04 09:30:41,-0.12500000000071054
2019-04-04 09:30:42,-0.06250000000034817
2019-04-04 09:30:43,-0.03125000000017231
2019-04-04 09:30:44,-0.01562500000008571
2019-04-04 09:30:45,-0.007812500000042744
2019-04-04 09:30:46,-0.003906250000021344
2019-04-04 09:30:47,-0.001953125000010665
2019-04-04 09:30:48,-0.0009765625000053308
2019-04-04 09:30:49,-0.000488281250002665
2019-04-04 09:30:50,-0.0002441406250013324
2019-04-04 09:30:51,-0.00012207031250066616
2019-04-04 09:30:52,-6.103515625033308e-05
2019-04-04 09:30:53,-3.0517578125166533e-05
2019-04-04 09:30:54,-1.5258789062583267e-05
2019-04-04 09:30:55,-7.629394531291633e-06
2019-04-04 09:30:56,-3.814697265645817e-06
2019-04-04 09:30:57,-1.9073486328229083e-06
2019-04-04 09:30:58,-9.536743164114542e-07
2019-04-04 09:30:59,-4.768371582057271e-07
2019-04-04 09:31:00,-2.3841857910286354e-07
2019-04-04 09:31:01,-1.1920928955143177e-07
2019-04-04 09:31:02,-5.960464477571589e-08
2019-04-04 09:31:03,-2.980232238785794e-08
2019-04-04 09:31:04,-1.490116119392897e-08
2019-04-04 09:31:05,-7.450580596964486e-09
2019-04-04 09:31:06,-3.725290298482243e-09
2019-04-04 09:31:07,-1.8626451492411214e-09
2019-04-04 09:31:08,-9.313225746205607e-10
2019-04-04 09:31:09,-4.656612873102804e-10
2019-04-04 09:31:10,-2.328306436551402e-10
2019-04-04 09:31:11,-1.164153218275701e-10
2019-04-04 09:31:12,-5.820766091378504e-11
2019-04-04 09:31:13,-2.910383045689252e-11
2019-04-04 09:31:14,-1.455191522844626e-11
2019-04-04 09:31:15,-7.27595761422313e-12
2019-04-04 09:31:16,-3.637978807111565e-12
2019-04-04 09:31:17,-1.8189894035557826e-12
2019-04-04 09:31:18,-9.094947017778913e-13
2019-04-04 09:31:19,-4.547473508889457e-13
2019-04-04 09:31:20,-2.2737367544447283e-13
2019-04-04 09:31:21,-1.1368683772223642e-13
2019-04-04 09:31:22,-5.684341886111821e-14
2019-04-04 09:31:23,-2.8421709430559104e-14
2019-04-04 09:31:24,-1.4210854715279552e-14
2019-04-04 09:31:25,-7.105427357639776e-15
2019-04-04 09:31:26,-3.552713678819888e-15
2019-04-04 09:31:27,-1.776356839409944e-15
2019-04-04 09:31:28,-8.88178419704972e-16
2019-04-04 09:31:29,-4.44089209852486e-16
2019-04-04 09:31:30,-2.22044604926243e-16
2019-04-04 09:31:31,-1.110223024631215e-16
2019-04-04 09:31:32,-5.551115123156075e-17
2019-04-04 09:31:33,-2.7755575615780375e-17
2019-04-04 09:31:34,-1.3877787807890187e-17
