h_m_s,TD
2019-04-04 09:30:00,-12.0
2019-04-04 09:30:01,-8.383333333333333
2019-04-04 09:30:02,-5.4005923731951135
2019-04-04 09:30:03,-3.0859230484646694
2019-04-04 09:30:04,-2.156276630629064
2019-04-04 09:30:05,-1.7344350744956039
2019-04-04 09:30:06,-1.4344532289552498
2019-04-04 09:30:07,-1.2106270004583968
2019-04-04 09:30:08,-1.037564359916084
2019-04-04 09:30:09,-0.9000293294109051
2019-04-04 09:30:10,-0.043658449105263154
2019-04-04 09:30:11,-0.03854470100024444
2019-04-04 09:30:12,1.3010567447754575
2019-04-04 09:30:13,1.5879684685122983
2019-04-04 09:30:14,1.527971573240291
2019-04-04 09:30:15,1.574395767493667
2019-04-04 09:30:16,1.6148842244676889
2019-04-04 09:30:17,2.2965726080406563
2019-04-04 09:30:18,2.090317575747638
2019-04-04 09:30:19,1.9072175892896182
2019-04-04 09:30:20,1.7439246342375245
2019-04-04 09:30:21,1.5976982749256972
2019-04-04 09:30:22,1.4662736681868895
2019-04-04 09:30:23,1.347762573946324
2019-04-04 09:30:24,1.2405781231626019
2019-04-04 09:30:25,1.1433769465448518
2019-04-04 09:30:26,1.0550141627718814
2019-04-04 09:30:27,0.36404301765034264
2019-04-04 09:30:28,0.3365873351300147
2019-04-04 09:30:29,0.31147610598277303
2019-04-04 09:30:30,0.28847042020989205
2019-04-04 09:30:31,0.2673611849395514
2019-04-04 09:30:32,0.24796462813214348
2019-04-04 09:30:33,0.23011859499576534
2019-04-04 09:30:34,0.2136794785234995
2019-04-04 09:30:35,0.1985196608124016
2019-04-04 09:30:36,0.18452536849841514
2019-04-04 09:30:37,-0.03862830178069166
2019-04-04 09:30:38,-0.5237457628527595
2019-04-04 09:30:39,-0.6260923403109764
2019-04-04 09:30:40,-0.5828941494251508
2019-04-04 09:30:41,-0.5428558702864168
2019-04-04 09:30:42,-0.50572271422234
2019-04-04 09:30:43,-0.5394020140978657
2019-04-04 09:30:44,-0.502780639349365
2019-04-04 09:30:45,-0.4687604491469508
2019-04-04 09:30:46,-0.43714173807244816
2019-04-04 09:30:47,-0.4749963842111209
2019-04-04 09:30:48,-0.5102087242109752
2019-04-04 09:30:49,-0.4760758808511966
2019-04-04 09:30:50,-0.44430225340169044
2019-04-04 09:30:51,-0.4147150376501841
2019-04-04 09:30:52,-0.5200644418240619
2019-04-04 09:30:53,-0.5518966406904052
2019-04-04 09:30:54,-0.5815638442169145
2019-04-04 09:30:55,-0.5431256959592206
2019-04-04 09:30:56,-0.44129435987766813
2019-04-04 09:30:57,-0.6098955787740766
2019-04-04 09:30:58,-0.6355654462879392
2019-04-04 09:30:59,-0.5937973478010424
2019-04-04 09:31:00,-0.5548210108166707
2019-04-04 09:31:01,-0.5184438976673955
2019-04-04 09:31:02,-0.4844875005014553
2019-04-04 09:31:03,-0.5182188224910869
2019-04-04 09:31:04,-0.48434146629337677
2019-04-04 09:31:05,-0.45270586154179904
2019-04-04 09:31:06,-0.09683781154320718
2019-04-04 09:31:07,-0.15573814978673767
2019-04-04 09:31:08,-0.14558868019967489
2019-04-04 09:31:09,-0.20123435449919352
2019-04-04 09:31:10,-0.18813647150651114
2019-04-04 09:31:11,-0.17589809490715103
2019-04-04 09:31:12,-0.4895408556003329
2019-04-04 09:31:13,-0.45772886873235336
2019-04-04 09:31:14,-0.4279980199679936
2019-04-04 09:31:15,-0.4002104168051664
2019-04-04 09:31:16,-0.3742375222022659
2019-04-04 09:31:17,-0.5445794459635732
2019-04-04 09:31:18,-0.5092633849846037
2019-04-04 09:31:19,-0.4762486037654205
2019-04-04 09:31:20,-0.4453837625539787
2019-04-04 09:31:21,-0.41652764749484356
2019-04-04 09:31:22,-0.3895484714699038
2019-04-04 09:31:23,-0.3643232258968419
2019-04-04 09:31:24,-0.3407370794447467
2019-04-04 09:31:25,-0.253957667396537
2019-04-04 09:31:26,-0.30223528005353834
2019-04-04 09:31:27,-0.28268096636124274
2019-04-04 09:31:28,-0.26439514031939854
2019-04-04 09:31:29,-0.24729509671168382
2019-04-04 09:31:30,-0.23130357504718835
2019-04-04 09:31:31,-0.2163483945787082
2019-04-04 09:31:32,-0.3963031882896486
2019-04-04 09:31:33,-0.3706867194231225
2019-04-04 09:31:34,-0.3467289955653725
2019-04-04 09:31:35,-0.3243222410456824
2019-04-04 09:31:36,-0.3033657287015144
2019-04-04 09:31:37,-0.283765313179001
2019-04-04 09:31:38,-0.2654329958479034
2019-04-04 09:31:39,-0.24828651910134739
2019-04-04 09:31:40,-0.23224898797861906
2019-04-04 09:31:41,-0.47560005459122723
2019-04-04 09:31:42,-0.4448842572915792
2019-04-04 09:31:43,-0.41615411441212263
2019-04-04 09:31:44,-0.3892810202712074
2019-04-04 09:31:45,-0.36414472875896464
2019-04-04 09:31:46,-0.3406328061911238
2019-04-04 09:31:47,-0.3186401204431556
2019-04-04 09:31:48,-0.2980683639008636
2019-04-04 09:31:49,-0.2788256079380322
2019-04-04 09:31:50,-0.26082588679300256
2019-04-04 09:31:51,-0.24398880886519309
2019-04-04 09:31:52,-0.22823919359060757
2019-04-04 09:31:53,-0.21350673218319047
2019-04-04 09:31:54,-0.1997256706473161
2019-04-04 09:31:55,-0.251378830934615
2019-04-04 09:31:56,-0.23515421323846783
2019-04-04 09:31:57,-0.21997717310082
2019-04-04 09:31:58,-0.20578002141932009
2019-04-04 09:31:59,-0.19249944905911284
2019-04-04 09:32:00,-0.18007624265800365
2019-04-04 09:32:01,-0.1684550189689426
2019-04-04 09:32:02,-0.2866515758921694
2019-04-04 09:32:03,-0.2681531873922707
2019-04-04 09:32:04,-0.2508488351424894
2019-04-04 09:32:05,-0.2346614106184569
2019-04-04 09:32:06,-0.2840484505572312
2019-04-04 09:32:07,-0.2657191482918129
2019-04-04 09:32:08,-0.24857283074335687
2019-04-04 09:32:09,-0.2325331202248203
2019-04-04 09:32:10,-0.2175285736488378
2019-04-04 09:32:11,-0.20349236329100073
2019-04-04 09:32:12,-0.061311582261412104
2019-04-04 09:32:13,-0.057355476154184494
2019-04-04 09:32:14,-0.05365466765872783
2019-04-04 09:32:15,-0.05019267784841852
2019-04-04 09:32:16,-0.04695409196651694
2019-04-04 09:32:17,-0.0439244906434641
2019-04-04 09:32:18,-0.04109038556758698
2019-04-04 09:32:19,-0.038439159319919425
2019-04-04 09:32:20,-0.22952335294188697
2019-04-04 09:32:21,-0.21471425264090183
2019-04-04 09:32:22,-0.20086072078335995
2019-04-04 09:32:23,-0.058860123175859806
2019-04-04 09:32:24,-0.05506245611184649
2019-04-04 09:32:25,-0.0515098297670315
2019-04-04 09:32:26,-0.04818643132372134
2019-04-04 09:32:27,-0.04507746861296045
2019-04-04 09:32:28,-0.04216910420790678
2019-04-04 09:32:29,-0.03944839377653191
2019-04-04 09:32:30,-0.48853524190536857
2019-04-04 09:32:31,-0.45701559153215077
2019-04-04 09:32:32,-0.4275296227916503
2019-04-04 09:32:33,-0.33542774694619404
2019-04-04 09:32:34,-0.3137865458357016
2019-04-04 09:32:35,-0.29354163882333956
2019-04-04 09:32:36,-0.27460293148295656
2019-04-04 09:32:37,-0.2568861432976824
2019-04-04 09:32:38,-0.24031243239846117
2019-04-04 09:32:39,-0.2248080445343005
2019-04-04 09:32:40,-0.33933904531833603
2019-04-04 09:32:41,-0.5755155184508505
2019-04-04 09:32:42,-0.280315357952405
2019-04-04 09:32:43,-0.26223017457809283
2019-04-04 09:32:44,-0.24531181738313654
2019-04-04 09:32:45,-0.6165877999921182
2019-04-04 09:32:46,-0.5768073628564252
2019-04-04 09:32:47,-0.539593477845562
2019-04-04 09:32:48,-0.5047805519219992
2019-04-04 09:32:49,-0.4722136765975256
2019-04-04 09:32:50,-0.44174793846668414
2019-04-04 09:32:51,-0.671314981761555
2019-04-04 09:32:52,-0.6925206736961247
2019-04-04 09:32:53,-0.6478415127782006
2019-04-04 09:32:54,-0.6060449292905342
2019-04-04 09:32:55,-0.5669449441373061
2019-04-04 09:32:56,-0.530367577668025
2019-04-04 09:32:57,-0.49615007542061745
2019-04-04 09:32:58,-0.46414018382895716
2019-04-04 09:32:59,-0.4341954726697752
2019-04-04 09:33:00,-0.4061827012321552
2019-04-04 09:33:01,-0.37997722538761697
2019-04-04 09:33:02,-0.3554624429210044
2019-04-04 09:33:03,-0.33252927465283216
2019-04-04 09:33:04,-0.1820428554996934
2019-04-04 09:33:05,-0.17029810699487602
2019-04-04 09:33:06,-0.15931109021255674
2019-04-04 09:33:07,-0.14903291848436914
2019-04-04 09:33:08,-0.1394178592143025
2019-04-04 09:33:09,-0.32397212517446866
2019-04-04 09:33:10,-0.3030706363519261
2019-04-04 09:33:11,-0.34803394464940035
2019-04-04 09:33:12,-0.325580084052597
2019-04-04 09:33:13,-0.3045748668303639
2019-04-04 09:33:14,-0.28492483121988066
2019-04-04 09:33:15,-0.26654254536185307
2019-04-04 09:33:16,-0.2493462182604467
2019-04-04 09:33:17,-0.23325933584433192
2019-04-04 09:33:18,-0.2182103205091947
2019-04-04 09:33:19,-0.2041322126265888
2019-04-04 09:33:20,-0.19096237260177829
2019-04-04 09:33:21,-0.17864220215468266
2019-04-04 09:33:22,-0.1671168835835956
2019-04-04 09:33:23,-0.15633513585138673
2019-04-04 09:33:24,-0.14624898640876585
2019-04-04 09:33:25,-0.13681355773923018
2019-04-04 09:33:26,-0.12798686767583242
2019-04-04 09:33:27,-0.11972964260119995
2019-04-04 09:33:28,-0.3055537009465747
2019-04-04 09:33:29,-0.2858405426427965
2019-04-04 09:33:30,-0.2673992030400618
2019-04-04 09:33:31,-0.2501476290646775
2019-04-04 09:33:32,-0.23400906142139136
2019-04-04 09:33:33,-0.218911693055334
2019-04-04 09:33:34,-0.20478834964916998
2019-04-04 09:33:35,-0.19157619073376875
2019-04-04 09:33:36,-0.17921643008243746
2019-04-04 09:33:37,-0.16765407414456723
2019-04-04 09:33:38,0.488323905800136
2019-04-04 09:33:39,0.19875449860184122
2019-04-04 09:33:40,0.4439962412664862
2019-04-04 09:33:41,0.5443836178421735
2019-04-04 09:33:42,0.5092620819017236
2019-04-04 09:33:43,0.47640645303031853
2019-04-04 09:33:44,0.44567054348475227
2019-04-04 09:33:45,0.4169175970128935
2019-04-04 09:33:46,0.3900196803674217
2019-04-04 09:33:47,0.36485711407711297
2019-04-04 09:33:48,0.3413179399428832
2019-04-04 09:33:49,0.3192974228892086
2019-04-04 09:33:50,0.29869758495441373
2019-04-04 09:33:51,0.2794267693463183
2019-04-04 09:33:52,0.777528356972587
2019-04-04 09:33:53,0.6628490889939656
2019-04-04 09:33:54,0.6200846249620071
2019-04-04 09:33:55,0.5800791594433501
2019-04-04 09:33:56,0.5426546924297914
2019-04-04 09:33:57,0.5076447077976263
2019-04-04 09:33:58,0.4748934324102507
2019-04-04 09:33:59,0.4442551430207989
2019-04-04 09:34:00,0.4155935178909163
2019-04-04 09:34:01,0.3887810302407359
2019-04-04 09:34:02,0.36369838083124895
