h_m_s,WPM
2019-04-04 09:30:00,-9.0
2019-04-04 09:30:01,-4.866666666666667
2019-04-04 09:30:02,-3.1351351351351355
2019-04-04 09:30:03,-2.271291157972623
2019-04-04 09:30:04,-1.7545174292886356
2019-04-04 09:30:05,-1.411273732203965
2019-04-04 09:30:06,-1.1671847461274547
2019-04-04 09:30:07,-0.9850620010902826
2019-04-04 09:30:08,-0.8442445313477207
2019-04-04 09:30:09,-0.7323351386791732
2019-04-04 09:30:10,-0.6414441500400015
2019-04-04 09:30:11,-0.5663112977750555
2019-04-04 09:30:12,-0.5032944255450139
2019-04-04 09:30:13,-0.4497916070249375
2019-04-04 09:30:14,-0.40389441799848447
2019-04-04 09:30:15,-0.3641712321562026
2019-04-04 09:30:16,-0.3295270013469764
2019-04-04 09:30:17,-0.2991097762526716
2019-04-04 09:30:18,-0.2722467472571346
2019-04-04 09:30:19,-0.24839947337187715
2019-04-04 09:30:20,-0.22713190313339918
2019-04-04 09:30:21,-0.20808711723685452
2019-04-04 09:30:22,-0.19097013840583113
2019-04-04 09:30:23,-0.1755350388328211
2019-04-04 09:30:24,-0.16157514181957713
2019-04-04 09:30:25,-0.14891548451641165
2019-04-04 09:30:26,-0.13740695550632928
2019-04-04 09:30:27,-0.1269216884833113
2019-04-04 09:30:28,-0.11734940879385776
2019-04-04 09:30:29,-0.10859451047488912
2019-04-04 09:30:30,-0.10057369880857368
2019-04-04 09:30:31,-0.09321407466196678
2019-04-04 09:30:32,-0.08645156687745204
2019-04-04 09:30:33,-0.08022964103743008
2019-04-04 09:30:34,-0.07449822931224262
2019-04-04 09:30:35,-0.06921283838945934
2019-04-04 09:30:36,-0.2053202638459418
2019-04-04 09:30:37,-0.3310813502734486
2019-04-04 09:30:38,-0.3080092674978583
2019-04-04 09:30:39,-0.28665542914089914
2019-04-04 09:30:40,-0.2668772029125824
2019-04-04 09:30:41,-0.2485457374886862
2019-04-04 09:30:42,-0.23154437826168
2019-04-04 09:30:43,-0.2157672977152858
2019-04-04 09:30:44,-0.20111830705232328
2019-04-04 09:30:45,-0.18750982151484963
2019-04-04 09:30:46,-0.17486195653200212
2019-04-04 09:30:47,-0.16310173564625643
2019-04-04 09:30:48,-0.15216239428284023
2019-04-04 09:30:49,-0.14198276598005682
2019-04-04 09:30:50,-0.13250673980029157
2019-04-04 09:30:51,-0.12368277937924135
2019-04-04 09:30:52,-0.11546349551316692
2019-04-04 09:30:53,-0.04147927989831776
2019-04-04 09:30:54,-0.038733095980454664
2019-04-04 09:30:55,-0.03617305291625603
2019-04-04 09:30:56,-0.03378598210390635
2019-04-04 09:30:57,-0.03155971673167756
2019-04-04 09:30:58,-0.0294830067453326
2019-04-04 09:30:59,-0.027545442114307973
2019-04-04 09:31:00,-0.025737383458932332
2019-04-04 09:31:01,0.3693430593008907
2019-04-04 09:31:02,0.34515228442914087
2019-04-04 09:31:03,0.3880006715576428
2019-04-04 09:31:04,0.3626360256111226
2019-04-04 09:31:05,0.3389498232656734
2019-04-04 09:31:06,0.3168284369822739
2019-04-04 09:31:07,0.29616625432899985
2019-04-04 09:31:08,0.47237534893902716
2019-04-04 09:31:09,0.4416107228098632
2019-04-04 09:31:10,0.41286729284199125
2019-04-04 09:31:11,0.38601005790557585
2019-04-04 09:31:12,0.3609133119000601
2019-04-04 09:31:13,0.337459969023164
2019-04-04 09:31:14,0.31554094230580004
2019-04-04 09:31:15,0.2950545706934411
2019-04-04 09:31:16,0.27590609043173026
2019-04-04 09:31:17,0.2580071469366505
2019-04-04 09:31:18,0.2412753437043372
2019-04-04 09:31:19,0.22563382514862415
2019-04-04 09:31:20,0.21101089055085104
2019-04-04 09:31:21,0.13255030771501872
2019-04-04 09:31:22,0.12396480779559814
2019-04-04 09:31:23,0.11593745575064736
2019-04-04 09:31:24,0.10843170916013942
2019-04-04 09:31:25,0.10141345023931037
2019-04-04 09:31:26,0.09485082094215247
2019-04-04 09:31:27,0.08871406977813859
2019-04-04 09:31:28,0.08297540944911586
2019-04-04 09:31:29,0.07760888448865778
2019-04-04 09:31:30,0.07259024815433268
2019-04-04 09:31:31,0.06789684788510499
2019-04-04 09:31:32,0.0635075186921157
2019-04-04 09:31:33,0.05940248390198958
2019-04-04 09:31:34,0.05556326271812018
2019-04-04 09:31:35,0.05197258410755893
2019-04-04 09:31:36,0.048614306559597135
2019-04-04 09:31:37,0.045473343297248926
2019-04-04 09:31:38,0.042535592554947155
2019-04-04 09:31:39,0.0397878725651449
2019-04-04 09:31:40,0.037217860923432704
2019-04-04 09:31:41,0.0348140380264685
2019-04-04 09:31:42,0.03256563429968102
2019-04-04 09:31:43,0.030462580952534235
2019-04-04 09:31:44,0.02849546401829672
2019-04-04 09:31:45,0.02665548145289573
2019-04-04 09:31:46,0.024934403083685438
2019-04-04 09:31:47,0.023324533213943708
2019-04-04 09:31:48,0.021818675702741024
2019-04-04 09:31:49,-0.10870629135006092
2019-04-04 09:31:50,-0.29535514648550326
2019-04-04 09:31:51,-0.2762891033143259
2019-04-04 09:31:52,-0.2584544858087129
2019-04-04 09:31:53,-0.24177167740122915
2019-04-04 09:31:54,0.2256576167223387
2019-04-04 09:31:55,0.21109269989433432
2019-04-04 09:31:56,0.19746824973081226
2019-04-04 09:31:57,0.18472349168118127
2019-04-04 09:31:58,0.2373407886843617
2019-04-04 09:31:59,0.22202335652349892
2019-04-04 09:32:00,0.33676742943498567
2019-04-04 09:32:01,0.31503413707566674
2019-04-04 09:32:02,0.294703787179121
2019-04-04 09:32:03,1.2436756583582913
2019-04-04 09:32:04,1.3570140652897515
2019-04-04 09:32:05,3.528015956814838
2019-04-04 09:32:06,3.558472927252048
2019-04-04 09:32:07,3.328848981904144
2019-04-04 09:32:08,3.243101053069717
2019-04-04 09:32:09,3.0338327999060937
2019-04-04 09:32:10,2.5799642423783498
2019-04-04 09:32:11,2.4134899249391166
2019-04-04 09:32:12,1.5479818316812057
2019-04-04 09:32:13,1.448098903328765
2019-04-04 09:32:14,1.354661674958557
2019-04-04 09:32:15,1.2672540901245057
2019-04-04 09:32:16,1.185486960316177
2019-04-04 09:32:17,1.1089962283476638
2019-04-04 09:32:18,1.037441344185191
2019-04-04 09:32:19,0.9705037459094294
2019-04-04 09:32:20,0.9078854389859705
2019-04-04 09:32:21,0.8493076674632999
2019-04-04 09:32:22,0.7945096711340331
2019-04-04 09:32:23,0.7432475230841491
2019-04-04 09:32:24,0.695293042418302
2019-04-04 09:32:25,0.6504327772887487
2019-04-04 09:32:26,0.6084670536725765
2019-04-04 09:32:27,0.5692090856382569
2019-04-04 09:32:28,0.5324841431194688
2019-04-04 09:32:29,0.43360972611632237
2019-04-04 09:32:30,0.4056337213058014
2019-04-04 09:32:31,0.3794627678546628
2019-04-04 09:32:32,0.3549803923767591
2019-04-04 09:32:33,0.3320776382032106
2019-04-04 09:32:34,0.3106525801450118
2019-04-04 09:32:35,0.29060987059723187
2019-04-04 09:32:36,0.2718603149582792
2019-04-04 09:32:37,0.25432047446900646
2019-04-04 09:32:38,0.23791229469919437
2019-04-04 09:32:39,0.22256275802373593
2019-04-04 09:32:40,0.20820355853816452
2019-04-04 09:32:41,0.1947707979635216
2019-04-04 09:32:42,0.18220470118439655
2019-04-04 09:32:43,0.17044935015171764
2019-04-04 09:32:44,0.15945243496392658
2019-04-04 09:32:45,0.14916502101690263
2019-04-04 09:32:46,0.1395413311847602
2019-04-04 09:32:47,0.2595725572528423
2019-04-04 09:32:48,0.24282572731799396
2019-04-04 09:32:49,0.22715936466390796
2019-04-04 09:32:50,0.14798691011315748
2019-04-04 09:32:51,0.13843926795247766
2019-04-04 09:32:52,0.12950761513915143
2019-04-04 09:32:53,0.1211522088723376
2019-04-04 09:32:54,0.11333587059674224
2019-04-04 09:32:55,0.10602382054321163
2019-04-04 09:32:56,0.09918352294714888
2019-04-04 09:32:57,0.09278454125548492
2019-04-04 09:32:58,0.08679840267745058
2019-04-04 09:32:59,0.08119847147603482
2019-04-04 09:33:00,0.0759598304359607
2019-04-04 09:33:01,0.26460859317136354
2019-04-04 09:33:02,0.24753698554073478
