h_m_s,HSD
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,0.0
2019-04-04 09:30:12,0.0
2019-04-04 09:30:13,0.0
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.0
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,0.42226376653592246
2019-04-04 09:30:18,0.2585189733954675
2019-04-04 09:30:19,0.16344708500217092
2019-04-04 09:30:20,0.1053386908796606
2019-04-04 09:30:21,0.1053386908796606
2019-04-04 09:30:22,0.0585242363427395
2019-04-04 09:30:23,0.03511536428631244
2019-04-04 09:30:24,0.02194739184288799
2019-04-04 09:30:25,0.014046441820743123
2019-04-04 09:30:26,0.00912111106634992
2019-04-04 09:30:27,0.0059772575431620255
2019-04-04 09:30:28,0.003940135724119811
2019-04-04 09:30:29,0.0026072580211558166
2019-04-04 09:30:30,0.001729612427096487
2019-04-04 09:30:31,0.0011493018116566724
2019-04-04 09:30:32,0.000764533382515187
2019-04-04 09:30:33,0.0005089503513192627
2019-04-04 09:30:34,0.00033897277272107874
2019-04-04 09:30:35,0.00033897277272107874
2019-04-04 09:30:36,0.00019353862520230672
2019-04-04 09:30:37,0.00011775533834491689
2019-04-04 09:30:38,7.418359602419578e-05
2019-04-04 09:30:39,7.418359602419578e-05
2019-04-04 09:30:40,4.0481223692230166e-05
2019-04-04 09:30:41,2.407496592698357e-05
2019-04-04 09:30:42,2.407496592698357e-05
2019-04-04 09:30:43,1.2592289647232472e-05
2019-04-04 09:30:44,7.340591502635313e-06
2019-04-04 09:30:45,4.515661507062725e-06
2019-04-04 09:30:46,2.86298714366186e-06
2019-04-04 09:30:47,1.8483038082601376e-06
2019-04-04 09:30:48,1.2067629150205612e-06
2019-04-04 09:30:49,7.935858785191365e-07
2019-04-04 09:30:50,7.935858785191365e-07
2019-04-04 09:30:51,7.935858785191365e-07
2019-04-04 09:30:52,3.6815968413180156e-07
2019-04-04 09:30:53,3.6815968413180156e-07
2019-04-04 09:30:54,1.6687639448968594e-07
2019-04-04 09:30:55,1.6687639448968594e-07
2019-04-04 09:30:56,7.482781651009319e-08
2019-04-04 09:30:57,4.09477831393795e-08
2019-04-04 09:30:58,2.4385875279745535e-08
2019-04-04 09:30:59,1.517765228930591e-08
2019-04-04 09:31:00,9.689468120088854e-09
2019-04-04 09:31:01,6.282094271414248e-09
2019-04-04 09:31:02,4.112701148040437e-09
2019-04-04 09:31:03,2.7092992794671305e-09
2019-04-04 09:31:04,1.792037565841241e-09
2019-04-04 09:31:05,1.18847933323461e-09
2019-04-04 09:31:06,7.895823453147336e-10
2019-04-04 09:31:07,5.251786808397223e-10
2019-04-04 09:31:08,3.495835986803172e-10
2019-04-04 09:31:09,2.3281832885435409e-10
2019-04-04 09:31:10,1.5510688553915968e-10
2019-04-04 09:31:11,1.0335782831011464e-10
2019-04-04 09:31:12,6.888445140004514e-11
2019-04-04 09:31:13,4.5913742247342424e-11
2019-04-04 09:31:14,3.060506271407849e-11
2019-04-04 09:31:15,2.0401553867398586e-11
2019-04-04 09:31:16,1.360022657631859e-11
2019-04-04 09:31:17,9.066458048649165e-12
2019-04-04 09:31:18,9.066458048649165e-12
2019-04-04 09:31:19,9.066458048649165e-12
2019-04-04 09:31:20,4.266389295934005e-12
2019-04-04 09:31:21,4.266389295934005e-12
2019-04-04 09:31:22,1.9470374780353505e-12
