h_m_s,SU
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,-0.15165876777251228
2019-04-04 09:30:05,-0.09624060150375968
2019-04-04 09:30:06,-0.062166100048567464
2019-04-04 09:30:07,-0.0406026962727995
2019-04-04 09:30:08,-0.02670700537269844
2019-04-04 09:30:09,-0.017647565704437807
2019-04-04 09:30:10,-0.01169624041256665
2019-04-04 09:30:11,-0.007767211218462328
2019-04-04 09:30:12,-0.005164768862092748
2019-04-04 09:30:13,-0.003437261687350602
2019-04-04 09:30:14,-0.0022888852923263836
2019-04-04 09:30:15,-0.0015247601944897585
2019-04-04 09:30:16,-0.001015990415745202
2019-04-04 09:30:17,-0.000677097635594039
2019-04-04 09:30:18,-0.0004512965664499944
2019-04-04 09:30:19,-0.000300819124753955
2019-04-04 09:30:20,-0.00020052597581979122
2019-04-04 09:30:21,-0.00013367504877332813
2019-04-04 09:30:22,-8.911272846611075e-05
2019-04-04 09:30:23,-0.666765677868354
2019-04-04 09:30:24,-0.4445016497837366
2019-04-04 09:30:25,0.703695880854593
2019-04-04 09:30:26,1.1358048594297723
2019-04-04 09:30:27,0.7571987970699937
2019-04-04 09:30:28,0.5047972235993676
2019-04-04 09:30:29,0.33653060487316794
2019-04-04 09:30:30,0.2243533465720689
2019-04-04 09:30:31,0.14956872437741792
2019-04-04 09:30:32,0.09971240587962978
2019-04-04 09:30:33,0.06647490301373113
2019-04-04 09:30:34,0.04431658679167587
2019-04-04 09:30:35,0.029544384431130794
2019-04-04 09:30:36,0.019696253281501774
2019-04-04 09:30:37,0.013130834185037632
2019-04-04 09:30:38,0.008753888862930277
2019-04-04 09:30:39,0.005835925644726225
2019-04-04 09:30:40,0.0038906169791979553
2019-04-04 09:30:41,-1.6640729890569064
2019-04-04 09:30:42,-1.1093819778409024
2019-04-04 09:30:43,-0.7395879786211788
2019-04-04 09:30:44,-0.4930586494780794
2019-04-04 09:30:45,-0.3287057650138131
2019-04-04 09:30:46,-0.21913717609591696
2019-04-04 09:30:47,-0.146091450472852
2019-04-04 09:30:48,-0.09739430020067498
2019-04-04 09:30:49,-0.06492953341620124
2019-04-04 09:30:50,-0.04328635558817176
2019-04-04 09:30:51,-0.028857570382057142
2019-04-04 09:30:52,-0.019238380250234822
2019-04-04 09:30:53,-0.012825586831503241
2019-04-04 09:30:54,-0.00855039122011921
2019-04-04 09:30:55,-0.005700260813020385
2019-04-04 09:30:56,-0.0038001738751725135
2019-04-04 09:30:57,-0.0025334492500374934
2019-04-04 09:30:58,-0.0016889661666572111
2019-04-04 09:30:59,-0.001125977444422829
2019-04-04 09:31:00,-0.0007506516296084143
2019-04-04 09:31:01,-0.0005004344197359185
2019-04-04 09:31:02,-0.0003336229464892681
2019-04-04 09:31:03,-0.00022241529765891464
2019-04-04 09:31:04,-0.00014827686510567758
2019-04-04 09:31:05,-9.885124340366703e-05
2019-04-04 09:31:06,-6.590082893572558e-05
2019-04-04 09:31:07,1.666622732782478
2019-04-04 09:31:08,1.1110818218545924
2019-04-04 09:31:09,0.4073878812360631
2019-04-04 09:31:10,-0.0617414125094387
2019-04-04 09:31:11,0.6255057249938515
2019-04-04 09:31:12,1.0836704833292983
2019-04-04 09:31:13,1.0557803222195294
2019-04-04 09:31:14,1.703853548146393
2019-04-04 09:31:15,1.1359023654309053
2019-04-04 09:31:16,0.7572682436205932
2019-04-04 09:31:17,0.5048454957470575
2019-04-04 09:31:18,0.3365636638313697
2019-04-04 09:31:19,-0.1089575574457571
2019-04-04 09:31:20,-0.07263837163050454
2019-04-04 09:31:21,-0.04842558108700295
2019-04-04 09:31:22,-0.0322837207246686
2019-04-04 09:31:23,-0.021522480483112384
2019-04-04 09:31:24,-0.014348320322074917
2019-04-04 09:31:25,2.6571011197852847
2019-04-04 09:31:26,2.1047340798568563
2019-04-04 09:31:27,1.4031560532379042
2019-04-04 09:31:28,0.9354373688252694
2019-04-04 09:31:29,0.6236249125501796
2019-04-04 09:31:30,0.41574994170011975
2019-04-04 09:31:31,0.27716662780007983
2019-04-04 09:31:32,0.18477775186671988
2019-04-04 09:31:33,0.12318516791114659
2019-04-04 09:31:34,0.08212344527409772
2019-04-04 09:31:35,0.05474896351606515
2019-04-04 09:31:36,0.0364993090107101
2019-04-04 09:31:37,0.024332872673806735
2019-04-04 09:31:38,0.016221915115871156
2019-04-04 09:31:39,0.010814610077247438
2019-04-04 09:31:40,-0.32612359328183504
2019-04-04 09:31:41,-0.2174157288545567
2019-04-04 09:31:42,-0.14494381923637115
2019-04-04 09:31:43,-0.09662921282424743
2019-04-04 09:31:44,-1.7310861418828318
2019-04-04 09:31:45,-1.4873907612552213
2019-04-04 09:31:46,-1.3249271741701476
2019-04-04 09:31:47,-0.8832847827800984
2019-04-04 09:31:48,-0.5888565218533989
2019-04-04 09:31:49,-0.39257101456893256
2019-04-04 09:31:50,-0.595047343045955
2019-04-04 09:31:51,-0.3966982286973033
2019-04-04 09:31:52,-0.2644654857982022
2019-04-04 09:31:53,-0.17631032386546816
2019-04-04 09:31:54,-0.1175402159103121
2019-04-04 09:31:55,-0.07836014394020807
2019-04-04 09:31:56,-0.38557342929347205
2019-04-04 09:31:57,-0.2570489528623147
2019-04-04 09:31:58,0.8286340314251235
2019-04-04 09:31:59,0.552422687616749
2019-04-04 09:32:00,-2.6317182082555006
2019-04-04 09:32:01,-0.7544788055036671
2019-04-04 09:32:02,-0.502985870335778
2019-04-04 09:32:03,-0.3353239135571853
2019-04-04 09:32:04,-0.22354927570479022
2019-04-04 09:32:05,-0.14903285046986015
2019-04-04 09:32:06,-0.09935523364657343
2019-04-04 09:32:07,-0.39957015576438226
2019-04-04 09:32:08,-0.2663801038429215
2019-04-04 09:32:09,-0.17758673589528098
2019-04-04 09:32:10,0.5482755094031461
2019-04-04 09:32:11,0.36551700626876404
2019-04-04 09:32:12,-0.0896553291541573
2019-04-04 09:32:13,-0.05977021943610487
2019-04-04 09:32:14,-0.03984681295740324
2019-04-04 09:32:15,-0.02656454197160216
2019-04-04 09:32:16,-0.017709694647734774
2019-04-04 09:32:17,-0.01180646309848985
2019-04-04 09:32:18,-1.3412043087323264
2019-04-04 09:32:19,-0.894136205821551
2019-04-04 09:32:20,-0.596090803881034
2019-04-04 09:32:21,-0.39739386925402265
2019-04-04 09:32:22,-7.264929246169348
2019-04-04 09:32:23,-5.843286164112899
2019-04-04 09:32:24,-3.8955241094085995
2019-04-04 09:32:25,-1.263682739605733
2019-04-04 09:32:26,-1.1757884930704887
2019-04-04 09:32:27,-0.7838589953803258
