h_m_s,XSP
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,0.2559241706161137
2019-04-04 09:30:05,0.162406015037594
2019-04-04 09:30:06,0.10490529383195729
2019-04-04 09:30:07,0.10490529383195729
2019-04-04 09:30:08,0.10490529383195729
2019-04-04 09:30:09,0.10490529383195729
2019-04-04 09:30:10,0.0375680758318568
2019-04-04 09:30:11,0.0375680758318568
2019-04-04 09:30:12,0.0375680758318568
2019-04-04 09:30:13,0.011864734813650123
2019-04-04 09:30:14,0.011864734813650123
2019-04-04 09:30:15,0.011864734813650123
2019-04-04 09:30:16,0.003585477357766579
2019-04-04 09:30:17,0.0017518284457935657
2019-04-04 09:30:18,0.0009913494436723906
2019-04-04 09:30:19,0.0009913494436723906
2019-04-04 09:30:20,0.0005015077090055057
2019-04-04 09:30:21,0.00028802845653409554
2019-04-04 09:30:22,0.00028802845653409554
2019-04-04 09:30:23,0.00014712078940149742
2019-04-04 09:30:24,8.485347628971399e-05
2019-04-04 09:30:25,5.1902623960162074e-05
2019-04-04 09:30:26,3.279807949203189e-05
2019-04-04 09:30:27,2.1131060152529877e-05
2019-04-04 09:30:28,1.377887403417687e-05
2019-04-04 09:30:29,9.053737487019007e-06
2019-04-04 09:30:30,5.978474441811228e-06
2019-04-04 09:30:31,3.9605616037551235e-06
2019-04-04 09:30:32,2.352837291518857
2019-04-04 09:30:33,1.5642004817781257
2019-04-04 09:30:34,1.0408725112004837
2019-04-04 09:30:35,1.0408725112004837
2019-04-04 09:30:36,0.5938432953353197
2019-04-04 09:30:37,0.3611717087390568
2019-04-04 09:30:38,0.22747970949613472
2019-04-04 09:30:39,0.14626636191266723
2019-04-04 09:30:40,0.14626636191266723
2019-04-04 09:30:41,0.14626636191266723
2019-04-04 09:30:42,0.06633633175002311
2019-04-04 09:30:43,0.06633633175002311
2019-04-04 09:30:44,0.06633633175002311
2019-04-04 09:30:45,0.06633633175002311
2019-04-04 09:30:46,0.01761219840709601
2019-04-04 09:30:47,0.01761219840709601
2019-04-04 09:30:48,0.006639527415766944
2019-04-04 09:30:49,0.003432126176322167
2019-04-04 09:30:50,0.0019900824046365376
2019-04-04 09:30:51,0.0012207291754804178
2019-04-04 09:30:52,0.0007726669600326582
2019-04-04 09:30:53,0.0007726669600326582
2019-04-04 09:30:54,0.00042318190671226415
2019-04-04 09:30:55,0.00025212433803356793
2019-04-04 09:30:56,0.0001569571049697771
2019-04-04 09:30:57,0.00010021573254008769
2019-04-04 09:30:58,6.497965712386058e-05
2019-04-04 09:30:59,4.254256552363354e-05
2019-04-04 09:31:00,2.8026492283822467e-05
2019-04-04 09:31:01,1.8538254306141986e-05
2019-04-04 09:31:02,1.22947560211287e-05
2019-04-04 09:31:03,8.168269198868853e-06
2019-04-04 09:31:04,5.43303587301183e-06
2019-04-04 09:31:05,3.6164997584344214e-06
2019-04-04 09:31:06,2.408550892665463e-06
2019-04-04 09:31:07,1.604614015874901e-06
2019-04-04 09:31:08,1.0692602975584312e-06
2019-04-04 09:31:09,1.0692602975584312e-06
2019-04-04 09:31:10,6.107698144991929e-07
2019-04-04 09:31:11,3.7169800350086846e-07
2019-04-04 09:31:12,2.3419350396385802e-07
2019-04-04 09:31:13,2.3419350396385802e-07
2019-04-04 09:31:14,1.2781003426261038e-07
2019-04-04 09:31:15,7.601487654650902e-08
2019-04-04 09:31:16,4.7276559514590325e-08
2019-04-04 09:31:17,3.016832501928581e-08
2019-04-04 09:31:18,1.9554097924407847e-08
2019-04-04 09:31:19,1.2799276652899112e-08
2019-04-04 09:31:20,8.430759560091062e-09
2019-04-04 09:31:21,8.430759560091062e-09
2019-04-04 09:31:22,4.76867267345591e-09
2019-04-04 09:31:23,2.8873779560287067e-09
2019-04-04 09:31:24,1.8139453537125714e-09
2019-04-04 09:31:25,1.1645390881176983e-09
2019-04-04 09:31:26,7.576645568072076e-10
2019-04-04 09:31:27,4.971290825042398e-10
2019-04-04 09:31:28,4.971290825042398e-10
2019-04-04 09:31:29,4.971290825042398e-10
2019-04-04 09:31:30,2.300938171200301e-10
2019-04-04 09:31:31,1.2742411084246367e-10
2019-04-04 09:31:32,7.633330898520812e-11
2019-04-04 09:31:33,4.7665829049044474e-11
2019-04-04 09:31:34,3.048983802674047e-11
2019-04-04 09:31:35,1.9792006769822492e-11
2019-04-04 09:31:36,1.2967326282657838e-11
2019-04-04 09:31:37,1.2967326282657838e-11
2019-04-04 09:31:38,1.2967326282657838e-11
2019-04-04 09:31:39,1.2967326282657838e-11
2019-04-04 09:31:40,4.7228596208552505e-12
2019-04-04 09:31:41,2.4174152590336844e-12
2019-04-04 09:31:42,1.395560004996099e-12
2019-04-04 09:31:43,1.395560004996099e-12
2019-04-04 09:31:44,7.152727608180985e-13
2019-04-04 09:31:45,4.131663200941687e-13
2019-04-04 09:31:46,2.5292572245576805e-13
2019-04-04 09:31:47,1.5990212397823014e-13
2019-04-04 09:31:48,1.0305061610096111e-13
2019-04-04 09:31:49,1.0305061610096111e-13
2019-04-04 09:31:50,5.725149725030916e-14
2019-04-04 09:31:51,3.435124485227005e-14
2019-04-04 09:31:52,2.146964985172787e-14
2019-04-04 09:31:53,1.3740622684049207e-14
2019-04-04 09:31:54,1.3740622684049207e-14
2019-04-04 09:31:55,7.591524807002015e-15
2019-04-04 09:31:56,4.542373010007581e-15
2019-04-04 09:31:57,2.83459281926622e-15
2019-04-04 09:31:58,1.812457692034225e-15
2019-04-04 09:31:59,1.1762408627343678e-15
2019-04-04 09:32:00,7.705291122122919e-16
2019-04-04 09:32:01,5.0780116384551555e-16
2019-04-04 09:32:02,3.359681546865249e-16
2019-04-04 09:32:03,2.2285267972495213e-16
2019-04-04 09:32:04,1.4807214844638128e-16
2019-04-04 09:32:05,1.4807214844638128e-16
2019-04-04 09:32:06,8.437107203287923e-17
2019-04-04 09:32:07,5.1279915166632643e-17
2019-04-04 09:32:08,3.2285741424281277e-17
2019-04-04 09:32:09,2.0754490141798272e-17
2019-04-04 09:32:10,1.351429441276863e-17
2019-04-04 09:32:11,8.871871226802345e-18
2019-04-04 09:32:12,5.854941611951075e-18
2019-04-04 09:32:13,3.877230576916004e-18
2019-04-04 09:32:14,2.5733648057210394e-18
2019-04-04 09:32:15,1.7105226650746164e-18
2019-04-04 09:32:16,1.1381132846011297e-18
2019-04-04 09:32:17,1.1381132846011297e-18
2019-04-04 09:32:18,6.492596551152328e-19
2019-04-04 09:32:19,3.948559981037158e-19
2019-04-04 09:32:20,2.4868827070018314e-19
