h_m_s,ACB
2019-04-04 09:30:00,3000.0
2019-04-04 09:30:01,1405.0
2019-04-04 09:30:02,759.8006644518272
2019-04-04 09:30:03,1168.3910891089108
2019-04-04 09:30:04,832.9777847493185
2019-04-04 09:30:05,824.412314937264
2019-04-04 09:30:06,649.8580473799258
2019-04-04 09:30:07,502.01220975790613
2019-04-04 09:30:08,392.7919204639326
2019-04-04 09:30:09,1003.4689004815104
2019-04-04 09:30:10,8704.398924276962
2019-04-04 09:30:11,6965.275950024384
2019-04-04 09:30:12,5598.206456145209
2019-04-04 09:30:13,4515.102675614323
2019-04-04 09:30:14,3842.859085552718
2019-04-04 09:30:15,3114.79677891536
2019-04-04 09:30:16,2529.146614494478
2019-04-04 09:30:17,2037.8571867868236
2019-04-04 09:30:18,1658.9690036303173
2019-04-04 09:30:19,1592.5007242341533
2019-04-04 09:30:20,1298.6097094094885
2019-04-04 09:30:21,1059.607520825395
2019-04-04 09:30:22,865.0256431348591
2019-04-04 09:30:23,1018.07863711039
2019-04-04 09:30:24,831.7387588887949
2019-04-04 09:30:25,679.689239140325
2019-04-04 09:30:26,555.5587934993355
2019-04-04 09:30:27,454.18019396277964
2019-04-04 09:30:28,371.35605234996564
2019-04-04 09:30:29,267.22014848012213
2019-04-04 09:30:30,218.53790263858227
2019-04-04 09:30:31,160.52757951745386
2019-04-04 09:30:32,331.5683319644584
2019-04-04 09:30:33,271.2174788723014
2019-04-04 09:30:34,-142.09930541894323
2019-04-04 09:30:35,-116.24422552517055
2019-04-04 09:30:36,-95.09630190525252
2019-04-04 09:30:37,-77.79762589983355
2019-04-04 09:30:38,-63.64695467732293
2019-04-04 09:30:39,-52.07100059506414
2019-04-04 09:30:40,-42.60101552445547
2019-04-04 09:30:41,-1362.4166435171767
2019-04-04 09:30:42,-1114.6602098169644
2019-04-04 09:30:43,-911.9650527180404
2019-04-04 09:30:44,-564.2934126586375
2019-04-04 09:30:45,-461.6845577951268
2019-04-04 09:30:46,-1105.0662097731154
2019-04-04 09:30:47,-904.1319028401123
2019-04-04 09:30:48,-739.7354628174052
2019-04-04 09:30:49,-1441.6325574815953
2019-04-04 09:30:50,-197.65468104225218
2019-04-04 09:30:51,-161.71641010272998
2019-04-04 09:30:52,-150.49497480021253
2019-04-04 09:30:53,-123.1317137671396
2019-04-04 09:30:54,-100.74376907091991
2019-04-04 09:30:55,-82.42647890778738
2019-04-04 09:30:56,-67.43968488795056
2019-04-04 09:30:57,-55.17781589405828
2019-04-04 09:30:58,-45.14541336383362
2019-04-04 09:30:59,-36.93710794425996
2019-04-04 09:31:00,-30.221237706613778
2019-04-04 09:31:01,-24.726445505474185
2019-04-04 09:31:02,-20.2307136083759
2019-04-04 09:31:03,-16.55239231488393
2019-04-04 09:31:04,-631.7260157997374
2019-04-04 09:31:05,-516.8665368446028
2019-04-04 09:31:06,-422.89066674262557
2019-04-04 09:31:07,-346.0013634791541
2019-04-04 09:31:08,-283.09196366145005
2019-04-04 09:31:09,-231.62065670427424
2019-04-04 09:31:10,-280.4169326154135
2019-04-04 09:31:11,-320.3411478896284
2019-04-04 09:31:12,-825.7338860722595
2019-04-04 09:31:13,-675.6003988626603
2019-04-04 09:31:14,-552.7639269732509
2019-04-04 09:31:15,-452.2613708761542
2019-04-04 09:31:16,-533.6684102057415
2019-04-04 09:31:17,-436.63777470884366
2019-04-04 09:31:18,-829.9764124000704
2019-04-04 09:31:19,-879.0716153818179
2019-04-04 09:31:20,-991.9676951641748
2019-04-04 09:31:21,-8647.974115393665
2019-04-04 09:31:22,-7221.069647421891
2019-04-04 09:31:23,-5944.511468695332
2019-04-04 09:31:24,-4863.691159394069
2019-04-04 09:31:25,-4252.110929027513
2019-04-04 09:31:26,-3478.9998307840897
2019-04-04 09:31:27,-2846.4543934571307
2019-04-04 09:31:28,-2328.9172219410348
2019-04-04 09:31:29,-1905.4777209714505
2019-04-04 09:31:30,-1559.0272221851674
2019-04-04 09:31:31,-1002.8404491768182
2019-04-04 09:31:32,-820.5058206218929
2019-04-04 09:31:33,-853.1411261730536
2019-04-04 09:31:34,-698.0245569625139
2019-04-04 09:31:35,-571.1110006052753
2019-04-04 09:31:36,-467.27263649344286
2019-04-04 09:31:37,-382.3139750681977
2019-04-04 09:31:38,-458.25688887106566
2019-04-04 09:31:39,-393.11927258714076
2019-04-04 09:31:40,-830.7339509886891
2019-04-04 09:31:41,-679.6914142504047
2019-04-04 09:31:42,-501.5657023804693
2019-04-04 09:31:43,-410.37193823252557
2019-04-04 09:31:44,-335.7588585011559
2019-04-04 09:31:45,-274.7117932838299
2019-04-04 09:31:46,-224.7641944813227
2019-04-04 09:31:47,-183.89797728708263
2019-04-04 09:31:48,-241.3710723439959
2019-04-04 09:31:49,-197.48542281553458
2019-04-04 09:31:50,-161.5789822960071
2019-04-04 09:31:51,-150.38280369479108
2019-04-04 09:31:52,-123.04047574640329
2019-04-04 09:31:53,-100.66948015355058
2019-04-04 09:31:54,-82.36593830571161
2019-04-04 09:31:55,-67.39031315805455
2019-04-04 09:31:56,-55.137528946719954
2019-04-04 09:31:57,-45.11252368315833
2019-04-04 09:31:58,-36.91024664950762
2019-04-04 09:31:59,-30.19929271299975
2019-04-04 09:32:00,-24.708512219570583
2019-04-04 09:32:01,-202.0342372746926
2019-04-04 09:32:02,-165.30073958768406
2019-04-04 09:32:03,-135.24605966218147
2019-04-04 09:32:04,-110.65586699601624
