h_m_s,CNR
2019-04-04 09:30:00,-1000.0
2019-04-04 09:30:01,-889.9999999999999
2019-04-04 09:30:02,-492.02657807308964
2019-04-04 09:30:03,-264.0346534653465
2019-04-04 09:30:04,-188.23748553949918
2019-04-04 09:30:05,-139.3457084798245
2019-04-04 09:30:06,-105.76899038791767
2019-04-04 09:30:07,-104.45651727232905
2019-04-04 09:30:08,-473.34744481238585
2019-04-04 09:30:09,-373.91789584690775
2019-04-04 09:30:10,-297.53114442513953
2019-04-04 09:30:11,-238.08496631142168
2019-04-04 09:30:12,-191.35620829366417
2019-04-04 09:30:13,-154.33388082958623
2019-04-04 09:30:14,-124.81839531140321
2019-04-04 09:30:15,-101.17048973431822
2019-04-04 09:30:16,-82.14821696566685
2019-04-04 09:30:17,-66.79777957363625
2019-04-04 09:30:18,-54.378415986411845
2019-04-04 09:30:19,-44.30946933544146
2019-04-04 09:30:20,-36.132295717138895
2019-04-04 09:30:21,-29.482339465933336
2019-04-04 09:30:22,-24.06832639105217
2019-04-04 09:30:23,-19.656538910582533
2019-04-04 09:30:24,-16.058784342966714
2019-04-04 09:30:25,-13.123090387385641
2019-04-04 09:30:26,-10.726443560913145
2019-04-04 09:30:27,-8.76907768184245
2019-04-04 09:30:28,-7.169951737142611
2019-04-04 09:30:29,-5.863149434481145
2019-04-04 09:30:30,-4.794999132946794
2019-04-04 09:30:31,-3.921760982121842
2019-04-04 09:30:32,-3.2077634930259014
2019-04-04 09:30:33,-2.6238981335839684
2019-04-04 09:30:34,-2.1464004263106
2019-04-04 09:30:35,-1.7558611879753068
2019-04-04 09:30:36,-1.436423227743554
2019-04-04 09:30:37,-1.1751278931662856
2019-04-04 09:30:38,-0.9613829585585413
2019-04-04 09:30:39,-73.53756089729013
2019-04-04 09:30:40,-60.16352168414074
2019-04-04 09:30:41,-49.22230757648808
2019-04-04 09:30:42,-40.27119600450744
2019-04-04 09:30:43,-32.94808863169148
2019-04-04 09:30:44,-26.95680966185979
2019-04-04 09:30:45,-22.055091321492917
2019-04-04 09:30:46,-18.04475326070509
2019-04-04 09:30:47,-14.76367384831291
2019-04-04 09:30:48,-12.079225467833417
2019-04-04 09:30:49,-9.88290623115906
2019-04-04 09:30:50,-8.085949641749373
2019-04-04 09:30:51,-6.615733770836599
2019-04-04 09:30:52,-5.412844160689962
2019-04-04 09:30:53,-4.428671314407691
2019-04-04 09:30:54,-3.623445386567531
2019-04-04 09:30:55,-2.964628457757789
2019-04-04 09:30:56,-2.425599293458926
2019-04-04 09:30:57,-1.9845773518901406
2019-04-04 09:30:58,-1.623742503248131
2019-04-04 09:30:59,-1.3285148511721607
2019-04-04 09:31:00,-1.0869655300200547
2019-04-04 09:31:01,-0.8893346528454025
2019-04-04 09:31:02,-0.727636920548751
2019-04-04 09:31:03,-0.5953389487324093
2019-04-04 09:31:04,-0.48709526927908653
2019-04-04 09:31:05,54.14701878043016
2019-04-04 09:31:06,44.3020920138732
2019-04-04 09:31:07,36.247156646538535
2019-04-04 09:31:08,-79.43425673831355
2019-04-04 09:31:09,-137.71898357397097
2019-04-04 09:31:10,-167.22464207742388
2019-04-04 09:31:11,-136.8201455514716
2019-04-04 09:31:12,-111.94374464122826
2019-04-04 09:31:13,-91.59032928821252
2019-04-04 09:31:14,-74.93753730068092
2019-04-04 09:31:15,-61.3125272759142
2019-04-04 09:31:16,-50.164792873113456
2019-04-04 09:31:17,-41.043919988447286
2019-04-04 09:31:18,-33.58138810865965
2019-04-04 09:31:19,-27.475680528601117
2019-04-04 09:31:20,-40.661921583177694
2019-04-04 09:31:21,-51.45066388380284
2019-04-04 09:31:22,-42.09599717664467
2019-04-04 09:31:23,-34.44217914234725
2019-04-04 09:31:24,-28.1799645079441
2019-04-04 09:31:25,-23.056334433477215
2019-04-04 09:31:26,-18.864273517651117
2019-04-04 09:31:27,-15.43440553188905
2019-04-04 09:31:28,-12.628149931459545
2019-04-04 09:31:29,-10.332122638274065
2019-04-04 09:31:30,-8.453554863823172
2019-04-04 09:31:31,-6.916544873830268
2019-04-04 09:31:32,-5.658991250531058
2019-04-04 09:31:33,-4.630083743823613
2019-04-04 09:31:34,-3.7882503314302127
2019-04-04 09:31:35,-3.099477540934941
2019-04-04 09:31:36,-2.535936167872696
2019-04-04 09:31:37,-2.0748568632955418
2019-04-04 09:31:38,-1.6976101599894644
2019-04-04 09:31:39,-1.3889537666691882
2019-04-04 09:31:40,-1.1364167177856297
2019-04-04 09:31:41,-0.9297954961034625
2019-04-04 09:31:42,-0.7607417693607301
2019-04-04 09:31:43,-0.6224250839029463
2019-04-04 09:31:44,-0.509256886749708
2019-04-04 09:31:45,-0.41666472546895117
2019-04-04 09:31:46,-0.3409075026205756
2019-04-04 09:31:47,-0.27892432030193415
2019-04-04 09:31:48,-0.22821080750370396
2019-04-04 09:31:49,-0.18671793340137025
2019-04-04 09:31:50,-0.1527692182302877
2019-04-04 09:31:51,-0.12499299672905388
2019-04-04 09:31:52,-0.10226699732054617
2019-04-04 09:31:53,-0.08367299780556059
2019-04-04 09:31:54,-0.06845972547583155
2019-04-04 09:31:55,-0.05601250266107649
2019-04-04 09:31:56,-54.591282960190945
2019-04-04 09:31:57,-44.66559514873067
2019-04-04 09:31:58,-36.544577848615724
2019-04-04 09:31:59,-29.90010914863597
2019-04-04 09:32:00,-24.46372566691086
2019-04-04 09:32:01,-38.197593727792764
2019-04-04 09:32:02,-31.252576686243398
2019-04-04 09:32:03,-25.570290015928627
2019-04-04 09:32:04,-20.9211463766095
2019-04-04 09:32:05,-17.11730158082257
2019-04-04 09:32:06,-32.18688311171094
2019-04-04 09:32:07,-26.334722545904377
2019-04-04 09:32:08,-21.54659117389436
2019-04-04 09:32:09,-17.629029142258858
2019-04-04 09:32:10,-14.42375111638133
2019-04-04 09:32:11,-29.98306909526987
2019-04-04 09:32:12,-24.531601987025
2019-04-04 09:32:13,-20.071310716647456
2019-04-04 09:32:14,-16.42198149543256
2019-04-04 09:32:15,-13.436166678076994
2019-04-04 09:32:16,-29.17504546389927
2019-04-04 09:32:17,-23.870491743185323
2019-04-04 09:32:18,-19.530402335330106
2019-04-04 09:32:19,-15.979420092540577
2019-04-04 09:32:20,-13.07407098480443
2019-04-04 09:32:21,-28.87878535121029
2019-04-04 09:32:22,-23.62809710553388
2019-04-04 09:32:23,-19.33207944998105
2019-04-04 09:32:24,-15.817155913620049
2019-04-04 09:32:25,-12.941309383870406
2019-04-04 09:32:26,-28.770162223169148
2019-04-04 09:32:27,-96.26649636441967
2019-04-04 09:32:28,-78.76349702543246
2019-04-04 09:32:29,-64.44286120262534
2019-04-04 09:32:30,-52.72597734760173
2019-04-04 09:32:31,-43.139436011673595
2019-04-04 09:32:32,-35.29590219136894
2019-04-04 09:32:33,-28.87846542930161
2019-04-04 09:32:34,-23.627835351246606
2019-04-04 09:32:35,-19.331865287383476
2019-04-04 09:32:36,-15.816980689677315
2019-04-04 09:32:37,-12.941166018826843
2019-04-04 09:32:38,-10.588226742676474
2019-04-04 09:32:39,-8.663094607644366
2019-04-04 09:32:40,-7.087986497163557
2019-04-04 09:32:41,-5.799261679497445
2019-04-04 09:32:42,-4.744850465043358
2019-04-04 09:32:43,-3.8821503804900157
