h_m_s,G
2019-04-04 09:30:00,-2800.0
2019-04-04 09:30:01,-1479.9999999999998
2019-04-04 09:30:02,-885.0498338870431
2019-04-04 09:30:03,-593.4653465346533
2019-04-04 09:30:04,-423.09758632183673
2019-04-04 09:30:05,-598.9125245943941
2019-04-04 09:30:06,-1129.286186356798
2019-04-04 09:30:07,-872.3681366226426
2019-04-04 09:30:08,-682.5713579771227
2019-04-04 09:30:09,-539.1930361878944
2019-04-04 09:30:10,960.1123469414243
2019-04-04 09:30:11,168.8891478324504
2019-04-04 09:30:12,155.36832638376882
2019-04-04 09:30:13,144.65603056229216
2019-04-04 09:30:14,-169.87517277117522
2019-04-04 09:30:15,-402.932773694183
2019-04-04 09:30:16,-327.1725678400043
2019-04-04 09:30:17,-266.03621936494403
2019-04-04 09:30:18,-235.16596903471833
2019-04-04 09:30:19,-191.62160398874096
2019-04-04 09:30:20,-156.25843786794445
2019-04-04 09:30:21,-127.49990605922069
2019-04-04 09:30:22,-104.08635845902558
2019-04-04 09:30:23,-85.0070554083605
2019-04-04 09:30:24,-69.4481351291476
2019-04-04 09:30:25,-56.75237521539617
2019-04-04 09:30:26,-46.38778913546654
2019-04-04 09:30:27,-19.674884533005255
2019-04-04 09:30:28,-16.08697945823897
2019-04-04 09:30:29,-13.15495110301432
2019-04-04 09:30:30,-47.19443748311498
2019-04-04 09:30:31,-38.599653172559314
2019-04-04 09:30:32,-31.572183734513573
2019-04-04 09:30:33,-25.825530515036437
2019-04-04 09:30:34,-21.125793336899644
2019-04-04 09:30:35,-17.281938696410627
2019-04-04 09:30:36,-14.137893322073642
2019-04-04 09:30:37,-11.56611260002834
2019-04-04 09:30:38,-9.462343303311426
2019-04-04 09:30:39,-7.741355203487556
2019-04-04 09:30:40,-6.333459880457119
2019-04-04 09:30:41,-5.181669914468873
2019-04-04 09:30:42,-4.239379562446829
2019-04-04 09:30:43,-3.4684704559369344
2019-04-04 09:30:44,-2.8377639426568444
2019-04-04 09:30:45,-2.3217563090445665
2019-04-04 09:30:46,-1.8995849582979027
2019-04-04 09:30:47,-1.5541832224740255
2019-04-04 09:30:48,-1.2715892910850872
2019-04-04 09:30:49,-1.0403810874964992
2019-04-04 09:30:50,-0.8512140948177885
2019-04-04 09:30:51,-0.6964433471391013
2019-04-04 09:30:52,-0.5698142391144846
2019-04-04 09:30:53,-0.46620961187726034
2019-04-04 09:30:54,-0.38144286342370626
2019-04-04 09:30:55,-0.31208870212496065
2019-04-04 09:30:56,-0.2553446902899105
2019-04-04 09:30:57,-0.20891797364936024
2019-04-04 09:30:58,-0.17093261352793962
2019-04-04 09:30:59,-0.13985377309966068
2019-04-04 09:31:00,-0.1144256915671299
2019-04-04 09:31:01,-0.0936209381769181
2019-04-04 09:31:02,-0.07659889439367172
2019-04-04 09:31:03,-0.06267178585166097
2019-04-04 09:31:04,-18.233134416705056
2019-04-04 09:31:05,-14.918013198892856
