h_m_s,transaction_spread
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,200.0
2019-04-04 09:30:04,200.0
2019-04-04 09:30:05,380.0
2019-04-04 09:30:06,430.0
2019-04-04 09:30:07,430.0
2019-04-04 09:30:08,430.0
2019-04-04 09:30:09,600.0
2019-04-04 09:30:10,40.0
2019-04-04 09:30:11,40.0
2019-04-04 09:30:12,40.0
2019-04-04 09:30:13,40.0
2019-04-04 09:30:14,200.0
2019-04-04 09:30:15,200.0
2019-04-04 09:30:16,200.0
2019-04-04 09:30:17,170.0
2019-04-04 09:30:18,170.0
2019-04-04 09:30:19,240.0
2019-04-04 09:30:20,240.0
2019-04-04 09:30:21,240.0
2019-04-04 09:30:22,240.0
2019-04-04 09:30:23,330.0
2019-04-04 09:30:24,330.0
2019-04-04 09:30:25,330.0
2019-04-04 09:30:26,330.0
2019-04-04 09:30:27,330.0
2019-04-04 09:30:28,330.0
2019-04-04 09:30:29,270.0
2019-04-04 09:30:30,270.0
2019-04-04 09:30:31,270.0
2019-04-04 09:30:32,250.0
2019-04-04 09:30:33,250.0
2019-04-04 09:30:34,-60.0
2019-04-04 09:30:35,-60.0
2019-04-04 09:30:36,-60.0
2019-04-04 09:30:37,-60.0
2019-04-04 09:30:38,-60.0
2019-04-04 09:30:39,-60.0
2019-04-04 09:30:40,-60.0
2019-04-04 09:30:41,-510.0
2019-04-04 09:30:42,-510.0
2019-04-04 09:30:43,-510.0
2019-04-04 09:30:44,-310.0
2019-04-04 09:30:45,-310.0
2019-04-04 09:30:46,-430.0
2019-04-04 09:30:47,-430.0
2019-04-04 09:30:48,-430.0
2019-04-04 09:30:49,-670.0
2019-04-04 09:30:50,210.0
2019-04-04 09:30:51,210.0
2019-04-04 09:30:52,230.0
2019-04-04 09:30:53,230.0
2019-04-04 09:30:54,230.0
2019-04-04 09:30:55,230.0
2019-04-04 09:30:56,230.0
2019-04-04 09:30:57,230.0
2019-04-04 09:30:58,230.0
2019-04-04 09:30:59,230.0
2019-04-04 09:31:00,230.0
2019-04-04 09:31:01,230.0
2019-04-04 09:31:02,230.0
2019-04-04 09:31:03,230.0
2019-04-04 09:31:04,-190.0
2019-04-04 09:31:05,-190.0
2019-04-04 09:31:06,-190.0
2019-04-04 09:31:07,-190.0
2019-04-04 09:31:08,-190.0
2019-04-04 09:31:09,-190.0
2019-04-04 09:31:10,-220.0
2019-04-04 09:31:11,-250.0
2019-04-04 09:31:12,-450.0
2019-04-04 09:31:13,-360.0
2019-04-04 09:31:14,-360.0
2019-04-04 09:31:15,-360.0
2019-04-04 09:31:16,-550.0
2019-04-04 09:31:17,-550.0
2019-04-04 09:31:18,-430.0
2019-04-04 09:31:19,-410.0
2019-04-04 09:31:20,-610.0
2019-04-04 09:31:21,-950.0
2019-04-04 09:31:22,-180.0
2019-04-04 09:31:23,-100.0
2019-04-04 09:31:24,-100.0
2019-04-04 09:31:25,-130.0
2019-04-04 09:31:26,-130.0
2019-04-04 09:31:27,-130.0
2019-04-04 09:31:28,-130.0
2019-04-04 09:31:29,-130.0
2019-04-04 09:31:30,-130.0
2019-04-04 09:31:31,100.0
2019-04-04 09:31:32,100.0
2019-04-04 09:31:33,-100.0
2019-04-04 09:31:34,-100.0
2019-04-04 09:31:35,-100.0
2019-04-04 09:31:36,-100.0
2019-04-04 09:31:37,-100.0
2019-04-04 09:31:38,-210.0
2019-04-04 09:31:39,-140.0
2019-04-04 09:31:40,-290.0
2019-04-04 09:31:41,-290.0
2019-04-04 09:31:42,-250.0
2019-04-04 09:31:43,-250.0
2019-04-04 09:31:44,-250.0
2019-04-04 09:31:45,-250.0
2019-04-04 09:31:46,-250.0
2019-04-04 09:31:47,-250.0
2019-04-04 09:31:48,-210.0
2019-04-04 09:31:49,-210.0
2019-04-04 09:31:50,-210.0
2019-04-04 09:31:51,-170.0
2019-04-04 09:31:52,-170.0
2019-04-04 09:31:53,-170.0
2019-04-04 09:31:54,-170.0
2019-04-04 09:31:55,-170.0
2019-04-04 09:31:56,-170.0
2019-04-04 09:31:57,-170.0
2019-04-04 09:31:58,-170.0
2019-04-04 09:31:59,-170.0
2019-04-04 09:32:00,-170.0
2019-04-04 09:32:01,-230.0
2019-04-04 09:32:02,-230.0
2019-04-04 09:32:03,-230.0
2019-04-04 09:32:04,-230.0
2019-04-04 09:32:05,-230.0
2019-04-04 09:32:06,-230.0
2019-04-04 09:32:07,-230.0
2019-04-04 09:32:08,-230.0
2019-04-04 09:32:09,-270.0
2019-04-04 09:32:10,390.0
2019-04-04 09:32:11,260.0
2019-04-04 09:32:12,260.0
2019-04-04 09:32:13,260.0
2019-04-04 09:32:14,260.0
2019-04-04 09:32:15,200.0
2019-04-04 09:32:16,200.0
2019-04-04 09:32:17,200.0
2019-04-04 09:32:18,200.0
2019-04-04 09:32:19,200.0
2019-04-04 09:32:20,200.0
2019-04-04 09:32:21,200.0
2019-04-04 09:32:22,430.0
2019-04-04 09:32:23,-140.0
2019-04-04 09:32:24,-140.0
2019-04-04 09:32:25,-140.0
2019-04-04 09:32:26,-140.0
2019-04-04 09:32:27,-140.0
2019-04-04 09:32:28,-140.0
2019-04-04 09:32:29,-140.0
2019-04-04 09:32:30,-140.0
2019-04-04 09:32:31,-490.0
2019-04-04 09:32:32,-490.0
2019-04-04 09:32:33,-490.0
2019-04-04 09:32:34,-330.0
2019-04-04 09:32:35,-330.0
2019-04-04 09:32:36,-330.0
2019-04-04 09:32:37,-260.0
2019-04-04 09:32:38,-260.0
2019-04-04 09:32:39,-260.0
2019-04-04 09:32:40,-260.0
2019-04-04 09:32:41,-260.0
2019-04-04 09:32:42,-260.0
2019-04-04 09:32:43,-260.0
2019-04-04 09:32:44,-260.0
2019-04-04 09:32:45,-260.0
2019-04-04 09:32:46,-260.0
2019-04-04 09:32:47,-260.0
2019-04-04 09:32:48,-260.0
2019-04-04 09:32:49,-230.0
2019-04-04 09:32:50,-230.0
2019-04-04 09:32:51,-230.0
2019-04-04 09:32:52,-230.0
2019-04-04 09:32:53,-230.0
2019-04-04 09:32:54,-20.0
2019-04-04 09:32:55,-20.0
2019-04-04 09:32:56,-20.0
2019-04-04 09:32:57,150.0
2019-04-04 09:32:58,270.0
2019-04-04 09:32:59,270.0
2019-04-04 09:33:00,320.0
2019-04-04 09:33:01,320.0
2019-04-04 09:33:02,190.0
2019-04-04 09:33:03,190.0
2019-04-04 09:33:04,170.0
2019-04-04 09:33:05,170.0
2019-04-04 09:33:06,170.0
2019-04-04 09:33:07,140.0
2019-04-04 09:33:08,140.0
