h_m_s,transaction_spread
2019-04-04 09:30:00,-160.0
2019-04-04 09:30:01,-140.0
2019-04-04 09:30:02,-140.0
2019-04-04 09:30:03,-140.0
2019-04-04 09:30:04,-140.0
2019-04-04 09:30:05,-140.0
2019-04-04 09:30:06,-140.0
2019-04-04 09:30:07,-140.0
2019-04-04 09:30:08,-140.0
2019-04-04 09:30:09,-140.0
2019-04-04 09:30:10,-140.0
2019-04-04 09:30:11,-140.0
2019-04-04 09:30:12,-140.0
2019-04-04 09:30:13,-140.0
2019-04-04 09:30:14,-140.0
2019-04-04 09:30:15,-140.0
2019-04-04 09:30:16,-140.0
2019-04-04 09:30:17,-140.0
2019-04-04 09:30:18,-140.0
2019-04-04 09:30:19,-140.0
2019-04-04 09:30:20,-140.0
2019-04-04 09:30:21,-140.0
2019-04-04 09:30:22,-400.0
2019-04-04 09:30:23,-330.0
2019-04-04 09:30:24,-330.0
2019-04-04 09:30:25,-330.0
2019-04-04 09:30:26,-330.0
2019-04-04 09:30:27,-330.0
2019-04-04 09:30:28,-330.0
2019-04-04 09:30:29,-330.0
2019-04-04 09:30:30,-350.0
2019-04-04 09:30:31,-350.0
2019-04-04 09:30:32,-350.0
2019-04-04 09:30:33,-350.0
2019-04-04 09:30:34,-350.0
2019-04-04 09:30:35,-350.0
2019-04-04 09:30:36,-350.0
2019-04-04 09:30:37,-350.0
2019-04-04 09:30:38,-70.0
2019-04-04 09:30:39,-70.0
2019-04-04 09:30:40,-70.0
2019-04-04 09:30:41,-70.0
2019-04-04 09:30:42,-70.0
2019-04-04 09:30:43,-50.0
2019-04-04 09:30:44,-50.0
2019-04-04 09:30:45,20.0
2019-04-04 09:30:46,20.0
2019-04-04 09:30:47,20.0
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,-20.0
2019-04-04 09:30:54,-20.0
2019-04-04 09:30:55,-20.0
2019-04-04 09:30:56,-20.0
2019-04-04 09:30:57,-20.0
2019-04-04 09:30:58,-20.0
2019-04-04 09:30:59,-20.0
2019-04-04 09:31:00,-20.0
2019-04-04 09:31:01,-20.0
2019-04-04 09:31:02,-20.0
2019-04-04 09:31:03,-20.0
2019-04-04 09:31:04,-20.0
2019-04-04 09:31:05,-20.0
2019-04-04 09:31:06,-20.0
2019-04-04 09:31:07,-20.0
2019-04-04 09:31:08,-20.0
2019-04-04 09:31:09,-20.0
2019-04-04 09:31:10,-20.0
2019-04-04 09:31:11,-20.0
2019-04-04 09:31:12,-20.0
2019-04-04 09:31:13,-20.0
2019-04-04 09:31:14,-20.0
2019-04-04 09:31:15,-20.0
2019-04-04 09:31:16,-20.0
2019-04-04 09:31:17,-20.0
2019-04-04 09:31:18,-40.0
2019-04-04 09:31:19,-40.0
2019-04-04 09:31:20,-40.0
2019-04-04 09:31:21,-40.0
2019-04-04 09:31:22,-100.0
2019-04-04 09:31:23,-100.0
2019-04-04 09:31:24,-100.0
2019-04-04 09:31:25,-100.0
2019-04-04 09:31:26,-100.0
2019-04-04 09:31:27,-100.0
2019-04-04 09:31:28,-100.0
2019-04-04 09:31:29,-100.0
2019-04-04 09:31:30,-100.0
2019-04-04 09:31:31,-100.0
2019-04-04 09:31:32,-100.0
2019-04-04 09:31:33,-180.0
2019-04-04 09:31:34,-180.0
2019-04-04 09:31:35,-180.0
2019-04-04 09:31:36,-180.0
2019-04-04 09:31:37,-180.0
2019-04-04 09:31:38,-180.0
2019-04-04 09:31:39,-180.0
2019-04-04 09:31:40,60.0
2019-04-04 09:31:41,90.0
2019-04-04 09:31:42,90.0
2019-04-04 09:31:43,80.0
2019-04-04 09:31:44,70.0
2019-04-04 09:31:45,30.0
2019-04-04 09:31:46,30.0
2019-04-04 09:31:47,30.0
2019-04-04 09:31:48,30.0
2019-04-04 09:31:49,30.0
2019-04-04 09:31:50,30.0
2019-04-04 09:31:51,30.0
2019-04-04 09:31:52,30.0
2019-04-04 09:31:53,30.0
2019-04-04 09:31:54,30.0
2019-04-04 09:31:55,30.0
2019-04-04 09:31:56,30.0
2019-04-04 09:31:57,30.0
2019-04-04 09:31:58,30.0
2019-04-04 09:31:59,30.0
2019-04-04 09:32:00,30.0
2019-04-04 09:32:01,30.0
2019-04-04 09:32:02,30.0
2019-04-04 09:32:03,30.0
2019-04-04 09:32:04,30.0
2019-04-04 09:32:05,30.0
2019-04-04 09:32:06,100.0
2019-04-04 09:32:07,100.0
2019-04-04 09:32:08,100.0
2019-04-04 09:32:09,80.0
2019-04-04 09:32:10,80.0
2019-04-04 09:32:11,80.0
2019-04-04 09:32:12,80.0
2019-04-04 09:32:13,80.0
2019-04-04 09:32:14,80.0
2019-04-04 09:32:15,90.0
2019-04-04 09:32:16,90.0
2019-04-04 09:32:17,90.0
2019-04-04 09:32:18,90.0
2019-04-04 09:32:19,90.0
2019-04-04 09:32:20,110.0
2019-04-04 09:32:21,110.0
2019-04-04 09:32:22,110.0
2019-04-04 09:32:23,110.0
2019-04-04 09:32:24,110.0
2019-04-04 09:32:25,110.0
2019-04-04 09:32:26,110.0
2019-04-04 09:32:27,110.0
2019-04-04 09:32:28,110.0
2019-04-04 09:32:29,110.0
2019-04-04 09:32:30,110.0
2019-04-04 09:32:31,100.0
2019-04-04 09:32:32,100.0
2019-04-04 09:32:33,100.0
2019-04-04 09:32:34,100.0
2019-04-04 09:32:35,100.0
2019-04-04 09:32:36,100.0
2019-04-04 09:32:37,100.0
2019-04-04 09:32:38,100.0
2019-04-04 09:32:39,100.0
2019-04-04 09:32:40,60.0
2019-04-04 09:32:41,60.0
2019-04-04 09:32:42,60.0
2019-04-04 09:32:43,60.0
2019-04-04 09:32:44,60.0
2019-04-04 09:32:45,-10.0
2019-04-04 09:32:46,-160.0
2019-04-04 09:32:47,-160.0
2019-04-04 09:32:48,-160.0
2019-04-04 09:32:49,-160.0
2019-04-04 09:32:50,-160.0
2019-04-04 09:32:51,-160.0
2019-04-04 09:32:52,-160.0
2019-04-04 09:32:53,-160.0
2019-04-04 09:32:54,-160.0
2019-04-04 09:32:55,-160.0
2019-04-04 09:32:56,-130.0
2019-04-04 09:32:57,-130.0
2019-04-04 09:32:58,-130.0
2019-04-04 09:32:59,-130.0
2019-04-04 09:33:00,-130.0
2019-04-04 09:33:01,-130.0
2019-04-04 09:33:02,-110.0
2019-04-04 09:33:03,-110.0
2019-04-04 09:33:04,-90.0
2019-04-04 09:33:05,-90.0
2019-04-04 09:33:06,-90.0
2019-04-04 09:33:07,-90.0
2019-04-04 09:33:08,-90.0
2019-04-04 09:33:09,-90.0
