h_m_s,transaction_spread
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,10.0
2019-04-04 09:30:11,80.0
2019-04-04 09:30:12,90.0
2019-04-04 09:30:13,90.0
2019-04-04 09:30:14,90.0
2019-04-04 09:30:15,90.0
2019-04-04 09:30:16,90.0
2019-04-04 09:30:17,90.0
2019-04-04 09:30:18,90.0
2019-04-04 09:30:19,90.0
2019-04-04 09:30:20,90.0
2019-04-04 09:30:21,90.0
2019-04-04 09:30:22,90.0
2019-04-04 09:30:23,90.0
2019-04-04 09:30:24,90.0
2019-04-04 09:30:25,90.0
2019-04-04 09:30:26,90.0
2019-04-04 09:30:27,90.0
2019-04-04 09:30:28,90.0
2019-04-04 09:30:29,90.0
2019-04-04 09:30:30,80.0
2019-04-04 09:30:31,80.0
2019-04-04 09:30:32,80.0
2019-04-04 09:30:33,80.0
2019-04-04 09:30:34,80.0
2019-04-04 09:30:35,80.0
2019-04-04 09:30:36,80.0
2019-04-04 09:30:37,80.0
2019-04-04 09:30:38,80.0
2019-04-04 09:30:39,80.0
2019-04-04 09:30:40,80.0
2019-04-04 09:30:41,80.0
2019-04-04 09:30:42,80.0
2019-04-04 09:30:43,80.0
2019-04-04 09:30:44,80.0
2019-04-04 09:30:45,80.0
2019-04-04 09:30:46,80.0
2019-04-04 09:30:47,80.0
2019-04-04 09:30:48,80.0
2019-04-04 09:30:49,80.0
2019-04-04 09:30:50,80.0
2019-04-04 09:30:51,80.0
2019-04-04 09:30:52,80.0
2019-04-04 09:30:53,80.0
2019-04-04 09:30:54,80.0
2019-04-04 09:30:55,80.0
2019-04-04 09:30:56,80.0
2019-04-04 09:30:57,80.0
2019-04-04 09:30:58,80.0
2019-04-04 09:30:59,80.0
2019-04-04 09:31:00,80.0
2019-04-04 09:31:01,80.0
2019-04-04 09:31:02,80.0
2019-04-04 09:31:03,80.0
2019-04-04 09:31:04,80.0
2019-04-04 09:31:05,80.0
2019-04-04 09:31:06,80.0
2019-04-04 09:31:07,80.0
2019-04-04 09:31:08,80.0
2019-04-04 09:31:09,80.0
2019-04-04 09:31:10,80.0
2019-04-04 09:31:11,80.0
2019-04-04 09:31:12,80.0
2019-04-04 09:31:13,80.0
2019-04-04 09:31:14,80.0
2019-04-04 09:31:15,-30.0
2019-04-04 09:31:16,-50.0
2019-04-04 09:31:17,-50.0
2019-04-04 09:31:18,-50.0
2019-04-04 09:31:19,-50.0
2019-04-04 09:31:20,-50.0
2019-04-04 09:31:21,-50.0
2019-04-04 09:31:22,-50.0
2019-04-04 09:31:23,-50.0
2019-04-04 09:31:24,-50.0
2019-04-04 09:31:25,-50.0
2019-04-04 09:31:26,-50.0
2019-04-04 09:31:27,-50.0
2019-04-04 09:31:28,-50.0
2019-04-04 09:31:29,-50.0
2019-04-04 09:31:30,-50.0
2019-04-04 09:31:31,-50.0
2019-04-04 09:31:32,-50.0
2019-04-04 09:31:33,-50.0
2019-04-04 09:31:34,-50.0
2019-04-04 09:31:35,-50.0
2019-04-04 09:31:36,-50.0
2019-04-04 09:31:37,-50.0
2019-04-04 09:31:38,-50.0
2019-04-04 09:31:39,30.0
2019-04-04 09:31:40,30.0
2019-04-04 09:31:41,30.0
2019-04-04 09:31:42,60.0
2019-04-04 09:31:43,60.0
2019-04-04 09:31:44,50.0
2019-04-04 09:31:45,50.0
2019-04-04 09:31:46,50.0
2019-04-04 09:31:47,50.0
2019-04-04 09:31:48,50.0
2019-04-04 09:31:49,50.0
2019-04-04 09:31:50,50.0
2019-04-04 09:31:51,-20.0
2019-04-04 09:31:52,-20.0
2019-04-04 09:31:53,-20.0
2019-04-04 09:31:54,-20.0
2019-04-04 09:31:55,-20.0
2019-04-04 09:31:56,-20.0
2019-04-04 09:31:57,-20.0
2019-04-04 09:31:58,-20.0
2019-04-04 09:31:59,-20.0
2019-04-04 09:32:00,-20.0
2019-04-04 09:32:01,-20.0
2019-04-04 09:32:02,-20.0
2019-04-04 09:32:03,-20.0
2019-04-04 09:32:04,-20.0
2019-04-04 09:32:05,-20.0
2019-04-04 09:32:06,-20.0
2019-04-04 09:32:07,-20.0
2019-04-04 09:32:08,-20.0
2019-04-04 09:32:09,-20.0
2019-04-04 09:32:10,-20.0
2019-04-04 09:32:11,-20.0
2019-04-04 09:32:12,-20.0
2019-04-04 09:32:13,-20.0
2019-04-04 09:32:14,-20.0
2019-04-04 09:32:15,-20.0
2019-04-04 09:32:16,-20.0
2019-04-04 09:32:17,-20.0
2019-04-04 09:32:18,-20.0
2019-04-04 09:32:19,-20.0
2019-04-04 09:32:20,-20.0
2019-04-04 09:32:21,0.0
2019-04-04 09:32:22,0.0
2019-04-04 09:32:23,0.0
2019-04-04 09:32:24,0.0
2019-04-04 09:32:25,0.0
2019-04-04 09:32:26,0.0
2019-04-04 09:32:27,0.0
2019-04-04 09:32:28,0.0
2019-04-04 09:32:29,0.0
2019-04-04 09:32:30,0.0
2019-04-04 09:32:31,0.0
2019-04-04 09:32:32,0.0
2019-04-04 09:32:33,10.0
2019-04-04 09:32:34,10.0
2019-04-04 09:32:35,10.0
2019-04-04 09:32:36,0.0
2019-04-04 09:32:37,0.0
2019-04-04 09:32:38,0.0
2019-04-04 09:32:39,0.0
2019-04-04 09:32:40,0.0
2019-04-04 09:32:41,0.0
2019-04-04 09:32:42,0.0
2019-04-04 09:32:43,0.0
2019-04-04 09:32:44,0.0
2019-04-04 09:32:45,0.0
2019-04-04 09:32:46,0.0
2019-04-04 09:32:47,0.0
2019-04-04 09:32:48,0.0
2019-04-04 09:32:49,0.0
2019-04-04 09:32:50,0.0
2019-04-04 09:32:51,0.0
2019-04-04 09:32:52,0.0
2019-04-04 09:32:53,0.0
2019-04-04 09:32:54,0.0
2019-04-04 09:32:55,0.0
2019-04-04 09:32:56,0.0
2019-04-04 09:32:57,0.0
2019-04-04 09:32:58,0.0
2019-04-04 09:32:59,0.0
2019-04-04 09:33:00,0.0
2019-04-04 09:33:01,0.0
2019-04-04 09:33:02,0.0
2019-04-04 09:33:03,0.0
2019-04-04 09:33:04,0.0
2019-04-04 09:33:05,0.0
2019-04-04 09:33:06,0.0
2019-04-04 09:33:07,0.0
2019-04-04 09:33:08,0.0
2019-04-04 09:33:09,0.0
2019-04-04 09:33:10,0.0
2019-04-04 09:33:11,0.0
2019-04-04 09:33:12,0.0
2019-04-04 09:33:13,0.0
