h_m_s,transaction_spread
2019-04-04 09:30:00,-220.0
2019-04-04 09:30:01,-190.0
2019-04-04 09:30:02,-190.0
2019-04-04 09:30:03,-190.0
2019-04-04 09:30:04,-190.0
2019-04-04 09:30:05,-230.0
2019-04-04 09:30:06,-210.0
2019-04-04 09:30:07,-210.0
2019-04-04 09:30:08,-210.0
2019-04-04 09:30:09,-210.0
2019-04-04 09:30:10,360.0
2019-04-04 09:30:11,-300.0
2019-04-04 09:30:12,-140.0
2019-04-04 09:30:13,-120.0
2019-04-04 09:30:14,-150.0
2019-04-04 09:30:15,-160.0
2019-04-04 09:30:16,-160.0
2019-04-04 09:30:17,-160.0
2019-04-04 09:30:18,-160.0
2019-04-04 09:30:19,-160.0
2019-04-04 09:30:20,-160.0
2019-04-04 09:30:21,-160.0
2019-04-04 09:30:22,-160.0
2019-04-04 09:30:23,-160.0
2019-04-04 09:30:24,-160.0
2019-04-04 09:30:25,-160.0
2019-04-04 09:30:26,-160.0
2019-04-04 09:30:27,-10.0
2019-04-04 09:30:28,-10.0
2019-04-04 09:30:29,-10.0
2019-04-04 09:30:30,-20.0
2019-04-04 09:30:31,-20.0
2019-04-04 09:30:32,-20.0
2019-04-04 09:30:33,-20.0
2019-04-04 09:30:34,-20.0
2019-04-04 09:30:35,-20.0
2019-04-04 09:30:36,-20.0
2019-04-04 09:30:37,-20.0
2019-04-04 09:30:38,-20.0
2019-04-04 09:30:39,-20.0
2019-04-04 09:30:40,-20.0
2019-04-04 09:30:41,-20.0
2019-04-04 09:30:42,-20.0
2019-04-04 09:30:43,-20.0
2019-04-04 09:30:44,-20.0
2019-04-04 09:30:45,-20.0
2019-04-04 09:30:46,-20.0
2019-04-04 09:30:47,-20.0
2019-04-04 09:30:48,-20.0
2019-04-04 09:30:49,-20.0
2019-04-04 09:30:50,-20.0
2019-04-04 09:30:51,-20.0
2019-04-04 09:30:52,-20.0
2019-04-04 09:30:53,-20.0
2019-04-04 09:30:54,-20.0
2019-04-04 09:30:55,-20.0
2019-04-04 09:30:56,-20.0
2019-04-04 09:30:57,-20.0
2019-04-04 09:30:58,-20.0
2019-04-04 09:30:59,-20.0
2019-04-04 09:31:00,-20.0
2019-04-04 09:31:01,-20.0
2019-04-04 09:31:02,-20.0
2019-04-04 09:31:03,-20.0
2019-04-04 09:31:04,-20.0
2019-04-04 09:31:05,-20.0
2019-04-04 09:31:06,250.0
2019-04-04 09:31:07,250.0
2019-04-04 09:31:08,250.0
2019-04-04 09:31:09,250.0
2019-04-04 09:31:10,250.0
2019-04-04 09:31:11,350.0
2019-04-04 09:31:12,280.0
2019-04-04 09:31:13,280.0
2019-04-04 09:31:14,280.0
2019-04-04 09:31:15,280.0
2019-04-04 09:31:16,280.0
2019-04-04 09:31:17,280.0
2019-04-04 09:31:18,-170.0
2019-04-04 09:31:19,-170.0
2019-04-04 09:31:20,-170.0
2019-04-04 09:31:21,-170.0
2019-04-04 09:31:22,-170.0
2019-04-04 09:31:23,-170.0
2019-04-04 09:31:24,-170.0
2019-04-04 09:31:25,-170.0
2019-04-04 09:31:26,-170.0
2019-04-04 09:31:27,-170.0
2019-04-04 09:31:28,-170.0
2019-04-04 09:31:29,-170.0
2019-04-04 09:31:30,-100.0
2019-04-04 09:31:31,-100.0
2019-04-04 09:31:32,-100.0
2019-04-04 09:31:33,-100.0
2019-04-04 09:31:34,-100.0
2019-04-04 09:31:35,-100.0
2019-04-04 09:31:36,-100.0
2019-04-04 09:31:37,-100.0
2019-04-04 09:31:38,-100.0
2019-04-04 09:31:39,-100.0
2019-04-04 09:31:40,-100.0
2019-04-04 09:31:41,-100.0
2019-04-04 09:31:42,-110.0
2019-04-04 09:31:43,-110.0
2019-04-04 09:31:44,-110.0
2019-04-04 09:31:45,-110.0
2019-04-04 09:31:46,-110.0
2019-04-04 09:31:47,-110.0
2019-04-04 09:31:48,-70.0
2019-04-04 09:31:49,-70.0
2019-04-04 09:31:50,-70.0
2019-04-04 09:31:51,-70.0
2019-04-04 09:31:52,-70.0
2019-04-04 09:31:53,-70.0
2019-04-04 09:31:54,-70.0
2019-04-04 09:31:55,-70.0
2019-04-04 09:31:56,-70.0
2019-04-04 09:31:57,-70.0
2019-04-04 09:31:58,-70.0
2019-04-04 09:31:59,-70.0
2019-04-04 09:32:00,-70.0
2019-04-04 09:32:01,-70.0
2019-04-04 09:32:02,-70.0
2019-04-04 09:32:03,-70.0
2019-04-04 09:32:04,-70.0
2019-04-04 09:32:05,-70.0
2019-04-04 09:32:06,-70.0
2019-04-04 09:32:07,-70.0
2019-04-04 09:32:08,-70.0
2019-04-04 09:32:09,-70.0
2019-04-04 09:32:10,-70.0
2019-04-04 09:32:11,-70.0
2019-04-04 09:32:12,-70.0
2019-04-04 09:32:13,-70.0
2019-04-04 09:32:14,-70.0
2019-04-04 09:32:15,-70.0
2019-04-04 09:32:16,-70.0
2019-04-04 09:32:17,-70.0
2019-04-04 09:32:18,-70.0
2019-04-04 09:32:19,-70.0
2019-04-04 09:32:20,-70.0
2019-04-04 09:32:21,-70.0
2019-04-04 09:32:22,-70.0
2019-04-04 09:32:23,-70.0
2019-04-04 09:32:24,-70.0
2019-04-04 09:32:25,-70.0
2019-04-04 09:32:26,-70.0
2019-04-04 09:32:27,-190.0
2019-04-04 09:32:28,-190.0
2019-04-04 09:32:29,-190.0
2019-04-04 09:32:30,-190.0
2019-04-04 09:32:31,-190.0
2019-04-04 09:32:32,-190.0
2019-04-04 09:32:33,-190.0
2019-04-04 09:32:34,-190.0
2019-04-04 09:32:35,-190.0
2019-04-04 09:32:36,-190.0
2019-04-04 09:32:37,-190.0
2019-04-04 09:32:38,-200.0
2019-04-04 09:32:39,-200.0
2019-04-04 09:32:40,-200.0
2019-04-04 09:32:41,-200.0
2019-04-04 09:32:42,-200.0
2019-04-04 09:32:43,-200.0
2019-04-04 09:32:44,-190.0
2019-04-04 09:32:45,-230.0
2019-04-04 09:32:46,-230.0
2019-04-04 09:32:47,-230.0
2019-04-04 09:32:48,-230.0
2019-04-04 09:32:49,-230.0
2019-04-04 09:32:50,-230.0
2019-04-04 09:32:51,-230.0
2019-04-04 09:32:52,-230.0
2019-04-04 09:32:53,-230.0
2019-04-04 09:32:54,-230.0
2019-04-04 09:32:55,-230.0
2019-04-04 09:32:56,-230.0
2019-04-04 09:32:57,-230.0
2019-04-04 09:32:58,-250.0
2019-04-04 09:32:59,-300.0
2019-04-04 09:33:00,-300.0
2019-04-04 09:33:01,-300.0
2019-04-04 09:33:02,-300.0
2019-04-04 09:33:03,-300.0
2019-04-04 09:33:04,-300.0
2019-04-04 09:33:05,-300.0
2019-04-04 09:33:06,-300.0
2019-04-04 09:33:07,-300.0
2019-04-04 09:33:08,-300.0
2019-04-04 09:33:09,-300.0
2019-04-04 09:33:10,-300.0
2019-04-04 09:33:11,-300.0
2019-04-04 09:33:12,-300.0
2019-04-04 09:33:13,-300.0
2019-04-04 09:33:14,-300.0
2019-04-04 09:33:15,-300.0
2019-04-04 09:33:16,-300.0
2019-04-04 09:33:17,-300.0
2019-04-04 09:33:18,-300.0
2019-04-04 09:33:19,-300.0
2019-04-04 09:33:20,-300.0
2019-04-04 09:33:21,-300.0
2019-04-04 09:33:22,-300.0
2019-04-04 09:33:23,-300.0
2019-04-04 09:33:24,-300.0
2019-04-04 09:33:25,-300.0
2019-04-04 09:33:26,-340.0
2019-04-04 09:33:27,-370.0
2019-04-04 09:33:28,-370.0
2019-04-04 09:33:29,-370.0
2019-04-04 09:33:30,-380.0
2019-04-04 09:33:31,-380.0
2019-04-04 09:33:32,-380.0
2019-04-04 09:33:33,-380.0
2019-04-04 09:33:34,-380.0
2019-04-04 09:33:35,-380.0
2019-04-04 09:33:36,-380.0
2019-04-04 09:33:37,-370.0
2019-04-04 09:33:38,-210.0
2019-04-04 09:33:39,-210.0
2019-04-04 09:33:40,-10.0
2019-04-04 09:33:41,-10.0
2019-04-04 09:33:42,-10.0
2019-04-04 09:33:43,-10.0
2019-04-04 09:33:44,-10.0
2019-04-04 09:33:45,-10.0
2019-04-04 09:33:46,-10.0
2019-04-04 09:33:47,-10.0
2019-04-04 09:33:48,-10.0
2019-04-04 09:33:49,-10.0
2019-04-04 09:33:50,-10.0
2019-04-04 09:33:51,-10.0
2019-04-04 09:33:52,-10.0
2019-04-04 09:33:53,-10.0
2019-04-04 09:33:54,-10.0
2019-04-04 09:33:55,-10.0
2019-04-04 09:33:56,-10.0
2019-04-04 09:33:57,-10.0
2019-04-04 09:33:58,-10.0
2019-04-04 09:33:59,90.0
2019-04-04 09:34:00,90.0
2019-04-04 09:34:01,90.0
2019-04-04 09:34:02,90.0
2019-04-04 09:34:03,90.0
2019-04-04 09:34:04,90.0
2019-04-04 09:34:05,90.0
2019-04-04 09:34:06,90.0
2019-04-04 09:34:07,90.0
2019-04-04 09:34:08,90.0
2019-04-04 09:34:09,90.0
2019-04-04 09:34:10,90.0
2019-04-04 09:34:11,90.0
2019-04-04 09:34:12,90.0
2019-04-04 09:34:13,180.0
2019-04-04 09:34:14,180.0
2019-04-04 09:34:15,180.0
2019-04-04 09:34:16,180.0
2019-04-04 09:34:17,180.0
2019-04-04 09:34:18,180.0
2019-04-04 09:34:19,180.0
2019-04-04 09:34:20,180.0
2019-04-04 09:34:21,180.0
2019-04-04 09:34:22,180.0
2019-04-04 09:34:23,180.0
2019-04-04 09:34:24,180.0
2019-04-04 09:34:25,180.0
2019-04-04 09:34:26,180.0
2019-04-04 09:34:27,180.0
2019-04-04 09:34:28,180.0
2019-04-04 09:34:29,180.0
2019-04-04 09:34:30,180.0
2019-04-04 09:34:31,180.0
2019-04-04 09:34:32,180.0
2019-04-04 09:34:33,180.0
2019-04-04 09:34:34,180.0
2019-04-04 09:34:35,180.0
2019-04-04 09:34:36,100.0
2019-04-04 09:34:37,100.0
2019-04-04 09:34:38,100.0
2019-04-04 09:34:39,-150.0
2019-04-04 09:34:40,-230.0
2019-04-04 09:34:41,-230.0
2019-04-04 09:34:42,-240.0
2019-04-04 09:34:43,-240.0
2019-04-04 09:34:44,-240.0
2019-04-04 09:34:45,-240.0
2019-04-04 09:34:46,-240.0
2019-04-04 09:34:47,-240.0
2019-04-04 09:34:48,-240.0
2019-04-04 09:34:49,-240.0
2019-04-04 09:34:50,-240.0
2019-04-04 09:34:51,-240.0
2019-04-04 09:34:52,-240.0
2019-04-04 09:34:53,-240.0
2019-04-04 09:34:54,-240.0
2019-04-04 09:34:55,-240.0
2019-04-04 09:34:56,-240.0
2019-04-04 09:34:57,-240.0
2019-04-04 09:34:58,-240.0
2019-04-04 09:34:59,-240.0
2019-04-04 09:35:00,-240.0
2019-04-04 09:35:01,-240.0
2019-04-04 09:35:02,-240.0
2019-04-04 09:35:03,-240.0
2019-04-04 09:35:04,-240.0
2019-04-04 09:35:05,-240.0
2019-04-04 09:35:06,-240.0
2019-04-04 09:35:07,-240.0
2019-04-04 09:35:08,-200.0
2019-04-04 09:35:09,310.0
2019-04-04 09:35:10,310.0
2019-04-04 09:35:11,310.0
2019-04-04 09:35:12,310.0
2019-04-04 09:35:13,310.0
2019-04-04 09:35:14,-170.0
2019-04-04 09:35:15,-170.0
2019-04-04 09:35:16,-170.0
2019-04-04 09:35:17,30.0
2019-04-04 09:35:18,30.0
2019-04-04 09:35:19,30.0
2019-04-04 09:35:20,30.0
2019-04-04 09:35:21,30.0
2019-04-04 09:35:22,30.0
2019-04-04 09:35:23,30.0
2019-04-04 09:35:24,30.0
2019-04-04 09:35:25,30.0
2019-04-04 09:35:26,30.0
2019-04-04 09:35:27,30.0
2019-04-04 09:35:28,30.0
2019-04-04 09:35:29,30.0
2019-04-04 09:35:30,30.0
2019-04-04 09:35:31,30.0
2019-04-04 09:35:32,30.0
2019-04-04 09:35:33,30.0
2019-04-04 09:35:34,30.0
2019-04-04 09:35:35,30.0
2019-04-04 09:35:36,30.0
2019-04-04 09:35:37,70.0
2019-04-04 09:35:38,70.0
2019-04-04 09:35:39,70.0
2019-04-04 09:35:40,70.0
2019-04-04 09:35:41,70.0
2019-04-04 09:35:42,70.0
2019-04-04 09:35:43,70.0
2019-04-04 09:35:44,70.0
2019-04-04 09:35:45,70.0
2019-04-04 09:35:46,70.0
2019-04-04 09:35:47,80.0
2019-04-04 09:35:48,80.0
2019-04-04 09:35:49,80.0
2019-04-04 09:35:50,80.0
2019-04-04 09:35:51,80.0
2019-04-04 09:35:52,80.0
2019-04-04 09:35:53,80.0
2019-04-04 09:35:54,80.0
2019-04-04 09:35:55,80.0
2019-04-04 09:35:56,80.0
2019-04-04 09:35:57,80.0
2019-04-04 09:35:58,80.0
2019-04-04 09:35:59,80.0
2019-04-04 09:36:00,80.0
2019-04-04 09:36:01,80.0
2019-04-04 09:36:02,80.0
2019-04-04 09:36:03,80.0
2019-04-04 09:36:04,80.0
2019-04-04 09:36:05,80.0
2019-04-04 09:36:06,110.0
2019-04-04 09:36:07,110.0
2019-04-04 09:36:08,110.0
2019-04-04 09:36:09,110.0
2019-04-04 09:36:10,110.0
2019-04-04 09:36:11,110.0
2019-04-04 09:36:12,110.0
2019-04-04 09:36:13,110.0
2019-04-04 09:36:14,110.0
2019-04-04 09:36:15,110.0
2019-04-04 09:36:16,110.0
2019-04-04 09:36:17,110.0
2019-04-04 09:36:18,110.0
2019-04-04 09:36:19,110.0
2019-04-04 09:36:20,110.0
2019-04-04 09:36:21,110.0
2019-04-04 09:36:22,330.0
2019-04-04 09:36:23,330.0
2019-04-04 09:36:24,330.0
2019-04-04 09:36:25,330.0
2019-04-04 09:36:26,330.0
2019-04-04 09:36:27,450.0
2019-04-04 09:36:28,450.0
2019-04-04 09:36:29,450.0
2019-04-04 09:36:30,450.0
2019-04-04 09:36:31,450.0
2019-04-04 09:36:32,450.0
2019-04-04 09:36:33,450.0
2019-04-04 09:36:34,450.0
2019-04-04 09:36:35,450.0
2019-04-04 09:36:36,450.0
2019-04-04 09:36:37,450.0
2019-04-04 09:36:38,450.0
2019-04-04 09:36:39,450.0
2019-04-04 09:36:40,450.0
2019-04-04 09:36:41,450.0
2019-04-04 09:36:42,450.0
2019-04-04 09:36:43,450.0
2019-04-04 09:36:44,450.0
2019-04-04 09:36:45,450.0
2019-04-04 09:36:46,450.0
2019-04-04 09:36:47,450.0
2019-04-04 09:36:48,450.0
2019-04-04 09:36:49,450.0
2019-04-04 09:36:50,450.0
2019-04-04 09:36:51,450.0
2019-04-04 09:36:52,450.0
2019-04-04 09:36:53,450.0
2019-04-04 09:36:54,450.0
2019-04-04 09:36:55,450.0
2019-04-04 09:36:56,450.0
2019-04-04 09:36:57,410.0
2019-04-04 09:36:58,340.0
2019-04-04 09:36:59,340.0
2019-04-04 09:37:00,340.0
2019-04-04 09:37:01,290.0
2019-04-04 09:37:02,290.0
2019-04-04 09:37:03,490.0
2019-04-04 09:37:04,440.0
2019-04-04 09:37:05,440.0
2019-04-04 09:37:06,440.0
2019-04-04 09:37:07,440.0
2019-04-04 09:37:08,440.0
2019-04-04 09:37:09,440.0
2019-04-04 09:37:10,440.0
2019-04-04 09:37:11,440.0
2019-04-04 09:37:12,440.0
2019-04-04 09:37:13,440.0
2019-04-04 09:37:14,440.0
2019-04-04 09:37:15,440.0
2019-04-04 09:37:16,-120.0
2019-04-04 09:37:17,-120.0
2019-04-04 09:37:18,-120.0
2019-04-04 09:37:19,-120.0
2019-04-04 09:37:20,-120.0
2019-04-04 09:37:21,-120.0
2019-04-04 09:37:22,-120.0
2019-04-04 09:37:23,-120.0
2019-04-04 09:37:24,-120.0
2019-04-04 09:37:25,-120.0
2019-04-04 09:37:26,-120.0
2019-04-04 09:37:27,-120.0
2019-04-04 09:37:28,-120.0
2019-04-04 09:37:29,-120.0
2019-04-04 09:37:30,-120.0
2019-04-04 09:37:31,-120.0
2019-04-04 09:37:32,-120.0
2019-04-04 09:37:33,-270.0
2019-04-04 09:37:34,-270.0
2019-04-04 09:37:35,-270.0
2019-04-04 09:37:36,-270.0
2019-04-04 09:37:37,-270.0
2019-04-04 09:37:38,-270.0
2019-04-04 09:37:39,-270.0
2019-04-04 09:37:40,-270.0
2019-04-04 09:37:41,-270.0
2019-04-04 09:37:42,-270.0
2019-04-04 09:37:43,-270.0
2019-04-04 09:37:44,-170.0
2019-04-04 09:37:45,-170.0
2019-04-04 09:37:46,-170.0
2019-04-04 09:37:47,-170.0
2019-04-04 09:37:48,-170.0
2019-04-04 09:37:49,-170.0
2019-04-04 09:37:50,-170.0
2019-04-04 09:37:51,-170.0
2019-04-04 09:37:52,-170.0
2019-04-04 09:37:53,230.0
2019-04-04 09:37:54,230.0
2019-04-04 09:37:55,230.0
2019-04-04 09:37:56,230.0
2019-04-04 09:37:57,280.0
2019-04-04 09:37:58,280.0
2019-04-04 09:37:59,280.0
2019-04-04 09:38:00,280.0
2019-04-04 09:38:01,280.0
2019-04-04 09:38:02,-250.0
2019-04-04 09:38:03,-250.0
2019-04-04 09:38:04,-250.0
2019-04-04 09:38:05,-250.0
2019-04-04 09:38:06,-250.0
2019-04-04 09:38:07,-250.0
2019-04-04 09:38:08,-250.0
2019-04-04 09:38:09,-220.0
2019-04-04 09:38:10,-220.0
2019-04-04 09:38:11,-220.0
2019-04-04 09:38:12,-220.0
2019-04-04 09:38:13,-220.0
2019-04-04 09:38:14,-250.0
2019-04-04 09:38:15,-250.0
2019-04-04 09:38:16,-250.0
2019-04-04 09:38:17,-250.0
2019-04-04 09:38:18,-250.0
2019-04-04 09:38:19,-250.0
2019-04-04 09:38:20,-250.0
2019-04-04 09:38:21,-250.0
2019-04-04 09:38:22,-250.0
2019-04-04 09:38:23,-250.0
2019-04-04 09:38:24,-250.0
