h_m_s,transaction_spread
2019-04-04 09:30:00,-320.0
2019-04-04 09:30:01,-270.0
2019-04-04 09:30:02,-270.0
2019-04-04 09:30:03,-270.0
2019-04-04 09:30:04,-270.0
2019-04-04 09:30:05,-270.0
2019-04-04 09:30:06,-270.0
2019-04-04 09:30:07,-270.0
2019-04-04 09:30:08,-100.0
2019-04-04 09:30:09,-100.0
2019-04-04 09:30:10,-100.0
2019-04-04 09:30:11,160.0
2019-04-04 09:30:12,160.0
2019-04-04 09:30:13,160.0
2019-04-04 09:30:14,160.0
2019-04-04 09:30:15,160.0
2019-04-04 09:30:16,160.0
2019-04-04 09:30:17,160.0
2019-04-04 09:30:18,160.0
2019-04-04 09:30:19,160.0
2019-04-04 09:30:20,160.0
2019-04-04 09:30:21,160.0
2019-04-04 09:30:22,160.0
2019-04-04 09:30:23,160.0
2019-04-04 09:30:24,90.0
2019-04-04 09:30:25,90.0
2019-04-04 09:30:26,20.0
2019-04-04 09:30:27,20.0
2019-04-04 09:30:28,20.0
2019-04-04 09:30:29,20.0
2019-04-04 09:30:30,20.0
2019-04-04 09:30:31,20.0
2019-04-04 09:30:32,20.0
2019-04-04 09:30:33,20.0
2019-04-04 09:30:34,20.0
2019-04-04 09:30:35,20.0
2019-04-04 09:30:36,20.0
2019-04-04 09:30:37,20.0
2019-04-04 09:30:38,20.0
2019-04-04 09:30:39,20.0
2019-04-04 09:30:40,20.0
2019-04-04 09:30:41,-170.0
2019-04-04 09:30:42,-170.0
2019-04-04 09:30:43,-170.0
2019-04-04 09:30:44,-170.0
2019-04-04 09:30:45,-170.0
2019-04-04 09:30:46,-170.0
2019-04-04 09:30:47,-170.0
2019-04-04 09:30:48,-170.0
2019-04-04 09:30:49,-170.0
2019-04-04 09:30:50,-170.0
2019-04-04 09:30:51,-170.0
2019-04-04 09:30:52,-170.0
2019-04-04 09:30:53,-170.0
2019-04-04 09:30:54,-170.0
2019-04-04 09:30:55,-170.0
2019-04-04 09:30:56,-170.0
2019-04-04 09:30:57,-170.0
2019-04-04 09:30:58,-170.0
2019-04-04 09:30:59,-170.0
2019-04-04 09:31:00,-170.0
2019-04-04 09:31:01,-170.0
2019-04-04 09:31:02,-170.0
2019-04-04 09:31:03,-170.0
2019-04-04 09:31:04,-170.0
2019-04-04 09:31:05,-170.0
2019-04-04 09:31:06,-170.0
2019-04-04 09:31:07,-170.0
2019-04-04 09:31:08,-170.0
2019-04-04 09:31:09,-170.0
2019-04-04 09:31:10,-170.0
2019-04-04 09:31:11,-80.0
2019-04-04 09:31:12,0.0
2019-04-04 09:31:13,50.0
2019-04-04 09:31:14,90.0
2019-04-04 09:31:15,90.0
2019-04-04 09:31:16,90.0
2019-04-04 09:31:17,90.0
2019-04-04 09:31:18,90.0
2019-04-04 09:31:19,90.0
2019-04-04 09:31:20,90.0
2019-04-04 09:31:21,90.0
2019-04-04 09:31:22,90.0
2019-04-04 09:31:23,90.0
2019-04-04 09:31:24,90.0
2019-04-04 09:31:25,90.0
2019-04-04 09:31:26,90.0
2019-04-04 09:31:27,90.0
2019-04-04 09:31:28,90.0
2019-04-04 09:31:29,90.0
2019-04-04 09:31:30,90.0
2019-04-04 09:31:31,90.0
2019-04-04 09:31:32,90.0
2019-04-04 09:31:33,90.0
2019-04-04 09:31:34,90.0
2019-04-04 09:31:35,90.0
2019-04-04 09:31:36,90.0
2019-04-04 09:31:37,90.0
2019-04-04 09:31:38,90.0
2019-04-04 09:31:39,90.0
2019-04-04 09:31:40,90.0
2019-04-04 09:31:41,90.0
2019-04-04 09:31:42,90.0
2019-04-04 09:31:43,90.0
2019-04-04 09:31:44,90.0
2019-04-04 09:31:45,90.0
2019-04-04 09:31:46,90.0
2019-04-04 09:31:47,90.0
2019-04-04 09:31:48,90.0
2019-04-04 09:31:49,90.0
2019-04-04 09:31:50,-190.0
2019-04-04 09:31:51,-660.0
2019-04-04 09:31:52,-660.0
2019-04-04 09:31:53,-660.0
2019-04-04 09:31:54,-660.0
2019-04-04 09:31:55,-660.0
2019-04-04 09:31:56,-660.0
2019-04-04 09:31:57,-660.0
2019-04-04 09:31:58,-660.0
2019-04-04 09:31:59,-660.0
2019-04-04 09:32:00,-660.0
2019-04-04 09:32:01,-630.0
2019-04-04 09:32:02,-630.0
2019-04-04 09:32:03,-630.0
2019-04-04 09:32:04,-630.0
2019-04-04 09:32:05,-630.0
2019-04-04 09:32:06,-630.0
2019-04-04 09:32:07,-630.0
2019-04-04 09:32:08,-630.0
2019-04-04 09:32:09,-630.0
2019-04-04 09:32:10,-630.0
2019-04-04 09:32:11,-630.0
2019-04-04 09:32:12,-630.0
2019-04-04 09:32:13,-630.0
2019-04-04 09:32:14,-630.0
2019-04-04 09:32:15,-630.0
2019-04-04 09:32:16,-630.0
2019-04-04 09:32:17,-630.0
2019-04-04 09:32:18,-630.0
2019-04-04 09:32:19,-630.0
2019-04-04 09:32:20,-630.0
2019-04-04 09:32:21,-630.0
2019-04-04 09:32:22,-630.0
2019-04-04 09:32:23,-630.0
2019-04-04 09:32:24,-630.0
2019-04-04 09:32:25,-630.0
2019-04-04 09:32:26,-630.0
2019-04-04 09:32:27,-630.0
2019-04-04 09:32:28,-630.0
2019-04-04 09:32:29,-630.0
2019-04-04 09:32:30,-630.0
2019-04-04 09:32:31,-630.0
2019-04-04 09:32:32,-630.0
2019-04-04 09:32:33,-630.0
2019-04-04 09:32:34,-630.0
2019-04-04 09:32:35,-630.0
2019-04-04 09:32:36,-630.0
2019-04-04 09:32:37,-630.0
2019-04-04 09:32:38,-630.0
2019-04-04 09:32:39,-240.0
2019-04-04 09:32:40,-240.0
2019-04-04 09:32:41,-240.0
2019-04-04 09:32:42,-220.0
2019-04-04 09:32:43,-220.0
2019-04-04 09:32:44,-220.0
2019-04-04 09:32:45,-220.0
2019-04-04 09:32:46,-220.0
2019-04-04 09:32:47,-220.0
2019-04-04 09:32:48,-220.0
2019-04-04 09:32:49,-220.0
2019-04-04 09:32:50,-220.0
2019-04-04 09:32:51,-220.0
2019-04-04 09:32:52,180.0
2019-04-04 09:32:53,180.0
2019-04-04 09:32:54,180.0
2019-04-04 09:32:55,180.0
2019-04-04 09:32:56,180.0
2019-04-04 09:32:57,180.0
2019-04-04 09:32:58,180.0
2019-04-04 09:32:59,180.0
2019-04-04 09:33:00,180.0
2019-04-04 09:33:01,180.0
2019-04-04 09:33:02,180.0
2019-04-04 09:33:03,180.0
2019-04-04 09:33:04,180.0
2019-04-04 09:33:05,180.0
2019-04-04 09:33:06,180.0
2019-04-04 09:33:07,180.0
2019-04-04 09:33:08,180.0
2019-04-04 09:33:09,180.0
2019-04-04 09:33:10,180.0
2019-04-04 09:33:11,180.0
2019-04-04 09:33:12,180.0
2019-04-04 09:33:13,180.0
2019-04-04 09:33:14,180.0
2019-04-04 09:33:15,180.0
2019-04-04 09:33:16,180.0
2019-04-04 09:33:17,160.0
2019-04-04 09:33:18,140.0
2019-04-04 09:33:19,140.0
2019-04-04 09:33:20,140.0
2019-04-04 09:33:21,140.0
2019-04-04 09:33:22,140.0
2019-04-04 09:33:23,80.0
2019-04-04 09:33:24,80.0
2019-04-04 09:33:25,80.0
2019-04-04 09:33:26,80.0
2019-04-04 09:33:27,80.0
2019-04-04 09:33:28,80.0
2019-04-04 09:33:29,80.0
2019-04-04 09:33:30,80.0
2019-04-04 09:33:31,80.0
2019-04-04 09:33:32,60.0
2019-04-04 09:33:33,50.0
2019-04-04 09:33:34,50.0
2019-04-04 09:33:35,50.0
2019-04-04 09:33:36,50.0
2019-04-04 09:33:37,50.0
2019-04-04 09:33:38,50.0
2019-04-04 09:33:39,50.0
2019-04-04 09:33:40,50.0
2019-04-04 09:33:41,50.0
2019-04-04 09:33:42,50.0
2019-04-04 09:33:43,50.0
2019-04-04 09:33:44,50.0
2019-04-04 09:33:45,50.0
2019-04-04 09:33:46,50.0
2019-04-04 09:33:47,50.0
2019-04-04 09:33:48,50.0
2019-04-04 09:33:49,50.0
2019-04-04 09:33:50,50.0
2019-04-04 09:33:51,50.0
2019-04-04 09:33:52,50.0
2019-04-04 09:33:53,50.0
2019-04-04 09:33:54,50.0
2019-04-04 09:33:55,50.0
2019-04-04 09:33:56,50.0
2019-04-04 09:33:57,50.0
2019-04-04 09:33:58,50.0
2019-04-04 09:33:59,50.0
2019-04-04 09:34:00,50.0
2019-04-04 09:34:01,50.0
2019-04-04 09:34:02,50.0
2019-04-04 09:34:03,-60.0
2019-04-04 09:34:04,-60.0
2019-04-04 09:34:05,-60.0
2019-04-04 09:34:06,-200.0
2019-04-04 09:34:07,-20.0
2019-04-04 09:34:08,-20.0
2019-04-04 09:34:09,-20.0
2019-04-04 09:34:10,-20.0
2019-04-04 09:34:11,-20.0
2019-04-04 09:34:12,-10.0
2019-04-04 09:34:13,-70.0
2019-04-04 09:34:14,-70.0
2019-04-04 09:34:15,-70.0
2019-04-04 09:34:16,-70.0
2019-04-04 09:34:17,-70.0
2019-04-04 09:34:18,-70.0
2019-04-04 09:34:19,-70.0
2019-04-04 09:34:20,-70.0
2019-04-04 09:34:21,-70.0
2019-04-04 09:34:22,-70.0
2019-04-04 09:34:23,-70.0
2019-04-04 09:34:24,-190.0
2019-04-04 09:34:25,-190.0
2019-04-04 09:34:26,-190.0
2019-04-04 09:34:27,-190.0
2019-04-04 09:34:28,-190.0
2019-04-04 09:34:29,-190.0
2019-04-04 09:34:30,50.0
2019-04-04 09:34:31,50.0
2019-04-04 09:34:32,50.0
2019-04-04 09:34:33,50.0
2019-04-04 09:34:34,50.0
2019-04-04 09:34:35,50.0
2019-04-04 09:34:36,50.0
2019-04-04 09:34:37,50.0
2019-04-04 09:34:38,50.0
2019-04-04 09:34:39,50.0
2019-04-04 09:34:40,0.0
2019-04-04 09:34:41,60.0
2019-04-04 09:34:42,60.0
2019-04-04 09:34:43,60.0
