h_m_s,BAM.A
2019-04-04 09:30:00,-2100.0
2019-04-04 09:30:01,-944.9999999999999
2019-04-04 09:30:02,-565.1162790697674
2019-04-04 09:30:03,-115.37128712871285
2019-04-04 09:30:04,-82.25132840532537
2019-04-04 09:30:05,-60.88781730800243
2019-04-04 09:30:06,-46.216299259218545
2019-04-04 09:30:07,-35.70186844880129
2019-04-04 09:30:08,-27.93439123506197
2019-04-04 09:30:09,-22.066600140872588
2019-04-04 09:30:10,-17.558669607442013
2019-04-04 09:30:11,-14.050479555806774
2019-04-04 09:30:12,-11.292802456875867
2019-04-04 09:30:13,-9.10794608731409
2019-04-04 09:30:14,-7.366102693008825
2019-04-04 09:30:15,-5.970531947841024
2019-04-04 09:30:16,-4.847940888095922
2019-04-04 09:30:17,-3.9420415779004974
2019-04-04 09:30:18,-3.209118298947305
2019-04-04 09:30:19,-2.614903841563561
2019-04-04 09:30:20,-2.1323315375317335
2019-04-04 09:30:21,-1.7398872946123485
2019-04-04 09:30:22,-1.4203816945653998
2019-04-04 09:30:23,-1.1600219971041947
2019-04-04 09:30:24,-0.9477020939105782
2019-04-04 09:30:25,-0.7744534065027224
2019-04-04 09:30:26,-0.6330163482980711
2019-04-04 09:30:27,-0.5175032619692884
2019-04-04 09:30:28,-0.42313154778143885
2019-04-04 09:30:29,-0.3460111847384015
2019-04-04 09:30:30,-0.2829747645613864
2019-04-04 09:30:31,-0.23144099921869035
2019-04-04 09:30:32,-0.18930475147964687
2019-04-04 09:30:33,-0.1548481941283854
2019-04-04 09:30:34,-0.12666887697984514
2019-04-04 09:30:35,-0.10362137562357344
2019-04-04 09:30:36,-0.08476988491788101
2019-04-04 09:30:37,-0.06934965568886112
2019-04-04 09:30:38,-0.05673559239712401
2019-04-04 09:30:39,18.14134132597862
2019-04-04 09:30:40,51.21538950870452
2019-04-04 09:30:41,41.90146428399022
2019-04-04 09:30:42,34.28165326126371
2019-04-04 09:30:43,64.41667201455526
2019-04-04 09:30:44,70.8871427911441
2019-04-04 09:30:45,57.99730856097637
2019-04-04 09:30:46,47.4514980469805
2019-04-04 09:30:47,38.82338708975526
2019-04-04 09:30:48,31.764210649757466
2019-04-04 09:30:49,25.98864605965862
2019-04-04 09:30:50,21.2632679477525
2019-04-04 09:30:51,17.397105605750422
2019-04-04 09:30:52,14.233919434016872
2019-04-04 09:30:53,11.645883165604651
2019-04-04 09:30:54,9.528415778256603
2019-04-04 09:30:55,7.795953729090759
2019-04-04 09:30:56,6.378492322583637
2019-04-04 09:30:57,5.21875622108767
2019-04-04 09:30:58,4.269884609032733
2019-04-04 09:30:59,-32.87031360732108
2019-04-04 09:31:00,-8.711958113742389
2019-04-04 09:31:01,-7.127959471305246
2019-04-04 09:31:02,-5.831962650845293
2019-04-04 09:31:03,-4.771603000824216
2019-04-04 09:31:04,-3.9040369415239664
2019-04-04 09:31:05,-3.194210786339641
2019-04-04 09:31:06,-2.613444347544943
2019-04-04 09:31:07,-147.5929899308732
2019-04-04 09:31:08,-102.57603901772887
2019-04-04 09:31:09,-83.9258353084961
2019-04-04 09:31:10,-68.6665826197612
2019-04-04 09:31:11,-56.181742785301154
2019-04-04 09:31:12,-45.966876021856976
2019-04-04 09:31:13,-37.609259228244156
2019-04-04 09:31:14,-30.77121010667924
2019-04-04 09:31:15,-25.176443301153355
2019-04-04 09:31:16,-20.598907264098113
2019-04-04 09:31:17,-16.853650801182216
2019-04-04 09:31:18,-13.789350256058075
2019-04-04 09:31:19,-11.282195396644005
2019-04-04 09:31:20,-9.230886963703082
2019-04-04 09:31:21,-7.552543759563208
2019-04-04 09:31:22,-6.179353904880245
2019-04-04 09:31:23,-5.055834959384906
2019-04-04 09:31:24,-4.136592203549523
2019-04-04 09:31:25,-3.384484506113043
2019-04-04 09:31:26,-2.7691236707109113
2019-04-04 09:31:27,-2.2656466288889527
2019-04-04 09:31:28,16.328107629474104
2019-04-04 09:31:29,13.359360745186075
2019-04-04 09:31:30,10.930386035748915
2019-04-04 09:31:31,8.94304310108355
2019-04-04 09:31:32,25.49885357635329
2019-04-04 09:31:33,20.862698350864683
2019-04-04 09:31:34,35.251298726347535
2019-04-04 09:31:35,28.841971657626047
2019-04-04 09:31:36,23.597976792330744
2019-04-04 09:31:37,1.1256173108392817
2019-04-04 09:31:38,19.10277784212763
2019-04-04 09:31:39,15.62954550050086
2019-04-04 09:31:40,12.787809950473825
2019-04-04 09:31:41,-25.90088281771319
2019-04-04 09:31:42,-3.0098131903269807
2019-04-04 09:31:43,-20.64439262549918
2019-04-04 09:31:44,-16.890866690937642
2019-04-04 09:31:45,-13.819800018082365
2019-04-04 09:31:46,-11.307109104515058
2019-04-04 09:31:47,-9.251271084716581
2019-04-04 09:31:48,-7.5692217960536095
2019-04-04 09:31:49,-6.192999650959999
2019-04-04 09:31:50,-5.066999714183108
2019-04-04 09:31:51,-4.1457270387172915
2019-04-04 09:31:52,-3.391958486116267
2019-04-04 09:31:53,-2.7752387612962455
2019-04-04 09:31:54,-2.2706498955580825
2019-04-04 09:31:55,-1.8578044599699777
2019-04-04 09:31:56,-1.5200218308630453
2019-04-04 09:31:57,-1.243654225237202
2019-04-04 09:31:58,-1.0175352751844478
2019-04-04 09:31:59,-0.8325288615081039
2019-04-04 09:32:00,-0.6811599775932257
2019-04-04 09:32:01,-0.5573127089370241
2019-04-04 09:32:02,-0.45598312549199566
2019-04-04 09:32:03,-0.37307710267397504
2019-04-04 09:32:04,-0.30524490218693145
2019-04-04 09:32:05,17.932072352946715
2019-04-04 09:32:06,32.85351374344761
2019-04-04 09:32:07,26.880147608233532
2019-04-04 09:32:08,3.811029861149946
2019-04-04 09:32:09,21.299933522840945
2019-04-04 09:32:10,17.427218336855027
2019-04-04 09:32:11,14.258633184689636
2019-04-04 09:32:12,11.666154423830324
2019-04-04 09:32:13,9.545035437674905
2019-04-04 09:32:14,25.991392630853163
2019-04-04 09:32:15,21.265684879782313
2019-04-04 09:32:16,17.39919671981745
2019-04-04 09:32:17,14.235706407120393
2019-04-04 09:32:18,11.647396151278329
2019-04-04 09:32:19,9.52968776013548
2019-04-04 09:32:20,7.797017258291773
2019-04-04 09:32:21,-11.802440425042267
2019-04-04 09:32:22,-9.656542165942932
2019-04-04 09:32:23,-7.900807226680085
2019-04-04 09:32:24,-6.464296821828829
2019-04-04 09:32:25,-5.2889701269506375
2019-04-04 09:32:26,-4.327339194777645
2019-04-04 09:32:27,-3.540550250272519
2019-04-04 09:32:28,-2.896813841131994
2019-04-04 09:32:29,-2.370120415471587
2019-04-04 09:32:30,-1.9391894308403592
2019-04-04 09:32:31,-1.5866095343239102
2019-04-04 09:32:32,-1.2981350735377313
2019-04-04 09:32:33,-1.0621105147126804
2019-04-04 09:32:34,-0.8689995120376415
2019-04-04 09:32:35,-0.7109996007580662
2019-04-04 09:32:36,-0.5817269460747788
2019-04-04 09:32:37,-0.4759584104248172
2019-04-04 09:32:38,-0.3894205176203038
2019-04-04 09:32:39,-0.3186167871438841
2019-04-04 09:32:40,-0.26068646220863184
2019-04-04 09:32:41,54.33216562182973
2019-04-04 09:32:42,44.453590054224264
2019-04-04 09:32:43,36.371119135274355
2019-04-04 09:32:44,29.758188383406264
2019-04-04 09:32:45,24.34760867733238
2019-04-04 09:32:46,19.92077073599921
2019-04-04 09:32:47,16.29881242036298
2019-04-04 09:32:48,13.335391980296977
2019-04-04 09:32:49,10.910775256606614
2019-04-04 09:32:50,8.926997937223591
2019-04-04 09:32:51,7.303907403182936
2019-04-04 09:32:52,5.975924238967854
2019-04-04 09:32:53,4.8893925591555165
2019-04-04 09:32:54,4.000412093854513
2019-04-04 09:32:55,3.2730644404264195
2019-04-04 09:32:56,2.677961814894343
2019-04-04 09:32:57,2.191059666731735
2019-04-04 09:32:58,1.792685181871419
2019-04-04 09:32:59,1.4667424215311606
2019-04-04 09:33:00,1.2000619812527675
2019-04-04 09:33:01,0.9818688937522642
2019-04-04 09:33:02,0.8033472767063978
2019-04-04 09:33:03,0.6572841354870527
2019-04-04 09:33:04,0.5377779290348612
2019-04-04 09:33:05,0.44000012375579545
2019-04-04 09:33:06,-17.821818080563453
2019-04-04 09:33:07,-14.581487520461005
2019-04-04 09:33:08,-11.930307971286275
2019-04-04 09:33:09,-27.942979249234238
2019-04-04 09:33:10,-22.862437567555283
2019-04-04 09:33:11,-18.705630737090683
2019-04-04 09:33:12,-33.48642514852875
2019-04-04 09:33:13,-27.39798421243261
