h_m_s,ENB
2019-04-04 09:30:00,-11600.0
2019-04-04 09:30:01,-5605.0
2019-04-04 09:30:02,-3351.827242524917
2019-04-04 09:30:03,-2049.8762376237623
2019-04-04 09:30:04,-1461.4125213231112
2019-04-04 09:30:05,-1081.8332096893846
2019-04-04 09:30:06,-821.1548644394302
2019-04-04 09:30:07,-588.8372115557937
2019-04-04 09:30:08,-460.72684024790226
2019-04-04 09:30:09,-363.94832707710475
2019-04-04 09:30:10,-289.59823391603925
2019-04-04 09:30:11,-211.75721982351294
2019-04-04 09:30:12,-307.5842646060954
2019-04-04 09:30:13,-364.1589177513352
2019-04-04 09:30:14,-294.51557563208326
2019-04-04 09:30:15,-238.71709732163458
2019-04-04 09:30:16,-193.83304316989822
2019-04-04 09:30:17,-157.61287791750038
2019-04-04 09:30:18,-128.30873563342337
2019-04-04 09:30:19,-104.55052586377445
2019-04-04 09:30:20,25.47206432432939
2019-04-04 09:30:21,20.78406678576344
2019-04-04 09:30:22,16.967367997075087
2019-04-04 09:30:23,-77.79410917770457
2019-04-04 09:30:24,-45.25228829565207
2019-04-04 09:30:25,-36.9797524430898
2019-04-04 09:30:26,-30.226205548247002
2019-04-04 09:30:27,-24.710514997326005
2019-04-04 09:30:28,-20.204314109068388
2019-04-04 09:30:29,-16.52185637861394
2019-04-04 09:30:30,-13.511899687260147
2019-04-04 09:30:31,-11.05118885710321
2019-04-04 09:30:32,9.166838291045758
2019-04-04 09:30:33,7.498323967784741
2019-04-04 09:30:34,6.1337769005098135
2019-04-04 09:30:35,5.017731390324532
2019-04-04 09:30:36,4.1048722809069105
2019-04-04 09:30:37,3.3581675804256848
2019-04-04 09:30:38,2.747347844076898
2019-04-04 09:30:39,-252.3809449387809
2019-04-04 09:30:40,-206.48123582309094
2019-04-04 09:30:41,-168.9309836584362
2019-04-04 09:30:42,-138.21076436881083
2019-04-04 09:30:43,-76.70889733119556
2019-04-04 09:30:44,-135.49613704652924
2019-04-04 09:30:45,-110.85806197974799
2019-04-04 09:30:46,-90.70043493472582
2019-04-04 09:30:47,-74.20836516465035
2019-04-04 09:30:48,-60.71521110753598
2019-04-04 09:30:49,-122.40606293739057
2019-04-04 09:30:50,-100.14961567033559
2019-04-04 09:30:51,-81.94005947125855
2019-04-04 09:30:52,-139.77053015198837
2019-04-04 09:30:53,-114.35720650874306
2019-04-04 09:30:54,-93.56465244932603
2019-04-04 09:30:55,-76.55267340851344
2019-04-04 09:30:56,-62.63385553295283
2019-04-04 09:30:57,-51.24578139821347
2019-04-04 09:30:58,-41.92829938787281
2019-04-04 09:30:59,-88.85070370171009
2019-04-04 09:31:00,-109.05976425056129
2019-04-04 09:31:01,-89.23063786335972
2019-04-04 09:31:02,-73.00683308107024
2019-04-04 09:31:03,-59.732828323208764
2019-04-04 09:31:04,-30.690433055766704
2019-04-04 09:31:05,-25.11034443897894
2019-04-04 09:31:06,-20.54482065479389
2019-04-04 09:31:07,-53.173073751880764
2019-04-04 09:31:08,-43.50523278571397
2019-04-04 09:31:09,-90.14068200667559
2019-04-04 09:31:10,-73.75145645748981
2019-04-04 09:31:11,-60.342093616052445
2019-04-04 09:31:12,-49.37079910013158
2019-04-04 09:31:13,-22.212462335174394
2019-04-04 09:31:14,-145.44659594065533
2019-04-04 09:31:15,-482.6382042048385
2019-04-04 09:31:16,-394.8857863521522
2019-04-04 09:31:17,-232.17925381931036
2019-04-04 09:31:18,-189.96483853101432
2019-04-04 09:31:19,-209.97123365918065
2019-04-04 09:31:20,-171.79464238970073
2019-04-04 09:31:21,-140.55925063415842
2019-04-04 09:31:22,-115.00302175322457
2019-04-04 09:31:23,-94.09338043507377
2019-04-04 09:31:24,-76.98549241423393
2019-04-04 09:31:25,-62.988129709252
2019-04-04 09:31:26,-51.5357421895886
2019-04-04 09:31:27,-60.34742561657631
2019-04-04 09:31:28,-49.37516622128407
2019-04-04 09:31:29,-40.39786314324442
2019-04-04 09:31:30,-33.05279703103521
2019-04-04 09:31:31,-27.043197513166444
2019-04-04 09:31:32,-22.126252472159948
2019-04-04 09:31:33,-18.10329745137367
2019-04-04 09:31:34,-14.81178880654791
2019-04-04 09:31:35,-175.75510062486916
2019-04-04 09:31:36,-143.799627671529
2019-04-04 09:31:37,-117.65424074688039
2019-04-04 09:31:38,-96.2625605606901
2019-04-04 09:31:39,-78.76027678864808
2019-04-04 09:31:40,-64.44022644085659
2019-04-04 09:31:41,-52.723821618310744
2019-04-04 09:31:42,-43.13767222304344
2019-04-04 09:31:43,-35.29445908480652
2019-04-04 09:31:44,-28.877284701215807
2019-04-04 09:31:45,-2023.6268704543684
2019-04-04 09:31:46,-1782.9674393488147
2019-04-04 09:31:47,-1458.7915411599174
2019-04-04 09:31:48,-1193.5567154104813
2019-04-04 09:31:49,-976.5464034614373
2019-04-04 09:31:50,-798.9925118853531
2019-04-04 09:31:51,-162.8120550685781
2019-04-04 09:31:52,-5.937135942937227
2019-04-04 09:31:53,267.86961607848025
2019-04-04 09:31:54,219.16604951412964
2019-04-04 09:31:55,179.3176768720996
2019-04-04 09:31:56,146.71446289328077
2019-04-04 09:31:57,120.03910600220534
2019-04-04 09:31:58,98.2138140008752
2019-04-04 09:31:59,80.35675690918498
2019-04-04 09:32:00,138.47371020008035
2019-04-04 09:32:01,113.29667198129685
2019-04-04 09:32:02,92.69727707521352
2019-04-04 09:32:03,75.84322669763888
2019-04-04 09:32:04,571.1444582134849
2019-04-04 09:32:05,467.30001126449343
2019-04-04 09:32:06,309.60910012414644
2019-04-04 09:32:07,253.31653646481698
2019-04-04 09:32:08,207.25898438004117
2019-04-04 09:32:09,169.5755326744027
2019-04-04 09:32:10,138.74361764257497
2019-04-04 09:32:11,113.5175053438459
2019-04-04 09:32:12,147.42341346323363
2019-04-04 09:32:13,120.61915646986218
2019-04-04 09:32:14,98.68840074803138
2019-04-04 09:32:15,80.74505515745501
2019-04-04 09:32:16,66.06413603790085
2019-04-04 09:32:17,54.0524749400894
2019-04-04 09:32:18,44.22475222370194
2019-04-04 09:32:19,36.1838881830238
2019-04-04 09:32:20,29.604999422470627
2019-04-04 09:32:21,24.222272254746425
2019-04-04 09:32:22,-289.27268633713385
2019-04-04 09:32:23,-236.6776524576401
2019-04-04 09:32:24,-211.8271701926089
2019-04-04 09:32:25,-173.3131392484909
2019-04-04 09:32:26,-141.80165938512405
2019-04-04 09:32:27,-116.01953949691641
2019-04-04 09:32:28,-276.74325958840285
2019-04-04 09:32:29,-226.42630329959806
2019-04-04 09:32:30,-185.2578845178501
