h_m_s,PVG
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,165.0
2019-04-04 09:30:02,2671.4285714285716
2019-04-04 09:30:03,1791.3118811881186
2019-04-04 09:30:04,1277.0749593145229
2019-04-04 09:30:05,945.3744798890426
2019-04-04 09:30:06,717.5772068419623
2019-04-04 09:30:07,554.3249340852392
2019-04-04 09:30:08,825.3402369423367
2019-04-04 09:30:09,757.0005144530353
2019-04-04 09:30:10,541.0685239091471
2019-04-04 09:30:11,432.96402309739324
2019-04-04 09:30:12,347.98649856420184
2019-04-04 09:30:13,280.66038347338383
2019-04-04 09:30:14,150.48791853425138
2019-04-04 09:30:15,178.8142527762079
2019-04-04 09:30:16,13.577883226274428
2019-04-04 09:30:17,11.040683344403126
2019-04-04 09:30:18,8.987946538168432
2019-04-04 09:30:19,7.323698829717236
2019-04-04 09:30:20,5.972133176664927
2019-04-04 09:30:21,4.872993928439495
2019-04-04 09:30:22,-253.11198607847973
2019-04-04 09:30:23,-206.71589383697736
2019-04-04 09:30:24,-168.88049185527967
2019-04-04 09:30:25,-138.00757964930432
2019-04-04 09:30:26,-112.80349905304561
2019-04-04 09:30:27,-92.21906966297307
2019-04-04 09:30:28,-75.40203231370904
2019-04-04 09:30:29,-61.65918535109087
2019-04-04 09:30:30,-50.42609669095876
2019-04-04 09:30:31,-41.2427808640231
2019-04-04 09:30:32,-33.73410246304764
2019-04-04 09:30:33,-27.593944716736114
2019-04-04 09:30:34,-22.572391033601132
2019-04-04 09:30:35,-18.46532680941926
2019-04-04 09:30:36,-15.105991588953906
2019-04-04 09:30:37,-12.358107086586475
2019-04-04 09:30:38,-10.110281291233536
2019-04-04 09:30:39,-8.271447798266136
2019-04-04 09:30:40,-6.767146243336456
2019-04-04 09:30:41,-5.536486968853545
2019-04-04 09:30:42,-113.64009877829021
2019-04-04 09:30:43,-92.97523833764959
2019-04-04 09:30:44,-76.06862513788862
2019-04-04 09:30:45,-62.236610903190915
2019-04-04 09:30:46,-50.91995635657015
2019-04-04 09:30:47,-41.661175254515754
2019-04-04 09:30:48,-34.08600964262863
2019-04-04 09:30:49,-27.88828124696844
2019-04-04 09:30:50,-22.81750251226287
2019-04-04 09:30:51,-18.66874376228094
2019-04-04 09:30:52,-15.274345093288277
2019-04-04 09:30:53,-12.497136801438431
2019-04-04 09:30:54,-10.22489353435607
2019-04-04 09:30:55,-8.365797498112965
2019-04-04 09:30:56,-6.844727017155661
2019-04-04 09:30:57,-5.6002202238222685
2019-04-04 09:30:58,-59.12783902618508
2019-04-04 09:30:59,-48.377259391109156
2019-04-04 09:31:00,-39.58135157358529
2019-04-04 09:31:01,-32.38471376382729
2019-04-04 09:31:02,-26.496564955127578
2019-04-04 09:31:03,-21.67899494916954
2019-04-04 09:31:04,18.62636407681621
2019-04-04 09:31:05,33.42159680280963
2019-04-04 09:31:06,27.344934036216575
2019-04-04 09:31:07,22.373121955270616
2019-04-04 09:31:08,18.30527765517389
2019-04-04 09:31:09,14.977042713638918
2019-04-04 09:31:10,12.253942270761868
2019-04-04 09:31:11,28.20777942210361
2019-04-04 09:31:12,23.07909002578968
2019-04-04 09:31:13,18.882890347370683
2019-04-04 09:31:14,15.44963655822199
2019-04-04 09:31:15,12.640611060891372
2019-04-04 09:31:16,10.34231769317892
2019-04-04 09:31:17,8.461895994819296
2019-04-04 09:31:18,6.923369249748151
2019-04-04 09:31:19,23.84639482746614
2019-04-04 09:31:20,19.510686298665913
2019-04-04 09:31:21,15.963288536540723
2019-04-04 09:31:22,-59.66640470630567
2019-04-04 09:31:23,-48.81796696847297
2019-04-04 09:31:24,-39.941972627107184
2019-04-04 09:31:25,-32.679795553460124
2019-04-04 09:31:26,-26.738014388196778
2019-04-04 09:31:27,-21.876557122582412
2019-04-04 09:31:28,-17.899001212410013
2019-04-04 09:31:29,-14.644637308947594
2019-04-04 09:31:30,-11.981975948812424
2019-04-04 09:31:31,-9.803434846300378
2019-04-04 09:31:32,-8.020992132975577
2019-04-04 09:31:33,-6.562629917609817
2019-04-04 09:31:34,-5.369424471771782
2019-04-04 09:31:35,-4.393165472705163
2019-04-04 09:31:36,-3.5944081112205803
2019-04-04 09:31:37,-2.9408793618442415
2019-04-04 09:31:38,-2.406174022067465
