h_m_s,RY
2019-04-04 09:30:00,-800.0
2019-04-04 09:30:01,-2149.9999999999995
2019-04-04 09:30:02,-661.5384615384614
2019-04-04 09:30:03,54.999999999999986
2019-04-04 09:30:04,18.18181818181818
2019-04-04 09:30:05,-327.74725274725273
2019-04-04 09:30:06,-109.14913083257092
2019-04-04 09:30:07,-36.371951219512205
2019-04-04 09:30:08,321.2275175287064
2019-04-04 09:30:09,107.07221243733912
2019-04-04 09:30:10,169.0244205344744
2019-04-04 09:30:11,56.34126147824778
2019-04-04 09:30:12,85.4471054153427
2019-04-04 09:30:13,28.482356561867032
2019-04-04 09:30:14,9.494117530632652
2019-04-04 09:30:15,3.1647056965083524
2019-04-04 09:30:16,1.0549018824988003
2019-04-04 09:30:17,0.35163395901767597
2019-04-04 09:30:18,0.1172113194708634
2019-04-04 09:30:19,0.039070439801210555
2019-04-04 09:30:20,133.34635682601112
2019-04-04 09:30:21,44.44878560583754
2019-04-04 09:30:22,14.816261868297754
2019-04-04 09:30:23,4.938753956064279
2019-04-04 09:30:24,1.6462513186842072
2019-04-04 09:30:25,0.5487504395609707
2019-04-04 09:30:26,0.18291681318694228
2019-04-04 09:30:27,66.72763893773188
2019-04-04 09:30:28,22.24254631257665
2019-04-04 09:30:29,7.414182104192145
2019-04-04 09:30:30,2.4713940347307073
2019-04-04 09:30:31,0.8237980115769018
2019-04-04 09:30:32,400.27459933719234
2019-04-04 09:30:33,133.42486644573077
2019-04-04 09:30:34,44.47495548191026
2019-04-04 09:30:35,14.824985160636752
2019-04-04 09:30:36,-195.05833827978776
2019-04-04 09:30:37,-65.01944609326259
2019-04-04 09:30:38,-21.673148697754197
2019-04-04 09:30:39,-73.89104956591807
2019-04-04 09:30:40,-24.630349855306022
2019-04-04 09:30:41,58.45655004823133
2019-04-04 09:30:42,19.485516682743775
2019-04-04 09:30:43,6.495172227581258
2019-04-04 09:30:44,-331.16827592413955
2019-04-04 09:30:45,-110.38942530804651
2019-04-04 09:30:46,-36.79647510268217
2019-04-04 09:30:47,-12.265491700894058
2019-04-04 09:30:48,-4.088497233631353
2019-04-04 09:30:49,-68.02949907787712
2019-04-04 09:30:50,-22.676499692625708
2019-04-04 09:30:51,-7.558833230875236
2019-04-04 09:30:52,-2.519611076958412
2019-04-04 09:30:53,-0.8398703589861373
2019-04-04 09:30:54,-66.94662345299538
2019-04-04 09:30:55,-22.31554115099846
2019-04-04 09:30:56,-7.438513716999487
2019-04-04 09:30:57,-2.479504572333162
2019-04-04 09:30:58,-0.826501524111054
2019-04-04 09:30:59,-333.60883384137037
2019-04-04 09:31:00,-111.20294461379012
2019-04-04 09:31:01,-37.06764820459671
2019-04-04 09:31:02,-12.355882734865569
2019-04-04 09:31:03,-4.118627578288523
2019-04-04 09:31:04,-134.70620919276283
2019-04-04 09:31:05,-44.90206973092094
2019-04-04 09:31:06,-14.967356576973648
2019-04-04 09:31:07,-4.989118858991216
2019-04-04 09:31:08,-1.6630396196637387
2019-04-04 09:31:09,-133.88767987322123
2019-04-04 09:31:10,-44.629226624407075
2019-04-04 09:31:11,-14.876408874802358
2019-04-04 09:31:12,-4.958802958267452
2019-04-04 09:31:13,-1.6529343194224841
2019-04-04 09:31:14,332.7823552268592
2019-04-04 09:31:15,110.9274517422864
2019-04-04 09:31:16,36.9758172474288
2019-04-04 09:31:17,12.3252724158096
2019-04-04 09:31:18,4.1084241386032
2019-04-04 09:31:19,1.3694747128677334
2019-04-04 09:31:20,0.45649157095591114
2019-04-04 09:31:21,0.1521638569853037
2019-04-04 09:31:22,0.0507212856617679
2019-04-04 09:31:23,0.0169070952205893
2019-04-04 09:31:24,0.0056356984068631
2019-04-04 09:31:25,0.0018785661356210334
2019-04-04 09:31:26,0.0006261887118736778
2019-04-04 09:31:27,0.00020872957062455927
