h_m_s,WPM
2019-04-04 09:30:00,-1300.0
2019-04-04 09:30:01,-775.0
2019-04-04 09:30:02,-238.46153846153848
2019-04-04 09:30:03,-77.50000000000001
2019-04-04 09:30:04,-25.61983471074381
2019-04-04 09:30:05,-8.51648351648352
2019-04-04 09:30:06,-2.8362305580969824
2019-04-04 09:30:07,-0.9451219512195129
2019-04-04 09:30:08,-0.31500863733360457
2019-04-04 09:30:09,-0.10499932258501568
2019-04-04 09:30:10,-0.034999379043275075
2019-04-04 09:30:11,-0.01166641577600483
2019-04-04 09:30:12,-0.0038888003803497708
2019-04-04 09:30:13,-0.001296266251415441
2019-04-04 09:30:14,-0.00043208869024579364
2019-04-04 09:30:15,-0.00014402955672348578
2019-04-04 09:30:16,-4.8009851497631005e-05
2019-04-04 09:30:17,-1.600328374992912e-05
2019-04-04 09:30:18,-5.334427907463647e-06
2019-04-04 09:30:19,-1.7781426348012833e-06
2019-04-04 09:30:20,-5.92714211487102e-07
2019-04-04 09:30:21,-1.9757140381644224e-07
2019-04-04 09:30:22,-6.585713460408167e-08
2019-04-04 09:30:23,-2.19523782012051e-08
2019-04-04 09:30:24,-7.317459400384428e-09
2019-04-04 09:30:25,-2.4391531334595575e-09
2019-04-04 09:30:26,-8.130510444863061e-10
2019-04-04 09:30:27,-2.71017014828745e-10
2019-04-04 09:30:28,-9.033900494291238e-11
2019-04-04 09:30:29,-3.011300164763717e-11
2019-04-04 09:30:30,-1.0037667215879025e-11
2019-04-04 09:30:31,-3.345889071959672e-12
2019-04-04 09:30:32,-1.1152963573198905e-12
2019-04-04 09:30:33,-3.717654524399635e-13
2019-04-04 09:30:34,-1.2392181747998782e-13
2019-04-04 09:30:35,-4.130727249332927e-14
2019-04-04 09:30:36,-133.33333333333334
2019-04-04 09:30:37,-377.77777777777777
2019-04-04 09:30:38,-125.92592592592592
2019-04-04 09:30:39,-41.97530864197531
2019-04-04 09:30:40,-13.991769547325104
2019-04-04 09:30:41,-4.663923182441701
2019-04-04 09:30:42,-1.5546410608139005
2019-04-04 09:30:43,-0.5182136869379669
2019-04-04 09:30:44,-0.17273789564598896
2019-04-04 09:30:45,-0.057579298548662984
2019-04-04 09:30:46,-0.019193099516220995
2019-04-04 09:30:47,-0.006397699838740331
2019-04-04 09:30:48,-0.0021325666129134438
2019-04-04 09:30:49,-0.0007108555376378146
2019-04-04 09:30:50,-0.00023695184587927155
2019-04-04 09:30:51,-7.898394862642385e-05
2019-04-04 09:30:52,-2.6327982875474616e-05
2019-04-04 09:30:53,66.66665789067237
2019-04-04 09:30:54,22.22221929689079
2019-04-04 09:30:55,7.40740643229693
2019-04-04 09:30:56,2.4691354774323098
2019-04-04 09:30:57,0.8230451591441033
2019-04-04 09:30:58,0.27434838638136777
2019-04-04 09:30:59,0.09144946212712259
2019-04-04 09:31:00,0.030483154042374196
2019-04-04 09:31:01,533.3434943846809
2019-04-04 09:31:02,177.7811647948936
2019-04-04 09:31:03,125.92705493163119
2019-04-04 09:31:04,41.9756849772104
2019-04-04 09:31:05,13.991894992403466
2019-04-04 09:31:06,4.663964997467822
2019-04-04 09:31:07,1.5546549991559406
2019-04-04 09:31:08,200.51821833305198
2019-04-04 09:31:09,66.83940611101733
2019-04-04 09:31:10,22.279802037005776
2019-04-04 09:31:11,7.426600679001925
2019-04-04 09:31:12,2.4755335596673085
2019-04-04 09:31:13,0.8251778532224362
2019-04-04 09:31:14,0.27505928440747873
2019-04-04 09:31:15,0.09168642813582624
2019-04-04 09:31:16,0.03056214271194208
2019-04-04 09:31:17,0.010187380903980693
2019-04-04 09:31:18,0.0033957936346602313
2019-04-04 09:31:19,0.0011319312115534105
2019-04-04 09:31:20,0.00037731040385113684
2019-04-04 09:31:21,-199.99987422986536
2019-04-04 09:31:22,-66.66662474328845
2019-04-04 09:31:23,-22.22220824776282
2019-04-04 09:31:24,-7.407402749254273
2019-04-04 09:31:25,-2.4691342497514244
2019-04-04 09:31:26,-0.8230447499171415
2019-04-04 09:31:27,-0.2743482499723805
2019-04-04 09:31:28,-0.09144941665746016
2019-04-04 09:31:29,-0.030483138885820053
2019-04-04 09:31:30,-0.010161046295273351
2019-04-04 09:31:31,-0.0033870154317577838
2019-04-04 09:31:32,-0.0011290051439192613
2019-04-04 09:31:33,-0.0003763350479730871
2019-04-04 09:31:34,-0.00012544501599102902
2019-04-04 09:31:35,-4.1815005330343004e-05
2019-04-04 09:31:36,-1.3938335110114335e-05
2019-04-04 09:31:37,-4.646111703371445e-06
2019-04-04 09:31:38,-1.548703901123815e-06
2019-04-04 09:31:39,-5.162346337079384e-07
2019-04-04 09:31:40,-1.7207821123597945e-07
2019-04-04 09:31:41,-5.735940374532648e-08
2019-04-04 09:31:42,-1.911980124844216e-08
2019-04-04 09:31:43,-6.373267082814053e-09
2019-04-04 09:31:44,-2.1244223609380176e-09
2019-04-04 09:31:45,-7.081407869793392e-10
2019-04-04 09:31:46,-2.3604692899311306e-10
2019-04-04 09:31:47,-7.868230966437102e-11
2019-04-04 09:31:48,-2.622743655479034e-11
2019-04-04 09:31:49,-133.33333333334207
2019-04-04 09:31:50,-244.44444444444738
2019-04-04 09:31:51,-81.48148148148246
2019-04-04 09:31:52,-27.16049382716082
2019-04-04 09:31:53,-9.05349794238694
2019-04-04 09:31:54,463.64883401920434
2019-04-04 09:31:55,154.54961133973478
2019-04-04 09:31:56,51.51653711324493
2019-04-04 09:31:57,17.17217903774831
2019-04-04 09:31:58,72.39072634591611
2019-04-04 09:31:59,24.130242115305368
2019-04-04 09:32:00,141.37674737176846
2019-04-04 09:32:01,47.12558245725615
2019-04-04 09:32:02,15.70852748575205
2019-04-04 09:32:03,1071.9028424952508
2019-04-04 09:32:04,757.3009474984169
2019-04-04 09:32:05,4652.433649166139
2019-04-04 09:32:06,3017.477883055379
2019-04-04 09:32:07,1005.8259610184597
2019-04-04 09:32:08,801.9419870061532
2019-04-04 09:32:09,267.3139956687177
2019-04-04 09:32:10,-177.56200144376075
2019-04-04 09:32:11,-59.187333814586914
2019-04-04 09:32:12,-1019.729111271529
2019-04-04 09:32:13,-339.9097037571763
2019-04-04 09:32:14,-113.30323458572543
2019-04-04 09:32:15,-37.767744861908476
2019-04-04 09:32:16,-12.589248287302825
2019-04-04 09:32:17,-4.196416095767608
2019-04-04 09:32:18,-1.3988053652558694
2019-04-04 09:32:19,-0.4662684550852898
2019-04-04 09:32:20,-0.15542281836176328
2019-04-04 09:32:21,-0.05180760612058776
2019-04-04 09:32:22,-0.01726920204019592
2019-04-04 09:32:23,-0.005756400680065307
2019-04-04 09:32:24,-0.0019188002266884356
2019-04-04 09:32:25,-0.0006396000755628119
2019-04-04 09:32:26,-0.00021320002518760396
2019-04-04 09:32:27,-7.106667506253465e-05
2019-04-04 09:32:28,-2.3688891687511552e-05
2019-04-04 09:32:29,-66.6666745629639
2019-04-04 09:32:30,-22.2222248543213
2019-04-04 09:32:31,-7.407408284773767
2019-04-04 09:32:32,-2.469136094924589
2019-04-04 09:32:33,-0.8230453649748629
2019-04-04 09:32:34,-0.27434845499162097
2019-04-04 09:32:35,-0.091449484997207
2019-04-04 09:32:36,-0.030483161665735666
2019-04-04 09:32:37,-66.67682772055524
2019-04-04 09:32:38,-22.22560924018508
2019-04-04 09:32:39,-7.408536413395026
2019-04-04 09:32:40,-2.469512137798342
2019-04-04 09:32:41,-0.8231707125994473
2019-04-04 09:32:42,-0.2743902375331491
2019-04-04 09:32:43,-0.09146341251104971
2019-04-04 09:32:44,-0.030487804170349905
2019-04-04 09:32:45,-0.010162601390116635
2019-04-04 09:32:46,-0.003387533796705545
2019-04-04 09:32:47,133.33220415540112
2019-04-04 09:32:48,44.44406805180037
2019-04-04 09:32:49,14.814689350600124
2019-04-04 09:32:50,-61.72843688313329
2019-04-04 09:32:51,-20.576145627711096
2019-04-04 09:32:52,-6.858715209237032
2019-04-04 09:32:53,-2.2862384030790106
2019-04-04 09:32:54,-0.7620794676930035
2019-04-04 09:32:55,-0.2540264892310012
2019-04-04 09:32:56,-0.08467549641033373
2019-04-04 09:32:57,-0.02822516547011124
2019-04-04 09:32:58,-0.00940838849003708
2019-04-04 09:32:59,-66.66980279616335
2019-04-04 09:33:00,-22.22326759872112
2019-04-04 09:33:01,125.92557746709296
2019-04-04 09:33:02,41.97519248903099
2019-04-04 09:33:03,13.991730829676996
2019-04-04 09:33:04,4.663910276558998
2019-04-04 09:33:05,1.5546367588529995
2019-04-04 09:33:06,0.5182122529509998
2019-04-04 09:33:07,0.17273741765033326
2019-04-04 09:33:08,0.05757913921677776
2019-04-04 09:33:09,266.68585971307226
2019-04-04 09:33:10,88.89528657102409
2019-04-04 09:33:11,29.631762190341362
2019-04-04 09:33:12,76.54392073011378
2019-04-04 09:33:13,25.51464024337126
2019-04-04 09:33:14,-58.161786585542906
2019-04-04 09:33:15,-19.38726219518097
2019-04-04 09:33:16,-6.46242073172699
2019-04-04 09:33:17,-2.1541402439089965
2019-04-04 09:33:18,-134.051380081303
2019-04-04 09:33:19,-44.68379336043433
2019-04-04 09:33:20,-14.894597786811444
2019-04-04 09:33:21,-4.964865928937148
2019-04-04 09:33:22,-1.6549553096457161
2019-04-04 09:33:23,-0.5516517698819053
