h_m_s,HQU
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,400.0022580244544
2019-04-04 09:30:11,133.3335842239952
2019-04-04 09:30:12,44.44447232114969
2019-04-04 09:30:13,14.814817912225218
2019-04-04 09:30:14,4.938271949094937
2019-04-04 09:30:15,1.6460905732190523
2019-04-04 09:30:16,0.5486968492419891
2019-04-04 09:30:17,0.1828989488031414
2019-04-04 09:30:18,0.06096631616280399
2019-04-04 09:30:19,0.02032210537594469
2019-04-04 09:30:20,0.006774035124019714
2019-04-04 09:30:21,0.0022580117078626625
2019-04-04 09:30:22,0.0007526705692715641
2019-04-04 09:30:23,0.0002508901897554114
2019-04-04 09:30:24,8.36300632516064e-05
2019-04-04 09:30:25,2.7876687750513538e-05
2019-04-04 09:30:26,9.292229250168745e-06
2019-04-04 09:30:27,3.0974097500559776e-06
2019-04-04 09:30:28,1.032469916685296e-06
2019-04-04 09:30:29,3.4415663889509536e-07
2019-04-04 09:30:30,1.147188796316981e-07
2019-04-04 09:30:31,3.823962654389933e-08
2019-04-04 09:30:32,1.2746542181299774e-08
2019-04-04 09:30:33,4.248847393766591e-09
2019-04-04 09:30:34,1.4162824645888636e-09
2019-04-04 09:30:35,4.720941548629545e-10
2019-04-04 09:30:36,1.5736471828765152e-10
2019-04-04 09:30:37,5.245490609588384e-11
2019-04-04 09:30:38,1.7484968698627946e-11
2019-04-04 09:30:39,5.828322899542649e-12
2019-04-04 09:30:40,1.9427742998475494e-12
2019-04-04 09:30:41,6.475914332825164e-13
2019-04-04 09:30:42,2.1586381109417215e-13
2019-04-04 09:30:43,7.195460369805738e-14
2019-04-04 09:30:44,2.3984867899352462e-14
2019-04-04 09:30:45,7.99495596645082e-15
2019-04-04 09:30:46,2.6649853221502735e-15
2019-04-04 09:30:47,8.883284407167579e-16
2019-04-04 09:30:48,2.961094802389193e-16
2019-04-04 09:30:49,9.870316007963977e-17
2019-04-04 09:30:50,3.2901053359879924e-17
2019-04-04 09:30:51,1.0967017786626641e-17
2019-04-04 09:30:52,3.655672595542214e-18
2019-04-04 09:30:53,1.2185575318474046e-18
2019-04-04 09:30:54,4.061858439491349e-19
2019-04-04 09:30:55,1.353952813163783e-19
2019-04-04 09:30:56,4.5131760438792766e-20
2019-04-04 09:30:57,1.5043920146264256e-20
2019-04-04 09:30:58,5.014640048754752e-21
2019-04-04 09:30:59,1.6715466829182508e-21
2019-04-04 09:31:00,5.571822276394169e-22
2019-04-04 09:31:01,1.8572740921313896e-22
2019-04-04 09:31:02,6.190913640437966e-23
2019-04-04 09:31:03,2.0636378801459885e-23
2019-04-04 09:31:04,6.878792933819962e-24
2019-04-04 09:31:05,2.2929309779399873e-24
2019-04-04 09:31:06,7.6431032597999575e-25
2019-04-04 09:31:07,2.547701086599986e-25
2019-04-04 09:31:08,8.492336955333287e-26
2019-04-04 09:31:09,2.8307789851110957e-26
2019-04-04 09:31:10,9.435929950370319e-27
2019-04-04 09:31:11,3.145309983456773e-27
2019-04-04 09:31:12,1.0484366611522577e-27
2019-04-04 09:31:13,3.4947888705075255e-28
2019-04-04 09:31:14,1.1649296235025086e-28
2019-04-04 09:31:15,3.883098745008362e-29
2019-04-04 09:31:16,1.2943662483361206e-29
2019-04-04 09:31:17,4.314554161120402e-30
2019-04-04 09:31:18,1.4381847203734673e-30
2019-04-04 09:31:19,4.7939490679115576e-31
2019-04-04 09:31:20,1.5979830226371858e-31
