h_m_s,SMU.UN
2019-04-04 09:30:00,100.0
2019-04-04 09:30:01,25.0
2019-04-04 09:30:02,7.6923076923076925
2019-04-04 09:30:03,2.500000000000001
2019-04-04 09:30:04,0.826446280991736
2019-04-04 09:30:05,0.2747252747252749
2019-04-04 09:30:06,0.09149130832570913
2019-04-04 09:30:07,0.030487804878048808
2019-04-04 09:30:08,0.01016156894624531
2019-04-04 09:30:09,0.003387074922097281
2019-04-04 09:30:10,0.0011290122272024222
2019-04-04 09:30:11,0.0003763359927743495
2019-04-04 09:30:12,0.0001254451735596701
2019-04-04 09:30:13,4.1815040368240054e-05
2019-04-04 09:30:14,1.3938344846638512e-05
2019-04-04 09:30:15,4.646114733015673e-06
2019-04-04 09:30:16,1.548704887020356e-06
2019-04-04 09:30:17,5.162349596751333e-07
2019-04-04 09:30:18,1.7207831959560165e-07
2019-04-04 09:30:19,5.7359439832299506e-08
2019-04-04 09:30:20,1.9119813273777498e-08
2019-04-04 09:30:21,6.373271090852981e-09
2019-04-04 09:30:22,2.1244236969058618e-09
2019-04-04 09:30:23,7.081412322969393e-10
2019-04-04 09:30:24,2.3604707743175593e-10
2019-04-04 09:30:25,7.868235914385676e-11
2019-04-04 09:30:26,2.6227453047945378e-11
2019-04-04 09:30:27,8.742484349314362e-12
2019-04-04 09:30:28,2.914161449771369e-12
2019-04-04 09:30:29,9.713871499237804e-13
2019-04-04 09:30:30,3.2379571664125913e-13
2019-04-04 09:30:31,1.0793190554708628e-13
2019-04-04 09:30:32,3.5977301849028754e-14
2019-04-04 09:30:33,1.1992433949676251e-14
2019-04-04 09:30:34,3.997477983225417e-15
2019-04-04 09:30:35,1.3324926610751391e-15
2019-04-04 09:30:36,4.441642203583797e-16
2019-04-04 09:30:37,1.4805474011945991e-16
2019-04-04 09:30:38,4.935158003981997e-17
2019-04-04 09:30:39,1.645052667993999e-17
2019-04-04 09:30:40,5.48350889331333e-18
2019-04-04 09:30:41,1.82783629777111e-18
2019-04-04 09:30:42,6.092787659237034e-19
2019-04-04 09:30:43,2.0309292197456778e-19
2019-04-04 09:30:44,6.769764065818925e-20
2019-04-04 09:30:45,2.256588021939642e-20
2019-04-04 09:30:46,7.52196007313214e-21
2019-04-04 09:30:47,2.5073200243773802e-21
2019-04-04 09:30:48,8.357733414591267e-22
2019-04-04 09:30:49,2.785911138197089e-22
2019-04-04 09:30:50,9.286370460656964e-23
2019-04-04 09:30:51,3.0954568202189876e-23
2019-04-04 09:30:52,1.0318189400729959e-23
2019-04-04 09:30:53,3.439396466909986e-24
2019-04-04 09:30:54,1.1464654889699953e-24
2019-04-04 09:30:55,3.8215516298999843e-25
2019-04-04 09:30:56,1.2738505432999948e-25
2019-04-04 09:30:57,4.246168477666649e-26
2019-04-04 09:30:58,1.4153894925555496e-26
2019-04-04 09:30:59,4.717964975185165e-27
2019-04-04 09:31:00,1.5726549917283885e-27
2019-04-04 09:31:01,5.242183305761295e-28
2019-04-04 09:31:02,1.7473944352537648e-28
2019-04-04 09:31:03,5.82464811751255e-29
2019-04-04 09:31:04,1.941549372504183e-29
2019-04-04 09:31:05,6.47183124168061e-30
2019-04-04 09:31:06,2.1572770805602034e-30
2019-04-04 09:31:07,7.190923601867345e-31
2019-04-04 09:31:08,2.396974533955782e-31
2019-04-04 09:31:09,7.98991511318594e-32
2019-04-04 09:31:10,2.6633050377286466e-32
2019-04-04 09:31:11,8.877683459095488e-33
2019-04-04 09:31:12,2.959227819698496e-33
2019-04-04 09:31:13,9.86409273232832e-34
2019-04-04 09:31:14,3.2880309107761068e-34
2019-04-04 09:31:15,1.0960103035920356e-34
2019-04-04 09:31:16,3.653367678640119e-35
2019-04-04 09:31:17,1.2177892262133728e-35
2019-04-04 09:31:18,4.059297420711243e-36
2019-04-04 09:31:19,1.353099140237081e-36
2019-04-04 09:31:20,4.510330467456937e-37
2019-04-04 09:31:21,1.5034434891523122e-37
2019-04-04 09:31:22,5.011478297174374e-38
2019-04-04 09:31:23,1.6704927657247912e-38
2019-04-04 09:31:24,5.568309219082637e-39
2019-04-04 09:31:25,1.8561030730275457e-39
2019-04-04 09:31:26,6.1870102434251525e-40
2019-04-04 09:31:27,2.0623367478083843e-40
2019-04-04 09:31:28,6.874455826027948e-41
2019-04-04 09:31:29,2.2914852753426492e-41
2019-04-04 09:31:30,7.638284251142164e-42
2019-04-04 09:31:31,2.5460947503807214e-42
2019-04-04 09:31:32,8.486982501269071e-43
2019-04-04 09:31:33,2.8289941670896903e-43
2019-04-04 09:31:34,9.429980556965634e-44
2019-04-04 09:31:35,3.143326852321878e-44
2019-04-04 09:31:36,1.0477756174406259e-44
2019-04-04 09:31:37,3.492585391468753e-45
2019-04-04 09:31:38,1.1641951304895844e-45
2019-04-04 09:31:39,3.880650434965281e-46
2019-04-04 09:31:40,1.293550144988427e-46
2019-04-04 09:31:41,4.3118338166280903e-47
2019-04-04 09:31:42,1.43727793887603e-47
