h_m_s,FOOD
2019-04-04 09:30:00,500.0
2019-04-04 09:30:01,1100.0
2019-04-04 09:30:02,471.42857142857144
2019-04-04 09:30:03,220.0
2019-04-04 09:30:04,106.45161290322581
2019-04-04 09:30:05,52.38095238095238
2019-04-04 09:30:06,25.984251968503937
2019-04-04 09:30:07,12.941176470588236
2019-04-04 09:30:08,6.457925636007828
2019-04-04 09:30:09,3.225806451612903
2019-04-04 09:30:10,1.6121152906692722
2019-04-04 09:30:11,0.8058608058608059
2019-04-04 09:30:12,0.4028812110853376
2019-04-04 09:30:13,0.20142830983336385
2019-04-04 09:30:14,0.10071108127079073
2019-04-04 09:30:15,0.05035477225909819
2019-04-04 09:30:16,0.02517719403987152
2019-04-04 09:30:17,0.01258854899806594
2019-04-04 09:30:18,0.006294262493634212
2019-04-04 09:30:19,0.003147128245476003
2019-04-04 09:30:20,0.0015735633724037992
2019-04-04 09:30:21,0.0007867814986184833
2019-04-04 09:30:22,0.00039339070241340427
2019-04-04 09:30:23,0.0001966953394827449
2019-04-04 09:30:24,9.83476668103834e-05
2019-04-04 09:30:25,4.9173832672444475e-05
2019-04-04 09:30:26,2.4586916153035432e-05
2019-04-04 09:30:27,1.2293458030721016e-05
2019-04-04 09:30:28,6.146729003911333e-06
2019-04-04 09:30:29,3.073364499093373e-06
2019-04-04 09:30:30,1.536682248831113e-06
2019-04-04 09:30:31,7.683411242366631e-07
2019-04-04 09:30:32,3.8417056207360823e-07
2019-04-04 09:30:33,1.9208528102562328e-07
2019-04-04 09:30:34,9.604264051001643e-08
2019-04-04 09:30:35,4.802132025430941e-08
2019-04-04 09:30:36,2.4010660126980006e-08
2019-04-04 09:30:37,1.2005330063446328e-08
2019-04-04 09:30:38,6.002665031712245e-09
2019-04-04 09:30:39,3.001332515853393e-09
2019-04-04 09:30:40,1.500666257926014e-09
2019-04-04 09:30:41,7.503331289628364e-10
2019-04-04 09:30:42,3.7516656448137555e-10
2019-04-04 09:30:43,1.8758328224067712e-10
2019-04-04 09:30:44,9.379164112033589e-11
2019-04-04 09:30:45,-999.9999999999674
2019-04-04 09:30:46,-499.9999999999801
2019-04-04 09:30:47,-249.99999999998917
2019-04-04 09:30:48,-124.99999999999437
2019-04-04 09:30:49,-62.49999999999713
2019-04-04 09:30:50,-31.24999999999855
2019-04-04 09:30:51,-15.624999999999272
2019-04-04 09:30:52,-7.812499999999635
2019-04-04 09:30:53,-3.906249999999817
2019-04-04 09:30:54,-1.9531249999999085
2019-04-04 09:30:55,-0.9765624999999543
2019-04-04 09:30:56,-0.48828124999997713
2019-04-04 09:30:57,-0.24414062499998856
2019-04-04 09:30:58,-0.12207031249999428
2019-04-04 09:30:59,-0.06103515624999714
2019-04-04 09:31:00,-0.03051757812499857
2019-04-04 09:31:01,-0.015258789062499285
2019-04-04 09:31:02,-0.007629394531249643
2019-04-04 09:31:03,-0.0038146972656248213
2019-04-04 09:31:04,-0.0019073486328124107
2019-04-04 09:31:05,-0.0009536743164062053
2019-04-04 09:31:06,-0.00047683715820310267
2019-04-04 09:31:07,-0.00023841857910155133
2019-04-04 09:31:08,-0.00011920928955077567
2019-04-04 09:31:09,-5.960464477538783e-05
2019-04-04 09:31:10,-2.9802322387693917e-05
2019-04-04 09:31:11,-1.4901161193846958e-05
2019-04-04 09:31:12,-7.450580596923479e-06
2019-04-04 09:31:13,-3.7252902984617396e-06
2019-04-04 09:31:14,-1.8626451492308698e-06
2019-04-04 09:31:15,-9.313225746154349e-07
2019-04-04 09:31:16,-4.6566128730771745e-07
2019-04-04 09:31:17,-2.3283064365385872e-07
2019-04-04 09:31:18,-1.1641532182692936e-07
2019-04-04 09:31:19,-5.820766091346468e-08
2019-04-04 09:31:20,-2.910383045673234e-08
2019-04-04 09:31:21,-1.455191522836617e-08
2019-04-04 09:31:22,-7.275957614183085e-09
2019-04-04 09:31:23,-3.6379788070915426e-09
2019-04-04 09:31:24,-1.8189894035457713e-09
2019-04-04 09:31:25,-9.094947017728856e-10
2019-04-04 09:31:26,-4.547473508864428e-10
2019-04-04 09:31:27,-2.273736754432214e-10
2019-04-04 09:31:28,-1.136868377216107e-10
2019-04-04 09:31:29,-5.684341886080535e-11
2019-04-04 09:31:30,-2.8421709430402676e-11
2019-04-04 09:31:31,-1.4210854715201338e-11
2019-04-04 09:31:32,-7.105427357600669e-12
2019-04-04 09:31:33,-3.5527136788003345e-12
2019-04-04 09:31:34,-1.7763568394001673e-12
2019-04-04 09:31:35,-8.881784197000836e-13
2019-04-04 09:31:36,-4.440892098500418e-13
2019-04-04 09:31:37,149.99999999999977
2019-04-04 09:31:38,74.99999999999989
2019-04-04 09:31:39,37.49999999999994
2019-04-04 09:31:40,18.74999999999997
2019-04-04 09:31:41,9.374999999999986
2019-04-04 09:31:42,4.687499999999993
2019-04-04 09:31:43,2.3437499999999964
2019-04-04 09:31:44,1.1718749999999982
2019-04-04 09:31:45,0.5859374999999991
2019-04-04 09:31:46,0.29296874999999956
2019-04-04 09:31:47,0.14648437499999978
2019-04-04 09:31:48,0.07324218749999989
2019-04-04 09:31:49,0.036621093749999944
2019-04-04 09:31:50,0.018310546874999972
2019-04-04 09:31:51,0.009155273437499986
2019-04-04 09:31:52,0.004577636718749993
2019-04-04 09:31:53,0.0022888183593749965
2019-04-04 09:31:54,0.0011444091796874983
2019-04-04 09:31:55,0.0005722045898437491
2019-04-04 09:31:56,0.00028610229492187457
2019-04-04 09:31:57,0.00014305114746093728
2019-04-04 09:31:58,7.152557373046864e-05
2019-04-04 09:31:59,3.576278686523432e-05
2019-04-04 09:32:00,1.788139343261716e-05
2019-04-04 09:32:01,8.94069671630858e-06
2019-04-04 09:32:02,4.47034835815429e-06
2019-04-04 09:32:03,2.235174179077145e-06
2019-04-04 09:32:04,1.1175870895385725e-06
2019-04-04 09:32:05,5.587935447692863e-07
2019-04-04 09:32:06,2.7939677238464313e-07
2019-04-04 09:32:07,1.3969838619232157e-07
2019-04-04 09:32:08,6.984919309616078e-08
2019-04-04 09:32:09,3.492459654808039e-08
2019-04-04 09:32:10,1.7462298274040196e-08
2019-04-04 09:32:11,8.731149137020098e-09
2019-04-04 09:32:12,4.365574568510049e-09
2019-04-04 09:32:13,2.1827872842550245e-09
2019-04-04 09:32:14,1.0913936421275122e-09
2019-04-04 09:32:15,5.456968210637561e-10
2019-04-04 09:32:16,2.7284841053187806e-10
2019-04-04 09:32:17,1.3642420526593903e-10
2019-04-04 09:32:18,6.821210263296951e-11
2019-04-04 09:32:19,3.410605131648476e-11
2019-04-04 09:32:20,1.705302565824238e-11
2019-04-04 09:32:21,8.52651282912119e-12
2019-04-04 09:32:22,4.263256414560595e-12
2019-04-04 09:32:23,2.1316282072802973e-12
2019-04-04 09:32:24,1.0658141036401487e-12
2019-04-04 09:32:25,5.329070518200743e-13
2019-04-04 09:32:26,2.6645352591003717e-13
2019-04-04 09:32:27,1.3322676295501858e-13
2019-04-04 09:32:28,6.661338147750929e-14
2019-04-04 09:32:29,3.3306690738754646e-14
2019-04-04 09:32:30,1.6653345369377323e-14
2019-04-04 09:32:31,8.326672684688661e-15
2019-04-04 09:32:32,4.163336342344331e-15
2019-04-04 09:32:33,2.0816681711721654e-15
2019-04-04 09:32:34,1.0408340855860827e-15
2019-04-04 09:32:35,5.204170427930413e-16
2019-04-04 09:32:36,2.6020852139652067e-16
2019-04-04 09:32:37,1.3010426069826033e-16
2019-04-04 09:32:38,6.505213034913017e-17
2019-04-04 09:32:39,3.2526065174565084e-17
2019-04-04 09:32:40,1.6263032587282542e-17
2019-04-04 09:32:41,8.131516293641271e-18
2019-04-04 09:32:42,4.0657581468206355e-18
2019-04-04 09:32:43,2.0328790734103177e-18
2019-04-04 09:32:44,1.0164395367051589e-18
2019-04-04 09:32:45,5.082197683525794e-19
2019-04-04 09:32:46,2.541098841762897e-19
2019-04-04 09:32:47,1.2705494208814486e-19
2019-04-04 09:32:48,6.352747104407243e-20
2019-04-04 09:32:49,3.1763735522036215e-20
2019-04-04 09:32:50,1.5881867761018107e-20
2019-04-04 09:32:51,7.940933880509054e-21
2019-04-04 09:32:52,3.970466940254527e-21
2019-04-04 09:32:53,1.9852334701272634e-21
2019-04-04 09:32:54,9.926167350636317e-22
2019-04-04 09:32:55,4.9630836753181585e-22
2019-04-04 09:32:56,2.4815418376590793e-22
2019-04-04 09:32:57,1.2407709188295396e-22
2019-04-04 09:32:58,6.203854594147698e-23
2019-04-04 09:32:59,3.101927297073849e-23
2019-04-04 09:33:00,1.5509636485369245e-23
2019-04-04 09:33:01,7.754818242684623e-24
2019-04-04 09:33:02,3.877409121342311e-24
2019-04-04 09:33:03,1.9387045606711557e-24
2019-04-04 09:33:04,9.693522803355778e-25
2019-04-04 09:33:05,4.846761401677889e-25
2019-04-04 09:33:06,2.4233807008389446e-25
2019-04-04 09:33:07,1.2116903504194723e-25
2019-04-04 09:33:08,6.058451752097361e-26
2019-04-04 09:33:09,3.029225876048681e-26
2019-04-04 09:33:10,1.5146129380243404e-26
2019-04-04 09:33:11,7.573064690121702e-27
2019-04-04 09:33:12,3.786532345060851e-27
2019-04-04 09:33:13,1.8932661725304255e-27
2019-04-04 09:33:14,9.466330862652127e-28
2019-04-04 09:33:15,4.733165431326064e-28
2019-04-04 09:33:16,2.366582715663032e-28
2019-04-04 09:33:17,1.183291357831516e-28
2019-04-04 09:33:18,5.91645678915758e-29
2019-04-04 09:33:19,2.95822839457879e-29
2019-04-04 09:33:20,1.479114197289395e-29
2019-04-04 09:33:21,7.395570986446974e-30
2019-04-04 09:33:22,3.697785493223487e-30
2019-04-04 09:33:23,1.8488927466117436e-30
2019-04-04 09:33:24,9.244463733058718e-31
2019-04-04 09:33:25,4.622231866529359e-31
2019-04-04 09:33:26,2.3111159332646795e-31
2019-04-04 09:33:27,1.1555579666323398e-31
2019-04-04 09:33:28,5.777789833161699e-32
2019-04-04 09:33:29,2.8888949165808494e-32
2019-04-04 09:33:30,1.4444474582904247e-32
2019-04-04 09:33:31,7.222237291452124e-33
2019-04-04 09:33:32,3.611118645726062e-33
2019-04-04 09:33:33,1.805559322863031e-33
2019-04-04 09:33:34,9.027796614315154e-34
2019-04-04 09:33:35,4.513898307157577e-34
2019-04-04 09:33:36,2.2569491535787886e-34
2019-04-04 09:33:37,1.1284745767893943e-34
2019-04-04 09:33:38,5.642372883946971e-35
2019-04-04 09:33:39,2.821186441973486e-35
2019-04-04 09:33:40,1.410593220986743e-35
2019-04-04 09:33:41,7.052966104933714e-36
2019-04-04 09:33:42,200.0
2019-04-04 09:33:43,100.0
2019-04-04 09:33:44,50.0
2019-04-04 09:33:45,25.0
2019-04-04 09:33:46,12.5
2019-04-04 09:33:47,6.25
2019-04-04 09:33:48,3.125
2019-04-04 09:33:49,1.5625
2019-04-04 09:33:50,0.78125
2019-04-04 09:33:51,0.390625
2019-04-04 09:33:52,0.1953125
2019-04-04 09:33:53,0.09765625
2019-04-04 09:33:54,0.048828125
2019-04-04 09:33:55,0.0244140625
2019-04-04 09:33:56,0.01220703125
2019-04-04 09:33:57,0.006103515625
2019-04-04 09:33:58,0.0030517578125
2019-04-04 09:33:59,0.00152587890625
2019-04-04 09:34:00,0.000762939453125
2019-04-04 09:34:01,0.0003814697265625
2019-04-04 09:34:02,0.00019073486328125
2019-04-04 09:34:03,9.5367431640625e-05
2019-04-04 09:34:04,4.76837158203125e-05
2019-04-04 09:34:05,2.384185791015625e-05
2019-04-04 09:34:06,1.1920928955078125e-05
2019-04-04 09:34:07,5.9604644775390625e-06
2019-04-04 09:34:08,2.9802322387695312e-06
2019-04-04 09:34:09,1.4901161193847656e-06
2019-04-04 09:34:10,7.450580596923828e-07
2019-04-04 09:34:11,3.725290298461914e-07
2019-04-04 09:34:12,1.862645149230957e-07
2019-04-04 09:34:13,9.313225746154785e-08
2019-04-04 09:34:14,4.6566128730773926e-08
2019-04-04 09:34:15,2.3283064365386963e-08
2019-04-04 09:34:16,1.1641532182693481e-08
2019-04-04 09:34:17,5.820766091346741e-09
2019-04-04 09:34:18,2.9103830456733704e-09
2019-04-04 09:34:19,1.4551915228366852e-09
2019-04-04 09:34:20,7.275957614183426e-10
2019-04-04 09:34:21,3.637978807091713e-10
2019-04-04 09:34:22,1.8189894035458565e-10
2019-04-04 09:34:23,9.094947017729282e-11
2019-04-04 09:34:24,4.547473508864641e-11
2019-04-04 09:34:25,2.2737367544323206e-11
2019-04-04 09:34:26,1.1368683772161603e-11
2019-04-04 09:34:27,5.6843418860808015e-12
2019-04-04 09:34:28,2.8421709430404007e-12
2019-04-04 09:34:29,1.4210854715202004e-12
2019-04-04 09:34:30,7.105427357601002e-13
2019-04-04 09:34:31,3.552713678800501e-13
2019-04-04 09:34:32,1.7763568394002505e-13
2019-04-04 09:34:33,8.881784197001252e-14
2019-04-04 09:34:34,4.440892098500626e-14
2019-04-04 09:34:35,2.220446049250313e-14
