h_m_s,XIU
2019-04-04 09:30:00,-60600.0
2019-04-04 09:30:01,-20200.0
2019-04-04 09:30:02,-8657.142857142857
2019-04-04 09:30:03,226.66666666666666
2019-04-04 09:30:04,109.6774193548387
2019-04-04 09:30:05,53.96825396825397
2019-04-04 09:30:06,26.771653543307085
2019-04-04 09:30:07,13.333333333333334
2019-04-04 09:30:08,6.653620352250489
2019-04-04 09:30:09,3.32355816226784
2019-04-04 09:30:10,1.6609672691744015
2019-04-04 09:30:11,0.8302808302808303
2019-04-04 09:30:12,0.4150897326333781
2019-04-04 09:30:13,0.20753219801013245
2019-04-04 09:30:14,0.10376293221839046
2019-04-04 09:30:15,0.05188067444876784
2019-04-04 09:30:16,0.02594013931380702
2019-04-04 09:30:17,0.012970020179825514
2019-04-04 09:30:18,0.006484997720714036
2019-04-04 09:30:19,0.003242495768066185
2019-04-04 09:30:20,0.0016212471109614901
2019-04-04 09:30:21,0.0008106233622129827
2019-04-04 09:30:22,0.00040531163278956803
2019-04-04 09:30:23,0.00020265580431555536
2019-04-04 09:30:24,0.00010132789913797078
2019-04-04 09:30:25,5.06639488140337e-05
2019-04-04 09:30:26,2.533197421827893e-05
2019-04-04 09:30:27,1.2665987061954986e-05
2019-04-04 09:30:28,6.3329935191813735e-06
2019-04-04 09:30:29,3.166496756641657e-06
2019-04-04 09:30:30,1.583248377583571e-06
2019-04-04 09:30:31,7.916241886074711e-07
2019-04-04 09:30:32,3.9581209425765696e-07
2019-04-04 09:30:33,1.9790604711730883e-07
2019-04-04 09:30:34,9.89530235557745e-08
2019-04-04 09:30:35,4.9476511777167274e-08
2019-04-04 09:30:36,2.4738255888403643e-08
2019-04-04 09:30:37,1.2369127944156823e-08
2019-04-04 09:30:38,-4800.000000002547
2019-04-04 09:30:39,-2399.9999999990905
2019-04-04 09:30:40,-1199.9999999989996
2019-04-04 09:30:41,-599.9999999993634
2019-04-04 09:30:42,-299.99999999964757
2019-04-04 09:30:43,-149.99999999981526
2019-04-04 09:30:44,-74.9999999999055
2019-04-04 09:30:45,-37.499999999952216
2019-04-04 09:30:46,-18.749999999975973
2019-04-04 09:30:47,-9.374999999987955
2019-04-04 09:30:48,-4.687499999993968
2019-04-04 09:30:49,-2.3437499999969824
2019-04-04 09:30:50,-1.1718749999984905
2019-04-04 09:30:51,-0.5859374999992452
2019-04-04 09:30:52,-0.2929687499996226
2019-04-04 09:30:53,-0.14648437499981126
2019-04-04 09:30:54,-0.07324218749990563
2019-04-04 09:30:55,-0.036621093749952816
2019-04-04 09:30:56,-0.018310546874976408
2019-04-04 09:30:57,-0.009155273437488204
2019-04-04 09:30:58,-0.004577636718744102
2019-04-04 09:30:59,-0.002288818359372051
2019-04-04 09:31:00,-0.0011444091796860255
2019-04-04 09:31:01,-0.0005722045898430127
2019-04-04 09:31:02,-0.00028610229492150637
2019-04-04 09:31:03,-0.00014305114746075319
2019-04-04 09:31:04,-7.152557373037659e-05
2019-04-04 09:31:05,-3.5762786865188296e-05
2019-04-04 09:31:06,-1.7881393432594148e-05
2019-04-04 09:31:07,-8.940696716297074e-06
2019-04-04 09:31:08,-4.470348358148537e-06
2019-04-04 09:31:09,-2.2351741790742685e-06
2019-04-04 09:31:10,-1.1175870895371343e-06
2019-04-04 09:31:11,-5.587935447685671e-07
2019-04-04 09:31:12,-2.7939677238428357e-07
2019-04-04 09:31:13,-1.3969838619214178e-07
2019-04-04 09:31:14,-6.984919309607089e-08
2019-04-04 09:31:15,-3.4924596548035446e-08
2019-04-04 09:31:16,-1.7462298274017723e-08
2019-04-04 09:31:17,-8.731149137008861e-09
2019-04-04 09:31:18,-4.365574568504431e-09
2019-04-04 09:31:19,-2.1827872842522154e-09
2019-04-04 09:31:20,-1.0913936421261077e-09
