h_m_s,ENB
2019-04-04 09:30:00,-11600.0
2019-04-04 09:30:01,-5968.333333333333
2019-04-04 09:30:02,-3844.8352462051093
2019-04-04 09:30:03,-2620.121161672216
2019-04-04 09:30:04,-2023.9801616210495
2019-04-04 09:30:05,-1628.020325654923
2019-04-04 09:30:06,-1346.44360419177
2019-04-04 09:30:07,-1105.142854524649
2019-04-04 09:30:08,-947.159478548328
2019-04-04 09:30:09,-821.6081269329455
2019-04-04 09:30:10,-719.6373611089825
2019-04-04 09:30:11,-623.6325994174292
2019-04-04 09:30:12,-632.1304604771672
2019-04-04 09:30:13,-628.714825197649
2019-04-04 09:30:14,-564.5601306120961
2019-04-04 09:30:15,-509.0354043765101
2019-04-04 09:30:16,-460.609997638936
2019-04-04 09:30:17,-418.09306299746083
2019-04-04 09:30:18,-380.5441529790664
2019-04-04 09:30:19,-347.21063941846575
2019-04-04 09:30:20,-266.11196182865007
2019-04-04 09:30:21,-243.79873648417023
2019-04-04 09:30:22,-223.74416575031853
2019-04-04 09:30:23,-246.0724540621135
2019-04-04 09:30:24,-218.55010952081165
2019-04-04 09:30:25,-201.42637712642968
2019-04-04 09:30:26,-185.85968631463686
2019-04-04 09:30:27,-171.6770822925751
2019-04-04 09:30:28,-158.72940512556403
2019-04-04 09:30:29,-146.88733607393513
2019-04-04 09:30:30,-136.0382088605642
2019-04-04 09:30:31,-126.08341850630894
2019-04-04 09:30:32,-109.68148689734305
2019-04-04 09:30:33,-101.78770194760378
2019-04-04 09:30:34,-94.51623443411694
2019-04-04 09:30:35,-87.81063549377214
2019-04-04 09:30:36,-81.62058007886787
2019-04-04 09:30:37,-75.90106777883007
2019-04-04 09:30:38,-70.61174623564288
2019-04-04 09:30:39,-162.77631685110862
2019-04-04 09:30:40,-151.5453179164575
2019-04-04 09:30:41,-141.1358572161036
2019-04-04 09:30:42,-131.48169282532763
2019-04-04 09:30:43,-108.89503619119493
2019-04-04 09:30:44,-128.65889263251847
2019-04-04 09:30:45,-119.95330682425342
2019-04-04 09:30:46,-111.86224675762598
2019-04-04 09:30:47,-104.3390281185579
2019-04-04 09:30:48,-97.34094044282946
2019-04-04 09:30:49,-117.58876017044943
2019-04-04 09:30:50,-109.74080649712947
2019-04-04 09:30:51,-102.43288740890607
2019-04-04 09:30:52,-122.20757698064467
2019-04-04 09:30:53,-114.10203900340697
2019-04-04 09:30:54,-106.54778094312536
2019-04-04 09:30:55,-99.50556289407382
2019-04-04 09:30:56,-92.93916040101452
2019-04-04 09:30:57,-86.81510475306953
2019-04-04 09:30:58,-81.10244907434095
2019-04-04 09:30:59,-95.48796124937078
2019-04-04 09:31:00,-102.3480397868605
2019-04-04 09:31:01,-95.63754009173743
2019-04-04 09:31:02,-89.37359078123366
2019-04-04 09:31:03,-83.52564457053296
2019-04-04 09:31:04,-71.52808029325853
2019-04-04 09:31:05,-66.85609939904785
2019-04-04 09:31:06,-62.492770378963165
2019-04-04 09:31:07,-71.46039816401115
2019-04-04 09:31:08,-66.80331742407552
2019-04-04 09:31:09,-81.99083466036481
2019-04-04 09:31:10,-76.65423911967582
2019-04-04 09:31:11,-71.66784047632969
2019-04-04 09:31:12,-67.00829974063664
2019-04-04 09:31:13,-56.15554704918363
2019-04-04 09:31:14,-97.97515548127826
2019-04-04 09:31:15,-221.46337065871475
2019-04-04 09:31:16,-207.0908192632768
2019-04-04 09:31:17,-161.21949181240763
2019-04-04 09:31:18,-150.76438292784223
2019-04-04 09:31:19,-160.43910408985164
2019-04-04 09:31:20,-150.04132563404673
2019-04-04 09:31:21,-140.320248845585
2019-04-04 09:31:22,-131.23147714882685
2019-04-04 09:31:23,-122.73357129001623
2019-04-04 09:31:24,-114.7878467759973
