h_m_s,PVG
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,155.0
2019-04-04 09:30:02,2376.9344687152907
2019-04-04 09:30:03,1722.002404735479
2019-04-04 09:30:04,1330.2051662465717
2019-04-04 09:30:05,1069.9714794665417
2019-04-04 09:30:06,884.9129414989219
2019-04-04 09:30:07,746.8347370335052
2019-04-04 09:30:08,897.3877655612084
2019-04-04 09:30:09,844.7117672614345
2019-04-04 09:30:10,702.6402227757541
2019-04-04 09:30:11,620.339426907669
2019-04-04 09:30:12,551.3105190291164
2019-04-04 09:30:13,492.70333971080345
2019-04-04 09:30:14,401.6109909712213
2019-04-04 09:30:15,391.6175072831566
2019-04-04 09:30:16,287.77007086212535
2019-04-04 09:30:17,261.2072490446785
2019-04-04 09:30:18,237.74824348210464
2019-04-04 09:30:19,216.9228432333307
2019-04-04 09:30:20,198.35025230883832
2019-04-04 09:30:21,181.71877942619
2019-04-04 09:30:22,51.60862545037664
2019-04-04 09:30:23,47.43737501665742
2019-04-04 09:30:24,43.66478992928995
2019-04-04 09:30:25,40.24358744421471
2019-04-04 09:30:26,37.1334710243169
2019-04-04 09:30:27,34.299885506416906
2019-04-04 09:30:28,31.713029774294906
2019-04-04 09:30:29,29.347066844323084
2019-04-04 09:30:30,27.179486778924513
2019-04-04 09:30:31,25.190588989938117
2019-04-04 09:30:32,23.36305860079105
2019-04-04 09:30:33,21.681617497285472
2019-04-04 09:30:34,20.13273512490895
2019-04-04 09:30:35,18.704387411649854
2019-04-04 09:30:36,17.385854708533707
2019-04-04 09:30:37,16.167551558077733
2019-04-04 09:30:38,15.040882576214191
2019-04-04 09:30:39,13.998119876612257
2019-04-04 09:30:40,13.032298358699714
2019-04-04 09:30:41,12.137125881810945
2019-04-04 09:30:42,-29.73509964278691
2019-04-04 09:30:43,-27.708995335520523
2019-04-04 09:30:44,-25.827761162185666
2019-04-04 09:30:45,-24.08014942364072
2019-04-04 09:30:46,-22.455901284441882
2019-04-04 09:30:47,-20.9456450541497
2019-04-04 09:30:48,-19.540806776884242
2019-04-04 09:30:49,-18.23353141057105
2019-04-04 09:30:50,-17.016613147262866
2019-04-04 09:30:51,-15.883433649087333
2019-04-04 09:30:52,-14.827907159587062
2019-04-04 09:30:53,-13.844431604515519
2019-04-04 09:30:54,-12.927844925154723
2019-04-04 09:30:55,-12.073385995448238
2019-04-04 09:30:56,-11.276659565343293
2019-04-04 09:30:57,-10.53360474966476
2019-04-04 09:30:58,-29.581233055031205
2019-04-04 09:30:59,-27.637213186074028
2019-04-04 09:31:00,-25.8231307580564
2019-04-04 09:31:01,-24.130024456851917
2019-04-04 09:31:02,-22.549585960483743
2019-04-04 09:31:03,-21.07410797400264
2019-04-04 09:31:04,-6.621899800774575
2019-04-04 09:31:05,0.34229491452262184
2019-04-04 09:31:06,0.3199552125748706
2019-04-04 09:31:07,0.2990891151182872
2019-04-04 09:31:08,0.279597449897714
2019-04-04 09:31:09,0.2613879666296083
2019-04-04 09:31:10,0.24437482286928927
2019-04-04 09:31:11,6.733530801220267
2019-04-04 09:31:12,6.295745026529704
2019-04-04 09:31:13,5.886626654044729
2019-04-04 09:31:14,5.504272778772797
2019-04-04 09:31:15,5.146910032823811
2019-04-04 09:31:16,4.812885364299945
2019-04-04 09:31:17,4.500657522395105
2019-04-04 09:31:18,4.208789188611177
2019-04-04 09:31:19,10.418789673437447
2019-04-04 09:31:20,9.743566089906587
2019-04-04 09:31:21,9.112286982279583
2019-04-04 09:31:22,-17.386584031071894
2019-04-04 09:31:23,-16.260714251104474
2019-04-04 09:31:24,-15.208001823017833
2019-04-04 09:31:25,-14.223661584455813
2019-04-04 09:31:26,-13.303225310897039
2019-04-04 09:31:27,-12.442520231058289
2019-04-04 09:31:28,-11.637649059871952
2019-04-04 09:31:29,-10.884971434350216
2019-04-04 09:31:30,-10.181086647209584
2019-04-04 09:31:31,-9.522817581791161
2019-04-04 09:31:32,-8.907195759670648
2019-04-04 09:31:33,-8.331447419491028
2019-04-04 09:31:34,-7.7929805520452256
2019-04-04 09:31:35,-7.289372822551271
2019-04-04 09:31:36,-6.818360316456996
2019-04-04 09:31:37,-6.3778270500369585
2019-04-04 09:31:38,-5.965795191546977
2019-04-04 09:31:39,-44.33929750187589
2019-04-04 09:31:40,-41.47529640258146
2019-04-04 09:31:41,-38.79649475527532
2019-04-04 09:31:42,-36.29089102933774
2019-04-04 09:31:43,-33.94726464245863
2019-04-04 09:31:44,-31.75512474291189
2019-04-04 09:31:45,-29.70466240085019
2019-04-04 09:31:46,-27.786705975522008
2019-04-04 09:31:47,-25.992679442012005
