h_m_s,BNS
2019-04-04 09:30:00,-2400.0
2019-04-04 09:30:01,-1470.0000000000002
2019-04-04 09:30:02,-946.9825990373937
2019-04-04 09:30:03,-686.0543840177581
2019-04-04 09:30:04,-529.9604015864988
2019-04-04 09:30:05,-426.28199719311544
2019-04-04 09:30:06,-352.5537486590462
2019-04-04 09:30:07,-297.5427003293251
2019-04-04 09:30:08,-255.00810844133207
2019-04-04 09:30:09,-221.20533983391465
2019-04-04 09:30:10,-193.75128093674022
2019-04-04 09:30:11,-171.05704268410926
2019-04-04 09:30:12,-152.0224942913364
2019-04-04 09:30:13,-135.86171143698456
2019-04-04 09:30:14,-121.99824543652853
2019-04-04 09:30:15,-109.99966669923654
2019-04-04 09:30:16,-99.53521068083329
2019-04-04 09:30:17,-90.3475420050878
2019-04-04 09:30:18,-82.23343530164135
2019-04-04 09:30:19,-75.03025188835467
2019-04-04 09:30:20,-68.60628033001989
2019-04-04 09:30:21,-62.853711439351265
2019-04-04 09:30:22,-337.3630762468908
2019-04-04 09:30:23,-277.76594447362174
2019-04-04 09:30:24,-255.675859186825
2019-04-04 09:30:25,-235.64326802492502
2019-04-04 09:30:26,-217.43221767712464
2019-04-04 09:30:27,-200.8403730113966
2019-04-04 09:30:28,-185.69323585640947
2019-04-04 09:30:29,-171.83951971797572
2019-04-04 09:30:30,-181.30547772000887
2019-04-04 09:30:31,-168.03819027262182
2019-04-04 09:30:32,-155.84733203651004
2019-04-04 09:30:33,-144.63098770268223
2019-04-04 09:30:34,-134.29889936194212
2019-04-04 09:30:35,-124.77085835774143
2019-04-04 09:30:36,-115.97535741350369
2019-04-04 09:30:37,-107.84845507359304
2019-04-04 09:30:38,-128.20763453807044
2019-04-04 09:30:39,-119.31918411482764
2019-04-04 09:30:40,-111.0865759836163
2019-04-04 09:30:41,-103.4561762923781
2019-04-04 09:30:42,-96.37942802394616
2019-04-04 09:30:43,-96.62612827259424
2019-04-04 09:30:44,-90.0659346480199
2019-04-04 09:30:45,-63.67248142082204
2019-04-04 09:30:46,-59.37766133285322
2019-04-04 09:30:47,-55.384257468442286
2019-04-04 09:30:48,-65.08373103816407
2019-04-04 09:30:49,-60.7296447762502
2019-04-04 09:30:50,-50.00243918019884
2019-04-04 09:30:51,-46.67264972988838
2019-04-04 09:30:52,-43.57103963641242
2019-04-04 09:30:53,-47.313746042542554
2019-04-04 09:30:54,-44.1812845148978
2019-04-04 09:30:55,-41.26114637136221
2019-04-04 09:30:56,-38.53831071756246
2019-04-04 09:30:57,-35.99889936078017
2019-04-04 09:30:58,-33.63007981668962
2019-04-04 09:30:59,-31.419977782178897
2019-04-04 09:31:00,-29.35759800460871
2019-04-04 09:31:01,-27.43275261558384
2019-04-04 09:31:02,-25.63599611529351
2019-04-04 09:31:03,-23.958566294811824
2019-04-04 09:31:04,-22.392330471006424
2019-04-04 09:31:05,-20.929736484022914
2019-04-04 09:31:06,-19.563767972483294
2019-04-04 09:31:07,-18.287903498056902
2019-04-04 09:31:08,-30.130097588415513
2019-04-04 09:31:09,-28.16779962002073
2019-04-04 09:31:10,-26.334422091106635
2019-04-04 09:31:11,-24.621354058647455
2019-04-04 09:31:12,-23.020577455896596
2019-04-04 09:31:13,-28.02295540058228
2019-04-04 09:31:14,-26.202781262882713
2019-04-04 09:31:15,-24.501575992003662
2019-04-04 09:31:16,-22.91147032727511
2019-04-04 09:31:17,-21.425127230841852
2019-04-04 09:31:18,-26.52071983665602
2019-04-04 09:31:19,-24.801421357718798
2019-04-04 09:31:20,-23.194084504714393
2019-04-04 09:31:21,-21.69135533622966
2019-04-04 09:31:22,-33.240697474945314
2019-04-04 09:31:23,-31.08819318283147
2019-04-04 09:31:24,-29.075555433656206
2019-04-04 09:31:25,-27.193635671615496
2019-04-04 09:31:26,-25.433891281362953
2019-04-04 09:31:27,-23.788344512489996
2019-04-04 09:31:28,-22.249544305393737
2019-04-04 09:31:29,-20.810530799266523
2019-04-04 09:31:30,-19.46480232122025
2019-04-04 09:31:31,-18.206284672118837
2019-04-04 09:31:32,-17.02930253971655
2019-04-04 09:31:33,-87.03097291380287
2019-04-04 09:31:34,-81.40610450906188
2019-04-04 09:31:35,-76.14537747593758
2019-04-04 09:31:36,-71.22514278009676
2019-04-04 09:31:37,-66.6232966845748
2019-04-04 09:31:38,-62.3191785991658
2019-04-04 09:31:39,-58.293475828861524
2019-04-04 09:31:40,-9.313147525965652
2019-04-04 09:31:41,-2.252842595955543
2019-04-04 09:31:42,-2.107346699019917
2019-04-04 09:31:43,-14.88703964375279
2019-04-04 09:31:44,11.904233319971656
2019-04-04 09:31:45,4.678457379944685
2019-04-04 09:31:46,4.376380982933282
2019-04-04 09:31:47,4.0938234314535435
2019-04-04 09:31:48,3.8295216892816355
2019-04-04 09:31:49,3.5822946761333174
2019-04-04 09:31:50,3.3510379213948704
2019-04-04 09:31:51,3.134718570139879
2019-04-04 09:31:52,2.9323707177796514
2019-04-04 09:31:53,2.743091051337181
2019-04-04 09:31:54,2.5660347768561076
2019-04-04 09:31:55,2.400411813866726
2019-04-04 09:31:56,2.245483239139474
2019-04-04 09:31:57,2.100557963170571
2019-04-04 09:31:58,1.9649896239718168
2019-04-04 09:31:59,1.8381736837837375
2019-04-04 09:32:00,1.7195447153043522
2019-04-04 09:32:01,1.6085738649304562
2019-04-04 09:32:02,1.5047664813496084
2019-04-04 09:32:03,1.407659898603656
2019-04-04 09:32:04,1.316821363473004
2019-04-04 09:32:05,1.2318460977088845
2019-04-04 09:32:06,52.776084511809216
2019-04-04 09:32:07,49.37050773959125
2019-04-04 09:32:08,46.18472903800559
2019-04-04 09:32:09,36.75183675855449
2019-04-04 09:32:10,34.38036964942404
2019-04-04 09:32:11,32.161947984238395
2019-04-04 09:32:12,30.086691922537163
2019-04-04 09:32:13,28.145359774990602
2019-04-04 09:32:14,26.329306739654236
2019-04-04 09:32:15,18.178090978559492
2019-04-04 09:32:16,17.00518466380027
2019-04-04 09:32:17,15.90796549080582
2019-04-04 09:32:18,14.88154844910748
2019-04-04 09:32:19,13.921363936131465
2019-04-04 09:32:20,45.283861350772156
2019-04-04 09:32:21,42.36209658843322
