h_m_s,transaction_spread
2019-04-04 09:30:00,
2019-04-04 09:30:01,180.0
2019-04-04 09:30:02,180.0
2019-04-04 09:30:03,180.0
2019-04-04 09:30:04,180.0
2019-04-04 09:30:05,180.0
2019-04-04 09:30:06,180.0
2019-04-04 09:30:07,180.0
2019-04-04 09:30:08,180.0
2019-04-04 09:30:09,180.0
2019-04-04 09:30:10,180.0
2019-04-04 09:30:11,180.0
2019-04-04 09:30:12,180.0
2019-04-04 09:30:13,180.0
2019-04-04 09:30:14,180.0
2019-04-04 09:30:15,180.0
2019-04-04 09:30:16,180.0
2019-04-04 09:30:17,180.0
2019-04-04 09:30:18,180.0
2019-04-04 09:30:19,180.0
2019-04-04 09:30:20,180.0
2019-04-04 09:30:21,180.0
2019-04-04 09:30:22,180.0
2019-04-04 09:30:23,180.0
2019-04-04 09:30:24,180.0
2019-04-04 09:30:25,180.0
2019-04-04 09:30:26,180.0
2019-04-04 09:30:27,180.0
2019-04-04 09:30:28,180.0
2019-04-04 09:30:29,180.0
2019-04-04 09:30:30,180.0
2019-04-04 09:30:31,180.0
2019-04-04 09:30:32,180.0
2019-04-04 09:30:33,180.0
2019-04-04 09:30:34,180.0
2019-04-04 09:30:35,180.0
2019-04-04 09:30:36,180.0
2019-04-04 09:30:37,180.0
2019-04-04 09:30:38,180.0
2019-04-04 09:30:39,180.0
2019-04-04 09:30:40,180.0
2019-04-04 09:30:41,180.0
2019-04-04 09:30:42,180.0
2019-04-04 09:30:43,180.0
2019-04-04 09:30:44,180.0
2019-04-04 09:30:45,-380.0
2019-04-04 09:30:46,-380.0
2019-04-04 09:30:47,-380.0
2019-04-04 09:30:48,-380.0
2019-04-04 09:30:49,-380.0
2019-04-04 09:30:50,-380.0
2019-04-04 09:30:51,-380.0
2019-04-04 09:30:52,-380.0
2019-04-04 09:30:53,-380.0
2019-04-04 09:30:54,-380.0
2019-04-04 09:30:55,-380.0
2019-04-04 09:30:56,-380.0
2019-04-04 09:30:57,-380.0
2019-04-04 09:30:58,-380.0
2019-04-04 09:30:59,-380.0
2019-04-04 09:31:00,-380.0
2019-04-04 09:31:01,-380.0
2019-04-04 09:31:02,-380.0
2019-04-04 09:31:03,-380.0
2019-04-04 09:31:04,-380.0
2019-04-04 09:31:05,-380.0
2019-04-04 09:31:06,-380.0
2019-04-04 09:31:07,-380.0
2019-04-04 09:31:08,-380.0
2019-04-04 09:31:09,-380.0
2019-04-04 09:31:10,-380.0
2019-04-04 09:31:11,-380.0
2019-04-04 09:31:12,-380.0
2019-04-04 09:31:13,-380.0
2019-04-04 09:31:14,-380.0
2019-04-04 09:31:15,-380.0
2019-04-04 09:31:16,-380.0
2019-04-04 09:31:17,-380.0
2019-04-04 09:31:18,-380.0
2019-04-04 09:31:19,-380.0
2019-04-04 09:31:20,-380.0
2019-04-04 09:31:21,-380.0
2019-04-04 09:31:22,-380.0
2019-04-04 09:31:23,-380.0
2019-04-04 09:31:24,-380.0
2019-04-04 09:31:25,-380.0
2019-04-04 09:31:26,-380.0
2019-04-04 09:31:27,-380.0
2019-04-04 09:31:28,-380.0
2019-04-04 09:31:29,-380.0
