h_m_s,transaction_spread
2019-04-04 09:30:00,-700.0
2019-04-04 09:30:01,-500.0
2019-04-04 09:30:02,-500.0
2019-04-04 09:30:03,2100.0
2019-04-04 09:30:04,2100.0
2019-04-04 09:30:05,2100.0
2019-04-04 09:30:06,2100.0
2019-04-04 09:30:07,2100.0
2019-04-04 09:30:08,2100.0
2019-04-04 09:30:09,2100.0
2019-04-04 09:30:10,2100.0
2019-04-04 09:30:11,2100.0
2019-04-04 09:30:12,2100.0
2019-04-04 09:30:13,2100.0
2019-04-04 09:30:14,2100.0
2019-04-04 09:30:15,2100.0
2019-04-04 09:30:16,2100.0
2019-04-04 09:30:17,2100.0
2019-04-04 09:30:18,2100.0
2019-04-04 09:30:19,2100.0
2019-04-04 09:30:20,2100.0
2019-04-04 09:30:21,2100.0
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,800.0
2019-04-04 09:30:24,800.0
2019-04-04 09:30:25,300.0
2019-04-04 09:30:26,100.0
2019-04-04 09:30:27,100.0
2019-04-04 09:30:28,100.0
2019-04-04 09:30:29,100.0
2019-04-04 09:30:30,100.0
2019-04-04 09:30:31,100.0
2019-04-04 09:30:32,100.0
2019-04-04 09:30:33,100.0
2019-04-04 09:30:34,100.0
2019-04-04 09:30:35,100.0
2019-04-04 09:30:36,100.0
2019-04-04 09:30:37,100.0
2019-04-04 09:30:38,100.0
2019-04-04 09:30:39,100.0
2019-04-04 09:30:40,100.0
2019-04-04 09:30:41,-700.0
2019-04-04 09:30:42,-700.0
2019-04-04 09:30:43,-700.0
2019-04-04 09:30:44,-700.0
2019-04-04 09:30:45,-700.0
2019-04-04 09:30:46,-700.0
2019-04-04 09:30:47,-700.0
2019-04-04 09:30:48,-700.0
2019-04-04 09:30:49,-700.0
2019-04-04 09:30:50,-700.0
2019-04-04 09:30:51,-700.0
2019-04-04 09:30:52,-700.0
2019-04-04 09:30:53,-700.0
2019-04-04 09:30:54,-700.0
2019-04-04 09:30:55,-700.0
2019-04-04 09:30:56,-700.0
2019-04-04 09:30:57,-700.0
2019-04-04 09:30:58,-700.0
2019-04-04 09:30:59,-700.0
2019-04-04 09:31:00,-700.0
2019-04-04 09:31:01,-700.0
2019-04-04 09:31:02,-700.0
2019-04-04 09:31:03,-700.0
2019-04-04 09:31:04,-700.0
2019-04-04 09:31:05,-700.0
2019-04-04 09:31:06,-700.0
2019-04-04 09:31:07,500.0
2019-04-04 09:31:08,500.0
2019-04-04 09:31:09,200.0
2019-04-04 09:31:10,0.0
2019-04-04 09:31:11,0.0
2019-04-04 09:31:12,300.0
2019-04-04 09:31:13,500.0
2019-04-04 09:31:14,300.0
2019-04-04 09:31:15,300.0
2019-04-04 09:31:16,300.0
2019-04-04 09:31:17,300.0
2019-04-04 09:31:18,300.0
2019-04-04 09:31:19,100.0
2019-04-04 09:31:20,100.0
2019-04-04 09:31:21,100.0
2019-04-04 09:31:22,100.0
2019-04-04 09:31:23,100.0
2019-04-04 09:31:24,100.0
2019-04-04 09:31:25,500.0
2019-04-04 09:31:26,500.0
2019-04-04 09:31:27,500.0
2019-04-04 09:31:28,500.0
2019-04-04 09:31:29,500.0
2019-04-04 09:31:30,500.0
2019-04-04 09:31:31,500.0
2019-04-04 09:31:32,500.0
2019-04-04 09:31:33,500.0
2019-04-04 09:31:34,500.0
2019-04-04 09:31:35,500.0
2019-04-04 09:31:36,500.0
2019-04-04 09:31:37,500.0
2019-04-04 09:31:38,500.0
2019-04-04 09:31:39,500.0
2019-04-04 09:31:40,300.0
2019-04-04 09:31:41,300.0
2019-04-04 09:31:42,300.0
2019-04-04 09:31:43,300.0
2019-04-04 09:31:44,-800.0
2019-04-04 09:31:45,-900.0
2019-04-04 09:31:46,-1000.0
2019-04-04 09:31:47,-1000.0
2019-04-04 09:31:48,-1000.0
2019-04-04 09:31:49,-1000.0
2019-04-04 09:31:50,-800.0
2019-04-04 09:31:51,-800.0
2019-04-04 09:31:52,-800.0
2019-04-04 09:31:53,-800.0
2019-04-04 09:31:54,-800.0
2019-04-04 09:31:55,-800.0
2019-04-04 09:31:56,-900.0
2019-04-04 09:31:57,-900.0
2019-04-04 09:31:58,400.0
2019-04-04 09:31:59,400.0
2019-04-04 09:32:00,-600.0
2019-04-04 09:32:01,600.0
2019-04-04 09:32:02,600.0
2019-04-04 09:32:03,600.0
2019-04-04 09:32:04,600.0
