h_m_s,transaction_spread
2019-04-04 09:30:00,-140.0
2019-04-04 09:30:01,-220.0
2019-04-04 09:30:02,-220.0
2019-04-04 09:30:03,40.0
2019-04-04 09:30:04,60.0
2019-04-04 09:30:05,60.0
2019-04-04 09:30:06,60.0
2019-04-04 09:30:07,60.0
2019-04-04 09:30:08,60.0
2019-04-04 09:30:09,60.0
2019-04-04 09:30:10,140.0
2019-04-04 09:30:11,140.0
2019-04-04 09:30:12,120.0
2019-04-04 09:30:13,-120.0
2019-04-04 09:30:14,-120.0
2019-04-04 09:30:15,-40.0
2019-04-04 09:30:16,140.0
2019-04-04 09:30:17,140.0
2019-04-04 09:30:18,140.0
2019-04-04 09:30:19,140.0
2019-04-04 09:30:20,140.0
2019-04-04 09:30:21,140.0
2019-04-04 09:30:22,140.0
2019-04-04 09:30:23,140.0
2019-04-04 09:30:24,140.0
2019-04-04 09:30:25,140.0
2019-04-04 09:30:26,140.0
2019-04-04 09:30:27,-80.0
2019-04-04 09:30:28,-80.0
2019-04-04 09:30:29,-80.0
2019-04-04 09:30:30,-80.0
2019-04-04 09:30:31,-80.0
2019-04-04 09:30:32,-80.0
2019-04-04 09:30:33,-80.0
2019-04-04 09:30:34,-80.0
2019-04-04 09:30:35,-80.0
2019-04-04 09:30:36,-40.0
2019-04-04 09:30:37,-80.0
2019-04-04 09:30:38,-200.0
2019-04-04 09:30:39,-180.0
2019-04-04 09:30:40,-180.0
2019-04-04 09:30:41,-180.0
2019-04-04 09:30:42,-180.0
2019-04-04 09:30:43,-160.0
2019-04-04 09:30:44,-160.0
2019-04-04 09:30:45,-160.0
2019-04-04 09:30:46,-160.0
2019-04-04 09:30:47,-140.0
2019-04-04 09:30:48,-120.0
2019-04-04 09:30:49,-120.0
2019-04-04 09:30:50,-120.0
2019-04-04 09:30:51,-120.0
2019-04-04 09:30:52,-140.0
2019-04-04 09:30:53,-140.0
2019-04-04 09:30:54,-140.0
2019-04-04 09:30:55,-140.0
2019-04-04 09:30:56,-60.0
2019-04-04 09:30:57,-100.0
2019-04-04 09:30:58,-180.0
2019-04-04 09:30:59,-180.0
2019-04-04 09:31:00,-180.0
2019-04-04 09:31:01,-180.0
2019-04-04 09:31:02,-180.0
2019-04-04 09:31:03,-160.0
2019-04-04 09:31:04,-160.0
2019-04-04 09:31:05,-160.0
2019-04-04 09:31:06,0.0
2019-04-04 09:31:07,-60.0
2019-04-04 09:31:08,-60.0
2019-04-04 09:31:09,-100.0
2019-04-04 09:31:10,-100.0
2019-04-04 09:31:11,-100.0
2019-04-04 09:31:12,-100.0
2019-04-04 09:31:13,-100.0
2019-04-04 09:31:14,-100.0
2019-04-04 09:31:15,-100.0
2019-04-04 09:31:16,-100.0
2019-04-04 09:31:17,-120.0
2019-04-04 09:31:18,-120.0
2019-04-04 09:31:19,-120.0
2019-04-04 09:31:20,-120.0
2019-04-04 09:31:21,-120.0
2019-04-04 09:31:22,-120.0
2019-04-04 09:31:23,-120.0
2019-04-04 09:31:24,-120.0
2019-04-04 09:31:25,-80.0
2019-04-04 09:31:26,-120.0
2019-04-04 09:31:27,-120.0
2019-04-04 09:31:28,-120.0
2019-04-04 09:31:29,-120.0
2019-04-04 09:31:30,-120.0
2019-04-04 09:31:31,-120.0
2019-04-04 09:31:32,-100.0
2019-04-04 09:31:33,-100.0
2019-04-04 09:31:34,-100.0
2019-04-04 09:31:35,-100.0
2019-04-04 09:31:36,-100.0
2019-04-04 09:31:37,-100.0
2019-04-04 09:31:38,-100.0
2019-04-04 09:31:39,-100.0
2019-04-04 09:31:40,-100.0
