h_m_s,transaction_spread
2019-04-04 09:30:00,-4660.0
2019-04-04 09:30:01,-4660.0
2019-04-04 09:30:02,-4660.0
2019-04-04 09:30:03,-860.0
2019-04-04 09:30:04,-860.0
2019-04-04 09:30:05,-860.0
2019-04-04 09:30:06,-860.0
2019-04-04 09:30:07,-860.0
2019-04-04 09:30:08,-860.0
2019-04-04 09:30:09,-860.0
2019-04-04 09:30:10,-860.0
2019-04-04 09:30:11,-860.0
2019-04-04 09:30:12,-860.0
2019-04-04 09:30:13,-860.0
2019-04-04 09:30:14,-860.0
2019-04-04 09:30:15,-860.0
2019-04-04 09:30:16,-860.0
2019-04-04 09:30:17,-860.0
2019-04-04 09:30:18,-860.0
2019-04-04 09:30:19,-860.0
2019-04-04 09:30:20,-860.0
2019-04-04 09:30:21,-860.0
2019-04-04 09:30:22,-860.0
2019-04-04 09:30:23,-860.0
2019-04-04 09:30:24,-860.0
2019-04-04 09:30:25,-860.0
2019-04-04 09:30:26,-860.0
2019-04-04 09:30:27,-860.0
2019-04-04 09:30:28,-860.0
2019-04-04 09:30:29,-860.0
2019-04-04 09:30:30,-860.0
2019-04-04 09:30:31,-860.0
2019-04-04 09:30:32,-860.0
2019-04-04 09:30:33,-860.0
2019-04-04 09:30:34,-860.0
2019-04-04 09:30:35,-860.0
2019-04-04 09:30:36,-860.0
2019-04-04 09:30:37,-860.0
2019-04-04 09:30:38,-2380.0
2019-04-04 09:30:39,-2380.0
2019-04-04 09:30:40,-2380.0
2019-04-04 09:30:41,-2380.0
2019-04-04 09:30:42,-2380.0
2019-04-04 09:30:43,-2380.0
2019-04-04 09:30:44,-2380.0
2019-04-04 09:30:45,-2380.0
2019-04-04 09:30:46,-2380.0
2019-04-04 09:30:47,-2380.0
2019-04-04 09:30:48,-2380.0
2019-04-04 09:30:49,-2380.0
2019-04-04 09:30:50,-2380.0
2019-04-04 09:30:51,-2380.0
2019-04-04 09:30:52,-2380.0
2019-04-04 09:30:53,-2380.0
2019-04-04 09:30:54,-2380.0
2019-04-04 09:30:55,-2380.0
2019-04-04 09:30:56,-2380.0
2019-04-04 09:30:57,-2380.0
2019-04-04 09:30:58,-2380.0
2019-04-04 09:30:59,-2380.0
2019-04-04 09:31:00,-2380.0
2019-04-04 09:31:01,-2380.0
2019-04-04 09:31:02,-2380.0
2019-04-04 09:31:03,-2380.0
2019-04-04 09:31:04,-2380.0
2019-04-04 09:31:05,-2380.0
2019-04-04 09:31:06,-2380.0
2019-04-04 09:31:07,-2380.0
2019-04-04 09:31:08,-2380.0
2019-04-04 09:31:09,-2380.0
2019-04-04 09:31:10,-2380.0
2019-04-04 09:31:11,-2380.0
2019-04-04 09:31:12,-2380.0
2019-04-04 09:31:13,-2380.0
2019-04-04 09:31:14,-2380.0
2019-04-04 09:31:15,-2380.0
2019-04-04 09:31:16,-2380.0
2019-04-04 09:31:17,-2380.0
2019-04-04 09:31:18,-2380.0
2019-04-04 09:31:19,-2380.0
2019-04-04 09:31:20,-2380.0
2019-04-04 09:31:21,-2380.0
2019-04-04 09:31:22,-2380.0
2019-04-04 09:31:23,-2380.0
2019-04-04 09:31:24,-2380.0
2019-04-04 09:31:25,-2380.0
2019-04-04 09:31:26,-2380.0
2019-04-04 09:31:27,-2380.0
2019-04-04 09:31:28,-2380.0
2019-04-04 09:31:29,-2380.0
2019-04-04 09:31:30,-2380.0
2019-04-04 09:31:31,-2380.0
2019-04-04 09:31:32,-2380.0
2019-04-04 09:31:33,-2380.0
2019-04-04 09:31:34,-2380.0
2019-04-04 09:31:35,-2380.0
2019-04-04 09:31:36,-2380.0
2019-04-04 09:31:37,-2380.0
2019-04-04 09:31:38,-2380.0
2019-04-04 09:31:39,-2380.0
2019-04-04 09:31:40,-2380.0
2019-04-04 09:31:41,-2380.0
2019-04-04 09:31:42,-2380.0
2019-04-04 09:31:43,-2380.0
2019-04-04 09:31:44,-2380.0
2019-04-04 09:31:45,-2380.0
2019-04-04 09:31:46,-2380.0
2019-04-04 09:31:47,-2380.0
2019-04-04 09:31:48,-2380.0
2019-04-04 09:31:49,-2380.0
2019-04-04 09:31:50,-2380.0
2019-04-04 09:31:51,-2380.0
2019-04-04 09:31:52,-2380.0
2019-04-04 09:31:53,-2380.0
2019-04-04 09:31:54,-2380.0
2019-04-04 09:31:55,-2380.0
2019-04-04 09:31:56,-2380.0
2019-04-04 09:31:57,-2380.0
2019-04-04 09:31:58,-2380.0
2019-04-04 09:31:59,-2380.0
2019-04-04 09:32:00,-2380.0
2019-04-04 09:32:01,-2380.0
2019-04-04 09:32:02,-2380.0
2019-04-04 09:32:03,-2380.0
2019-04-04 09:32:04,-2380.0
2019-04-04 09:32:05,-2380.0
2019-04-04 09:32:06,-2380.0
2019-04-04 09:32:07,-2380.0
2019-04-04 09:32:08,-2380.0
2019-04-04 09:32:09,-2380.0
2019-04-04 09:32:10,-2380.0
2019-04-04 09:32:11,-2380.0
2019-04-04 09:32:12,-2380.0
2019-04-04 09:32:13,-2380.0
2019-04-04 09:32:14,-2380.0
2019-04-04 09:32:15,-2380.0
2019-04-04 09:32:16,-2380.0
2019-04-04 09:32:17,-2380.0
2019-04-04 09:32:18,-2380.0
2019-04-04 09:32:19,-2380.0
2019-04-04 09:32:20,-2380.0
2019-04-04 09:32:21,-2380.0
2019-04-04 09:32:22,-2380.0
2019-04-04 09:32:23,-2380.0
2019-04-04 09:32:24,-2380.0
2019-04-04 09:32:25,-2380.0
2019-04-04 09:32:26,-2380.0
2019-04-04 09:32:27,-2380.0
2019-04-04 09:32:28,-2380.0
2019-04-04 09:32:29,-2380.0
2019-04-04 09:32:30,-2380.0
2019-04-04 09:32:31,-2380.0
2019-04-04 09:32:32,-2380.0
2019-04-04 09:32:33,-2380.0
2019-04-04 09:32:34,-2380.0
2019-04-04 09:32:35,-2380.0
2019-04-04 09:32:36,-2380.0
2019-04-04 09:32:37,-2380.0
2019-04-04 09:32:38,-2380.0
2019-04-04 09:32:39,-2380.0
2019-04-04 09:32:40,-2380.0
2019-04-04 09:32:41,-2380.0
2019-04-04 09:32:42,-2380.0
2019-04-04 09:32:43,-2380.0
2019-04-04 09:32:44,-2380.0
