h_m_s,G
2019-04-04 09:30:00,-2800.0
2019-04-04 09:30:01,-1360.0000000000002
2019-04-04 09:30:02,-715.7894736842106
2019-04-04 09:30:03,-418.46153846153857
2019-04-04 09:30:04,-257.81990521327026
2019-04-04 09:30:05,-565.5639097744362
2019-04-04 09:30:06,-1356.6779990286548
2019-04-04 09:30:07,-886.0904044409201
2019-04-04 09:30:08,-582.8386625632468
2019-04-04 09:30:09,-385.1305471779407
2019-04-04 09:30:10,2037.9259733065292
2019-04-04 09:30:11,345.5737704918035
2019-04-04 09:30:12,263.29306974014145
2019-04-04 09:30:13,208.67495282261845
2019-04-04 09:30:14,-362.18701844121495
2019-04-04 09:30:15,-708.6521509353452
2019-04-04 09:30:16,-472.19477269241435
2019-04-04 09:30:17,-314.689941140233
2019-04-04 09:30:18,-243.09433114905934
2019-04-04 09:30:19,-162.03851162472995
2019-04-04 09:30:20,-108.01484343959866
2019-04-04 09:30:21,-72.00508266324411
2019-04-04 09:30:22,-48.0012495857029
2019-04-04 09:30:23,-31.999882524854474
2019-04-04 09:30:24,-21.33283257869185
2019-04-04 09:30:25,-14.22170064182291
2019-04-04 09:30:26,-9.481050321285942
2019-04-04 09:30:27,27.013061339730196
2019-04-04 09:30:28,18.008637121427867
2019-04-04 09:30:29,12.005726775203874
2019-04-04 09:30:30,-58.66309451294416
2019-04-04 09:30:31,-39.10868435169271
2019-04-04 09:30:32,-26.072436090676984
2019-04-04 09:30:33,-17.381615107669596
2019-04-04 09:30:34,-11.587739426102381
2019-04-04 09:30:35,-7.7251578489534065
2019-04-04 09:30:36,-5.150104446658935
2019-04-04 09:30:37,-3.4334026151164156
2019-04-04 09:30:38,-2.2889349214896924
2019-04-04 09:30:39,-1.525956545324432
2019-04-04 09:30:40,-1.017304332882055
2019-04-04 09:30:41,-0.6782028749580078
2019-04-04 09:30:42,-0.45213524391421483
2019-04-04 09:30:43,-0.3014234932504587
2019-04-04 09:30:44,-0.2009489943037053
2019-04-04 09:30:45,-0.13396599567064776
2019-04-04 09:30:46,-0.08931066354406632
2019-04-04 09:30:47,-0.05954044225765953
2019-04-04 09:30:48,-0.03969362812508354
2019-04-04 09:30:49,-0.026462418729304812
2019-04-04 09:30:50,-0.017641612476980595
2019-04-04 09:30:51,-0.011761074980554792
2019-04-04 09:30:52,-0.007840716651881444
2019-04-04 09:30:53,-0.005227144433777962
2019-04-04 09:30:54,-0.0034847629554921235
2019-04-04 09:30:55,-0.002323175303501482
2019-04-04 09:30:56,-0.001548783535596573
2019-04-04 09:30:57,-0.0010325223570327902
2019-04-04 09:30:58,-0.0006883482380078194
2019-04-04 09:30:59,-0.00045889882533230587
2019-04-04 09:31:00,-0.00030593255021876375
2019-04-04 09:31:01,-0.00020395503347794323
2019-04-04 09:31:02,-0.000135970022318081
2019-04-04 09:31:03,-9.064668154514385e-05
2019-04-04 09:31:04,-33.33339376457374
2019-04-04 09:31:05,-22.2222625096893
2019-04-04 09:31:06,818.5184916615452
2019-04-04 09:31:07,545.6789944407408
2019-04-04 09:31:08,363.78599629369853
2019-04-04 09:31:09,242.5239975290752
2019-04-04 09:31:10,161.68266501935807
2019-04-04 09:31:11,807.788443346374
2019-04-04 09:31:12,771.8589622309111
2019-04-04 09:31:13,514.57264148725
2019-04-04 09:31:14,343.0484276581561
2019-04-04 09:31:15,228.69895177209932
2019-04-04 09:31:16,152.4659678480641
2019-04-04 09:31:17,101.64397856537514
2019-04-04 09:31:18,-498.9040142897572
2019-04-04 09:31:19,-332.6026761931701
2019-04-04 09:31:20,-221.73511746211284
2019-04-04 09:31:21,-147.8234116414083
2019-04-04 09:31:22,-98.5489410942721
2019-04-04 09:31:23,-65.69929406284803
2019-04-04 09:31:24,-43.799529375232
2019-04-04 09:31:25,-29.19968625015466
2019-04-04 09:31:26,-19.466457500103104
2019-04-04 09:31:27,-12.97763833340207
2019-04-04 09:31:28,-8.651758888934713
2019-04-04 09:31:29,-5.767839259289809
2019-04-04 09:31:30,-37.1785595061932
2019-04-04 09:31:31,-24.785706337462134
2019-04-04 09:31:32,-16.523804224974757
2019-04-04 09:31:33,-11.015869483316505
2019-04-04 09:31:34,-7.34391298887767
2019-04-04 09:31:35,-4.895941992585113
2019-04-04 09:31:36,-3.2639613283900757
2019-04-04 09:31:37,-2.1759742189267173
2019-04-04 09:31:38,-1.4506494792844782
2019-04-04 09:31:39,-0.9670996528563188
2019-04-04 09:31:40,-0.6447331019042125
2019-04-04 09:31:41,-0.4298220679361417
2019-04-04 09:31:42,-133.6198813786241
2019-04-04 09:31:43,-89.07992091908272
2019-04-04 09:31:44,-59.38661394605515
2019-04-04 09:31:45,-39.59107596403677
2019-04-04 09:31:46,-26.39405064269118
2019-04-04 09:31:47,-17.59603376179412
2019-04-04 09:31:48,-78.39735584119607
2019-04-04 09:31:49,-52.26490389413072
2019-04-04 09:31:50,-34.843269262753815
2019-04-04 09:31:51,-23.22884617516921
2019-04-04 09:31:52,-15.485897450112807
2019-04-04 09:31:53,-10.323931633408538
2019-04-04 09:31:54,-6.882621088939025
2019-04-04 09:31:55,-4.588414059292684
2019-04-04 09:31:56,-3.0589427061951224
2019-04-04 09:31:57,-2.039295137463415
2019-04-04 09:31:58,-1.3595300916422766
2019-04-04 09:31:59,-0.9063533944281844
2019-04-04 09:32:00,-0.6042355962854563
2019-04-04 09:32:01,-0.4028237308569709
2019-04-04 09:32:02,-0.26854915390464723
2019-04-04 09:32:03,-0.17903276926976483
2019-04-04 09:32:04,-0.11935517951317655
2019-04-04 09:32:05,-0.07957011967545104
2019-04-04 09:32:06,-0.05304674645030069
2019-04-04 09:32:07,-0.0353644976335338
2019-04-04 09:32:08,-0.023576331755689198
2019-04-04 09:32:09,-0.015717554503792797
2019-04-04 09:32:10,-0.010478369669195199
2019-04-04 09:32:11,-0.006985579779463466
2019-04-04 09:32:12,-0.004657053186308977
2019-04-04 09:32:13,-0.003104702124205985
2019-04-04 09:32:14,-0.0020698014161373234
2019-04-04 09:32:15,-0.0013798676107582156
2019-04-04 09:32:16,-0.0009199117405054771
2019-04-04 09:32:17,-0.0006132744936703181
2019-04-04 09:32:18,-0.00040884966244687874
2019-04-04 09:32:19,-0.0002725664416312525
2019-04-04 09:32:20,-0.00018171096108750165
2019-04-04 09:32:21,-0.0001211406407250011
2019-04-04 09:32:22,-8.076042715000073e-05
2019-04-04 09:32:23,-5.3840284766667156e-05
2019-04-04 09:32:24,-3.58935231777781e-05
2019-04-04 09:32:25,-2.392901545185207e-05
2019-04-04 09:32:26,-1.595267696790138e-05
2019-04-04 09:32:27,-366.66667730178466
2019-04-04 09:32:28,-244.4444515345231
2019-04-04 09:32:29,-162.96296768968207
2019-04-04 09:32:30,-108.64197845978805
2019-04-04 09:32:31,-72.4279856398587
2019-04-04 09:32:32,-48.2853237599058
2019-04-04 09:32:33,-32.1902158399372
2019-04-04 09:32:34,-21.46014389329147
2019-04-04 09:32:35,-14.306762595527646
2019-04-04 09:32:36,-9.537841730351763
2019-04-04 09:32:37,-6.358561153567842
2019-04-04 09:32:38,-104.23904076904523
2019-04-04 09:32:39,-136.15936051269682
2019-04-04 09:32:40,-90.77290700846454
2019-04-04 09:32:41,-60.51527133897636
2019-04-04 09:32:42,-40.343514225984244
2019-04-04 09:32:43,-26.89567615065616
2019-04-04 09:32:44,-84.59711743377078
2019-04-04 09:32:45,-889.7314116225139
2019-04-04 09:32:46,-593.1542744150092
2019-04-04 09:32:47,-395.4361829433395
2019-04-04 09:32:48,-263.6241219622263
2019-04-04 09:32:49,-175.7494146414842
2019-04-04 09:32:50,-117.16627642765614
2019-04-04 09:32:51,-78.11085095177076
2019-04-04 09:32:52,-52.07390063451384
2019-04-04 09:32:53,-34.71593375634256
2019-04-04 09:32:54,-23.143955837561705
2019-04-04 09:32:55,-15.429303891707804
2019-04-04 09:32:56,-10.286202594471868
2019-04-04 09:32:57,-6.857468396314579
2019-04-04 09:32:58,-337.9049789308764
2019-04-04 09:32:59,-1458.603319287251
2019-04-04 09:33:00,-972.4022128581673
2019-04-04 09:33:01,-648.2681419054448
2019-04-04 09:33:02,-432.17876127029655
2019-04-04 09:33:03,-288.1191741801977
2019-04-04 09:33:04,-192.07944945346514
2019-04-04 09:33:05,-128.0529663023101
2019-04-04 09:33:06,-85.36864420154006
2019-04-04 09:33:07,-56.91242946769338
2019-04-04 09:33:08,-37.94161964512892
2019-04-04 09:33:09,-25.29441309675261
2019-04-04 09:33:10,-16.86294206450174
2019-04-04 09:33:11,-11.241961376334494
2019-04-04 09:33:12,-7.494640917556329
2019-04-04 09:33:13,-4.996427278370886
2019-04-04 09:33:14,-3.330951518913924
2019-04-04 09:33:15,-2.220634345942616
2019-04-04 09:33:16,-1.4804228972950773
