h_m_s,TD
2019-04-04 09:30:00,-3000.0
2019-04-04 09:30:01,-1860.0
2019-04-04 09:30:02,-978.9473684210526
2019-04-04 09:30:03,-364.61538461538476
2019-04-04 09:30:04,-186.25592417061623
2019-04-04 09:30:05,-118.19548872180461
2019-04-04 09:30:06,-76.34774162214674
2019-04-04 09:30:07,-49.86518636003177
2019-04-04 09:30:08,-32.799540973345195
2019-04-04 09:30:09,-21.673416630762627
2019-04-04 09:30:10,289.14442686708657
2019-04-04 09:30:11,192.01433596601845
2019-04-04 09:30:12,764.2833410355133
2019-04-04 09:30:13,441.7507292957117
2019-04-04 09:30:14,360.98270630090974
2019-04-04 09:30:15,307.23998419308356
2019-04-04 09:30:16,371.55860357158866
2019-04-04 09:30:17,614.5368110301225
2019-04-04 09:30:18,409.59876123582336
2019-04-04 09:30:19,273.02476911026383
2019-04-04 09:30:20,181.99826322075967
2019-04-04 09:30:21,121.32406593826889
2019-04-04 09:30:22,80.87910678599782
2019-04-04 09:30:23,53.917802936487696
2019-04-04 09:30:24,35.94449017622519
2019-04-04 09:30:25,23.962677113953415
2019-04-04 09:30:26,15.974977484900736
2019-04-04 09:30:27,-256.01987325448266
2019-04-04 09:30:28,-170.6792479137792
2019-04-04 09:30:29,-113.78586857147177
2019-04-04 09:30:30,-75.85711384627382
2019-04-04 09:30:31,-50.57135062300094
2019-04-04 09:30:32,-33.71420770078504
2019-04-04 09:30:33,-22.476126890368377
2019-04-04 09:30:34,-14.984079448329268
2019-04-04 09:30:35,-9.989384012109864
2019-04-04 09:30:36,-6.659588325061936
2019-04-04 09:30:37,-137.77308556298956
2019-04-04 09:30:38,-491.84877174135994
2019-04-04 09:30:39,-427.8991753774505
2019-04-04 09:30:40,-285.26610831869345
2019-04-04 09:30:41,-190.17740172374832
2019-04-04 09:30:42,-126.78493278381126
2019-04-04 09:30:43,-117.85662169637666
2019-04-04 09:30:44,-78.57108066304683
2019-04-04 09:30:45,-52.380720234088585
2019-04-04 09:30:46,-34.92048006364011
2019-04-04 09:30:47,-56.61365345230962
2019-04-04 09:30:48,-71.07576900222844
2019-04-04 09:30:49,-47.383845964328906
2019-04-04 09:30:50,-31.589230626371844
2019-04-04 09:30:51,-21.059487076908297
2019-04-04 09:30:52,-147.3729914433021
2019-04-04 09:30:53,-131.5819942906428
2019-04-04 09:30:54,-121.05466285825435
2019-04-04 09:30:55,-80.70310856661374
2019-04-04 09:30:56,46.19792763390581
2019-04-04 09:30:57,-235.86804826132342
2019-04-04 09:30:58,-190.57869883903467
2019-04-04 09:30:59,-127.05246589096207
2019-04-04 09:31:00,-84.70164392654017
2019-04-04 09:31:01,-56.46776261735218
2019-04-04 09:31:02,-37.64517507808311
2019-04-04 09:31:03,-58.43011671883373
2019-04-04 09:31:04,-38.9534111458194
2019-04-04 09:31:05,-25.9689407638486
2019-04-04 09:31:06,149.35403949104665
2019-04-04 09:31:07,66.23602632727625
2019-04-04 09:31:08,44.15735088483522
2019-04-04 09:31:09,-3.8950994101325103
2019-04-04 09:31:10,-2.596732940087932
2019-04-04 09:31:11,-1.7311552933917735
2019-04-04 09:31:12,-167.8207701956177
2019-04-04 09:31:13,-111.88051346373994
2019-04-04 09:31:14,-74.58700897582432
2019-04-04 09:31:15,-49.72467265054852
2019-04-04 09:31:16,-33.1497817670319
2019-04-04 09:31:17,-155.43318784469017
2019-04-04 09:31:18,-103.62212522979283
2019-04-04 09:31:19,-69.08141681986162
2019-04-04 09:31:20,-46.05427787990763
2019-04-04 09:31:21,-30.702851919938368
2019-04-04 09:31:22,-20.468567946625555
2019-04-04 09:31:23,-13.645711964417027
2019-04-04 09:31:24,-9.097141309611347
2019-04-04 09:31:25,27.268572460259126
2019-04-04 09:31:26,-81.82095169316061
2019-04-04 09:31:27,-54.54730112877374
2019-04-04 09:31:28,-36.364867419182495
2019-04-04 09:31:29,-24.243244946121663
2019-04-04 09:31:30,-16.16216329741444
2019-04-04 09:31:31,-10.774775531609627
2019-04-04 09:31:32,-107.18318368773976
2019-04-04 09:31:33,-71.45545579182651
2019-04-04 09:31:34,-47.63697052788434
2019-04-04 09:31:35,-31.757980351922892
2019-04-04 09:31:36,-21.17198690128193
2019-04-04 09:31:37,-14.114657934187953
2019-04-04 09:31:38,-9.409771956125303
2019-04-04 09:31:39,-6.273181304083535
2019-04-04 09:31:40,-4.182120869389023
2019-04-04 09:31:41,-236.121413912926
2019-04-04 09:31:42,-157.41427594195065
