h_m_s,XIU
2019-04-04 09:30:00,-60600.0
2019-04-04 09:30:01,-24240.000000000004
2019-04-04 09:30:02,-12757.894736842107
2019-04-04 09:30:03,-4135.384615384617
2019-04-04 09:30:04,-2547.8672985782005
2019-04-04 09:30:05,-1616.8421052631593
2019-04-04 09:30:06,-1044.3904808159311
2019-04-04 09:30:07,-682.1252973830301
2019-04-04 09:30:08,-448.67769026133277
2019-04-04 09:30:09,-296.47910383455445
2019-04-04 09:30:10,-196.4968389311192
2019-04-04 09:30:11,-130.48914847016678
2019-04-04 09:30:12,-86.76811688315796
2019-04-04 09:30:13,-57.745996347489964
2019-04-04 09:30:14,-38.45327291108315
2019-04-04 09:30:15,-25.615971267427877
2019-04-04 09:30:16,-17.06863898451935
2019-04-04 09:30:17,-11.375240277979826
2019-04-04 09:30:18,-7.581782316359886
2019-04-04 09:30:19,-5.053761295866431
2019-04-04 09:30:20,-3.368836393772483
2019-04-04 09:30:21,-2.2457408193919064
2019-04-04 09:30:22,-1.4970938382306564
2019-04-04 09:30:23,-0.9980329130084453
2019-04-04 09:30:24,-0.6653421000747912
2019-04-04 09:30:25,-0.44355554457014806
2019-04-04 09:30:26,-0.2957010940019285
2019-04-04 09:30:27,-0.19713290607239703
2019-04-04 09:30:28,-0.1314214233441555
2019-04-04 09:30:29,-0.08761405376984074
2019-04-04 09:30:30,-0.05840926764273678
2019-04-04 09:30:31,-0.038939466634329914
2019-04-04 09:30:32,-0.025959624366261078
2019-04-04 09:30:33,-0.01730640733012974
2019-04-04 09:30:34,-0.01153760092495909
2019-04-04 09:30:35,-0.0076917321891763705
2019-04-04 09:30:36,-0.005127820676875054
2019-04-04 09:30:37,-0.0034185467701052983
2019-04-04 09:30:38,-3200.0027131321726
2019-04-04 09:30:39,-2133.335045621116
2019-04-04 09:30:40,-1422.2233208731923
2019-04-04 09:30:41,-948.148861526921
2019-04-04 09:30:42,-632.0992325489666
2019-04-04 09:30:43,-421.39948460198644
2019-04-04 09:30:44,-280.9329880617726
2019-04-04 09:30:45,-187.288657964344
2019-04-04 09:30:46,-124.85910497911627
2019-04-04 09:30:47,-83.23940317254578
2019-04-04 09:30:48,-55.4929353830905
2019-04-04 09:30:49,-36.99529022638328
2019-04-04 09:30:50,-24.663526804695355
2019-04-04 09:30:51,-16.44235119739979
2019-04-04 09:30:52,-10.96156746238633
2019-04-04 09:30:53,-7.307711640458948
2019-04-04 09:30:54,-4.8718077598028815
2019-04-04 09:30:55,-3.247871839644995
2019-04-04 09:30:56,-2.1652478929972885
2019-04-04 09:30:57,-1.4434985952873591
2019-04-04 09:30:58,-0.9623323968386099
2019-04-04 09:30:59,-0.6415549312170158
2019-04-04 09:31:00,-0.42770328747413316
2019-04-04 09:31:01,-0.2851355249810322
2019-04-04 09:31:02,-0.19009034998658886
2019-04-04 09:31:03,-0.12672689999071884
2019-04-04 09:31:04,-0.08448459999366129
2019-04-04 09:31:05,-0.056323066662373626
2019-04-04 09:31:06,-0.0375487111082192
2019-04-04 09:31:07,-0.025032474072132858
2019-04-04 09:31:08,-0.016688316048082668
2019-04-04 09:31:09,-0.011125544032052488
2019-04-04 09:31:10,-0.007417029354700494
2019-04-04 09:31:11,-0.004944686236466478
2019-04-04 09:31:12,-0.0032964574909774215
2019-04-04 09:31:13,-0.0021976383273181787
2019-04-04 09:31:14,-0.001465092218212074
2019-04-04 09:31:15,-0.000976728145474696
2019-04-04 09:31:16,-0.0006511520969831217
2019-04-04 09:31:17,-0.00043410139798874385
2019-04-04 09:31:18,-0.0002894009319924942
