h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
09:30:00,-2575.0,4166.666666666667,1221.4285714285713,-609.0909090909091,0.0,-580.0,305.55555555555554,731.0344827586207,-1414.8148148148148,-4440.909090909091,-5888.461538461538,550.0,2765.714285714286,-1982.5581395348838,833.3333333333334,900.0,2417.021276595745,600.0,-694.7368421052631,943.75,50.0,-475.0,-325.0,-436.3636363636364,-393.75,286.6666666666667,-13245.945945945947,15800.0
09:30:01,-457.14285714285717,10308.333333333334,951.7241379310345,-180.0,-522.2222222222222,-633.3333333333334,31.57894736842105,-128.57142857142858,-3910.0,700.0,-1027.2727272727273,-236.36363636363637,-509.09090909090907,-391.25,6666.666666666667,,-4.545454545454546,500.0,-140.0,-3936.3636363636365,50.0,,-754.5454545454545,170.83333333333334,-100.0,-460.0,22685.185185185186,20280.0
09:30:02,-126.66666666666667,8260.0,1000.0,-240.0,700.0,200.0,150.0,16.666666666666668,-150.0,766.6666666666666,100.0,25.0,-1976.923076923077,-200.0,-15294.117647058823,,-66.66666666666667,,2995.4545454545455,,-100.0,-100.0,870.0,325.0,50.0,,87510.0,-16457.14285714286
09:30:03,1500.0,6900.0,750.0,-292.85714285714283,,112.5,0.0,,-50.0,,186.66666666666666,0.0,-8700.0,-80.26315789473684,14375.0,,66.66666666666667,,,-1190.0,,,-50.0,66.66666666666667,,-200.0,-52067.441860465115,-5355.555555555556
09:30:04,900.0,,300.0,50.0,600.0,200.0,,-200.0,,1800.0,,,,76.0,10000.0,,100.0,,33.333333333333336,,,,-150.0,-300.0,,100.0,-12140.0,19886.666666666668
09:30:05,-100.0,4800.0,-188.88888888888889,0.0,500.0,100.0,,,-850.0,1850.0,933.3333333333334,,-1537.142857142857,-725.0,21250.0,,,,-142.85714285714286,-2233.3333333333335,,400.0,0.0,,-100.0,,-16091.666666666666,58688.88888888889
09:30:06,0.0,4750.0,0.0,,525.0,,,,-2850.0,1900.0,550.0,,3731.1111111111113,-1326.3157894736842,32413.793103448275,,0.0,,-766.6666666666666,100.0,,,200.0,-500.0,,200.0,-54937.5,99600.0
09:30:07,-94.73684210526316,,-41.1764705882353,,600.0,150.0,-50.0,,-2600.0,,450.0,,460.0,664.0,29750.0,,,,,0.0,,,,,,,-61300.0,
09:30:08,-600.0,5200.0,-100.0,,,,-137.5,,,,600.0,,-3728.5714285714284,2100.0,30000.0,,-861.1111111111111,,415.38461538461536,0.0,,,,-16.666666666666668,-200.0,,-115450.0,
09:30:09,-850.0,3433.3333333333335,,,,,-120.0,,-1880.0,1700.0,400.0,,-70.83333333333333,-1627.5862068965516,,1200.0,-2066.6666666666665,,733.3333333333334,,,,-400.0,,-340.0,,-92266.66666666667,
09:30:10,-800.0,5548.571428571428,,-120.0,,,-66.66666666666667,33.333333333333336,326.3157894736842,-275.0,,,441.1764705882353,-2341.6666666666665,,,-2200.0,,607.8947368421053,0.0,,,,87.5,,400.0,-20945.0,98300.0
09:30:11,740.0,-100.0,,,,-133.33333333333334,-200.0,,-350.0,,300.0,,915.2941176470588,-1453.1914893617022,,,-441.30434782608694,,-266.6666666666667,,,600.0,-975.0,450.0,-1100.0,,-72700.0,
09:30:12,,,,,,,0.0,-83.33333333333333,-271.42857142857144,,390.90909090909093,,-540.0,-2027.2727272727273,36944.444444444445,,-728.5714285714286,,-200.0,41.1764705882353,,,-850.0,270.0,,,-68866.66666666667,
09:30:13,,-146.66666666666666,,,550.0,-433.3333333333333,,-250.0,350.0,600.0,120.0,,-820.0,-876.0,30833.333333333332,,-1050.0,,-600.0,,-50.0,,,19.047619047619047,0.0,,-82700.0,118300.0
09:30:14,-4028.5714285714284,-1007.1428571428571,,,,,,,1000.0,-1114.1304347826087,187.5,,2564.0,600.0,-5000.0,,-1000.0,,-1812.121212121212,,,,-746.1538461538462,-66.66666666666667,,,-74733.33333333333,
09:30:15,-3226.143790849673,1200.0,,,,,,,-766.6666666666666,1584.6153846153845,75.0,,1588.888888888889,-3183.3333333333335,,,-300.0,,-2661.5384615384614,-510.0,,,-450.0,100.0,,,-40220.0,
09:30:16,-61.111111111111114,,,-250.0,,66.66666666666667,,,,2250.0,,,1733.3333333333333,-2739.3939393939395,-50000.0,,-450.0,,-652.3809523809524,-50.0,,,,81.81818181818181,,,-39100.0,118000.0
09:30:17,-916.9230769230769,1366.6666666666667,,,,-175.0,,,,,300.0,,1150.0,761.1111111111111,-29200.0,,,,,-300.0,,,-1100.0,316.6666666666667,,,,118300.0
09:30:18,1400.0,,,,-745.4545454545455,-200.0,-100.0,,-1500.0,,300.0,,3375.0,-1416.6666666666667,19734.69387755102,,-1000.0,,-18.51851851851852,,,,,-50.0,-60.0,500.0,-41800.0,119600.0
09:30:19,1142.857142857143,1618.1818181818182,,,360.0,,,-200.0,-1300.0,2300.0,900.0,,2700.0,1440.0,42500.0,,,,646.6666666666666,,,,-1000.0,0.0,350.0,,-32125.0,
09:30:20,,-860.0,,-200.0,,66.66666666666667,-100.0,,,1116.6666666666667,-170.0,,2800.0,740.9090909090909,20000.0,,-1700.0,,146.34146341463415,-150.0,,,-950.0,,,,,120175.0
09:30:21,,1260.0,,-150.0,,0.0,,-100.0,,-100.0,320.0,,,-808.0645161290323,,,-2600.0,,358.3333333333333,75.0,0.0,,,200.0,,,,120600.0
09:30:22,,,,,-550.0,,100.0,-89.1304347826087,,,,,,-1576.1194029850747,32631.57894736842,,-1900.0,,-982.2222222222222,,0.0,,-266.6666666666667,,,,,
09:30:23,,812.5,,,100.0,400.0,-200.0,-100.0,,,390.0,,,1084.4827586206898,-12380.952380952382,,-2350.0,,508.69565217391306,,0.0,,-321.6666666666667,,736.1111111111111,,,24322.222222222223
09:30:24,,775.0,,-100.0,-50.0,-71.42857142857143,-366.6666666666667,,,,-55.55555555555556,,,477.35849056603774,-20000.0,,-554.5454545454545,,50.0,,0.0,,-675.0,,600.0,,,17883.783783783783
09:30:25,1300.0,,,,,,-400.0,-300.0,,,750.0,,,394.11764705882354,-40000.0,,128.57142857142858,,1309.090909090909,,50.0,,-429.6296296296296,100.0,464.70588235294116,350.0,,84887.5
09:30:26,,,363.6363636363636,-200.0,0.0,,,70.83333333333333,-1200.0,-7305.555555555556,450.0,,1650.0,993.5483870967741,-41428.57142857143,,56.52173913043478,,400.0,71.42857142857143,-33.333333333333336,,-150.0,,954.5454545454545,,,96790.0
09:30:27,,,,-100.0,,71.42857142857143,,-44.44444444444444,,-6800.0,550.0,,2932.8947368421054,401.96078431372547,-40000.0,,200.0,,946.875,66.66666666666667,,,-180.0,15.0,,,,93637.5
09:30:28,-2322.9166666666665,,257.14285714285717,,,100.0,,,,-7100.0,,,2366.6666666666665,628.5714285714286,-33333.333333333336,,700.0,,,,-100.0,,-200.0,0.0,800.0,,,77260.0
09:30:29,-1214.6341463414635,-800.0,1400.0,-100.0,,200.0,,,,-4750.0,500.0,,,-1155.7692307692307,-26250.0,,,,,,,,,,2300.0,,,43418.181818181816
09:30:30,-822.4137931034483,300.0,992.3076923076923,,266.6666666666667,,,150.0,-1769.2307692307693,-6400.0,,,3000.0,-820.0,-30000.0,,500.0,,,,,,50.0,,192.59259259259258,114.28571428571429,,68872.72727272728
09:30:31,-1450.0,-650.0,1700.0,,366.6666666666667,,-150.0,,,,,,3200.0,-1157.142857142857,-15000.0,,150.0,,33.333333333333336,150.0,,300.0,0.0,100.0,-173.33333333333334,175.0,,-29600.0
09:30:32,,-590.9090909090909,,0.0,,,,,-1680.0,-6500.0,0.0,,,-985.7142857142857,8333.333333333334,,,,566.6666666666666,-50.0,25.0,,,-100.0,,175.0,,-27066.666666666668
09:30:33,,-2450.0,1566.6666666666667,,,,,,,,400.0,,,-70.73170731707317,12500.0,,,,-600.0,50.0,0.0,,,,-200.0,,,124633.33333333333
09:30:34,,-916.6666666666666,,,,,-150.0,,,,,,1612.5,-533.3333333333334,12500.0,,,,,,0.0,,,,1350.0,,-33150.0,125000.0
09:30:35,,,,,,,3300.0,,,-7400.0,,,3200.0,545.4545454545455,,200.0,,,,,,,-133.33333333333334,,150.0,,-41800.0,
09:30:36,,,,-211.11111111111111,200.0,100.0,3700.0,,-3100.0,,,,,-670.0,12500.0,500.0,,0.0,-800.0,-139.28571428571428,0.0,,,-71.42857142857143,260.0,-157.14285714285714,-30266.666666666668,124700.0
