h_m_s,transaction_spread
2019-04-05 09:30:00,
2019-04-05 09:30:01,
2019-04-05 09:30:02,
2019-04-05 09:30:03,-550.0
2019-04-05 09:30:04,-1510.0
2019-04-05 09:30:05,-1510.0
2019-04-05 09:30:06,-330.0
2019-04-05 09:30:07,-330.0
2019-04-05 09:30:08,-330.0
2019-04-05 09:30:09,-390.0
2019-04-05 09:30:10,-180.0
2019-04-05 09:30:11,-30.0
2019-04-05 09:30:12,-500.0
2019-04-05 09:30:13,80.0
2019-04-05 09:30:14,80.0
2019-04-05 09:30:15,-90.0
2019-04-05 09:30:16,-20.0
2019-04-05 09:30:17,280.0
2019-04-05 09:30:18,370.0
2019-04-05 09:30:19,350.0
2019-04-05 09:30:20,350.0
2019-04-05 09:30:21,-440.0
2019-04-05 09:30:22,500.0
2019-04-05 09:30:23,190.0
2019-04-05 09:30:24,940.0
2019-04-05 09:30:25,-220.0
2019-04-05 09:30:26,190.0
2019-04-05 09:30:27,210.0
2019-04-05 09:30:28,210.0
2019-04-05 09:30:29,20.0
2019-04-05 09:30:30,20.0
2019-04-05 09:30:31,-440.0
2019-04-05 09:30:32,-650.0
2019-04-05 09:30:33,-780.0
2019-04-05 09:30:34,180.0
2019-04-05 09:30:35,10.0
2019-04-05 09:30:36,10.0
2019-04-05 09:30:37,10.0
2019-04-05 09:30:38,10.0
2019-04-05 09:30:39,-110.0
2019-04-05 09:30:40,-110.0
2019-04-05 09:30:41,-110.0
2019-04-05 09:30:42,-520.0
2019-04-05 09:30:43,-690.0
2019-04-05 09:30:44,-710.0
2019-04-05 09:30:45,360.0
2019-04-05 09:30:46,380.0
2019-04-05 09:30:47,380.0
2019-04-05 09:30:48,-400.0
2019-04-05 09:30:49,-400.0
2019-04-05 09:30:50,-250.0
2019-04-05 09:30:51,-170.0
2019-04-05 09:30:52,100.0
2019-04-05 09:30:53,100.0
2019-04-05 09:30:54,100.0
2019-04-05 09:30:55,110.0
2019-04-05 09:30:56,440.0
2019-04-05 09:30:57,440.0
2019-04-05 09:30:58,440.0
2019-04-05 09:30:59,-200.0
2019-04-05 09:31:00,-580.0
2019-04-05 09:31:01,40.0
2019-04-05 09:31:02,40.0
2019-04-05 09:31:03,0.0
2019-04-05 09:31:04,120.0
2019-04-05 09:31:05,-750.0
2019-04-05 09:31:06,-1120.0
2019-04-05 09:31:07,-900.0
2019-04-05 09:31:08,80.0
2019-04-05 09:31:09,-20.0
2019-04-05 09:31:10,630.0
2019-04-05 09:31:11,630.0
2019-04-05 09:31:12,430.0
2019-04-05 09:31:13,140.0
2019-04-05 09:31:14,20.0
2019-04-05 09:31:15,-490.0
2019-04-05 09:31:16,-310.0
2019-04-05 09:31:17,-310.0
2019-04-05 09:31:18,-310.0
2019-04-05 09:31:19,-320.0
2019-04-05 09:31:20,-290.0
2019-04-05 09:31:21,-210.0
2019-04-05 09:31:22,-950.0
2019-04-05 09:31:23,-630.0
2019-04-05 09:31:24,-910.0
2019-04-05 09:31:25,-1210.0
2019-04-05 09:31:26,-3200.0
2019-04-05 09:31:27,-810.0
2019-04-05 09:31:28,-810.0
2019-04-05 09:31:29,-370.0
2019-04-05 09:31:30,-370.0
2019-04-05 09:31:31,-520.0
2019-04-05 09:31:32,-540.0
2019-04-05 09:31:33,-560.0
2019-04-05 09:31:34,-170.0
2019-04-05 09:31:35,-280.0
2019-04-05 09:31:36,-280.0
2019-04-05 09:31:37,-280.0
2019-04-05 09:31:38,-290.0
2019-04-05 09:31:39,-530.0
2019-04-05 09:31:40,-900.0
2019-04-05 09:31:41,-140.0
2019-04-05 09:31:42,150.0
2019-04-05 09:31:43,-240.0
2019-04-05 09:31:44,-370.0
2019-04-05 09:31:45,-370.0
2019-04-05 09:31:46,-630.0
2019-04-05 09:31:47,-630.0
2019-04-05 09:31:48,-630.0
2019-04-05 09:31:49,-150.0
2019-04-05 09:31:50,-150.0
2019-04-05 09:31:51,-360.0
2019-04-05 09:31:52,-570.0
2019-04-05 09:31:53,-760.0
2019-04-05 09:31:54,-600.0
2019-04-05 09:31:55,-610.0
2019-04-05 09:31:56,-310.0
2019-04-05 09:31:57,-310.0
2019-04-05 09:31:58,-310.0
2019-04-05 09:31:59,-210.0
2019-04-05 09:32:00,-200.0
2019-04-05 09:32:01,-160.0
2019-04-05 09:32:02,-410.0
2019-04-05 09:32:03,-410.0
2019-04-05 09:32:04,-200.0
2019-04-05 09:32:05,880.0
2019-04-05 09:32:06,-80.0
2019-04-05 09:32:07,-860.0
2019-04-05 09:32:08,-770.0
2019-04-05 09:32:09,-790.0
2019-04-05 09:32:10,-550.0
2019-04-05 09:32:11,-620.0
2019-04-05 09:32:12,-620.0
2019-04-05 09:32:13,-250.0
2019-04-05 09:32:14,-270.0
2019-04-05 09:32:15,-620.0
2019-04-05 09:32:16,-620.0
2019-04-05 09:32:17,-400.0
2019-04-05 09:32:18,-350.0
2019-04-05 09:32:19,-350.0
2019-04-05 09:32:20,-220.0
2019-04-05 09:32:21,-220.0
2019-04-05 09:32:22,-220.0
2019-04-05 09:32:23,-280.0
2019-04-05 09:32:24,130.0
2019-04-05 09:32:25,-100.0
2019-04-05 09:32:26,-100.0
2019-04-05 09:32:27,-100.0
2019-04-05 09:32:28,-100.0
2019-04-05 09:32:29,10.0
2019-04-05 09:32:30,30.0
2019-04-05 09:32:31,30.0
2019-04-05 09:32:32,10.0
2019-04-05 09:32:33,10.0
2019-04-05 09:32:34,80.0
2019-04-05 09:32:35,80.0
2019-04-05 09:32:36,-180.0
2019-04-05 09:32:37,-180.0
2019-04-05 09:32:38,-260.0
2019-04-05 09:32:39,230.0
2019-04-05 09:32:40,70.0
2019-04-05 09:32:41,-120.0
2019-04-05 09:32:42,870.0
2019-04-05 09:32:43,-290.0
2019-04-05 09:32:44,110.0
2019-04-05 09:32:45,10.0
2019-04-05 09:32:46,10.0
2019-04-05 09:32:47,100.0
2019-04-05 09:32:48,-510.0
2019-04-05 09:32:49,20.0
2019-04-05 09:32:50,-440.0
2019-04-05 09:32:51,-440.0
2019-04-05 09:32:52,-360.0
2019-04-05 09:32:53,-670.0
2019-04-05 09:32:54,150.0
2019-04-05 09:32:55,360.0
2019-04-05 09:32:56,180.0
2019-04-05 09:32:57,210.0
2019-04-05 09:32:58,-40.0
2019-04-05 09:32:59,-40.0
