h_m_s,transaction_spread
2019-04-05 09:30:00,
2019-04-05 09:30:01,
2019-04-05 09:30:02,
2019-04-05 09:30:03,
2019-04-05 09:30:04,
2019-04-05 09:30:05,
2019-04-05 09:30:06,
2019-04-05 09:30:07,
2019-04-05 09:30:08,
2019-04-05 09:30:09,
2019-04-05 09:30:10,50.0
2019-04-05 09:30:11,50.0
2019-04-05 09:30:12,50.0
2019-04-05 09:30:13,50.0
2019-04-05 09:30:14,50.0
2019-04-05 09:30:15,50.0
2019-04-05 09:30:16,50.0
2019-04-05 09:30:17,50.0
2019-04-05 09:30:18,50.0
2019-04-05 09:30:19,50.0
2019-04-05 09:30:20,50.0
2019-04-05 09:30:21,50.0
2019-04-05 09:30:22,50.0
2019-04-05 09:30:23,50.0
2019-04-05 09:30:24,50.0
2019-04-05 09:30:25,50.0
2019-04-05 09:30:26,50.0
2019-04-05 09:30:27,50.0
2019-04-05 09:30:28,50.0
2019-04-05 09:30:29,50.0
2019-04-05 09:30:30,50.0
2019-04-05 09:30:31,-70.0
2019-04-05 09:30:32,-70.0
2019-04-05 09:30:33,-70.0
2019-04-05 09:30:34,-70.0
2019-04-05 09:30:35,-70.0
2019-04-05 09:30:36,-70.0
2019-04-05 09:30:37,-70.0
2019-04-05 09:30:38,-70.0
2019-04-05 09:30:39,-70.0
2019-04-05 09:30:40,-70.0
2019-04-05 09:30:41,-70.0
2019-04-05 09:30:42,-70.0
2019-04-05 09:30:43,-70.0
2019-04-05 09:30:44,-70.0
2019-04-05 09:30:45,-70.0
2019-04-05 09:30:46,-70.0
2019-04-05 09:30:47,-70.0
2019-04-05 09:30:48,-70.0
2019-04-05 09:30:49,-50.0
2019-04-05 09:30:50,-50.0
2019-04-05 09:30:51,-50.0
2019-04-05 09:30:52,-50.0
2019-04-05 09:30:53,-50.0
2019-04-05 09:30:54,-50.0
2019-04-05 09:30:55,-50.0
2019-04-05 09:30:56,-50.0
2019-04-05 09:30:57,-50.0
2019-04-05 09:30:58,-50.0
2019-04-05 09:30:59,-50.0
2019-04-05 09:31:00,-50.0
2019-04-05 09:31:01,-50.0
2019-04-05 09:31:02,-50.0
2019-04-05 09:31:03,-50.0
2019-04-05 09:31:04,-50.0
2019-04-05 09:31:05,-50.0
2019-04-05 09:31:06,-50.0
2019-04-05 09:31:07,-50.0
2019-04-05 09:31:08,-50.0
2019-04-05 09:31:09,-50.0
2019-04-05 09:31:10,-30.0
2019-04-05 09:31:11,-30.0
2019-04-05 09:31:12,-30.0
2019-04-05 09:31:13,-30.0
2019-04-05 09:31:14,-30.0
2019-04-05 09:31:15,-30.0
2019-04-05 09:31:16,-30.0
2019-04-05 09:31:17,-30.0
2019-04-05 09:31:18,-30.0
2019-04-05 09:31:19,-30.0
2019-04-05 09:31:20,-30.0
2019-04-05 09:31:21,-30.0
2019-04-05 09:31:22,-30.0
2019-04-05 09:31:23,-30.0
2019-04-05 09:31:24,-30.0
2019-04-05 09:31:25,-30.0
2019-04-05 09:31:26,-30.0
2019-04-05 09:31:27,-30.0
2019-04-05 09:31:28,-30.0
2019-04-05 09:31:29,-30.0
2019-04-05 09:31:30,-30.0
2019-04-05 09:31:31,-30.0
2019-04-05 09:31:32,-30.0
2019-04-05 09:31:33,-30.0
2019-04-05 09:31:34,-30.0
2019-04-05 09:31:35,-30.0
2019-04-05 09:31:36,-30.0
2019-04-05 09:31:37,80.0
2019-04-05 09:31:38,90.0
2019-04-05 09:31:39,90.0
2019-04-05 09:31:40,90.0
2019-04-05 09:31:41,90.0
2019-04-05 09:31:42,90.0
2019-04-05 09:31:43,90.0
2019-04-05 09:31:44,90.0
2019-04-05 09:31:45,90.0
2019-04-05 09:31:46,90.0
2019-04-05 09:31:47,90.0
2019-04-05 09:31:48,90.0
2019-04-05 09:31:49,90.0
2019-04-05 09:31:50,90.0
2019-04-05 09:31:51,90.0
2019-04-05 09:31:52,90.0
2019-04-05 09:31:53,90.0
2019-04-05 09:31:54,90.0
2019-04-05 09:31:55,90.0
2019-04-05 09:31:56,90.0
2019-04-05 09:31:57,90.0
2019-04-05 09:31:58,90.0
2019-04-05 09:31:59,90.0
2019-04-05 09:32:00,90.0
2019-04-05 09:32:01,90.0
2019-04-05 09:32:02,90.0
2019-04-05 09:32:03,90.0
2019-04-05 09:32:04,90.0
2019-04-05 09:32:05,90.0
2019-04-05 09:32:06,90.0
2019-04-05 09:32:07,90.0
2019-04-05 09:32:08,90.0
2019-04-05 09:32:09,90.0
2019-04-05 09:32:10,90.0
2019-04-05 09:32:11,90.0
2019-04-05 09:32:12,90.0
2019-04-05 09:32:13,90.0
2019-04-05 09:32:14,90.0
2019-04-05 09:32:15,120.0
2019-04-05 09:32:16,120.0
2019-04-05 09:32:17,120.0
2019-04-05 09:32:18,120.0
2019-04-05 09:32:19,120.0
2019-04-05 09:32:20,120.0
2019-04-05 09:32:21,120.0
2019-04-05 09:32:22,120.0
2019-04-05 09:32:23,120.0
2019-04-05 09:32:24,160.0
2019-04-05 09:32:25,160.0
2019-04-05 09:32:26,160.0
2019-04-05 09:32:27,160.0
2019-04-05 09:32:28,160.0
2019-04-05 09:32:29,160.0
2019-04-05 09:32:30,160.0
2019-04-05 09:32:31,160.0
2019-04-05 09:32:32,160.0
2019-04-05 09:32:33,160.0
2019-04-05 09:32:34,160.0
2019-04-05 09:32:35,160.0
2019-04-05 09:32:36,160.0
2019-04-05 09:32:37,160.0
2019-04-05 09:32:38,160.0
2019-04-05 09:32:39,160.0
2019-04-05 09:32:40,160.0
2019-04-05 09:32:41,160.0
2019-04-05 09:32:42,160.0
2019-04-05 09:32:43,90.0
2019-04-05 09:32:44,90.0
2019-04-05 09:32:45,90.0
2019-04-05 09:32:46,90.0
2019-04-05 09:32:47,90.0
2019-04-05 09:32:48,90.0
2019-04-05 09:32:49,90.0
2019-04-05 09:32:50,90.0
2019-04-05 09:32:51,90.0
2019-04-05 09:32:52,90.0
2019-04-05 09:32:53,90.0
2019-04-05 09:32:54,90.0
2019-04-05 09:32:55,90.0
2019-04-05 09:32:56,90.0
2019-04-05 09:32:57,90.0
2019-04-05 09:32:58,90.0
2019-04-05 09:32:59,90.0
2019-04-05 09:33:00,90.0
2019-04-05 09:33:01,90.0
2019-04-05 09:33:02,90.0
2019-04-05 09:33:03,90.0
