h_m_s,ACB
2019-04-05 09:30:00,
2019-04-05 09:30:01,
2019-04-05 09:30:02,
2019-04-05 09:30:03,
2019-04-05 09:30:04,
2019-04-05 09:30:05,
2019-04-05 09:30:06,
2019-04-05 09:30:07,
2019-04-05 09:30:08,
2019-04-05 09:30:09,-5500.0
2019-04-05 09:30:10,-4420.0
2019-04-05 09:30:11,-4180.0
2019-04-05 09:30:12,-5750.0
2019-04-05 09:30:13,-4770.0
2019-04-05 09:30:14,-1300.0
2019-04-05 09:30:15,-800.0
2019-04-05 09:30:16,-860.0
2019-04-05 09:30:17,-650.0
2019-04-05 09:30:18,-660.0
2019-04-05 09:30:19,-460.0
2019-04-05 09:30:20,-430.0
2019-04-05 09:30:21,3010.0
2019-04-05 09:30:22,5360.0
2019-04-05 09:30:23,5260.0
2019-04-05 09:30:24,6110.0
2019-04-05 09:30:25,5150.0
2019-04-05 09:30:26,5370.0
2019-04-05 09:30:27,5220.0
2019-04-05 09:30:28,5230.0
2019-04-05 09:30:29,5060.0
2019-04-05 09:30:30,5060.0
2019-04-05 09:30:31,1180.0
2019-04-05 09:30:32,100.0
2019-04-05 09:30:33,-410.0
2019-04-05 09:30:34,-840.0
2019-04-05 09:30:35,-530.0
2019-04-05 09:30:36,-920.0
2019-04-05 09:30:37,-980.0
2019-04-05 09:30:38,-980.0
2019-04-05 09:30:39,-910.0
2019-04-05 09:30:40,-910.0
2019-04-05 09:30:41,-490.0
2019-04-05 09:30:42,-540.0
2019-04-05 09:30:43,-520.0
2019-04-05 09:30:44,-880.0
2019-04-05 09:30:45,-250.0
2019-04-05 09:30:46,-280.0
2019-04-05 09:30:47,-280.0
2019-04-05 09:30:48,-760.0
2019-04-05 09:30:49,-740.0
2019-04-05 09:30:50,-740.0
2019-04-05 09:30:51,-740.0
2019-04-05 09:30:52,-280.0
2019-04-05 09:30:53,40.0
2019-04-05 09:30:54,80.0
2019-04-05 09:30:55,-270.0
2019-04-05 09:30:56,100.0
2019-04-05 09:30:57,100.0
2019-04-05 09:30:58,580.0
2019-04-05 09:30:59,130.0
2019-04-05 09:31:00,-320.0
2019-04-05 09:31:01,-90.0
2019-04-05 09:31:02,-200.0
2019-04-05 09:31:03,-330.0
2019-04-05 09:31:04,-230.0
2019-04-05 09:31:05,-1210.0
2019-04-05 09:31:06,-1790.0
2019-04-05 09:31:07,-1600.0
2019-04-05 09:31:08,-1470.0
2019-04-05 09:31:09,-3960.0
2019-04-05 09:31:10,-2870.0
2019-04-05 09:31:11,-3100.0
2019-04-05 09:31:12,-3020.0
2019-04-05 09:31:13,-2820.0
2019-04-05 09:31:14,-2940.0
2019-04-05 09:31:15,-2400.0
2019-04-05 09:31:16,-2160.0
2019-04-05 09:31:17,-2350.0
2019-04-05 09:31:18,-2480.0
2019-04-05 09:31:19,140.0
2019-04-05 09:31:20,-470.0
2019-04-05 09:31:21,-730.0
2019-04-05 09:31:22,-6930.0
2019-04-05 09:31:23,-6920.0
2019-04-05 09:31:24,-7870.0
2019-04-05 09:31:25,-8060.0
2019-04-05 09:31:26,-18020.0
2019-04-05 09:31:27,-18590.0
2019-04-05 09:31:28,-18590.0
2019-04-05 09:31:29,-18370.0
2019-04-05 09:31:30,-18400.0
2019-04-05 09:31:31,-18720.0
2019-04-05 09:31:32,-12650.0
2019-04-05 09:31:33,-12780.0
2019-04-05 09:31:34,-11950.0
2019-04-05 09:31:35,-11550.0
2019-04-05 09:31:36,-1590.0
2019-04-05 09:31:37,-1020.0
2019-04-05 09:31:38,-1070.0
2019-04-05 09:31:39,-1420.0
2019-04-05 09:31:40,-1870.0
2019-04-05 09:31:41,-890.0
2019-04-05 09:31:42,-640.0
2019-04-05 09:31:43,-830.0
2019-04-05 09:31:44,-790.0
2019-04-05 09:31:45,-690.0
2019-04-05 09:31:46,-930.0
2019-04-05 09:31:47,-930.0
2019-04-05 09:31:48,-880.0
2019-04-05 09:31:49,-910.0
2019-04-05 09:31:50,-460.0
2019-04-05 09:31:51,-1110.0
2019-04-05 09:31:52,-1620.0
2019-04-05 09:31:53,-1600.0
2019-04-05 09:31:54,-1670.0
2019-04-05 09:31:55,-1690.0
2019-04-05 09:31:56,-1570.0
2019-04-05 09:31:57,-1570.0
2019-04-05 09:31:58,-1570.0
2019-04-05 09:31:59,-1060.0
2019-04-05 09:32:00,-1170.0
2019-04-05 09:32:01,-900.0
2019-04-05 09:32:02,-940.0
2019-04-05 09:32:03,-690.0
2019-04-05 09:32:04,-320.0
2019-04-05 09:32:05,-2590.0
2019-04-05 09:32:06,-2790.0
2019-04-05 09:32:07,-3310.0
2019-04-05 09:32:08,-3210.0
2019-04-05 09:32:09,-3290.0
2019-04-05 09:32:10,-3260.0
2019-04-05 09:32:11,-3360.0
2019-04-05 09:32:12,-3010.0
2019-04-05 09:32:13,-3140.0
2019-04-05 09:32:14,-3390.0
2019-04-05 09:32:15,-1410.0
2019-04-05 09:32:16,-1090.0
2019-04-05 09:32:17,-410.0
2019-04-05 09:32:18,-470.0
2019-04-05 09:32:19,-420.0
2019-04-05 09:32:20,-400.0
2019-04-05 09:32:21,-320.0
2019-04-05 09:32:22,-320.0
2019-04-05 09:32:23,-340.0
2019-04-05 09:32:24,-70.0
2019-04-05 09:32:25,100.0
2019-04-05 09:32:26,100.0
2019-04-05 09:32:27,-60.0
2019-04-05 09:32:28,-100.0
2019-04-05 09:32:29,0.0
2019-04-05 09:32:30,30.0
2019-04-05 09:32:31,30.0
2019-04-05 09:32:32,-30.0
2019-04-05 09:32:33,90.0
2019-04-05 09:32:34,-140.0
2019-04-05 09:32:35,0.0
2019-04-05 09:32:36,-140.0
2019-04-05 09:32:37,-140.0
2019-04-05 09:32:38,-250.0
2019-04-05 09:32:39,-220.0
2019-04-05 09:32:40,-210.0
2019-04-05 09:32:41,-300.0
2019-04-05 09:32:42,770.0
2019-04-05 09:32:43,300.0
2019-04-05 09:32:44,480.0
2019-04-05 09:32:45,560.0
2019-04-05 09:32:46,700.0
2019-04-05 09:32:47,800.0
2019-04-05 09:32:48,1160.0
2019-04-05 09:32:49,1150.0
2019-04-05 09:32:50,760.0
2019-04-05 09:32:51,850.0
2019-04-05 09:32:52,-80.0
2019-04-05 09:32:53,120.0
2019-04-05 09:32:54,100.0
2019-04-05 09:32:55,120.0
