h_m_s,ECA
2019-04-05 09:30:00,
2019-04-05 09:30:01,
2019-04-05 09:30:02,
2019-04-05 09:30:03,
2019-04-05 09:30:04,
2019-04-05 09:30:05,
2019-04-05 09:30:06,
2019-04-05 09:30:07,
2019-04-05 09:30:08,
2019-04-05 09:30:09,-280.0
2019-04-05 09:30:10,-280.0
2019-04-05 09:30:11,-270.0
2019-04-05 09:30:12,100.0
2019-04-05 09:30:13,100.0
2019-04-05 09:30:14,100.0
2019-04-05 09:30:15,370.0
2019-04-05 09:30:16,370.0
2019-04-05 09:30:17,370.0
2019-04-05 09:30:18,370.0
2019-04-05 09:30:19,370.0
2019-04-05 09:30:20,370.0
2019-04-05 09:30:21,370.0
2019-04-05 09:30:22,0.0
2019-04-05 09:30:23,0.0
2019-04-05 09:30:24,0.0
2019-04-05 09:30:25,0.0
2019-04-05 09:30:26,0.0
2019-04-05 09:30:27,0.0
2019-04-05 09:30:28,0.0
2019-04-05 09:30:29,0.0
2019-04-05 09:30:30,0.0
2019-04-05 09:30:31,0.0
2019-04-05 09:30:32,0.0
2019-04-05 09:30:33,0.0
2019-04-05 09:30:34,0.0
2019-04-05 09:30:35,0.0
2019-04-05 09:30:36,0.0
2019-04-05 09:30:37,0.0
2019-04-05 09:30:38,0.0
2019-04-05 09:30:39,-100.0
2019-04-05 09:30:40,30.0
2019-04-05 09:30:41,-40.0
2019-04-05 09:30:42,-40.0
2019-04-05 09:30:43,-40.0
2019-04-05 09:30:44,50.0
2019-04-05 09:30:45,50.0
2019-04-05 09:30:46,-130.0
2019-04-05 09:30:47,-100.0
2019-04-05 09:30:48,-100.0
2019-04-05 09:30:49,0.0
2019-04-05 09:30:50,-130.0
2019-04-05 09:30:51,-60.0
2019-04-05 09:30:52,-60.0
2019-04-05 09:30:53,-60.0
2019-04-05 09:30:54,-150.0
2019-04-05 09:30:55,-150.0
2019-04-05 09:30:56,30.0
2019-04-05 09:30:57,0.0
2019-04-05 09:30:58,0.0
2019-04-05 09:30:59,0.0
2019-04-05 09:31:00,0.0
2019-04-05 09:31:01,0.0
2019-04-05 09:31:02,0.0
2019-04-05 09:31:03,100.0
2019-04-05 09:31:04,80.0
2019-04-05 09:31:05,80.0
2019-04-05 09:31:06,80.0
2019-04-05 09:31:07,80.0
2019-04-05 09:31:08,80.0
2019-04-05 09:31:09,80.0
2019-04-05 09:31:10,80.0
2019-04-05 09:31:11,80.0
2019-04-05 09:31:12,80.0
2019-04-05 09:31:13,-20.0
2019-04-05 09:31:14,0.0
2019-04-05 09:31:15,-200.0
2019-04-05 09:31:16,-480.0
2019-04-05 09:31:17,-480.0
2019-04-05 09:31:18,-480.0
2019-04-05 09:31:19,-480.0
2019-04-05 09:31:20,-480.0
2019-04-05 09:31:21,-480.0
2019-04-05 09:31:22,-480.0
2019-04-05 09:31:23,-480.0
2019-04-05 09:31:24,-480.0
2019-04-05 09:31:25,-280.0
2019-04-05 09:31:26,0.0
2019-04-05 09:31:27,0.0
2019-04-05 09:31:28,0.0
2019-04-05 09:31:29,320.0
2019-04-05 09:31:30,320.0
2019-04-05 09:31:31,1310.0
2019-04-05 09:31:32,1240.0
2019-04-05 09:31:33,1240.0
2019-04-05 09:31:34,1240.0
2019-04-05 09:31:35,1240.0
2019-04-05 09:31:36,1100.0
2019-04-05 09:31:37,1100.0
2019-04-05 09:31:38,1100.0
2019-04-05 09:31:39,780.0
2019-04-05 09:31:40,780.0
2019-04-05 09:31:41,-210.0
2019-04-05 09:31:42,-140.0
2019-04-05 09:31:43,-140.0
2019-04-05 09:31:44,-140.0
2019-04-05 09:31:45,-140.0
2019-04-05 09:31:46,0.0
2019-04-05 09:31:47,0.0
2019-04-05 09:31:48,-100.0
2019-04-05 09:31:49,-100.0
2019-04-05 09:31:50,-100.0
2019-04-05 09:31:51,-100.0
2019-04-05 09:31:52,-100.0
2019-04-05 09:31:53,-100.0
2019-04-05 09:31:54,-100.0
2019-04-05 09:31:55,-100.0
2019-04-05 09:31:56,-680.0
2019-04-05 09:31:57,-680.0
2019-04-05 09:31:58,-580.0
2019-04-05 09:31:59,-580.0
2019-04-05 09:32:00,-340.0
2019-04-05 09:32:01,-340.0
2019-04-05 09:32:02,-340.0
2019-04-05 09:32:03,-340.0
2019-04-05 09:32:04,-340.0
2019-04-05 09:32:05,-340.0
2019-04-05 09:32:06,240.0
2019-04-05 09:32:07,150.0
2019-04-05 09:32:08,150.0
2019-04-05 09:32:09,750.0
2019-04-05 09:32:10,510.0
2019-04-05 09:32:11,510.0
2019-04-05 09:32:12,510.0
2019-04-05 09:32:13,510.0
2019-04-05 09:32:14,510.0
2019-04-05 09:32:15,510.0
2019-04-05 09:32:16,510.0
2019-04-05 09:32:17,600.0
2019-04-05 09:32:18,600.0
2019-04-05 09:32:19,0.0
2019-04-05 09:32:20,0.0
2019-04-05 09:32:21,-320.0
2019-04-05 09:32:22,-340.0
2019-04-05 09:32:23,-340.0
2019-04-05 09:32:24,-340.0
2019-04-05 09:32:25,-340.0
2019-04-05 09:32:26,-340.0
2019-04-05 09:32:27,-340.0
2019-04-05 09:32:28,-440.0
2019-04-05 09:32:29,-440.0
2019-04-05 09:32:30,-440.0
2019-04-05 09:32:31,-120.0
2019-04-05 09:32:32,-100.0
2019-04-05 09:32:33,-100.0
2019-04-05 09:32:34,-100.0
2019-04-05 09:32:35,-100.0
2019-04-05 09:32:36,-100.0
2019-04-05 09:32:37,-100.0
2019-04-05 09:32:38,0.0
2019-04-05 09:32:39,0.0
2019-04-05 09:32:40,0.0
2019-04-05 09:32:41,0.0
2019-04-05 09:32:42,-490.0
2019-04-05 09:32:43,-490.0
2019-04-05 09:32:44,-490.0
2019-04-05 09:32:45,-490.0
2019-04-05 09:32:46,270.0
2019-04-05 09:32:47,270.0
2019-04-05 09:32:48,270.0
2019-04-05 09:32:49,270.0
2019-04-05 09:32:50,270.0
2019-04-05 09:32:51,270.0
2019-04-05 09:32:52,760.0
2019-04-05 09:32:53,760.0
2019-04-05 09:32:54,760.0
2019-04-05 09:32:55,760.0
2019-04-05 09:32:56,0.0
2019-04-05 09:32:57,0.0
2019-04-05 09:32:58,0.0
2019-04-05 09:32:59,0.0
2019-04-05 09:33:00,-20.0
2019-04-05 09:33:01,-20.0
2019-04-05 09:33:02,-30.0
